Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
37622,37307,56777,39862,ROWAN COUNTY,20709,1480,39844,19744,39318,14437,40,18198,2884,20609,57,110729,57,20709,122048,35695,3501,19527,63742,1627,57,10508,60079,2884,19197,133830,ROWAN,3501,3280,19525,142088,57,64704,59445,3424,3534,21308,25371,20923,21308,14799,37577,60822,3501,20709,19850,2916,19254,37636,2884
7149,7114,8253,7691,NORTHAMPTON COUNTY,3270,57,7688,1321,7592,3461,,1237,70,3264,,16132,,3270,17363,6946,107,1354,9147,67,,2066,8589,70,3821,18570,NORTHAMPTON,107,303,1354,19483,,9280,8531,328,123,1466,5256,1448,1466,3554,7392,8820,107,3270,3949,83,1347,7152,70
21094,20795,29408,22809,WILKES COUNTY,11149,160,22800,9775,22393,8536,,9173,184,11093,,54628,,11149,59783,20051,233,9728,32933,180,,5782,31036,184,10636,64946,WILKES,233,1940,9728,68412,,33446,30666,2066,259,10378,15162,10307,10378,8782,21572,31580,233,11149,11028,206,9687,21102,184
25794,25540,38999,26891,LINCOLN COUNTY,16960,199,26883,14693,26517,10692,,13721,239,16848,,67981,,16960,74647,25039,365,15464,43075,235,,7962,41531,239,13064,81663,LINCOLN,365,2173,15464,86111,,43940,40867,2204,385,16664,15456,16193,16664,10879,25951,41009,365,16960,13318,270,15088,25797,239
27498,27303,36044,28477,CALDWELL COUNTY,15644,149,28465,10239,28192,11942,,9336,202,15556,,65842,,15644,71809,26506,317,10061,39454,183,,8482,37786,202,13459,78015,CALDWELL,317,1368,10061,82178,,39917,37446,1437,325,11115,16769,10945,11115,12130,27344,37900,317,15644,13750,219,9941,27506,202
6957,6895,8362,7316,POLK COUNTY,3090,88,7312,1662,7230,3280,,1591,100,3072,,17478,,3090,18752,6671,118,1732,9119,98,,1667,8811,100,4111,19940,POLK,118,743,1732,20724,,9273,8689,758,146,1811,6644,1771,1811,3385,6982,8762,118,3090,4241,118,1694,6961,100
24515,24225,33559,25734,SURRY COUNTY,13634,178,25712,10981,25261,9924,,10139,220,13557,,56811,,13634,62223,23200,290,10736,37111,205,,6818,35492,220,12245,67979,SURRY,290,2143,10735,71783,,37670,35141,2285,307,11629,14964,11560,11628,10109,24136,35407,290,13634,12599,227,10696,24529,220
17471,17300,19765,18263,MACON COUNTY,9134,238,18253,2921,18017,7903,,2676,351,9106,,29260,,9134,31614,16738,439,2810,21490,259,,5688,20694,351,8958,34121,MACON,439,817,2810,35858,,21800,20446,852,482,3055,10350,3034,3055,8080,17383,20743,439,9134,9191,406,2795,17478,351
4023,3987,4871,4244,CLAY COUNTY,2526,23,4244,1015,4188,2204,,964,23,2519,,9352,,2526,10050,3884,25,967,5231,25,,1675,5059,23,2545,10740,CLAY,25,318,967,11231,,5355,4977,320,93,1018,3581,1018,1018,2257,4070,5110,25,2526,2602,69,967,4023,23
12961,12848,17079,13580,YADKIN COUNTY,6796,87,13573,4817,13390,5355,,4509,102,6761,,29851,,6796,32660,12468,149,4892,18728,105,,3662,17979,102,6288,35700,YADKIN,149,846,4892,37667,,18997,17794,837,170,5247,7711,5189,5247,5474,12962,17928,149,6796,6416,119,4844,12968,102
98588,96797,94529,111985,OUT OF STATE,30071,,111920,,109222,37122,,,,29730,,,,30071,,94529,,,109222,,,11708,98639,,37122,,OUT O,,,,,,111985,96797,,,,,,,42233,106582,106582,,30071,42233,,,98639,
35919,35457,106583,39014,ONSLOW COUNTY,21051,2513,38996,25622,38281,13574,11,23526,49867,20926,43,149343,43,21052,162055,34342,55959,26495,123789,3042,43,9747,112429,48715,18951,180787,ONSLOW,57300,2864,26493,197938,43,125722,111226,2997,57572,29136,19026,28208,29136,13894,36942,118523,57512,21051,19933,49994,25902,35940,49971
15663,15508,19597,16977,RICHMOND COUNTY,7323,129,16965,4657,16712,6077,,4246,247,7298,,34516,,7324,38043,15104,286,4714,22131,140,,3872,20666,247,6867,42075,RICHMOND,286,661,4714,44829,,22493,20441,702,323,5193,8183,5133,5193,6213,16213,21156,286,7323,7055,282,4686,15670,247
121053,117695,155056,126895,BUNCOMBE COUNTY,84942,2029,126822,39529,122431,37500,23,38877,3833,84148,40,213777,40,84948,230148,112346,5700,43211,170827,2369,40,33717,168199,3833,47766,248550,BUNCOMBE,5700,8237,43210,261191,40,176630,163541,8059,5729,44006,53494,42696,43998,38143,116544,161773,5700,84942,48571,3871,42013,121117,3833
78638,76977,112979,82733,UNION COUNTY,51787,411,82677,41372,80396,21768,0,39715,567,50968,0,176616,0,51789,202043,72697,899,49034,129802,508,0,16821,128297,567,26647,226508,UNION,899,4468,49033,239859,0,135131,124220,4464,917,51481,31234,48507,51468,22469,75772,118043,899,51787,27441,589,46676,78674,567
68704,67051,101895,73672,CABARRUS COUNTY,43595,862,73629,38654,71018,19378,0,37140,1451,43012,0,161462,0,43596,181104,63304,2124,44009,116998,942,0,14092,114206,1451,24620,202607,CABARRUS,2124,4380,44005,216453,0,122027,110741,4449,2140,46215,29064,43856,46206,19933,66774,107552,2124,43595,25324,1465,42239,68732,1451
4001,3977,5344,4410,WASHINGTON COUNTY,2364,16,4399,1710,4350,1957,,1504,28,2361,,9274,,2365,10083,3812,55,1566,6176,33,,1502,5615,28,2374,10985,WASHINGTON,55,401,1566,11580,,6241,5568,473,56,1775,2932,1771,1775,2104,4163,5928,55,2364,2610,38,1563,4011,28
33303,32919,48272,35520,HARNETT COUNTY,18026,348,35484,17088,34844,11197,0,15959,879,17912,0,100990,0,18026,112079,31434,1297,18110,55148,392,0,8034,52384,879,13446,126086,HARNETT,1308,1901,18109,135976,0,56526,51487,1981,1371,19635,17458,18996,19634,11518,33170,51555,1318,18026,13891,950,17689,33324,879
30033,29743,38291,31430,BURKE COUNTY,16576,261,31416,10101,31023,11358,,9279,347,16498,,73860,,16576,79893,28665,490,10193,42467,311,,8335,40609,347,13224,86176,BURKE,490,1605,10193,90485,,43062,40180,1722,499,11133,18720,10954,11132,11578,29812,40403,490,16576,13611,368,10090,30048,347
22268,21936,34027,23639,GRANVILLE COUNTY,13309,516,23623,9256,23043,7106,165,8805,4353,13202,1124,48058,1124,13309,52711,20869,4755,9828,37955,561,1124,5659,36484,4353,8895,57336,GRANVILLE,4755,1273,9825,60443,1124,38838,35920,1214,4792,10407,10674,10157,10404,7312,21861,35872,4755,13309,9087,4371,9631,22285,4353
69150,68250,100748,74726,GASTON COUNTY,39855,652,74674,35830,73361,24889,0,33513,851,39609,0,174276,0,39855,191721,66384,1308,37892,114341,819,0,17501,107957,851,30707,211171,GASTON,1308,5166,37892,224529,0,116818,106186,5369,1331,40761,36651,39672,40760,25848,71187,108325,1308,39855,32036,872,37085,69193,851
16673,16565,22094,17862,EDGECOMBE COUNTY,8151,201,17855,6108,17649,6712,10,5624,290,8125,10,39904,10,8151,43948,16180,393,6312,24812,239,10,4521,23284,290,7990,48532,EDGECOMBE,393,1077,6312,51472,10,25181,23089,1141,405,6914,10509,6770,6914,6881,17184,23685,393,8151,8261,295,6234,16677,290
26598,25854,28926,28395,WATAUGA COUNTY,13358,54,28358,4442,27438,6971,,4072,54,13280,,49022,,13359,51530,24800,89,4242,32146,72,,5370,30942,54,7649,54308,WATAUGA,89,624,4242,56177,,33159,30134,659,124,4640,9229,4619,4640,7323,26448,30979,89,13358,8054,66,4226,26634,54
11236,11073,16709,12547,HOKE COUNTY,5862,225,12526,5689,12233,3268,0,5359,778,5816,12,40282,12,5863,44624,10572,1146,6105,19753,243,12,2357,18144,778,4043,50664,HOKE,1146,550,6105,55234,12,20284,17831,580,1171,6566,5854,6374,6566,3399,11594,18429,1146,5862,4222,783,5980,11256,778
7934,7916,9379,8672,BERTIE COUNTY,3464,15,8667,1778,8618,3211,,1668,15,3459,,15647,,3464,16854,7696,34,1807,10573,19,,1920,9771,15,3554,18126,BERTIE,34,328,1807,18947,,10662,9728,347,42,1948,4479,1921,1948,3439,8383,10195,34,3464,3805,28,1797,7936,15
15868,15651,20240,16596,PERSON COUNTY,9071,180,16583,5348,16248,5857,,4988,284,9039,,31361,,9071,34239,14968,390,5350,22322,200,,4567,21518,284,7087,37405,PERSON,390,1050,5350,39490,,22787,21216,1076,390,5801,7938,5684,5800,5934,15527,21265,390,9071,7210,292,5281,15876,284
