Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37717,37542,51494,48470,647,42042,15389,122048,Robeson,360,886,42025,12995,1926,41609,13099,13103,11860,130625,647,57327,51263,2058,896,14389,20565,14311,14388,13572,39774,53655,98425,886,16045,664,109195,13074,37730,647,35963,886,13100,56806,415
4885,4872,5886,5709,0,5309,2819,12861,Perquimans,0,0,5306,1045,207,5271,988,2612,939,13463,0,6420,5860,223,15,1096,3671,1092,1096,2784,5148,6193,10957,0,3007,11,11854,988,4887,0,4770,0,988,6363,0
70285,69745,105048,96923,1109,75213,24532,196283,Johnston,502,1375,75174,31507,3589,73845,33610,20441,29496,209339,1109,112826,104031,3713,1387,36226,28558,35377,36225,21044,69876,102758,156585,1375,25307,1120,175612,33177,70314,1109,66318,1375,33614,110597,550
39333,39119,59681,56561,550,41574,19582,135556,Randolph,425,746,41538,19319,3750,41054,19761,15407,18223,143667,550,63398,59295,3683,746,21078,26060,20837,21077,15726,39572,59637,111702,746,19903,565,123257,19626,39353,550,37788,746,19763,62637,494
2938,2936,3090,2963,,3139,1019,4753,Hyde,,,3136,156,44,3080,152,975,143,4937,,3306,3087,52,,167,1114,164,167,990,2956,3112,4098,,1042,,4410,151,2938,,2820,,152,3244,
4918,4911,6175,5991,0,5286,2557,10626,Alleghany,0,0,5277,1265,322,5204,1224,2235,1184,11137,0,6637,6132,337,34,1317,3116,1313,1317,2313,5093,6358,9249,0,2650,26,9915,1221,4925,0,4807,0,1224,6517,0
16283,16206,23934,22569,216,18004,7505,55126,Duplin,161,267,17988,7127,1458,17696,7411,5886,6696,58741,216,26234,23818,1446,284,7946,11405,7890,7946,6060,17039,24433,44760,267,7687,228,49644,7396,16295,216,15657,267,7411,25853,181
3832,3829,4327,4204,,4105,1725,11027,Gates,,0,4099,480,121,4088,494,1604,458,11562,,4639,4323,120,13,521,2418,520,521,1706,3984,4464,9230,0,1826,,10120,494,3833,,3746,0,494,4608,0
26002,25714,34497,32869,870,26856,13627,59266,Haywood,508,1305,26846,7780,1797,26351,7565,11322,7128,62317,870,36435,34134,1928,1338,8241,15572,8209,8241,11387,25457,34542,50968,1305,13925,917,54941,7550,26015,870,24871,1305,7565,35865,610
19434,19377,26203,25070,358,20625,9407,59178,Stanly,284,465,20620,6496,1257,20453,6377,7866,6049,62806,358,27970,26084,1289,477,6868,12123,6820,6868,8145,19668,26629,49282,465,9762,390,54008,6349,19436,358,18663,465,6377,27738,328
61533,60631,191210,177428,38647,75143,36513,,Missing,9329,26824,75068,82658,7778,72535,89898,19406,81361,,38671,195246,187510,7127,28045,92058,,89153,92042,24008,68576,178006,,26824,39782,39551,,88208,61758,38671,57420,26772,89901,188512,8647
28372,28188,40282,37971,330,29848,12591,76972,Wilson,221,496,29838,11195,1731,29507,11543,10639,10330,81801,330,42985,39965,1761,500,12637,15337,12436,12634,10886,28530,40221,63224,496,12908,354,69710,11447,28383,330,27311,496,11545,42439,261
1748,1743,1890,1797,,1827,657,3827,Tyrrell,,,1825,162,36,1814,141,621,137,4016,,1996,1884,36,,169,810,169,169,636,1730,1892,3288,,672,,3533,141,1749,,1660,,141,1983,
34602,34507,59951,56918,8037,37141,16076,115046,Wayne,1099,10568,37106,16421,2949,36843,17060,12028,15282,123131,8198,66386,59607,3054,10696,18549,20802,18213,18548,12395,35807,62532,94031,10674,17042,8263,103693,16902,34624,8233,33599,10304,17064,65624,1593
8581,8570,11363,10963,122,9080,4332,25757,Montgomery,94,150,9078,2654,469,9055,2638,3769,2470,27173,122,12101,11318,497,184,2837,5743,2812,2837,3861,8836,11640,21266,150,4463,144,23512,2626,8581,122,8371,150,2638,12017,105
19686,19653,28927,27614,273,21019,10077,52801,Lenoir,194,405,21015,8698,1599,20911,8937,8284,8037,55949,273,31184,28832,1644,420,9745,11303,9623,9745,8474,20489,29592,43423,405,10351,301,47933,8906,19689,273,19304,405,8937,30939,233
11698,11681,16222,15537,158,12429,5733,32530,Scotland,99,203,12426,4278,808,12380,4330,4826,3893,34823,158,17459,16160,883,239,4791,6531,4754,4791,4953,12153,16634,26793,203,5959,194,29381,4321,11698,158,11486,203,4330,17337,123
69684,69125,94597,88422,1035,73453,25982,159560,Alamance,654,1398,73431,23406,4035,71915,23852,21293,21856,169509,1035,100550,93705,4336,1424,25673,29035,25134,25672,21846,67960,92764,132145,1398,26912,1043,145046,23545,69702,1035,65531,1398,23852,98447,730
