Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56572,ROBESON COUNTY,3672,3700,2126,3603,3702,2227,2201,2152,1288,2229,1473,1473,1471,1451,838,12027,16826,8385,16826,16701,16422,8287,8385,8374,8195,3642,8385,16826,24834,25292,25428,25485,62419,16561,52431,55414,56701,17381,57687,61027,62599,Robeson,217,217,217,98,274,25211,25075,24617,11929,1497,1005,122048,1497,1005,1543,1497,605,1070,1005,407,98425,20565,130625,109195,ROBESON COUNTY,25211,14784,2407,16386,16125,16384,44670,44538,43405,14369,41406,13741,15192,15191,14991,2272,39418,40376,40439,13882,37685
6194,PERQUIMANS COUNTY,1050,1052,747,1035,1052,590,588,576,416,590,462,462,462,459,331,2368,2609,1098,2609,2604,2576,1697,1098,1097,1088,671,1098,2609,3664,3701,3707,3707,6691,2992,5942,6114,6210,3191,6402,6592,6726,Perquimans,,,,,,3707,3701,3664,2368,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3707,1148,258,1209,1197,1208,5497,5483,5395,2933,5254,1044,1102,1102,1094,237,5020,5092,5096,2755,4898
115511,JOHNSTON COUNTY,16034,16220,7468,15505,16224,7159,7031,6795,3904,7163,9061,9061,9003,8710,3564,22240,26638,34118,26626,26261,25419,10973,34116,33903,32896,11127,34118,26638,58815,60664,61242,61320,123144,26437,104288,111794,115792,27496,110686,118906,123830,Johnston,500,500,500,140,564,60742,60164,58315,22100,3700,2490,196283,3646,2466,3719,3454,1052,2506,2334,711,156585,28558,209339,175612,JOHNSTON COUNTY,60756,35122,4324,40762,39112,40705,79349,78739,76148,22120,72110,33366,38729,38707,37165,4199,72163,74314,74557,21527,68588
64002,RANDOLPH COUNTY,7782,7836,4545,7643,7839,3453,3419,3353,2266,3456,4383,4383,4363,4290,2279,15819,14742,18264,14736,14648,14404,7494,18264,18234,17984,8243,18264,14742,32511,33005,33123,33139,67537,20813,59887,62726,64169,21293,63012,66074,67755,Randolph,123,123,123,82,133,33000,32882,32388,15737,893,575,135556,893,575,959,893,560,669,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33006,21532,4299,23585,23048,23579,43211,43065,42133,16434,40587,20599,22529,22525,22039,4322,40112,40902,40971,16047,38713
3370,HYDE COUNTY,568,571,300,555,572,546,543,531,286,547,25,25,25,24,14,787,1854,87,1854,1845,1793,755,87,85,82,32,87,1854,1875,1930,1941,1941,3473,1071,3143,3284,3372,1091,3243,3386,3494,Hyde,,,,,,1941,1930,1875,787,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1941,165,52,179,177,179,3303,3294,3209,1039,3078,153,167,167,164,44,3120,3203,3205,1027,2990
6546,ALLEGHANY COUNTY,1320,1333,878,1313,1334,585,572,566,408,586,748,748,748,747,470,2179,2196,1868,2195,2181,2149,1112,1868,1866,1863,1067,1868,2196,4012,4047,4063,4064,6952,2756,6285,6457,6596,2841,6657,6835,7008,Alleghany,,,,,,4063,4047,4012,2179,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4064,1378,387,1421,1415,1421,5518,5496,5385,2429,5244,1280,1319,1319,1313,374,5144,5227,5239,2382,5005
27553,DUPLIN COUNTY,2598,2609,1615,2558,2609,1391,1380,1358,853,1391,1218,1218,1218,1200,762,6064,6233,5935,6229,6177,6072,3050,5935,5918,5828,2921,5935,6233,12237,12443,12512,12558,30033,8257,25374,26918,27618,8569,27511,29278,30131,Duplin,348,348,337,93,390,12164,12095,11900,5971,2198,1652,55126,2162,1634,2247,1940,473,1693,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12168,7946,1677,8811,8683,8808,19073,19027,18433,6419,17625,7657,8457,8456,8337,1694,16947,17445,17468,6232,16265
4617,GATES COUNTY,654,658,424,642,659,556,552,541,368,557,102,102,102,101,56,1287,2001,349,2000,1990,1972,1156,349,349,336,131,349,2001,2308,2339,2349,2361,4921,1871,4407,4553,4646,1963,4689,4853,4991,Gates,0,0,0,0,11,2349,2339,2308,1287,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2350,540,135,590,583,590,4252,4241,4180,1817,4059,511,549,549,545,138,3965,4025,4027,1733,3853
36135,HAYWOOD COUNTY,8773,8847,5508,8628,8849,5615,5542,5423,3519,5617,3232,3232,3231,3205,1989,12013,12991,9872,12990,12835,12522,6658,9872,9861,9725,5341,9872,12991,22349,22798,22964,23012,38093,14326,34004,35316,36306,14794,35863,37236,38335,Haywood,102,102,102,14,149,22862,22696,22247,11999,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22863,8272,2173,8739,8677,8731,27983,27829,27026,11920,26058,7649,8105,8102,8047,2041,26338,27102,27170,11774,25424
28028,STANLY COUNTY,3217,3239,1831,3170,3239,1257,1243,1221,726,1257,1982,1982,1974,1949,1105,8142,8452,7321,8452,8396,8227,4383,7321,7314,7237,3685,7321,8452,15561,15807,15870,15880,29667,9900,26496,27563,28109,10268,27977,29131,29792,Stanly,97,97,97,74,107,15773,15710,15464,8068,707,556,59178,707,556,760,707,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15773,7193,1473,7660,7529,7659,21372,21301,20895,8438,20077,6802,7224,7224,7117,1449,19890,20248,20272,8153,19138
