county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ROBESON COUNTY,2085,2086,1287,2057,2087,1152,1151,1134,742,1153,934,934,934,923,545,11899,16704,8381,16704,16581,16295,8193,8381,8370,8183,3608,8381,16704,24695,25168,25302,25372,62341,16441,52254,55274,56553,17261,57542,60930,62531,Robeson,217,217,217,98,287,25085,24951,24478,11801,1496,1003,122048,1496,1003,1556,1496,605,1078,1003,407,98425,20565,130625,109195,ROBESON COUNTY,25085,14703,2379,16341,16070,16338,44634,44507,43364,14277,41343,13663,15146,15145,14937,2242,39334,40295,40329,13792,37588
PERQUIMANS COUNTY,545,545,406,537,545,249,249,243,176,249,296,296,296,294,230,2352,2607,1097,2607,2599,2574,1682,1097,1096,1086,670,1097,2607,3660,3695,3704,3704,6686,2975,5933,6103,6204,3174,6393,6583,6720,Perquimans,,,,,,3704,3695,3660,2352,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3704,1144,257,1209,1197,1207,5491,5479,5386,2917,5249,1040,1101,1101,1093,234,5010,5088,5091,2741,4893
JOHNSTON COUNTY,9798,9814,4779,9520,9814,4110,4107,3983,2362,4110,5704,5704,5691,5537,2417,22080,26591,34064,26581,26206,25354,10909,34062,33846,32807,11023,34064,26591,58669,60560,61151,61259,122877,26212,103849,111436,115322,27317,110310,118606,123502,Johnston,508,508,508,148,604,60643,60052,58161,21932,3754,2475,196283,3701,2453,3807,3512,1102,2502,2323,706,156585,28558,209339,175612,JOHNSTON COUNTY,60655,34923,4256,40645,38964,40588,79050,78535,75941,21959,71875,33164,38596,38587,37021,4131,71962,74113,74224,21375,68362
RANDOLPH COUNTY,4496,4502,2676,4421,4503,1838,1838,1800,1228,1839,2664,2664,2658,2621,1448,15766,14816,18265,14811,14725,14480,7488,18265,18234,17975,8196,18265,14816,32578,33082,33199,33225,67492,20689,59829,62694,64121,21158,62916,66009,67698,Randolph,123,123,123,82,144,33076,32959,32455,15684,892,575,135556,892,575,969,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33081,21447,4256,23531,22987,23526,43198,43074,42130,16342,40577,20528,22486,22483,21988,4280,40131,40921,40967,15965,38726
HYDE COUNTY,315,315,166,305,316,305,305,296,162,306,10,10,10,9,4,785,1868,86,1868,1859,1806,754,86,84,81,31,86,1868,1887,1943,1954,1954,3477,1069,3142,3283,3369,1087,3248,3391,3498,Hyde,,,,,,1954,1943,1887,785,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1954,165,53,179,177,179,3307,3298,3214,1034,3083,155,169,169,166,46,3117,3200,3200,1023,2987
ALLEGHANY COUNTY,783,784,573,780,784,336,335,332,260,336,448,448,448,448,313,2163,2210,1865,2209,2194,2163,1107,1865,1863,1860,1056,1865,2210,4023,4057,4074,4075,6948,2736,6266,6435,6577,2824,6650,6827,7005,Alleghany,,,,,,4074,4057,4023,2163,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4075,1372,381,1418,1412,1418,5518,5495,5380,2418,5243,1276,1318,1318,1311,366,5124,5210,5221,2370,4990
DUPLIN COUNTY,1412,1412,892,1392,1412,661,661,651,422,661,751,751,751,741,470,6035,6249,5924,6246,6193,6085,3043,5924,5907,5814,2899,5924,6249,12236,12448,12518,12562,29999,8199,25341,26885,27586,8505,27474,29240,30091,Duplin,348,348,337,93,389,12170,12100,11899,5942,2193,1649,55126,2157,1631,2242,1936,472,1690,1451,331,44760,11405,58741,49644,DUPLIN COUNTY,12173,7908,1647,8787,8653,8784,19062,19022,18430,6386,17630,7628,8441,8440,8315,1665,16939,17432,17455,6203,16262
GATES COUNTY,264,264,164,259,264,203,203,199,128,203,61,61,61,60,36,1281,2005,347,2004,1992,1975,1152,347,347,334,129,347,2005,2309,2339,2351,2363,4920,1858,4395,4546,4641,1949,4678,4849,4989,Gates,0,0,0,0,11,2351,2339,2309,1281,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2352,537,130,587,580,587,4253,4243,4179,1808,4051,508,546,546,542,134,3961,4023,4025,1724,3844
HAYWOOD COUNTY,5830,5840,3814,5745,5840,3580,3571,3504,2381,3580,2260,2260,2259,2241,1433,11951,13022,9860,13021,12866,12547,6633,9860,9849,9714,5304,9860,13022,22363,22817,22983,23049,38082,14207,33917,35232,36196,14700,35831,37208,38321,Haywood,102,102,102,14,167,22881,22715,22261,11937,1571,944,59266,1571,944,1666,1571,729,1053,944,524,50968,15572,62317,54941,HAYWOOD COUNTY,22882,8249,2142,8721,8658,8712,27934,27799,26979,11829,26011,7628,8089,8087,8032,2009,26256,27034,27054,11674,25345
STANLY COUNTY,1951,1956,1210,1935,1956,687,686,679,442,687,1269,1269,1265,1256,768,8134,8566,7314,8566,8507,8335,4413,7314,7307,7229,3647,7314,8566,15661,15911,15977,15987,29823,9918,26634,27705,28244,10287,28114,29277,29953,Stanly,97,97,97,74,107,15880,15814,15564,8060,706,556,59178,706,556,771,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15880,7158,1451,7630,7499,7628,21552,21489,21072,8479,20250,6777,7206,7204,7098,1426,20051,20418,20425,8194,19301
MISSING COUNTY,45847,45945,21560,45017,45968,20540,20523,20146,12348,20563,25405,25405,25324,24871,9212,82635,72537,115353,72519,72051,69982,33008,115349,114428,111798,30438,115353,72537,216805,221504,222893,224237,290298,58923,237123,250174,261139,79888,267081,280575,293265,Missing,35025,35025,35025,19189,36347,187868,186479,181780,63446,37935,47583,,37918,47583,40453,37778,9849,49151,47490,9797,,,,,MISSING COUNTY,187890,84143,7605,95855,90965,95647,156957,156716,151692,62434,145160,85069,97435,97403,92508,8342,110083,114271,114553,40784,104564
WILSON COUNTY,3736,3740,2239,3689,3741,2626,2622,2602,1663,2627,1114,1114,1114,1087,576,11112,15635,8420,15631,15568,15376,7878,8420,8390,8145,3200,8420,15635,23607,24044,24137,24174,46612,13527,40862,43111,44192,13863,43033,45468,46791,Wilson,86,86,86,34,119,24051,23958,23521,11078,609,371,76972,609,371,669,609,316,417,371,237,63224,15337,81801,69710,WILSON COUNTY,24055,12620,2028,14418,13914,14408,31704,31595,30945,11519,29804,11905,13572,13568,13117,2016,29623,30179,30203,11274,28586
TYRRELL COUNTY,118,118,81,117,118,105,105,104,74,105,13,13,13,13,7,507,912,95,912,908,896,468,95,95,94,39,95,912,990,1003,1007,1007,2077,698,1868,1956,1994,711,1944,2035,2080,Tyrrell,,,,,,1007,1003,990,507,,,3827,,,,,,,,,3288,810,4016,3533,TYRRELL COUNTY,1007,174,40,183,181,183,1897,1894,1854,671,1770,150,155,155,155,39,1801,1838,1839,659,1718
WAYNE COUNTY,3201,3203,1745,3147,3207,1149,1148,1140,642,1153,2054,2054,2053,2007,1103,14046,14307,15455,14302,14238,14034,6424,15455,15419,15168,7343,15455,14307,30809,31274,31374,31437,66163,16774,57618,60425,61803,17469,61529,64623,66422,Wayne,1617,1617,1607,279,1675,29757,29657,29202,13767,6374,5496,115046,6320,5459,6456,6207,986,5523,5364,753,94031,20802,123131,103693,WAYNE COUNTY,29762,18489,3473,21166,20416,21158,38800,38631,37887,13010,36833,17467,19897,19887,19239,3345,35727,36345,36383,12676,34787
MONTGOMERY COUNTY,813,813,464,795,813,417,417,400,229,417,396,396,396,395,235,3173,3100,2994,3100,3072,3013,1578,2994,2991,2966,1583,2994,3100,6001,6085,6116,6137,12674,4462,11369,11761,11970,4629,12077,12508,12811,Montgomery,22,22,22,12,43,6094,6063,5979,3161,214,142,25757,214,142,297,214,122,200,142,97,21266,5743,27173,23512,MONTGOMERY COUNTY,6094,2943,595,3142,3100,3142,9372,9318,9194,3912,8920,2762,2948,2948,2907,552,8712,8807,8822,3813,8465
LENOIR COUNTY,1842,1843,1136,1821,1844,871,870,862,538,872,972,972,972,959,598,8859,9445,7658,9445,9427,9346,4898,7657,7638,7510,3898,7658,9445,16963,17172,17209,17235,33441,10878,29532,30845,31397,11161,31383,32822,33520,Lenoir,107,107,107,63,132,17102,17065,16856,8796,475,291,52801,475,291,513,475,268,325,291,206,43423,11303,55949,47933,LENOIR COUNTY,17103,9685,1906,10950,10619,10945,22057,22021,21728,8987,21223,9114,10290,10287,9999,1845,20555,20775,20782,8827,20127
SCOTLAND COUNTY,857,857,499,842,857,271,271,265,138,271,586,586,586,577,361,4394,5127,3954,5127,5105,5055,2376,3954,3950,3885,1993,3954,5127,8988,9103,9129,9141,18756,5939,16393,17071,17365,6290,17670,18458,18840,Scotland,48,48,48,25,60,9081,9055,8940,4369,252,169,32530,252,169,302,252,144,221,169,104,26793,6531,34823,29381,SCOTLAND COUNTY,9081,4770,1018,5409,5262,5406,13129,13098,12944,5128,12648,4351,4902,4900,4785,913,12117,12237,12242,4922,11873
ALAMANCE COUNTY,9405,9424,5040,9180,9424,3663,3652,3549,2198,3663,5761,5761,5753,5631,2842,23351,26679,31136,26676,26221,25307,11159,31134,31015,30329,12091,31136,26679,55825,57425,57999,58070,107241,27663,93225,98797,102375,28640,97593,103514,107934,Alamance,189,189,189,101,255,57810,57236,55636,23250,2161,1325,159560,2161,1325,2210,2138,999,1406,1312,707,132145,29035,169509,145046,ALAMANCE COUNTY,57815,25747,4814,28781,27684,28757,76943,76323,73669,22827,69708,24449,27309,27305,26322,4527,71150,73520,73660,22429,67464
CAMDEN COUNTY,283,283,163,275,283,125,125,117,68,125,158,158,158,158,95,1057,1473,795,1473,1458,1423,733,795,795,788,324,795,1473,2443,2485,2500,2525,6799,1502,5450,5702,5836,1790,6369,6654,6831,Camden,232,232,232,0,257,2268,2253,2211,1057,2036,1408,10327,2020,1408,2054,1947,211,1419,1352,42,8407,1833,10867,9354,CAMDEN COUNTY,2268,846,141,909,881,906,3868,3857,3753,1438,3576,826,883,882,856,131,3438,3533,3534,1329,3272
GREENE COUNTY,921,922,471,900,922,696,696,681,360,696,226,226,225,219,111,2632,4301,1767,4301,4267,4228,1649,1767,1765,1715,688,1767,4301,6760,6898,6948,7002,15484,3657,13058,13780,14151,4007,14285,15088,15572,Greene,880,866,817,295,934,6068,6032,5943,2337,3345,2584,20022,3182,2450,3404,2880,899,2610,2210,606,16884,3592,21069,18372,GREENE COUNTY,6068,2645,437,3030,2963,3029,9138,9110,8943,2671,8760,2478,2852,2851,2795,419,8535,8685,8689,2632,8370
ROWAN COUNTY,4318,4319,2537,4278,4319,928,928,918,567,928,3391,3391,3390,3360,1970,15078,12677,18529,12671,12628,12387,6441,18529,18488,18240,8302,18529,12677,31214,31703,31787,31832,67519,19346,58719,61408,62724,20302,63266,66143,67722,Rowan,587,587,587,335,626,31200,31116,30627,14743,4295,3261,133830,4295,3261,4392,4295,1839,3354,3261,1509,110729,25371,142088,122048,ROWAN COUNTY,31206,21313,3834,23044,22500,23033,40286,40191,39348,14629,37658,19918,21491,21488,21019,3730,37128,37838,37879,14107,35540
NORTHAMPTON COUNTY,742,743,524,737,743,627,626,622,464,627,116,116,116,115,60,2756,3867,810,3867,3858,3833,2413,810,810,798,343,810,3867,4631,4668,4677,4677,9333,3807,8233,8526,8689,3968,8820,9161,9371,Northampton,,,,,,4677,4668,4631,2756,168,72,18570,168,72,194,168,102,98,72,59,16132,5256,19483,17363,NORTHAMPTON COUNTY,4677,1422,353,1564,1544,1563,7613,7602,7449,3513,7230,1351,1472,1472,1458,325,6996,7116,7119,3423,6810
WILKES COUNTY,2727,2727,1678,2688,2727,1105,1105,1086,688,1105,1622,1622,1622,1602,990,8001,7006,9162,7004,6958,6830,3359,9162,9158,9008,4626,9162,7006,15854,16132,16182,16211,34636,11082,30495,31782,32340,11563,32706,34084,34756,Wilkes,16,16,16,16,43,16166,16116,15838,7985,316,215,64946,316,215,387,316,224,267,215,168,54628,15162,68412,59783,WILKES COUNTY,16168,10423,2291,11062,10973,11057,23307,23263,22795,9048,21967,9857,10463,10460,10382,2178,21185,21593,21610,8736,20423
LINCOLN COUNTY,3804,3808,2194,3759,3808,832,832,823,492,832,2976,2976,2972,2936,1702,11577,8279,16702,8278,8218,8101,4078,16702,16626,16261,7478,16702,8279,24413,24895,25031,25052,44965,13582,39959,41874,42931,13866,41830,43874,45107,Lincoln,51,51,51,21,71,24980,24844,24362,11556,394,246,81663,394,246,427,394,252,279,246,203,67981,15456,86111,74647,LINCOLN COUNTY,24981,15623,2580,17638,17070,17619,27042,26952,26410,11034,25813,14711,16619,16618,16085,2546,25543,26024,26033,10833,25002
CALDWELL COUNTY,3098,3104,1928,3058,3104,1302,1298,1276,844,1302,1802,1802,1800,1782,1084,11566,12065,9883,12065,12021,11868,7116,9883,9855,9694,4450,9883,12065,21562,21876,21948,21977,41525,14127,37443,38893,39461,14416,39326,40905,41621,Caldwell,0,0,0,0,29,21948,21876,21562,11566,354,204,78015,354,204,373,354,211,224,204,151,65842,16769,82178,71809,CALDWELL COUNTY,21948,11046,1652,11988,11757,11979,29260,29192,28794,12553,27926,10132,10938,10936,10756,1601,27933,28287,28299,12375,27107
POLK COUNTY,817,819,487,805,819,515,513,503,324,515,304,304,304,302,163,1963,2413,1420,2413,2399,2354,1276,1420,1416,1380,687,1420,2413,3734,3815,3833,3833,9007,3922,8053,8375,8538,4111,8523,8861,9081,Polk,,,,,,3833,3815,3734,1963,172,100,19940,172,100,224,172,136,131,100,88,17478,6644,20724,18752,POLK COUNTY,3833,1729,791,1882,1834,1879,6975,6956,6855,3184,6622,1652,1802,1802,1758,770,6517,6597,6605,3064,6301
SURRY COUNTY,3304,3307,2028,3250,3309,1636,1635,1599,1000,1638,1671,1671,1669,1651,1028,9650,9922,9734,9920,9841,9624,4915,9732,9729,9627,4689,9734,9922,19310,19629,19711,19730,38418,12593,34286,35825,36498,12986,36039,37696,38595,Surry,59,59,59,46,74,19652,19570,19251,9604,351,238,67979,351,238,415,351,256,265,238,193,56811,14964,71783,62223,SURRY COUNTY,19656,11509,2480,12175,12070,12173,26005,25894,25275,10250,24179,10831,11444,11441,11370,2375,24217,24753,24789,10025,23217
MACON COUNTY,2235,2239,1606,2221,2239,1628,1626,1613,1215,1628,611,611,609,608,391,6987,8243,3409,8237,8210,8111,4946,3409,3409,3391,2031,3409,8243,11512,11629,11656,11696,22175,9322,20238,20881,21238,9540,21140,21856,22278,Macon,10,10,10,10,44,11646,11619,11502,6977,488,356,34121,488,356,555,488,277,415,356,239,29260,10350,35858,31614,MACON COUNTY,11652,3065,928,3212,3175,3211,18511,18476,18193,8335,17587,2868,3002,3001,2980,911,17545,17812,17821,8172,17014
CLAY COUNTY,802,802,583,794,802,670,670,662,493,670,132,132,132,132,90,2120,2651,617,2651,2643,2615,1749,617,616,615,371,617,2651,3230,3259,3268,3278,5527,2668,5067,5187,5331,2753,5329,5460,5658,Clay,0,0,0,0,10,3268,3259,3230,2120,127,77,10740,127,77,252,127,54,166,77,23,9352,3581,11231,10050,CLAY COUNTY,3268,1050,358,1056,1054,1055,4350,4345,4279,2341,4152,997,1003,1002,1001,347,4109,4162,4162,2298,3993
YADKIN COUNTY,1712,1713,1076,1690,1713,729,728,711,490,729,984,984,984,979,586,5091,4457,5470,4456,4431,4364,2439,5470,5465,5385,2640,5470,4457,9761,9908,9938,9950,19744,6638,17782,18527,18872,6775,18593,19412,19819,Yadkin,12,12,12,12,23,9926,9896,9749,5079,169,110,35700,169,110,193,169,118,132,110,93,29851,7711,37667,32660,YADKIN COUNTY,9927,5191,933,5649,5575,5647,13977,13928,13668,5724,13233,4934,5368,5367,5292,952,13125,13357,13372,5593,12738
OUT OF STATE,17588,17616,8972,17118,17622,16473,16446,15985,8203,16479,1143,1143,1142,1133,769,26784,59541,5498,59532,57909,55951,23867,5498,5461,5388,2917,5498,59541,61339,63370,65030,65039,128219,43778,110176,113786,118142,46487,119198,123217,130833,Out of State,,,,,,65030,63370,61339,26784,,,,,,,,,,,,,,,,OUT OF STATE,65039,787,156,870,828,865,129963,127354,122389,46331,118411,997,1133,1133,1069,228,112717,116845,117009,43550,109179
ONSLOW COUNTY,5239,5246,2936,5170,5248,1524,1520,1493,879,1526,3722,3722,3719,3677,2057,15819,10407,23664,10403,10283,10023,4807,23664,23588,23114,9852,23664,10407,42916,43896,44092,44148,133103,19829,112873,118254,120829,21018,124036,130130,133480,Onslow,10025,10025,9779,1160,10077,34067,33871,33137,14659,60719,52607,180787,60001,52147,60849,58028,2935,52671,50562,2180,149343,19026,197938,162055,ONSLOW COUNTY,34071,27814,3452,31751,30525,31714,40880,40670,39604,14631,38194,25896,29494,29492,28462,3283,37645,38577,38664,14366,36415
RICHMOND COUNTY,1237,1237,755,1217,1238,760,760,743,483,761,477,477,477,474,272,5135,6898,3728,6897,6843,6722,3400,3728,3727,3655,1715,3728,6898,10420,10613,10668,10708,23803,7304,20714,21623,22074,7542,22347,23374,23919,Richmond,43,43,43,20,82,10625,10570,10377,5115,469,338,42075,469,338,525,469,198,415,338,153,34516,8183,44829,38043,RICHMOND COUNTY,10626,5142,795,5670,5586,5670,17724,17664,17319,6549,16736,4733,5222,5222,5149,741,16136,16415,16437,6410,15643
BUNCOMBE COUNTY,32142,32267,16762,31340,32272,20168,20072,19511,11232,20173,12099,12099,12070,11829,5530,44027,65076,49392,65046,63901,61808,25737,49392,49065,47738,18097,49392,65076,109890,113310,114782,114910,183275,49862,159883,168435,175225,51472,167583,176642,185115,Buncombe,344,344,344,193,442,114438,112966,109546,43834,7622,4554,248550,7604,4554,7664,7543,2938,4614,4512,2184,213777,53494,261191,230148,BUNCOMBE COUNTY,114468,40881,8558,45555,44030,45436,131896,130217,125008,39976,119159,40384,45055,45010,43544,8796,120337,124998,125556,38882,114987
UNION COUNTY,10956,11015,4685,10496,11017,1501,1498,1459,688,1503,9514,9514,9458,9037,3997,23762,22717,53408,22708,22489,21521,7284,53407,52836,50171,16376,53408,22717,71866,75499,76289,76363,138487,27362,116360,127453,133146,27946,121038,132571,139065,Union,174,174,174,102,238,76115,75325,71692,23660,1385,741,226508,1385,741,1456,1340,654,819,723,432,176616,31234,239859,202043,UNION COUNTY,76125,44439,5090,55229,51633,55045,82380,82057,79553,22202,75259,42990,53477,53450,50092,5159,76620,78765,78850,21771,72647
CABARRUS COUNTY,9582,9618,4262,9237,9618,1760,1757,1704,970,1760,7858,7858,7825,7533,3292,21843,25077,43401,25074,24674,23702,8831,43399,42983,41164,12803,43401,25077,65466,68269,69085,69127,129093,25564,106886,116133,122040,26488,112994,122742,129705,Cabarrus,612,612,600,209,649,68473,67657,64866,21634,4186,2698,202607,4159,2698,4251,4047,1314,2734,2623,984,161462,29064,216453,181104,CABARRUS COUNTY,68478,41246,5020,49560,46605,49413,75894,75494,71978,20154,67701,39923,47970,47965,45250,4990,68185,71238,71336,19590,64340
WASHINGTON COUNTY,540,541,387,537,541,314,313,313,244,314,227,227,227,224,143,2100,2162,1321,2161,2154,2134,1372,1321,1321,1313,728,1321,2162,3447,3475,3482,3498,6553,2523,5616,5868,5979,2756,6168,6433,6574,Washington,0,0,0,0,15,3482,3475,3447,2100,64,40,10985,64,40,66,64,40,41,40,27,9274,2932,11580,10083,WASHINGTON COUNTY,3483,1791,520,1857,1853,1856,4651,4633,4516,2196,4313,1599,1667,1666,1661,450,4167,4259,4271,2046,3977
HARNETT COUNTY,4150,4152,2128,4060,4154,1997,1997,1947,1149,1999,2155,2155,2153,2113,979,11090,12500,14974,12498,12354,12031,5689,14973,14896,14500,5226,14974,12500,27630,28425,28646,28689,64248,13987,53031,57024,59082,14708,57391,61920,64602,Harnett,1175,1175,1099,175,1215,27471,27250,26531,10915,7334,5323,126086,6968,5122,7440,6098,981,5386,4428,661,100990,17458,135976,112079,HARNETT COUNTY,27474,18396,2214,21286,20342,21235,35876,35679,34610,11513,32897,17436,20042,20033,19204,2150,32698,33611,33654,11176,31167
BURKE COUNTY,3674,3675,2308,3612,3675,1875,1874,1838,1243,1875,1800,1800,1800,1774,1065,10919,11653,11524,11653,11573,11302,5544,11524,11506,11307,5375,11524,11653,22619,23089,23187,23251,44630,13668,39571,41489,42414,14071,41717,43755,44839,Burke,10,10,10,0,74,23177,23079,22609,10919,761,487,86176,761,487,829,761,385,561,487,274,73860,18720,90485,79893,BURKE COUNTY,23177,10818,1922,11886,11653,11870,32124,31999,31341,11764,30138,10036,11008,11008,10837,1849,30165,30769,30845,11545,29048
GRANVILLE COUNTY,3200,3204,1530,3120,3205,1740,1739,1686,886,1741,1464,1464,1461,1434,644,8038,10615,9533,10613,10490,10155,4206,9532,9491,9274,3566,9533,10615,21220,21772,21936,21994,40655,9156,35202,37141,38272,9428,37352,39469,40958,Granville,1791,1791,1791,266,1846,20145,19981,19429,7772,5532,4738,57336,5532,4738,5656,5532,665,4810,4738,535,48058,10674,60443,52711,GRANVILLE COUNTY,20148,9749,1369,10977,10644,10962,24325,24161,23293,7394,22071,9390,10539,10536,10226,1428,22177,22877,22923,7193,21074
GASTON COUNTY,9073,9084,4697,8920,9084,3440,3436,3403,2147,3440,5644,5644,5637,5517,2550,25036,25945,34278,25931,25755,25302,11819,34278,34121,33236,13039,34278,25945,58853,60191,60524,60619,121872,32143,105299,110962,114040,33560,112395,118539,122290,Gaston,315,315,315,178,396,60209,59876,58538,24858,1957,1223,211171,1957,1223,2036,1924,1020,1267,1195,696,174276,36651,224529,191721,GASTON COUNTY,60223,38209,5970,43463,42018,43415,76791,76500,74564,26570,72262,36145,41067,41063,39754,5804,69985,71618,71706,25643,67959
EDGECOMBE COUNTY,1380,1381,857,1369,1381,855,855,853,587,855,526,526,525,516,270,6664,8606,4305,8605,8581,8495,4648,4305,4289,4188,1962,4305,8606,12780,12967,13007,13059,26891,8295,23251,24366,24903,8717,25105,26330,27027,Edgecombe,97,97,97,54,148,12910,12870,12683,6610,881,537,48532,881,537,950,865,425,592,515,233,39904,10509,51472,43948,EDGECOMBE COUNTY,12911,6772,1274,7654,7453,7647,18423,18363,17996,7018,17468,6298,7101,7101,6935,1214,16894,17199,17210,6848,16438
WATAUGA COUNTY,3199,3229,1708,3091,3229,1997,1968,1877,1097,1997,1232,1232,1231,1214,611,7255,13245,6366,13243,12935,12375,4949,6366,6363,6280,2306,6366,13245,18655,19298,19609,19611,32958,7800,28894,30191,31279,8173,30715,31920,33308,Watauga,,,,,,19609,19298,18655,7255,133,65,54308,133,65,223,133,74,116,65,55,49022,9229,56177,51530,WATAUGA COUNTY,19611,4632,734,4816,4794,4814,28269,28011,26993,7365,25950,4280,4453,4453,4433,699,25693,26650,26710,7046,24549
HOKE COUNTY,1123,1127,533,1078,1127,561,558,527,294,561,566,566,565,551,239,3644,5089,4399,5087,5009,4890,2217,4399,4376,4255,1287,4399,5089,10185,10482,10583,10625,26832,4533,20967,22662,23621,4847,23750,25755,27007,Hoke,1097,1097,1040,140,1137,9486,9385,9145,3504,6342,4627,50664,6133,4494,6409,5549,597,4649,4043,444,40282,5854,55234,44624,HOKE COUNTY,9488,6201,669,7194,6905,7186,13404,13304,12717,3581,12000,5910,6810,6809,6559,637,11609,12123,12162,3452,11014
BERTIE COUNTY,499,499,292,498,499,341,341,341,195,341,158,158,158,157,97,2638,3859,1503,3859,3856,3817,1922,1503,1500,1479,716,1503,3859,5296,5356,5362,5372,10949,3748,9682,10032,10214,3971,10403,10791,11026,Bertie,0,0,0,0,10,5362,5356,5296,2638,69,26,18126,69,26,135,69,20,70,26,16,15647,4479,18947,16854,BERTIE COUNTY,5362,1959,395,2147,2102,2147,8744,8733,8620,3556,8375,1827,1995,1995,1954,375,8052,8145,8149,3357,7829
PERSON COUNTY,1741,1742,957,1703,1742,766,766,741,384,766,976,976,975,962,573,6599,6833,7050,6828,6777,6646,3080,7050,7027,6919,3486,7050,6833,13621,13860,13934,13944,23733,7520,21031,22057,22607,7693,22055,23137,23842,Person,56,56,56,33,61,13878,13804,13565,6566,465,294,37405,465,294,488,465,249,302,294,186,31361,7938,39490,34239,PERSON COUNTY,13883,5758,1211,6282,6112,6278,17072,16990,16560,6233,15832,5419,5910,5908,5748,1182,16015,16367,16395,6152,15318
