county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ALEXANDER COUNTY,1610,1610,996,1584,1610,1003,1003,988,626,1003,607,607,607,596,370,4391,6358,2825,6358,6323,6232,3042,2825,2821,2772,1349,2825,6358,9016,9156,9195,9235,17956,6065,16202,16749,17096,6325,17126,17705,18074,Alexander,12,12,12,0,52,9183,9144,9004,4391,392,221,35620,392,221,485,392,162,321,221,74,30040,7667,37497,32781,ALEXANDER COUNTY,9183,2810,418,3063,3009,3060,14526,14504,14304,5745,13924,2619,2863,2863,2804,396,13724,13907,13912,5595,13362
DURHAM COUNTY,41198,41426,14142,39861,41433,17568,17436,16774,5178,17575,23858,23858,23762,23087,8964,45230,81022,82011,81014,78428,75214,20048,82011,81015,78710,24948,82011,81022,154513,160032,163614,163678,245134,44243,208394,221641,234866,45833,219063,232983,249598,Durham,589,589,589,234,645,163025,159443,153924,44996,8602,5620,301307,8577,5607,8647,8503,2390,5678,5557,1596,255829,43764,321488,275950,DURHAM COUNTY,163033,53840,6427,61420,58523,61095,179531,175437,165883,37016,156720,52513,59868,59776,57146,6433,158888,167398,169320,36214,150324
HENDERSON COUNTY,11782,11811,7980,11621,11811,7127,7112,6994,4887,7127,4684,4684,4670,4627,3093,24166,27846,17719,27820,27541,26878,14612,17719,17659,17379,9487,17719,27846,44340,45283,45622,45685,72952,27685,65237,68204,70138,28240,67880,71012,73297,Henderson,83,83,83,67,120,45539,45200,44257,24099,1777,1027,111764,1777,1027,1836,1777,1078,1106,1027,799,95451,30961,117417,103234,HENDERSON COUNTY,45565,13891,4208,15123,14729,15113,56338,56062,54506,22954,52212,13324,14519,14513,14150,4172,53027,54458,54513,22714,50886
PASQUOTANK COUNTY,1635,1636,993,1597,1636,521,520,494,268,521,1115,1115,1115,1103,725,5264,6575,4541,6573,6511,6357,3069,4541,4539,4491,2195,4541,6575,10848,11050,11114,11131,23185,6921,19810,20711,21279,7481,21609,22570,23276,Pasquotank,0,0,0,0,15,11114,11050,10848,5264,36,0,37393,36,0,52,36,24,21,0,0,31068,6841,39824,34029,PASQUOTANK COUNTY,11116,5527,1052,5834,5753,5831,17390,17318,16781,6405,16046,5230,5509,5507,5437,993,15274,15735,15749,5928,14580
PAMLICO COUNTY,672,672,497,667,672,423,423,419,304,423,249,249,249,248,193,2726,2925,1480,2925,2912,2872,1798,1480,1478,1474,928,1480,2925,4346,4390,4405,4453,7338,3312,6747,6915,7042,3395,7053,7246,7409,Pamlico,0,0,0,0,48,4405,4390,4346,2726,180,127,12261,180,127,238,180,92,176,127,74,10805,3866,12726,11540,PAMLICO COUNTY,4405,1227,301,1324,1301,1324,5847,5834,5765,3002,5646,1166,1248,1248,1229,298,5559,5615,5618,2940,5454
MITCHELL COUNTY,773,775,470,768,776,671,669,665,419,672,104,104,104,103,51,1904,3109,819,3109,3100,3060,1503,819,819,800,401,819,3109,3860,3919,3928,3928,7839,2903,6991,7209,7324,3044,7493,7729,7871,Mitchell,,,,,,3928,3919,3860,1904,109,52,14242,109,52,124,109,77,75,52,52,12229,3810,14964,13195,MITCHELL COUNTY,3928,1164,294,1299,1288,1299,6448,6431,6332,2673,6220,1041,1166,1166,1158,249,5999,6079,6083,2602,5898
CURRITUCK COUNTY,827,827,541,823,827,378,378,374,262,378,449,449,449,449,279,2786,3605,1959,3605,3589,3546,1819,1959,1957,1935,967,1959,3605,5559,5624,5642,5681,13701,4401,11638,12031,12276,5008,13078,13496,13762,Currituck,78,78,78,0,117,5564,5546,5481,2786,1051,659,26216,1007,631,1091,903,144,712,548,41,21675,4551,27763,23787,CURRITUCK COUNTY,5564,2096,415,2247,2201,2246,10424,10404,10288,4449,10079,1979,2121,2121,2076,412,9324,9437,9443,3948,9111
BRUNSWICK COUNTY,14424,14427,10905,14364,14427,5971,5969,5945,4718,5971,8456,8456,8455,8419,6187,44464,25047,42655,25044,24974,24752,16792,42653,42560,42178,27560,42655,25047,67186,67790,67953,68008,94959,44901,86799,89376,90766,46074,90704,93517,95125,Brunswick,256,256,256,112,306,67697,67534,66930,44352,3006,2040,137478,2995,2040,3030,2969,1719,2074,2030,1274,121795,46605,142820,129086,BRUNSWICK COUNTY,67702,23614,7050,25943,25175,25928,66152,66025,65347,37305,64121,22748,24934,24931,24233,7252,63103,63703,63758,36375,62021
DAVIDSON COUNTY,7382,7386,4381,7249,7390,3281,3279,3205,2066,3285,4105,4105,4103,4044,2315,21393,22052,23168,22049,21862,21351,11033,23168,23123,22762,10192,23168,22052,44400,45272,45504,45582,88687,26409,77102,80892,82733,27192,82378,86614,88998,Davidson,287,287,287,168,362,45217,44985,44113,21225,2194,1433,158409,2182,1433,2272,2128,1053,1474,1395,760,131285,31089,167609,144432,DAVIDSON COUNTY,45220,25007,4946,27083,26561,27069,59643,59424,57871,21193,55243,23762,25650,25649,25191,4941,54268,55549,55609,20708,51945
FRANKLIN COUNTY,3683,3691,1958,3584,3693,1143,1141,1098,610,1145,2548,2548,2542,2486,1348,9447,8801,13297,8797,8693,8480,3777,13296,13251,12954,5635,13297,8801,21530,22040,22189,22295,40687,11018,35158,37260,38434,11362,37168,39458,40962,Franklin,96,96,96,35,197,22093,21944,21434,9412,1391,858,65799,1373,858,1460,1291,498,910,803,299,54524,11935,69685,59978,FRANKLIN COUNTY,22098,12794,2183,14589,14083,14560,24913,24736,24002,8681,23083,12247,13933,13933,13486,2197,22916,23554,23591,8522,22108
DARE COUNTY,3364,3368,2276,3343,3369,1443,1443,1438,1049,1444,1925,1925,1921,1905,1227,8134,7282,8866,7279,7247,7129,4110,8866,8856,8718,4024,8866,7282,15847,16103,16145,16179,28293,9734,25468,26532,27223,10054,26539,27664,28418,Dare,0,0,0,0,31,16145,16103,15847,8134,316,117,35367,316,117,384,316,122,202,117,0,30088,8201,37009,32745,DARE COUNTY,16148,5338,726,6067,5798,6059,21967,21918,21550,9206,20885,5019,5748,5743,5490,707,20925,21249,21273,9027,20332
NEW HANOVER COUNTY,19130,19181,11167,18818,19183,8041,8019,7942,5180,8042,11141,11140,11111,10876,5987,41977,37027,59573,37011,36719,35915,17275,59573,59176,57721,24530,59573,37027,94076,96335,97024,97080,157983,42632,138616,146127,150971,43737,145035,153110,158685,New Hanover,440,440,440,172,480,96584,95895,93636,41805,3330,2152,223363,3305,2141,3384,3224,1407,2193,2087,995,191812,43147,234473,206724,NEW HANOVER COUNTY,96600,45707,6846,52806,50263,52707,102495,101946,99542,35484,96104,43914,50845,50841,48459,6805,95527,97597,97933,34832,92615
BLADEN COUNTY,945,945,634,934,945,559,559,556,388,559,386,386,386,378,246,4584,5552,2753,5549,5537,5480,3154,2753,2750,2691,1268,2753,5552,9249,9446,9474,9507,24200,6251,19445,20850,21367,6778,21858,23551,24282,Bladen,1172,1159,1078,162,1202,8302,8287,8171,4422,6613,4879,31131,6335,4731,6677,5462,783,4908,4077,473,26077,7459,32722,28574,BLADEN COUNTY,8305,4327,783,4737,4652,4736,12868,12851,12564,5212,12069,4109,4506,4506,4428,736,11691,11945,11953,5042,11259
ANSON COUNTY,806,806,433,799,808,598,598,597,330,600,208,208,208,202,103,2743,4474,1471,4472,4459,4415,2145,1471,1471,1435,598,1471,4474,5860,5940,5953,5976,12443,3856,10944,11384,11647,3999,11728,12205,12511,Anson,10,10,10,0,31,5943,5930,5850,2743,172,102,23143,172,102,228,172,100,145,102,75,19608,4730,24446,21306,ANSON COUNTY,5945,2755,477,3110,3068,3109,9173,9162,8965,3422,8801,2518,2847,2846,2811,429,8471,8652,8655,3352,8324
