Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
46823,ROCKINGHAM COUNTY,6116,6127,3765,6037,6127,2681,2679,2648,1804,2681,3446,3446,3437,3389,1961,14305,11283,15364,11280,11234,11103,6503,15361,15335,15183,7740,15364,11283,26389,26672,26744,26768,49290,16956,44263,46017,46909,17404,46518,48380,49461,Rockingham,103,103,103,62,121,26641,26569,26286,14243,594,375,86406,594,375,633,594,374,406,375,278,72695,18996,91010,79246,ROCKINGHAM COUNTY,26647,14413,3033,15597,15236,15586,33231,33110,32550,13997,31511,13659,14771,14771,14448,2992,31194,31677,31732,13686,30229
45535,CARTERET COUNTY,6577,6618,4398,6503,6618,1808,1776,1760,1270,1808,4810,4810,4801,4743,3128,14185,7998,16553,7997,7955,7873,4766,16551,16514,16277,9062,16553,7998,25300,25681,25760,25780,48806,17306,42861,44719,45594,18078,45835,47884,48937,Carteret,1212,1212,1150,357,1229,24548,24469,24150,13828,7059,5348,66672,6889,5242,7117,6411,1549,5369,4857,1028,57537,17867,69473,62070,CARTERET COUNTY,24551,12150,2649,13576,13191,13570,28244,28177,27804,13880,27274,11729,13075,13071,12719,2719,26758,27116,27150,13559,26275
706816,MECKLENBURG COUNTY,104668,105864,39189,100893,105939,21770,21346,20683,8957,21845,84094,84094,83322,80210,30232,118099,145955,273300,145889,143909,138475,38771,273291,270807,261353,78687,273300,145955,401672,416572,421036,421171,749108,123971,630051,676798,708972,127985,666245,715870,753647,Mecklenburg,1856,1856,1844,641,1916,419180,414716,399828,117458,9745,6075,1037049,9712,6062,9840,9587,3232,6131,5970,2294,852079,127686,1110356,937616,MECKLENBURG COUNTY,419255,231236,25418,270679,256847,269801,473128,469562,449311,99335,425422,222786,261215,260874,247912,25271,422824,439867,441626,96406,401295
8278,SWAIN COUNTY,893,894,588,886,894,413,413,410,294,413,481,481,480,476,294,2101,2094,1237,2094,2084,2054,1211,1237,1237,1209,556,1237,2094,4369,4589,4660,4671,9566,2531,7271,7837,8351,2679,8397,9060,9689,Swain,1329,1268,1106,334,1340,3331,3321,3263,1767,4088,3089,13403,3685,2743,4199,3225,525,3156,2360,430,11137,2803,14271,12138,SWAIN COUNTY,3331,1243,260,1344,1330,1342,4146,4136,4045,1894,3929,1112,1205,1203,1191,242,3903,3986,3990,1859,3799
9602,AVERY COUNTY,1419,1422,911,1408,1422,831,829,821,544,831,591,591,590,587,367,2873,3871,1886,3869,3854,3817,1879,1886,1886,1862,994,1886,3871,5679,5740,5755,5757,10188,3667,9256,9491,9652,3872,9829,10057,10268,Avery,,,,,,5755,5740,5679,2873,135,72,16905,135,72,193,135,97,106,72,51,14969,4020,17557,15935,AVERY COUNTY,5757,1525,331,1666,1655,1666,8409,8387,8267,3444,8169,1421,1550,1550,1545,318,7874,7980,7996,3298,7763
26209,VANCE COUNTY,3328,3361,1880,3241,3362,2238,2206,2134,1276,2239,1123,1123,1122,1107,604,6304,7893,5709,7892,7792,7549,3670,5709,5696,5590,2608,5709,7893,13187,13536,13649,13663,28529,8164,23888,25484,26281,8385,25702,27548,28707,Vance,48,48,48,26,61,13601,13488,13139,6278,457,316,41780,457,316,497,457,244,344,316,204,34092,8487,44535,37671,VANCE COUNTY,13602,7175,1264,7878,7733,7871,20332,20201,19358,6877,18070,6829,7477,7474,7362,1280,17806,18419,18460,6680,16743
27023,HALIFAX COUNTY,3628,3647,2276,3578,3647,3084,3065,3028,1980,3084,563,563,563,550,296,7073,11270,2983,11268,11244,11104,5815,2983,2980,2923,1247,2983,11270,14049,14246,14273,14312,28932,9638,25470,26578,27108,9956,27048,28353,29050,Halifax,22,22,22,11,59,14251,14224,14027,7062,554,360,47245,554,360,592,554,299,402,360,218,39391,10690,50010,43237,HALIFAX COUNTY,14253,5016,1000,5533,5444,5533,22925,22845,22355,8657,21478,4667,5140,5140,5067,950,21151,21523,21566,8470,20443
54660,NASH COUNTY,6312,6330,3609,6188,6331,2844,2831,2788,1641,2845,3486,3486,3481,3400,1968,13998,15989,14208,15986,15929,15723,7695,14207,14144,13781,6229,14208,15989,29649,30218,30338,30381,57846,16547,50716,53463,54773,17058,53433,56395,58038,Nash,145,145,145,74,184,30193,30073,29504,13924,949,617,89023,949,617,1018,938,498,692,617,376,73765,17956,94298,81106,NASH COUNTY,30197,17751,3406,20404,19666,20385,36616,36512,35780,13154,34744,17100,19543,19541,18919,3382,33927,34502,34538,12789,32999
28423,RUTHERFORD COUNTY,4133,4150,2627,4085,4151,2968,2955,2923,1935,2969,1182,1182,1178,1162,692,8111,10800,4550,10796,10752,10621,5848,4550,4545,4478,2251,4550,10800,15111,15309,15358,15390,30305,10866,27006,28026,28504,11345,28733,29836,30428,Rutherford,12,12,12,12,40,15346,15297,15099,8099,683,538,63605,683,538,759,683,491,591,538,432,53422,14855,67029,58398,RUTHERFORD COUNTY,15350,5579,1513,6060,5956,6055,23609,23567,23197,9341,22471,5417,5858,5853,5769,1489,21719,22032,22055,8945,21051
15293,ASHE COUNTY,2380,2398,1391,2341,2398,1507,1489,1460,914,1507,891,891,891,881,477,4873,5760,3715,5760,5702,5600,2909,3715,3714,3667,1964,3715,5760,9267,9416,9475,9485,16273,5967,14458,14981,15402,6300,15353,15920,16418,Ashe,0,0,0,0,10,9475,9416,9267,4873,158,80,26129,158,80,236,158,112,151,80,69,22479,7249,27203,24214,ASHE COUNTY,9475,3238,869,3471,3447,3469,12711,12646,12315,5319,11957,3105,3321,3321,3303,896,11598,11892,11930,5002,11273
