Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
16034,15895,23358,21854,236,16632,7984,40760,Davie,162,341,16618,6733,1594,16325,7062,6228,6406,42846,236,24479,23112,1623,349,7498,9279,7357,7498,6356,15601,22675,33901,341,8161,251,37262,6981,16045,236,15212,341,7062,24023,182
72239,71581,199435,187533,74996,77735,36461,310252,Cumberland,6052,93035,77621,47107,5930,76263,49873,24479,44216,335509,77229,224761,198102,6058,93276,53750,40937,52522,53747,25130,72615,210119,252655,93230,38245,77269,277878,49292,72292,77229,68321,90397,49874,221820,7057
19677,19544,22836,21758,337,20689,7907,43474,McDowell,218,496,20676,3047,524,20427,2805,7165,2686,45756,337,24397,22682,603,507,3201,9517,3184,3201,7309,19526,23069,36617,496,8175,349,39943,2801,19682,337,18735,496,2805,24107,263
9756,9723,12682,12308,423,10240,6201,27420,Cherokee,178,544,10235,2719,759,10167,2438,5264,2424,28612,423,13581,12584,817,604,2737,8723,2737,2737,5387,9872,13135,23877,544,6416,479,25640,2438,9765,423,9461,544,2438,13448,212
5756,5748,7368,7055,,6508,3000,13243,Chowan,,,6503,1579,416,6467,1611,2584,1510,13943,,8189,7358,390,,1681,3521,1680,1681,2888,6240,7819,11164,,3278,,12171,1610,5757,,5545,,1611,8147,
84668,80898,109728,97282,818,89015,22441,142010,Orange,343,1136,88930,21934,2991,83401,24159,19107,21786,148476,818,114689,105478,2922,1185,24489,21654,23975,24487,19795,76962,100032,119925,1136,23108,857,130842,23762,84712,818,74678,1136,24159,108512,391
12968,12912,15590,14971,71,13537,5476,35620,Alexander,59,89,13528,2527,311,13435,2509,5106,2325,37497,71,16405,15472,326,133,2735,7667,2710,2735,5233,13068,15684,30040,89,5624,109,32781,2489,12972,71,12575,89,2509,16234,65
157421,154043,216011,199094,4547,167595,41420,301307,Durham,1428,6048,167506,49873,5653,161395,53966,34339,48372,321488,4547,229669,211333,5726,6089,55985,43764,54409,55979,35620,153056,208977,255829,6048,42979,4570,275950,52743,157475,4547,146175,6048,53966,221852,1633
51726,51131,66145,62598,959,53596,26368,111764,Henderson,765,1429,53578,13088,3796,52548,13427,21807,12480,117417,959,69166,65357,3826,1436,14134,30961,13893,14134,21998,50374,64891,95451,1429,26697,979,103234,13267,51738,959,49159,1429,13428,67870,873
14717,14668,19580,18709,0,16566,6445,37393,Pasquotank,0,12,16537,4996,877,16329,4836,5568,4641,39824,0,21836,19499,945,30,5240,6841,5212,5240,6092,15682,20690,31068,12,7049,14,34029,4831,14730,0,14068,12,4836,21553,12
