Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37262,50760,47975,647,41703,15322,122048,Robeson,360,886,12775,1903,41685,13059,11623,130625,647,56733,50729,2038,896,14134,20565,14133,13527,39542,53203,98425,15980,664,109195,12820,37275,35705,886,12821,56704,415
4857,5843,5676,0,5294,2809,12861,Perquimans,0,0,1030,205,5291,2604,924,13463,0,6386,5830,219,15,1077,3671,1077,2778,5136,6166,10957,2997,11,11854,973,4859,4752,0,973,6368,0
69308,103176,96070,1109,74676,24433,196283,Johnston,502,1371,31147,3553,74639,20378,29043,209339,1109,111740,103133,3682,1383,35681,28558,35680,20985,69606,102124,156585,25217,1120,175612,32716,69336,65918,1371,32720,111690,550
39018,58899,56157,550,41405,19541,135556,Randolph,425,744,19031,3711,41369,15405,17918,143667,550,62857,58862,3647,744,20708,26060,20707,15726,39530,59305,111702,19867,565,123257,19294,39038,37689,744,19296,62820,494
2931,3080,2957,,3129,1018,4753,Hyde,,,156,44,3126,974,141,4937,,3296,3080,52,,167,1114,167,989,2953,3109,4098,1041,,4410,149,2931,2816,,149,3293,
4875,6112,5941,0,5247,2548,10626,Alleghany,0,0,1248,318,5238,2230,1168,11137,0,6578,6079,334,34,1297,3116,1297,2311,5075,6323,9249,2645,26,9915,1204,4882,4773,0,1204,6535,0
16134,23646,22390,216,17890,7470,55126,Duplin,161,267,6994,1441,17875,5868,6585,58741,216,25967,23624,1426,284,7793,11405,7793,6046,16988,24249,44760,7653,228,49644,7274,16144,15589,267,7274,25935,181
3812,4299,4179,,4082,1718,11027,Gates,,0,471,120,4077,1598,449,11562,,4606,4298,119,12,512,2418,512,1702,3970,4441,9230,1821,,10120,486,3813,3730,0,486,4589,0
25559,33980,32660,867,26655,13575,59266,Haywood,508,1301,7727,1785,26646,11282,7074,62317,867,36175,33921,1916,1334,8186,15572,8186,11370,25343,34371,50968,13895,914,54941,7495,25571,24719,1301,7495,36133,609
19290,25930,24890,358,20544,9376,59178,Stanly,284,465,6400,1247,20539,7845,5948,62806,358,27773,25896,1278,477,6752,12123,6752,8133,19611,26476,49282,9739,390,54008,6248,19292,18584,465,6248,27756,328
55675,182233,170965,38257,68006,34323,,Missing,9194,25634,81703,7705,67932,17424,80230,,38280,185752,181119,7063,26880,90866,,90848,21220,62051,169336,,36347,39168,,87164,55898,52478,25582,87167,184414,8064
28046,39674,37654,330,29644,12543,76972,Wilson,221,496,11010,1717,29635,10605,10155,81801,330,42535,39637,1746,500,12391,15337,12388,10866,28399,39905,63224,12873,354,69710,11261,28057,27169,496,11263,42519,261
1726,1866,1778,,1811,655,3827,Tyrrell,,,159,36,1809,619,135,4016,,1977,1865,36,,166,810,166,632,1718,1877,3288,668,,3533,139,1727,1643,,139,1975,
34327,59062,56357,7969,36936,15982,115046,Wayne,1081,10562,16077,2909,36901,11992,14963,123131,8129,65607,59008,3015,10582,18089,20802,18089,12351,35666,61994,94031,16943,8159,103693,16552,34349,33425,10251,16554,65552,1577
8570,11293,10917,122,9078,4327,25757,Montgomery,94,150,2609,467,9076,3766,2427,27173,122,12050,11271,497,184,2788,5743,2788,3857,8832,11591,21266,4459,144,23512,2579,8570,8368,150,2579,12014,105
19558,28599,27364,273,20875,10033,52801,Lenoir,194,405,8536,1579,20871,8260,7881,55949,273,30835,28568,1629,420,9540,11303,9540,8451,20389,29330,43423,10313,301,47933,8737,19561,19210,405,8737,30816,233
11654,16091,15442,158,12395,5713,32530,Scotland,99,203,4202,795,12392,4819,3821,34823,158,17337,16055,869,239,4703,6531,4703,4944,12123,16528,26793,5936,194,29381,4243,11654,11463,203,4243,17298,123
68920,93217,87921,1035,73072,25903,159560,Alamance,654,1389,23109,3990,73050,21259,21554,169509,1035,99749,93191,4309,1415,25262,29035,25261,21813,67815,92313,132145,26851,1043,145046,23236,68938,65332,1389,23236,99700,729
3313,5147,4950,1067,3680,1357,10327,Camden,0,842,754,109,3671,1248,720,10867,1067,5351,5133,123,877,794,1833,794,1355,3471,5067,8407,1478,1079,9354,753,3315,3163,842,753,5307,0
7976,10475,10066,66,8446,2885,20022,Greene,53,84,2297,354,8443,2478,2129,21069,66,11180,10460,372,101,2633,3592,2633,2522,8265,10646,16884,2954,80,18372,2418,7977,7871,84,2418,11160,60
37279,58647,56001,2878,39377,19176,133830,Rowan,1479,3441,18977,3200,39360,14497,17436,142088,2878,63152,58604,3335,3472,20303,25371,20303,14853,37385,59803,110729,19812,2908,122048,18447,37291,35687,3441,18448,63104,1624
7199,8554,8270,70,7749,3869,18570,Northampton,57,107,1251,289,7746,3523,1159,19483,70,9253,8538,318,123,1381,5256,1381,3617,7501,8859,16132,4002,83,17363,1269,7202,7041,107,1269,9234,67
20847,30381,29132,184,22781,10698,64946,Wilkes,160,233,9443,1898,22769,8640,8829,68412,184,33019,30350,2021,259,9979,15162,9979,8885,21686,31362,54628,11086,206,59783,9319,20856,20119,233,9319,32981,180
25383,40227,38395,239,26577,12968,81663,Lincoln,199,363,14257,2096,26570,10673,13233,86111,239,42981,40192,2137,382,16022,15456,16022,10865,25820,40440,67981,13236,269,74647,14570,25388,24923,363,14570,42955,234
