Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56605,ROBESON COUNTY,4140,4185,2342,4055,4187,2532,2492,2434,1418,2534,1653,1653,1648,1621,924,12066,16828,8388,16828,16704,16426,8309,8388,8377,8201,3659,8388,16828,24844,25298,25433,25490,62453,16621,52500,55462,56733,17450,57765,61079,62633,Robeson,217,217,217,98,274,25216,25081,24627,11968,1497,1005,122048,1497,1005,1543,1497,605,1070,1005,407,98425,20565,130625,109195,ROBESON COUNTY,25216,14825,2432,16400,16147,16398,44690,44558,43435,14413,41443,13774,15207,15206,15010,2294,39447,40394,40456,13920,37721
6198,PERQUIMANS COUNTY,1174,1177,829,1148,1177,682,679,657,477,682,495,495,495,491,352,2379,2609,1099,2609,2604,2576,1704,1099,1098,1089,675,1099,2609,3665,3702,3708,3708,6695,3006,5945,6119,6214,3205,6405,6597,6731,Perquimans,,,,,,3708,3702,3665,2379,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3708,1148,258,1209,1197,1208,5502,5487,5400,2947,5257,1045,1102,1102,1094,237,5025,5096,5100,2769,4900
115661,JOHNSTON COUNTY,17830,18075,8119,17211,18082,7985,7813,7532,4252,7992,10090,10090,10017,9679,3867,22330,26645,34124,26633,26275,25436,11010,34122,33914,32919,11180,34124,26645,58855,60689,61255,61333,123276,26575,104505,111983,115945,27640,110901,119094,123981,Johnston,500,500,500,140,564,60755,60189,58355,22190,3700,2490,196283,3646,2466,3719,3454,1052,2506,2334,711,156585,28558,209339,175612,JOHNSTON COUNTY,60769,35205,4367,40791,39183,40738,79471,78838,76265,22221,72242,33443,38756,38735,37229,4238,72288,74436,74683,21626,68728
64051,RANDOLPH COUNTY,8611,8677,4973,8447,8680,3869,3825,3744,2504,3872,4808,4808,4786,4703,2469,15873,14742,18268,14736,14648,14407,7520,18268,18239,17990,8271,18268,14742,32520,33010,33127,33143,67602,20928,59972,62793,64220,21417,63108,66162,67823,Randolph,123,123,123,82,133,33004,32887,32397,15791,893,575,135556,893,575,959,893,560,670,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33010,21570,4341,23607,23078,23601,43257,43108,42191,16516,40645,20639,22550,22546,22069,4361,40149,40930,41000,16123,38758
3371,HYDE COUNTY,605,608,317,591,609,575,572,559,300,576,33,33,33,32,17,792,1854,87,1854,1845,1793,760,87,85,82,32,87,1854,1875,1930,1941,1941,3473,1077,3144,3288,3373,1097,3243,3389,3495,Hyde,,,,,,1941,1930,1875,792,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1941,165,52,179,177,179,3304,3294,3212,1045,3078,154,168,168,165,44,3123,3203,3205,1033,2990
6549,ALLEGHANY COUNTY,1462,1477,981,1454,1479,690,675,668,485,692,787,787,787,786,496,2191,2197,1868,2196,2182,2150,1118,1868,1866,1864,1073,1868,2197,4014,4048,4064,4065,6959,2773,6288,6463,6599,2859,6663,6844,7015,Alleghany,,,,,,4064,4048,4014,2191,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4065,1381,391,1423,1417,1423,5523,5501,5392,2443,5247,1282,1320,1320,1314,378,5149,5229,5241,2395,5006
27578,DUPLIN COUNTY,2928,2942,1817,2885,2942,1558,1546,1523,958,1558,1384,1384,1382,1362,859,6087,6235,5940,6231,6180,6076,3061,5940,5923,5834,2933,5940,6235,12247,12451,12519,12565,30058,8297,25416,26948,27642,8609,27558,29312,30155,Duplin,348,348,337,93,390,12171,12103,11910,5994,2199,1652,55126,2163,1634,2248,1941,474,1693,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12175,7966,1693,8820,8695,8817,19087,19042,18454,6442,17651,7676,8467,8466,8348,1709,16966,17460,17482,6257,16288
4624,GATES COUNTY,786,792,507,772,793,677,671,659,446,678,115,115,115,113,61,1296,2002,350,2001,1991,1973,1161,350,350,339,135,350,2002,2312,2341,2351,2363,4928,1884,4412,4557,4653,1976,4695,4858,5000,Gates,0,0,0,0,11,2351,2341,2312,1296,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2352,541,137,590,583,590,4261,4248,4185,1828,4064,513,550,550,546,140,3968,4031,4033,1744,3856
36104,HAYWOOD COUNTY,9414,9504,5880,9250,9509,6071,5982,5845,3778,6076,3433,3433,3432,3405,2102,12024,12956,9872,12955,12803,12492,6650,9872,9862,9728,5360,9872,12956,22322,22767,22929,22977,38072,14339,33985,35292,36272,14805,35848,37221,38314,Haywood,102,102,102,14,149,22827,22665,22220,12010,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22828,8284,2188,8746,8686,8738,27955,27801,27002,11916,26031,7658,8109,8106,8053,2055,26308,27067,27132,11773,25396
27995,STANLY COUNTY,3479,3504,1977,3431,3505,1368,1351,1330,792,1369,2136,2136,2128,2101,1185,8161,8423,7320,8423,8368,8201,4388,7320,7313,7236,3699,7320,8423,15534,15778,15840,15850,29634,9921,26481,27535,28074,10291,27965,29103,29760,Stanly,97,97,97,74,107,15743,15681,15437,8087,707,557,59178,707,557,760,707,357,614,557,298,49282,12123,62806,54008,STANLY COUNTY,15743,7204,1485,7668,7537,7667,21332,21260,20859,8449,20054,6812,7230,7230,7124,1461,19854,20208,20230,8162,19112
