Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56559,ROBESON COUNTY,3512,3538,2041,3452,3540,2138,2114,2072,1242,2140,1400,1400,1398,1380,799,12020,16829,8384,16829,16704,16423,8285,8384,8373,8194,3637,8384,16829,24834,25294,25430,25487,62416,16552,52411,55402,56685,17374,57670,61022,62598,Robeson,217,217,217,98,274,25213,25077,24617,11922,1497,1005,122048,1497,1005,1543,1497,605,1070,1005,407,98425,20565,130625,109195,ROBESON COUNTY,25213,14771,2403,16382,16120,16380,44673,44539,43405,14366,41402,13725,15183,15182,14982,2267,39415,40372,40432,13878,37681
6194,PERQUIMANS COUNTY,989,989,703,975,989,550,550,539,386,550,439,439,439,436,317,2364,2608,1097,2608,2603,2575,1693,1097,1096,1087,671,1097,2608,3662,3699,3705,3705,6691,2988,5941,6114,6210,3187,6401,6592,6726,Perquimans,,,,,,3705,3699,3662,2364,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3705,1148,258,1209,1197,1208,5497,5483,5395,2929,5253,1044,1102,1102,1094,237,5020,5092,5096,2751,4897
115462,JOHNSTON COUNTY,15452,15618,7241,14951,15622,6898,6788,6560,3785,6902,8720,8720,8664,8391,3456,22217,26627,34120,26615,26251,25409,10962,34118,33905,32892,11115,34120,26627,58801,60656,61233,61311,123111,26405,104226,111747,115735,27462,110637,118872,123782,Johnston,500,500,500,140,564,60733,60156,58301,22077,3700,2489,196283,3646,2465,3719,3454,1052,2505,2333,711,156585,28558,209339,175612,JOHNSTON COUNTY,60747,35098,4315,40754,39102,40697,79309,78714,76124,22095,72085,33342,38721,38699,37155,4191,72127,74274,74509,21503,68551
63991,RANDOLPH COUNTY,7432,7477,4339,7301,7480,3266,3239,3178,2153,3269,4211,4211,4193,4123,2186,15808,14754,18263,14748,14659,14415,7493,18263,18233,17981,8233,18263,14754,32519,33015,33134,33150,67522,20796,59873,62713,64157,21276,62989,66056,67741,Randolph,123,123,123,82,133,33011,32892,32396,15726,893,575,135556,893,575,959,893,560,669,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33017,21514,4292,23573,23035,23567,43209,43062,42128,16424,40582,20584,22522,22518,22031,4315,40107,40898,40966,16037,38714
3368,HYDE COUNTY,542,545,286,529,546,521,518,506,273,522,24,24,24,23,13,786,1855,87,1855,1846,1794,754,87,85,82,32,87,1855,1876,1931,1942,1942,3470,1069,3141,3282,3370,1089,3240,3383,3491,Hyde,,,,,,1942,1931,1876,786,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1942,164,52,178,176,178,3301,3292,3207,1037,3076,153,167,167,164,44,3118,3201,3203,1025,2988
6541,ALLEGHANY COUNTY,1269,1282,848,1262,1283,575,562,556,400,576,707,707,707,706,448,2174,2197,1868,2196,2182,2150,1112,1868,1866,1863,1062,1868,2197,4013,4048,4064,4065,6949,2751,6281,6452,6592,2835,6654,6832,7006,Alleghany,,,,,,4064,4048,4013,2174,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4065,1377,385,1421,1415,1421,5516,5493,5382,2425,5242,1279,1319,1319,1313,372,5139,5222,5235,2379,5002
27553,DUPLIN COUNTY,2470,2478,1544,2440,2478,1304,1296,1282,807,1304,1174,1174,1174,1158,737,6058,6236,5935,6232,6180,6074,3046,5935,5918,5828,2919,5935,6236,12239,12446,12515,12561,30031,8248,25372,26917,27618,8557,27507,29273,30129,Duplin,348,348,337,93,390,12167,12098,11902,5965,2198,1652,55126,2162,1634,2247,1940,473,1693,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12171,7941,1669,8807,8679,8804,19075,19029,18432,6415,17626,7655,8457,8456,8337,1688,16946,17445,17468,6229,16265
4618,GATES COUNTY,608,612,390,596,613,511,507,496,335,512,101,101,101,100,55,1287,2002,349,2001,1991,1973,1156,349,349,336,131,349,2002,2309,2340,2350,2362,4922,1871,4406,4554,4647,1963,4689,4854,4991,Gates,0,0,0,0,11,2350,2340,2309,1287,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2351,540,135,590,583,590,4252,4242,4181,1817,4059,511,549,549,545,138,3966,4026,4028,1733,3852
36126,HAYWOOD COUNTY,8490,8560,5352,8349,8562,5418,5349,5234,3407,5420,3142,3142,3141,3115,1945,12002,12991,9870,12990,12835,12521,6655,9870,9859,9723,5333,9870,12991,22346,22796,22962,23010,38084,14309,33992,35306,36296,14778,35852,37227,38323,Haywood,102,102,102,14,149,22860,22694,22244,11988,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22861,8271,2170,8738,8676,8730,27972,27821,27018,11907,26048,7648,8105,8102,8047,2038,26328,27093,27160,11760,25413
28052,STANLY COUNTY,3083,3104,1760,3038,3104,1209,1196,1174,696,1209,1895,1895,1887,1864,1064,8147,8467,7323,8467,8411,8242,4390,7323,7316,7239,3683,7323,8467,15578,15824,15887,15897,29690,9910,26520,27585,28130,10281,28002,29154,29813,Stanly,97,97,97,74,107,15790,15727,15481,8073,706,556,59178,706,556,759,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15790,7192,1470,7659,7528,7658,21395,21326,20920,8454,20104,6801,7223,7223,7116,1445,19913,20273,20294,8167,19163
