"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
6990.0,12,699.0,27302,2258
8027.0,68,803.0,27534,2554
10148.0,6,1015.0,27917,110
4384.0,0,438.0,27559,126
7384.0,5,738.0,27248,357
7055.0,5,705.0,27048,628
11340.0,10,1134.0,27807,787
4882.0,3,488.0,28783,93
7489.0,16,749.0,27603,4155
7609.0,66,761.0,28211,2378
7875.0,6,788.0,28356,387
9755.0,15,975.0,28590,2590
7933.0,1,793.0,28351,418
5399.0,21,540.0,28804,1258
8658.0,8,866.0,28479,422
2353.0,0,235.0,28577,14
7607.0,10,761.0,28104,2470
8322.0,7,832.0,27938,119
6924.0,1,692.0,28323,317
3209.0,0,321.0,28708,43
8930.0,3,893.0,27837,581
9193.0,20,919.0,27317,1641
9350.0,4,935.0,28071,299
6543.0,4,654.0,28746,169
8839.0,62,884.0,27215,3968
8848.0,13,885.0,28573,219
9307.0,37,931.0,28081,2629
7817.0,19,782.0,27801,1685
0.0,0,0.0,28350,0
6262.0,1,626.0,27976,223
8306.0,27,831.0,28115,3450
4841.0,0,484.0,28644,76
12955.0,17,1295.0,27229,520
0.0,0,0.0,28101,0
5549.0,3,555.0,28701,268
9475.0,30,947.0,28466,983
0.0,0,0.0,28646,0
11237.0,13,1124.0,28384,1395
8652.0,3,865.0,28163,503
7140.0,1,714.0,27959,175
9798.0,42,980.0,28152,2555
8331.0,10,833.0,28040,689
5809.0,4,581.0,28643,200
0.0,0,0.0,27556,0
6694.0,32,669.0,27101,1628
10002.0,41,1000.0,27253,3147
10000.0,8,1000.0,28107,821
7320.0,16,732.0,28467,834
9134.0,49,913.0,27573,1056
7920.0,23,792.0,27803,1769
5195.0,1,520.0,28692,234
8819.0,31,882.0,28580,1061
7423.0,35,742.0,28546,3857
8602.0,3,860.0,28167,208
0.0,0,0.0,28039,0
10119.0,1,1012.0,27866,68
9127.0,2,913.0,28098,366
4618.0,1,462.0,28679,98
9272.0,18,927.0,28166,915
7210.0,2,721.0,27283,215
3475.0,1,347.0,28571,109
9817.0,22,982.0,28016,1426
9343.0,22,934.0,27892,1342
,0,,27982,0
5267.0,1,527.0,27937,224
8486.0,20,849.0,28117,4040
10701.0,1,1070.0,28202,1793
8820.0,33,882.0,28170,1102
18193.0,5,1819.0,28637,288
11135.0,6,1114.0,28204,973
,0,,28608,0
7941.0,2,794.0,28515,275
10063.0,34,1006.0,28021,1352
8217.0,0,822.0,28623,141
6371.0,2,637.0,27617,1243
8455.0,0,846.0,27888,237
9084.0,36,908.0,28612,1354
6865.0,3,687.0,28665,205
10742.0,1,1074.0,28032,349
7454.0,29,745.0,28306,3173
8397.0,14,840.0,28075,1610
7425.0,29,743.0,28791,1174
6100.0,25,610.0,28270,2120
4671.0,3,467.0,27551,103
5637.0,3,564.0,28421,115
10340.0,74,1034.0,28602,3228
7762.0,44,776.0,27587,5751
5821.0,18,582.0,28904,555
0.0,0,0.0,28524,0
6751.0,3,675.0,27310,578
11005.0,4,1101.0,28033,370
7351.0,31,735.0,28314,3943
8291.0,59,829.0,28301,1469
9052.0,5,905.0,28675,616
10353.0,85,1035.0,27030,3897
8910.0,8,891.0,27521,637
5572.0,2,557.0,27805,210
10481.0,46,1048.0,27536,1725
10046.0,32,1005.0,27896,2131
4006.0,1,401.0,27939,135
0.0,0,0.0,27340,0
8985.0,14,898.0,28690,847
4918.0,27,492.0,28711,750
4576.0,24,458.0,27514,1503
8414.0,7,841.0,27027,338
8615.0,5,861.0,27851,482
6431.0,23,643.0,28787,1330
8369.0,2,837.0,27525,1300
9519.0,12,952.0,27822,868
9723.0,37,972.0,28659,2043
5199.0,1,520.0,28709,120
9947.0,0,995.0,28006,113
7196.0,3,720.0,28357,232
5390.0,0,539.0,27824,83
5338.0,3,534.0,27243,249
9735.0,75,973.0,28139,1960
7533.0,51,753.0,28387,1291
12086.0,2,1209.0,28452,62
13406.0,17,1341.0,28777,1393
5691.0,2,569.0,28763,163
6845.0,4,685.0,28742,194
6906.0,4,691.0,27957,98
5744.0,2,574.0,28756,274
4023.0,0,402.0,28553,21
6379.0,1,638.0,28693,108
782.0,0,78.0,28223,23
6336.0,20,634.0,28754,559
9558.0,18,956.0,27858,5560
,0,,28533,0
0.0,0,0.0,27827,0
6703.0,0,670.0,27946,73
7395.0,3,740.0,28594,272
6603.0,3,660.0,28624,125
7090.0,15,709.0,27701,1878
5449.0,1,545.0,27942,51
6589.0,10,659.0,28457,846
6144.0,19,614.0,28451,2408
6654.0,10,665.0,28557,1015
6216.0,0,622.0,28736,46
6819.0,2,682.0,28454,242
8495.0,6,850.0,28135,507
15634.0,0,1563.0,27268,265
9238.0,71,924.0,28025,5111
8123.0,0,812.0,27916,45
0.0,0,0.0,28775,0
0.0,0,0.0,27956,0
5944.0,2,594.0,27826,74
11752.0,0,1175.0,27508,275
7157.0,10,716.0,28382,573
8299.0,5,830.0,28762,631
5258.0,1,526.0,28615,99
0.0,0,0.0,28552,0
7613.0,0,761.0,28723,889
0.0,0,0.0,27841,0
14557.0,10,1456.0,28719,1011
7946.0,11,795.0,28209,2067
7550.0,37,755.0,27260,1940
10088.0,62,1009.0,28645,4804
,0,,28583,0
4457.0,18,446.0,28805,909
7213.0,0,721.0,28698,133
5009.0,1,501.0,27314,57
6945.0,45,695.0,28374,1262
7178.0,44,718.0,28401,1738
10645.0,10,1065.0,27371,828
7930.0,5,793.0,28207,774
0.0,0,0.0,28519,0
6325.0,19,633.0,27313,461
9600.0,25,960.0,28345,1215
10456.0,0,1046.0,27960,94
9171.0,30,917.0,27344,1769
10624.0,79,1062.0,28001,3013
3008.0,0,301.0,28579,24
12226.0,1,1223.0,28088,374
5041.0,0,504.0,27948,631
8517.0,0,852.0,27571,629
7895.0,4,789.0,28654,300
0.0,0,0.0,28725,0
10277.0,4,1028.0,28464,256
10857.0,30,1086.0,28214,4474
10168.0,41,1017.0,28504,2137
9350.0,2,935.0,28676,322
7112.0,24,711.0,28405,2398
9401.0,1,940.0,27305,149
6915.0,4,692.0,27592,1201
8127.0,31,813.0,28312,1497
8845.0,14,884.0,28731,820
11099.0,1,1110.0,27843,105
7274.0,0,727.0,28766,111
8205.0,2,820.0,27016,138
10084.0,0,1008.0,28480,276
13642.0,7,1364.0,28127,1041
9180.0,17,918.0,28425,1159
8361.0,4,836.0,27831,300
9055.0,4,906.0,28341,460
10459.0,46,1046.0,28092,4189
4699.0,8,470.0,28422,408
9562.0,1,956.0,27829,179
5056.0,7,506.0,28532,1308
7959.0,8,796.0,27258,616
3699.0,1,370.0,28626,111
7333.0,5,733.0,27349,429
13018.0,6,1302.0,28586,1097
9785.0,14,979.0,28349,387
5609.0,4,561.0,27921,301
10546.0,17,1055.0,27605,554
9893.0,4,989.0,27054,258
9486.0,45,949.0,28227,5437
22365.0,0,2236.0,27553,454
10019.0,14,1002.0,28650,1340
8977.0,12,898.0,28458,630
10970.0,25,1097.0,28377,1430
8527.0,20,853.0,28337,1017
8373.0,17,837.0,28315,1116
8217.0,12,822.0,28445,669
7681.0,5,768.0,28338,369
8518.0,7,852.0,28609,550
,0,,28749,0
11250.0,0,1125.0,27880,369
6620.0,2,662.0,27954,424
5789.0,9,579.0,28782,377
6683.0,5,668.0,27563,355
8396.0,11,840.0,28278,2732
5774.0,5,577.0,28512,213
7215.0,3,721.0,28526,172
7657.0,48,766.0,27106,3934
6807.0,3,681.0,28604,439
6564.0,12,656.0,28771,539
