Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38371,37962,49321,42812,ROBESON COUNTY,16154,361,42794,13481,42079,13188,11,12341,653,16083,27,98425,27,16154,109195,36327,902,13646,57830,419,27,8339,52702,653,15533,122048,ROBESON,902,1984,13645,130625,27,58726,52193,2113,912,15002,20565,14849,15001,13659,40158,54541,902,16154,16191,672,13578,38384,653
4946,4911,5777,5373,PERQUIMANS COUNTY,2841,0,5370,1068,5312,2642,,972,0,2837,,10957,,2841,11854,4805,0,1024,6426,0,,1882,5984,0,2854,12861,PERQUIMANS,0,212,1024,13463,,6513,5934,227,19,1121,3671,1114,1121,2816,5181,6249,0,2841,3043,12,1023,4948,0
71409,70218,98176,76529,JOHNSTON COUNTY,41536,505,76489,32455,74582,20519,0,30371,1115,41031,0,156585,0,41540,175612,66690,1392,35089,112401,553,0,15894,107655,1115,24712,196283,JOHNSTON,1392,3688,35085,209339,0,115659,105447,3813,1404,37726,28558,36427,37725,21137,70462,104309,1392,41536,25503,1126,34114,71440,1115
39649,39200,57258,41897,RANDOLPH COUNTY,23777,426,41862,20042,41198,15396,,18880,553,23644,,111702,,23777,123257,37825,754,20586,63551,497,,11647,60823,553,19663,135556,RANDOLPH,754,3841,20584,143667,,64667,60069,3772,754,22016,26060,21599,22015,15730,39664,60460,754,23777,19999,568,20316,39669,553
3056,2986,3010,3213,HYDE COUNTY,1372,,3210,161,3124,985,,144,,1344,,4098,,1372,4410,2866,,157,3294,,,626,3213,,1029,4753,HYDE,,44,157,4937,,3386,3139,52,,173,1114,170,173,998,2996,3157,,1372,1050,,153,3056,
4984,4933,6027,5351,ALLEGHANY COUNTY,2828,0,5342,1299,5252,2241,,1207,0,2817,,9249,,2829,9915,4820,0,1251,6598,0,,1615,6268,0,2567,10626,ALLEGHANY,0,326,1251,11137,,6737,6177,349,34,1352,3116,1346,1352,2323,5135,6434,0,2828,2672,26,1244,4991,0
16702,16397,23019,18509,DUPLIN COUNTY,8437,161,18492,7390,18016,5921,,6978,216,8410,,44760,,8438,49644,15825,269,7752,26461,183,,4336,24695,216,7573,55126,DUPLIN,269,1491,7752,58741,,27082,24310,1487,289,8284,11405,8176,8284,6091,17286,24945,269,8437,7761,228,7697,16715,216
3867,3854,4232,4157,GATES COUNTY,1686,,4149,493,4113,1622,,468,,1683,,9230,,1686,10120,3764,0,507,4654,0,,981,4375,,1743,11027,GATES,0,121,507,11562,,4717,4360,121,15,545,2418,541,545,1722,4000,4493,0,1686,1843,,506,3868,
26167,25646,32936,27101,HAYWOOD COUNTY,17319,508,27091,7922,26438,11246,0,7276,874,17185,37,50968,37,17319,54941,24786,1316,7740,36120,612,37,9114,34841,874,13588,59266,HAYWOOD,1316,1834,7740,62317,37,36859,34226,1967,1349,8409,15572,8366,8409,11402,25521,34759,1316,17319,13981,921,7706,26180,874
19784,19601,25486,20972,STANLY COUNTY,11042,284,20966,6697,20692,7912,0,6268,358,10986,0,49282,0,11042,54008,18860,468,6630,28192,329,0,5835,26808,358,9491,59178,STANLY,468,1295,6630,62806,0,28576,26542,1324,480,7124,12123,7032,7124,8208,19885,27050,468,11042,9861,390,6583,19788,358
77084,74493,193474,94222,MISSING COUNTY,123876,9474,94132,85020,90293,23951,,83663,39083,122426,,,,123877,,70752,28517,94240,210700,9414,,38041,211546,39059,41412,,MISSING,28569,7987,94237,,,220385,204284,7347,29833,96330,,91838,96314,29721,85662,199199,28582,123876,46482,39987,90708,77319,39083
28693,28389,38553,30352,WILSON COUNTY,16253,222,30337,11584,29846,10699,0,10743,332,16139,13,63224,13,16254,69710,27478,504,12136,43225,266,13,8184,41198,332,12701,76972,WILSON,504,1780,12134,81801,13,44114,40631,1809,508,13254,15337,12875,13251,10960,28822,40910,504,16253,13035,356,11910,28706,332
1773,1756,1813,1857,TYRRELL COUNTY,718,,1855,165,1823,629,,139,,718,,3288,,718,3533,1674,,144,1996,,,402,1918,,665,3827,TYRRELL,,36,144,4016,,2030,1900,36,,173,810,173,173,643,1738,1903,,718,679,,144,1774,
34962,34705,57819,37573,WAYNE COUNTY,19753,1125,37537,16985,37101,12078,13,15888,8323,19648,26,94031,26,19754,103693,33776,10411,17911,66650,1616,26,9496,61323,8155,16224,115046,WAYNE,10686,3021,17907,123131,26,67830,60602,3124,10826,19431,20802,18863,19430,12477,36036,63432,10803,19753,17217,8426,17574,34986,8394
8666,8634,11107,9141,MONTGOMERY COUNTY,4249,94,9139,2731,9093,3793,,2560,122,4235,,21266,,4249,23512,8425,150,2738,12135,105,,2263,11549,122,4370,25757,MONTGOMERY,150,483,2738,27173,,12253,11468,515,186,2926,5743,2892,2926,3887,8869,11750,150,4249,4507,144,2712,8667,122
19924,19830,28076,21295,LENOIR COUNTY,11313,196,21291,8957,21105,8341,0,8343,276,11269,0,43423,0,11314,47933,19457,412,9376,31427,237,0,6046,29610,276,10179,52801,LENOIR,412,1642,9376,55949,0,31891,29340,1685,427,10169,11303,9910,10169,8540,20655,30024,412,11313,10462,306,9234,19928,276
11806,11755,15723,12615,SCOTLAND COUNTY,5927,99,12612,4419,12525,4836,,4014,158,5890,,26793,,5927,29381,11551,205,4487,17638,124,,3071,16487,158,5769,32530,SCOTLAND,205,834,4487,34823,,17869,16358,912,241,5013,6531,4908,5013,4969,12277,16901,205,5927,6005,194,4445,11806,158
