"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
9041.0,6,904.0,27917,98
7552.0,58,755.0,27534,2403
4071.0,0,407.0,27559,117
6453.0,5,645.0,27248,312
6673.0,3,667.0,27048,594
10692.0,8,1069.0,27807,742
4829.0,3,483.0,28783,92
6855.0,12,685.0,27603,3803
7113.0,62,711.0,28211,2223
6939.0,6,694.0,28356,341
8779.0,13,878.0,28590,2331
4931.0,20,493.0,28804,1149
7098.0,1,710.0,28351,374
7632.0,8,763.0,28479,372
1849.0,0,185.0,28577,11
6291.0,0,629.0,28323,288
7762.0,7,776.0,27938,111
7010.0,9,701.0,28104,2276
3134.0,0,313.0,28708,42
8039.0,3,804.0,27837,523
8330.0,19,833.0,27317,1487
8474.0,4,847.0,28071,271
6310.0,4,631.0,28746,163
8180.0,50,818.0,27215,3672
8000.0,13,800.0,28573,198
6968.0,17,697.0,27801,1502
8655.0,33,866.0,28081,2445
0.0,0,0.0,28350,0
4586.0,0,459.0,28644,72
7615.0,21,762.0,28115,3163
5336.0,1,534.0,27976,190
0.0,0,0.0,28101,0
12033.0,13,1203.0,27229,483
4907.0,1,491.0,28701,237
8839.0,29,884.0,28466,917
0.0,0,0.0,28646,0
10085.0,12,1009.0,28384,1252
7620.0,3,762.0,28163,443
6814.0,1,681.0,27959,167
9042.0,38,904.0,28152,2358
7715.0,9,771.0,28040,638
5286.0,3,529.0,28643,182
6196.0,33,620.0,27101,1507
0.0,0,0.0,27556,0
9131.0,34,913.0,27253,2873
8989.0,8,899.0,28107,738
6285.0,12,628.0,28467,716
8027.0,45,803.0,27573,928
7185.0,20,719.0,27803,1605
4951.0,1,495.0,28692,223
8420.0,28,842.0,28580,1013
6959.0,27,696.0,28546,3616
8147.0,2,815.0,28167,197
0.0,0,0.0,28039,0
10119.0,1,1012.0,27866,68
8479.0,2,848.0,28098,340
4053.0,1,405.0,28679,86
8421.0,15,842.0,28166,831
6707.0,2,671.0,27283,200
2996.0,1,300.0,28571,94
9232.0,19,923.0,28016,1341
8780.0,21,878.0,27892,1261
,0,,27982,0
4679.0,1,468.0,27937,199
7614.0,16,761.0,28117,3625
10110.0,1,1011.0,28202,1694
8076.0,30,808.0,28170,1009
17309.0,3,1731.0,28637,274
10266.0,5,1027.0,28204,897
,0,,28608,0
6671.0,2,667.0,28515,231
9445.0,30,944.0,28021,1269
7984.0,0,798.0,28623,137
5781.0,2,578.0,27617,1128
7991.0,0,799.0,27888,224
8466.0,30,847.0,28612,1262
6296.0,3,630.0,28665,188
9634.0,1,963.0,28032,313
6679.0,25,668.0,28306,2843
7651.0,14,765.0,28075,1467
6850.0,22,685.0,28791,1083
5519.0,23,552.0,28270,1918
4902.0,3,490.0,28421,100
4308.0,3,431.0,27551,95
9773.0,72,977.0,28602,3051
7138.0,41,714.0,27587,5288
5454.0,18,545.0,28904,520
0.0,0,0.0,28524,0
6073.0,3,607.0,27310,520
10173.0,4,1017.0,28033,342
