People Fully Vaccinated,County,People Vaccinated with at Least One Dose
22175,Robeson,26009
3581,Perquimans,4153
45000,Johnston,56350
28576,Randolph,32362
1915,Hyde,2381
3357,Alleghany,3798
10771,Duplin,12735
2634,Gates,3167
16616,Haywood,20659
12771,Stanly,15693
9642,Missing County,12493
18363,Wilson,21958
1133,Tyrrell,1249
24015,Wayne,28426
6304,Montgomery,7429
14011,Lenoir,15761
0,,0
8817,Scotland,10138
49273,Alamance,56806
2388,Camden,2883
5535,Greene,6256
25269,Rowan,29833
5803,Northampton,6521
15015,Wilkes,16931
18125,Lincoln,22409
20640,Caldwell,22858
5868,Polk,6551
19498,Surry,20932
13187,Macon,14257
2576,Clay,2962
9814,Yadkin,10681
27113,Onslow,29878
11051,Richmond,12455
78903,Buncombe,93470
50823,Union,63424
41383,Cabarrus,54641
2782,Washington,3214
23908,Harnett,27721
22664,Burke,25412
60670,Out of State,76778
15562,Granville,19088
48266,Gaston,56643
10886,Edgecombe,13364
18673,Watauga,21583
6966,Hoke,8396
5698,Bertie,6774
10568,Person,12791
15153,Beaufort,16716
38438,Catawba,45305
12525,Jackson,14087
341479,Wake,422783
23200,Cleveland,26095
13874,Sampson,16958
12717,Columbus,13891
6128,Caswell,7289
5124,Yancey,5832
15472,Lee,18116
5717,Hertford,6752
22319,Rockingham,26161
248805,Mecklenburg,336065
22082,Carteret,24112
3327,Swain,3611
5316,Avery,6293
11065,Vance,13385
14558,Halifax,16616
13772,Rutherford,16298
23298,Nash,28934
7684,Ashe,8863
9529,Stokes,11127
2025,Graham,2235
15477,Pender,17954
28012,Craven,31111
155260,Guilford,181428
7349,Madison,8203
22578,Chatham,26428
51116,Pitt,55318
32729,Moore,35922
109436,Forsyth,125975
38917,Iredell,45745
11236,Transylvania,12152
6242,Martin,7095
5496,Warren,6820
2530,Jones,2855
11607,Davie,13309
54698,Cumberland,61805
12532,McDowell,14611
6851,Cherokee,7843
4213,Chowan,5166
61194,Orange,69741
9368,Alexander,10757
109816,Durham,129260
34011,Henderson,39030
10625,Pasquotank,12579
4701,Pamlico,5233
3590,Mitchell,4367
6158,Currituck,7947
51403,Brunswick,56857
35836,Davidson,40877
15561,Franklin,18590
16190,Dare,18267
7961,Bladen,8947
72243,New hanover,82240
5561,Anson,6694
