"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
7511.0,3,751.0,27006,1117
9685.0,4,969.0,27865,194
8635.0,8,864.0,28119,262
8643.0,36,864.0,27021,1554
10308.0,31,1031.0,28621,1072
8602.0,3,860.0,27846,264
7918.0,18,792.0,27962,589
5256.0,2,526.0,28768,415
4671.0,6,467.0,27539,1241
7344.0,3,734.0,27596,1370
5595.0,28,560.0,27712,1234
5515.0,18,552.0,28739,1213
5724.0,30,572.0,28786,1250
,0,,28561,0
8444.0,1,844.0,27009,248
4943.0,2,494.0,28772,96
9985.0,17,998.0,28023,1482
7632.0,2,763.0,27875,39
11397.0,88,1140.0,28601,5681
8470.0,39,847.0,28262,3700
7997.0,30,800.0,27292,3316
5922.0,3,592.0,27242,158
10183.0,72,1018.0,28054,4092
5180.0,6,518.0,27850,384
8687.0,10,869.0,28073,487
0.0,0,0.0,28629,0
10093.0,3,1009.0,27840,54
8174.0,14,817.0,28574,1447
9079.0,49,908.0,28472,1816
4369.0,2,437.0,28785,363
,0,,27969,0
8583.0,3,858.0,28318,393
8311.0,3,831.0,28523,189
7858.0,41,786.0,27604,3744
7160.0,27,716.0,28173,4571
6856.0,3,686.0,27883,299
6323.0,30,632.0,27612,2479
7203.0,32,720.0,28501,1405
5075.0,0,507.0,27941,34
8361.0,40,836.0,28562,3178
11996.0,43,1200.0,28658,3102
7131.0,42,713.0,27262,1766
8157.0,1,816.0,27544,350
10953.0,0,1095.0,28347,200
4552.0,17,455.0,28801,764
8779.0,8,878.0,28572,560
7791.0,1,779.0,28395,207
5466.0,16,547.0,27403,1163
7455.0,24,745.0,27332,2501
4110.0,12,411.0,27513,2014
9238.0,21,924.0,27932,1168
6033.0,0,603.0,27343,111
9039.0,68,904.0,27886,1952
6665.0,6,667.0,28391,355
4486.0,0,449.0,27411,38
6696.0,2,670.0,28429,572
6568.0,10,657.0,28420,336
8418.0,11,842.0,28518,741
10698.0,12,1070.0,28630,2179
6316.0,41,632.0,28716,1178
9348.0,45,935.0,28146,2840
6340.0,5,634.0,28751,237
8768.0,9,877.0,28128,710
0.0,0,0.0,28672,0
6974.0,9,697.0,28722,478
4457.0,0,446.0,27842,64
7292.0,7,729.0,28439,112
6867.0,0,687.0,28649,71
8750.0,2,875.0,27042,63
10032.0,51,1003.0,28215,6045
5776.0,2,578.0,27806,141
0.0,0,0.0,27821,0
6159.0,5,616.0,27408,1072
6757.0,10,676.0,27409,1213
0.0,0,0.0,28587,0
7255.0,2,726.0,27808,180
0.0,0,0.0,27881,0
7276.0,15,728.0,28403,3052
7637.0,30,764.0,27104,2244
8068.0,6,807.0,27013,524
6442.0,0,644.0,28611,63
7961.0,44,796.0,28269,6485
6562.0,3,656.0,27050,268
9219.0,0,922.0,28444,210
7975.0,5,797.0,28673,528
7268.0,3,727.0,27810,307
0.0,0,0.0,27157,0
10324.0,7,1032.0,28366,532
22192.0,37,2219.0,27509,1539
7592.0,11,759.0,27239,731
6189.0,7,619.0,28544,347
2603.0,0,260.0,27964,17
6190.0,11,619.0,28409,2165
5522.0,17,552.0,27278,1501
4192.0,0,419.0,27979,76
9807.0,16,981.0,28217,3028
9415.0,5,942.0,28369,211
0.0,0,0.0,28735,0
8887.0,41,889.0,27330,3513
10530.0,69,1053.0,28043,2261
4377.0,15,438.0,27516,1931
10008.0,5,1001.0,28638,1257
6852.0,1,685.0,27608,795
11350.0,48,1135.0,28328,3059
7975.0,0,797.0,27047,102
8613.0,33,861.0,27537,2181
7591.0,18,759.0,27401,1535
6867.0,7,687.0,27040,903
7648.0,47,765.0,28078,5054
6701.0,1,670.0,27541,271
2987.0,0,299.0,27966,44
10127.0,8,1013.0,27017,962
8783.0,49,878.0,27360,4245
10938.0,60,1094.0,28086,2952
7695.0,0,770.0,28622,203
10524.0,5,1052.0,28203,2007
3626.0,0,363.0,28449,71
6406.0,2,641.0,27849,95
10477.0,25,1048.0,28340,1125
6426.0,6,643.0,27601,780
4948.0,13,495.0,28462,708
9895.0,5,990.0,27020,604
9934.0,40,993.0,28213,4504
8646.0,6,865.0,28508,258
6533.0,19,653.0,28311,2355
7997.0,8,800.0,28124,561
9434.0,52,943.0,28677,3360
12137.0,13,1214.0,27869,263
7359.0,41,736.0,27405,3864
3915.0,0,392.0,27927,24
7313.0,6,731.0,27214,859
6553.0,1,655.0,28428,468
7240.0,47,724.0,27407,3608
8941.0,6,894.0,28344,341
8585.0,15,859.0,27379,520
4000.0,0,400.0,27974,55
6819.0,6,682.0,27350,512
11764.0,18,1176.0,28360,1758
5610.0,10,561.0,28390,1318
4388.0,4,439.0,27518,999
5886.0,2,589.0,27814,106
5795.0,3,579.0,27935,97
8954.0,3,895.0,28430,184
3928.0,0,393.0,27965,24
6201.0,6,620.0,28326,1388
7465.0,4,747.0,28305,374
8009.0,2,801.0,28423,183
0.0,0,0.0,28581,0
7424.0,0,742.0,27813,51
6642.0,6,664.0,28773,233
7653.0,12,765.0,28090,651
6012.0,1,601.0,27981,112
7968.0,21,797.0,28031,2474
0.0,0,0.0,28733,0
6893.0,4,689.0,28478,343
6958.0,21,696.0,27288,1641
9047.0,3,905.0,28080,738
7354.0,1,735.0,28729,219
5276.0,24,528.0,27713,2849
7157.0,0,716.0,27953,71
8513.0,4,851.0,28726,296
9781.0,1,978.0,28392,152
3657.0,2,366.0,28543,242
7737.0,0,774.0,27291,119
7877.0,14,788.0,28657,757
4200.0,4,420.0,28465,348
7822.0,8,782.0,28578,551
10349.0,58,1035.0,28681,2790
10257.0,34,1026.0,28752,3231
9195.0,35,920.0,27704,3620
5645.0,2,565.0,28618,140
,0,,27710,0
10233.0,11,1023.0,28168,1068
