At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9254,19153,19369,19369,19378,13308,13308,13187,6770,5971,5971,5876,2436,5971,13308,60346,54065,Robeson,90,90,90,48,99,1336,836,122048,15704,50286,53258,54162,16424,55766,59147,60437,1336,836,1408,1336,517,918,836,382,98425,20565,130625,ROBESON COUNTY,109195,13827,2148,15443,15219,15442,43586,43568,42592,13759,40603,12673,14061,14060,13938,2017,38484,39169,39183,13305,36777
1961,3067,3083,3083,3083,2351,2351,2340,1549,732,732,727,412,732,2351,6565,6031,Perquimans,,,,,,0,0,12861,2873,5813,5977,6046,3063,6296,6479,6587,0,0,19,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1092,232,1149,1139,1149,5419,5416,5340,2831,5204,988,1044,1044,1039,214,4938,4987,4990,2659,4825
17186,46942,48092,48092,48137,22231,22231,21814,9459,25839,25839,25106,7727,25841,22237,119260,110638,Johnston,22,22,22,0,59,3286,2156,196283,24989,100086,107665,110706,25982,107020,115419,119373,3261,2156,3355,3095,881,2187,2039,608,156585,28558,209339,JOHNSTON COUNTY,175612,33048,3863,38646,37099,38645,77372,77329,75059,21238,70877,30868,35958,35954,34656,3743,70853,72528,72561,20638,67179
12501,26335,26624,26624,26658,12709,12709,12592,6547,13905,13905,13733,5954,13905,12711,65662,61820,Randolph,10,10,10,0,42,784,555,135556,19781,57923,60797,61914,20112,61169,64340,65780,784,555,865,784,512,627,555,427,111702,26060,143667,RANDOLPH COUNTY,123257,20431,3823,22535,22014,22534,42380,42344,41542,15777,39954,19285,21125,21123,20728,3896,39514,40142,40162,15458,38083
705,1731,1772,1772,1772,1716,1716,1678,690,56,56,53,15,56,1716,3412,3271,Hyde,,,,,,,,4753,1039,3059,3192,3271,1057,3176,3316,3415,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,164,52,176,173,176,3239,3236,3143,1005,3012,148,161,161,157,44,3035,3110,3110,995,2911
1714,3046,3067,3067,3068,1712,1712,1693,1022,1355,1355,1353,692,1355,1713,6806,6320,Alleghany,,,,,,10,0,10626,2587,6084,6243,6353,2704,6521,6696,6857,10,0,52,10,10,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1331,350,1383,1377,1383,5422,5413,5309,2344,5180,1223,1268,1268,1260,333,4983,5052,5059,2254,4861
4733,9591,9664,9664,9688,5282,5282,5244,2676,4382,4382,4347,2057,4382,5284,29186,26465,Duplin,0,0,0,0,22,2026,1471,55126,7772,24454,25974,26526,8057,26715,28467,29263,1999,1471,2087,1795,424,1520,1300,301,44760,11405,58741,DUPLIN COUNTY,49644,7533,1509,8452,8320,8452,18724,18708,18148,6124,17387,7163,7980,7980,7894,1519,16609,17014,17026,5952,15991
1067,1910,1926,1926,1927,1681,1681,1673,983,245,245,237,84,245,1682,4802,4479,Gates,,,,,,62,41,11027,1758,4305,4446,4505,1854,4583,4747,4865,62,41,117,62,0,66,41,0,9230,2418,11562,GATES COUNTY,10120,504,122,556,552,556,4192,4184,4133,1732,4017,480,520,520,519,125,3886,3918,3919,1633,3784
9563,18701,18988,18988,19028,11776,11776,11600,6102,7152,7152,7041,3450,7152,11776,37257,35220,Haywood,60,60,60,11,100,1410,895,59266,13654,33206,34522,35309,14061,35104,36477,37345,1410,895,1488,1410,627,971,895,509,50968,15572,62317,HAYWOOD COUNTY,54941,8026,1990,8521,8472,8521,27336,27326,26595,11444,25668,7386,7870,7870,7829,1855,25798,26455,26468,11290,24925
6241,12426,12569,12569,12594,6993,6993,6901,3618,5576,5576,5525,2623,5576,6993,29162,27269,Stanly,0,0,0,0,25,664,473,59178,9556,25842,26927,27349,9921,27522,28688,29221,664,473,717,664,329,549,473,284,49282,12123,62806,STANLY COUNTY,54008,6839,1343,7312,7179,7312,21192,21186,20845,8249,20019,6385,6786,6786,6701,1318,19753,20010,20014,7954,18984
