Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37880,37657,51789,48697,647,42209,15432,122048,Robeson,360,887,42192,13106,1943,41725,13231,13129,11977,130625,647,57620,51498,2073,897,14514,20565,14426,14513,13600,39876,53869,98425,887,16088,664,12629,109195,13194,37893,647,36073,887,13232,57038,415
4904,4886,5910,5726,0,5332,2828,12861,Perquimans,0,0,5329,1051,208,5288,993,2620,943,13463,0,6451,5879,225,15,1104,3671,1098,1104,2791,5163,6214,10957,0,3016,11,2263,11854,993,4906,0,4783,0,993,6386,0
70617,69906,105765,97295,1109,75425,24568,196283,Johnston,502,1378,75386,31690,3608,73986,33995,20458,29716,209339,1109,113316,104424,3731,1390,36501,28558,35572,36500,21049,70009,103077,156585,1378,25330,1120,30376,175612,33409,70646,1109,66470,1378,33999,110936,550
39373,39083,59922,56687,550,41550,19569,135556,Randolph,425,746,41514,19440,3771,41005,19962,15373,18389,143667,550,63538,59429,3698,746,21242,26060,20968,21241,15692,39517,59703,111702,746,19884,565,18019,123257,19796,39393,550,37748,746,19964,62719,494
3010,2966,3164,2992,,3175,1021,4753,Hyde,,,3172,156,44,3095,154,977,144,4937,,3343,3118,52,,168,1114,165,168,991,2971,3127,4098,,1043,,1066,4410,152,3010,,2848,,154,3260,
4964,4940,6231,6027,0,5303,2568,10626,Alleghany,0,0,5294,1273,325,5218,1234,2243,1193,11137,0,6662,6170,338,34,1325,3116,1321,1325,2316,5106,6379,9249,0,2654,26,2301,9915,1230,4971,0,4834,0,1234,6539,0
16453,16272,24181,22687,216,18192,7517,55126,Duplin,161,267,18176,7178,1466,17814,7487,5890,6760,58741,216,26485,23950,1456,284,8009,11405,7945,8009,6069,17139,24584,44760,267,7706,228,6338,49644,7462,16466,216,15711,267,7487,26026,181
3844,3841,4341,4214,,4112,1729,11027,Gates,,0,4106,485,121,4091,496,1608,460,11562,,4652,4337,120,13,527,2418,526,527,1709,3987,4472,9230,0,1829,,1415,10120,496,3845,,3754,0,496,4617,0
26162,25806,34708,32999,870,26947,13675,59266,Haywood,508,1307,26937,7809,1809,26417,7616,11358,7166,62317,870,36563,34266,1938,1340,8276,15572,8243,8276,11416,25524,34640,50968,1307,13964,917,14082,54941,7590,26175,870,24963,1307,7616,35967,610
19501,19409,26339,25161,358,20667,9427,59178,Stanly,284,465,20662,6545,1270,20473,6446,7873,6111,62806,358,28061,26181,1301,477,6917,12123,6867,6917,8153,19685,26695,49282,465,9782,390,8552,54008,6414,19503,358,18692,465,6446,27805,328
