At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
10191,21744,22100,22098,22118,15030,15028,14842,7315,6944,6944,6776,2805,6944,15030,61277,55488,Robeson,126,126,126,71,144,1386,897,122048,15945,51300,54355,55571,16647,56466,59901,61350,1386,897,1437,1386,532,963,897,395,98425,20565,130625,ROBESON COUNTY,109195,14175,2217,15856,15588,15855,44057,44036,42927,13898,40905,13170,14681,14680,14465,2089,38993,39911,39927,13461,37233
2073,3284,3314,3313,3314,2447,2446,2426,1582,867,867,858,491,867,2447,6615,6118,Perquimans,,,,,,0,0,12861,2900,5870,6039,6133,3092,6332,6520,6638,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1114,237,1175,1164,1175,5443,5440,5356,2855,5218,1016,1074,1074,1066,218,4973,5044,5047,2682,4854
18586,51322,52884,52881,52915,23968,23965,23379,9933,28842,28842,27869,8632,28844,23974,120772,113040,Johnston,74,74,74,21,97,3396,2241,196283,25314,101655,109418,113109,26294,108143,116608,120896,3365,2228,3475,3189,902,2273,2102,617,156585,28558,209339,JOHNSTON COUNTY,175612,33773,3973,39558,37902,39557,77863,77819,75341,21419,71181,31979,37516,37512,35933,3874,71257,73287,73320,20823,67574
13516,28936,29352,29350,29376,13758,13757,13585,6969,15538,15537,15295,6521,15538,13762,66526,63130,Randolph,56,56,56,26,76,827,559,135556,20048,58908,61865,63224,20421,61855,65055,66620,827,559,884,827,517,631,559,431,111702,26060,143667,RANDOLPH COUNTY,123257,20831,3981,23004,22440,23004,42732,42695,41788,15923,40197,19927,21945,21943,21430,4015,39876,40628,40648,15602,38422
728,1800,1851,1851,1851,1789,1789,1741,708,62,62,59,20,62,1789,3424,3312,Hyde,,,,,,,,4753,1050,3079,3219,3312,1065,3183,3328,3427,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,161,49,174,171,174,3253,3250,3157,1016,3022,151,164,164,160,42,3059,3148,3148,1008,2928
1853,3392,3418,3418,3419,1908,1908,1885,1050,1510,1510,1507,803,1510,1909,6901,6476,Alleghany,,,,,,20,0,10626,2672,6221,6388,6509,2759,6609,6785,6949,20,0,59,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1355,360,1406,1400,1406,5484,5475,5365,2379,5234,1257,1301,1301,1294,343,5094,5175,5182,2329,4964
5063,10462,10599,10599,10611,5652,5652,5589,2800,4926,4926,4852,2252,4927,5654,29567,27073,Duplin,21,21,21,11,30,2131,1588,55126,7875,24871,26453,27129,8159,27027,28817,29645,2097,1576,2192,1886,432,1631,1396,302,44760,11405,58741,DUPLIN COUNTY,49644,7670,1539,8603,8463,8603,18850,18833,18257,6188,17471,7376,8236,8236,8118,1560,16759,17249,17262,6013,16099
1152,2117,2142,2141,2143,1840,1839,1827,1043,302,302,290,109,302,1841,4857,4572,Gates,,,,,,68,49,11027,1786,4362,4512,4603,1871,4617,4787,4926,68,49,128,68,0,78,49,0,9230,2418,11562,GATES COUNTY,10120,516,127,571,565,571,4227,4218,4154,1744,4033,492,533,533,531,129,3932,3990,3992,1657,3821
10291,20007,20380,20380,20409,12315,12315,12070,6314,7974,7974,7846,3964,7974,12316,37516,35576,Haywood,91,91,91,13,119,1429,899,59266,13793,33453,34787,35669,14209,35295,36695,37618,1429,899,1520,1429,635,978,899,509,50968,15572,62317,HAYWOOD COUNTY,54941,8111,2028,8611,8558,8610,27487,27477,26708,11546,25755,7495,7983,7982,7931,1893,25957,26695,26708,11391,25059
6789,13618,13812,13812,13814,7602,7602,7488,3873,6163,6163,6083,2886,6163,7602,29559,27848,Stanly,47,47,47,30,49,669,474,59178,9695,26305,27407,27929,10057,27870,29047,29618,669,474,722,669,331,551,474,284,49282,12123,62806,STANLY COUNTY,54008,6978,1370,7454,7321,7454,21442,21436,21057,8356,20223,6592,7027,7027,6917,1350,20016,20347,20351,8061,19239
47802,153931,158023,158015,158039,56082,56075,54273,23125,101941,101940,99658,24677,101943,56096,261672,242416,Missing,,,,,,40262,47371,,48005,220017,232894,244048,58317,238447,251630,263711,40247,47371,42187,40086,9874,48753,47260,9753,,,,MISSING COUNTY,,82670,7064,94246,89377,94238,127278,127172,122006,41379,115691,83602,96065,96063,90917,7817,94606,98982,99230,30435,89155
9492,20219,20582,20580,20606,13526,13524,13378,7001,6999,6999,6784,2470,6999,13530,45700,43211,Wilson,57,57,57,21,77,541,348,76972,13034,39925,42183,43281,13354,42090,44541,45769,541,348,590,541,276,400,348,225,63224,15337,81801,WILSON COUNTY,69710,12163,1901,13999,13485,13996,31180,31163,30515,11177,29386,11434,13136,13133,12669,1883,29166,29730,29745,10926,28143
472,912,919,919,919,835,835,829,438,84,84,83,34,84,835,2058,1968,Tyrrell,,,,,,,,3827,679,1838,1928,1969,691,1919,2011,2061,,,,,,,,,3288,810,4016,TYRRELL COUNTY,3533,172,38,182,179,182,1879,1876,1832,653,1747,149,155,155,154,38,1774,1813,1814,641,1689
11494,25384,25761,25761,25779,12821,12821,12638,5676,12847,12847,12653,5774,12847,12825,65283,60535,Wayne,93,93,93,44,107,6516,5266,115046,16137,56422,59280,60601,16802,60673,63841,65359,6471,5233,6553,6361,911,5304,5139,669,94031,20802,123131,WAYNE COUNTY,103693,17808,3238,20520,19758,20518,38286,38249,37612,12653,36504,16865,19309,19305,18642,3144,35405,35964,35988,12324,34418
2711,5263,5300,5300,5311,2797,2797,2783,1462,2503,2503,2480,1249,2503,2797,12512,11793,Montgomery,0,0,0,0,11,181,139,25757,4404,11309,11682,11839,4539,11983,12384,12606,181,139,271,181,106,184,139,95,21266,5743,27173,MONTGOMERY COUNTY,23512,2857,533,3063,3016,3063,9272,9268,9187,3900,8945,2691,2887,2887,2844,507,8699,8767,8768,3802,8479
7329,14593,14755,14755,14766,8660,8660,8600,4439,6033,6033,5931,2856,6034,8661,32802,30788,Lenoir,62,62,62,34,71,430,280,52801,10456,28974,30309,30822,10688,30735,32196,32822,430,280,447,430,242,312,280,198,43423,11303,55949,LENOIR COUNTY,47933,9305,1755,10587,10258,10587,21788,21785,21508,8691,21000,8800,9990,9990,9712,1728,20317,20518,20520,8530,19894
3631,7720,7808,7808,7830,4662,4662,4640,2173,3146,3146,3080,1458,3146,4662,18379,17105,Scotland,0,0,0,0,22,224,169,32530,5869,16219,16906,17149,6097,17334,18118,18427,224,169,268,224,129,212,169,100,26793,6531,34823,SCOTLAND COUNTY,29381,4572,937,5238,5089,5238,12921,12917,12805,5031,12538,4203,4773,4773,4661,868,12076,12163,12164,4901,11847
19122,48322,49505,49503,49525,23412,23410,22839,9867,25998,25998,25388,9212,25998,23414,105403,100501,Alamance,95,95,95,43,113,1863,1156,159560,26613,91633,97231,100580,27448,95790,101727,105496,1863,1156,1928,1845,832,1218,1143,659,132145,29035,169509,ALAMANCE COUNTY,145046,25041,4533,28074,26955,28073,75494,75467,72909,22083,68904,23783,26652,26652,25634,4251,70441,72693,72710,21703,66707
921,1995,2024,2023,2024,1367,1366,1344,682,657,657,651,239,657,1367,6596,5762,Camden,,,,,,1891,1396,10327,1417,5390,5639,5800,1645,6169,6454,6652,1879,1396,1939,1809,130,1433,1341,13,8407,1833,10867,CAMDEN COUNTY,9354,822,129,886,861,886,3827,3819,3714,1386,3538,806,867,867,840,119,3403,3499,3500,1285,3243
2071,5256,5319,5319,5329,3825,3825,3811,1531,1494,1494,1445,540,1494,3825,15282,13658,Greene,0,0,0,0,10,3351,2366,20022,3458,12618,13337,13685,3852,14100,14901,15350,3212,2259,3415,2930,849,2392,2028,512,16884,3592,21069,GREENE COUNTY,18372,2528,407,2947,2877,2947,8988,8984,8812,2596,8642,2370,2768,2768,2710,390,8368,8524,8525,2556,8220
12535,26882,27300,27300,27304,12094,12094,11903,6273,14972,14972,14745,6110,14972,12098,66729,62200,Rowan,234,234,234,152,234,3919,3058,133830,19353,58271,61060,62305,20037,62421,65406,66833,3919,3058,4003,3919,1654,3148,3058,1490,110729,25371,142088,ROWAN COUNTY,122048,20700,3571,22427,21915,22427,40403,40383,39572,14812,37802,19324,20907,20906,20445,3457,37557,38236,38250,14406,35889
2521,4282,4315,4315,4315,3626,3626,3606,2250,689,689,676,271,689,3626,9386,8727,Northampton,,,,,,145,70,18570,3802,8291,8590,8754,3960,8862,9206,9418,145,70,174,145,95,94,70,57,16132,5256,19483,NORTHAMPTON COUNTY,17363,1383,342,1534,1514,1534,7710,7707,7547,3523,7334,1310,1441,1441,1426,312,7094,7216,7219,3433,6911
6844,14025,14250,14249,14267,6495,6494,6393,3149,7755,7755,7632,3695,7755,6495,34159,31902,Wilkes,0,0,0,0,17,274,184,64946,10797,30076,31386,31946,11187,32184,33569,34230,274,184,334,274,188,218,184,160,54628,15162,68412,WILKES COUNTY,59783,10137,2139,10781,10687,10781,23115,23104,22608,8860,21773,9622,10249,10249,10164,2036,21038,21469,21479,8601,20270
9398,20964,21367,21365,21394,7621,7619,7559,3738,13735,13735,13394,5660,13735,7622,44879,42803,Lincoln,11,11,11,0,37,378,242,81663,13387,39854,41800,42839,13639,41701,43805,44910,378,242,400,378,241,275,242,200,67981,15456,86111,LINCOLN COUNTY,74647,15217,2337,17291,16731,17291,27219,27210,26696,11061,26106,14316,16270,16270,15727,2313,25831,26291,26294,10874,25296
9736,19010,19277,19276,19291,11042,11041,10918,6394,8235,8235,8092,3342,8235,11042,40989,38979,Caldwell,0,0,0,0,14,326,203,78015,13712,36985,38439,39005,13996,38776,40374,41011,326,203,335,326,188,221,203,150,65842,16769,82178,CALDWELL COUNTY,71809,10734,1525,11692,11471,11692,28984,28971,28577,12283,27716,9891,10716,10716,10530,1467,27706,28060,28068,12095,26891
1838,3563,3631,3631,3631,2401,2401,2362,1270,1230,1230,1201,568,1230,2401,9241,8800,Polk,,,,,,129,100,19940,4073,8341,8668,8833,4198,8737,9092,9301,129,100,184,129,98,128,100,88,17478,6644,20724,POLK COUNTY,18752,1701,768,1855,1808,1855,7262,7257,7155,3332,6907,1634,1783,1783,1737,758,6831,6917,6922,3227,6607
8026,16682,16937,16936,16956,8966,8965,8812,4440,7956,7956,7855,3571,7956,8968,37699,35880,Surry,15,15,15,15,32,306,223,67979,12246,33735,35312,35905,12570,35372,37039,37768,306,223,350,306,218,230,223,180,56811,14964,71783,SURRY COUNTY,62223,11300,2333,11989,11894,11988,25429,25405,24839,10019,23766,10615,11262,11260,11194,2235,23895,24397,24413,9831,22897
6374,10577,10678,10677,10693,7855,7854,7777,4783,2823,2823,2800,1591,2823,7858,22012,21015,Macon,0,0,0,0,12,449,352,34121,9103,20042,20722,21082,9316,20947,21695,22096,449,352,521,449,262,411,352,238,29260,10350,35858,MACON COUNTY,31614,2982,872,3129,3098,3129,18446,18434,18148,8182,17516,2794,2936,2936,2913,859,17457,17727,17735,8006,16896
1922,2976,3001,3001,3001,2520,2520,2496,1659,481,481,480,263,481,2520,5442,5156,Clay,,,,,,84,39,10740,2590,4982,5097,5249,2648,5244,5372,5588,84,39,228,84,25,131,39,23,9352,3581,11231,CLAY COUNTY,10050,1036,335,1042,1040,1041,4318,4317,4248,2288,4124,983,989,988,987,326,4071,4129,4129,2241,3960
4370,8587,8714,8714,8730,4152,4152,4093,2293,4562,4562,4494,2077,4562,4153,19477,18580,Yadkin,0,0,0,0,15,155,102,35700,6417,17504,18258,18607,6548,18310,19136,19508,155,102,178,155,108,122,102,87,29851,7711,37667,YADKIN COUNTY,32660,5028,870,5487,5405,5487,13843,13835,13576,5570,13127,4778,5210,5210,5127,889,13029,13268,13275,5441,12624
19237,45743,46876,46867,46884,42460,42451,41392,17041,4416,4416,4351,2196,4416,42468,113533,104067,Out of State,,,,,,,,,38487,98657,101411,104123,41052,107321,110419,113610,,,,,,,,,,,,OUT OF STATE,,709,126,737,727,737,112873,112796,109692,40926,106612,891,971,971,936,193,100475,103096,103152,38294,97766
12022,28570,29147,29143,29152,9217,9215,9040,4256,19675,19673,19275,7685,19675,9221,133188,120537,Onslow,255,255,255,81,256,62314,53896,180787,18944,112943,118294,120589,20078,124341,130385,133257,61747,53584,62364,59822,2781,53923,52008,2032,149343,19026,197938,ONSLOW COUNTY,162055,26977,3179,30916,29683,30916,39977,39958,38955,14118,37542,25131,28745,28743,27686,3045,37024,37898,37921,13867,35804
4609,9495,9611,9611,9617,6405,6405,6353,3177,3183,3183,3119,1420,3183,6406,23262,21460,Richmond,23,23,23,12,28,406,263,42075,7023,20250,21131,21535,7205,21864,22872,23330,406,263,461,406,149,331,263,131,34516,8183,44829,RICHMOND COUNTY,38043,4935,732,5502,5416,5502,17367,17354,17050,6324,16523,4559,5082,5082,5008,696,15860,16115,16122,6196,15428
38251,99662,102707,102699,102784,60477,60470,58736,24154,42060,42059,40756,14011,42060,60504,179962,172130,Buncombe,170,170,170,86,220,6685,4221,248550,48257,157379,166085,172263,49143,164196,173431,180131,6673,4221,6760,6616,2595,4284,4187,2050,213777,53494,261191,BUNCOMBE COUNTY,230148,40316,8158,45012,43516,45001,128359,128276,123242,38390,117264,39822,44563,44561,43024,8418,118840,123348,123416,37789,113370
19932,63985,67216,67209,67240,21394,21388,20560,6888,45702,45701,43305,12980,45703,21403,138302,132742,Union,120,120,120,64,134,1256,662,226508,27143,115516,126955,132868,27702,120116,132011,138432,1256,662,1313,1214,579,740,643,413,176616,31234,239859,UNION COUNTY,202043,43011,4695,53876,50291,53864,83243,83182,80464,22428,75891,41619,52259,52253,48781,4749,77512,79827,79869,21981,73254
