Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38450,38014,49387,42896,ROBESON COUNTY,16490,361,42878,13511,42130,13193,12,12361,653,16404,28,98425,28,16490,109195,36373,904,13670,57916,419,28,8433,52805,653,15539,122048,ROBESON,904,1985,13669,130625,28,58848,52266,2113,914,15038,20565,14882,15037,13664,40203,54618,904,16490,16196,672,13599,38463,653
4950,4914,5780,5378,PERQUIMANS COUNTY,2861,0,5375,1069,5316,2642,,972,0,2856,,10957,,2861,11854,4808,0,1024,6431,0,,1887,5988,0,2854,12861,PERQUIMANS,0,212,1024,13463,,6519,5937,227,19,1122,3671,1115,1122,2816,5183,6252,0,2861,3043,12,1023,4952,0
71537,70308,98268,76647,JOHNSTON COUNTY,42220,505,76607,32506,74659,20529,0,30392,1115,41660,0,156585,0,42228,175612,66761,1395,35129,112544,555,0,16029,107823,1115,24726,196283,JOHNSTON,1395,3692,35125,209339,0,115857,105566,3815,1407,37803,28558,36490,37802,21151,70523,104424,1395,42220,25521,1126,34143,71568,1115
39676,39207,57279,41960,RANDOLPH COUNTY,24057,426,41925,20078,41223,15398,0,18896,553,23902,0,111702,0,24058,123257,37830,754,20606,63615,497,0,11724,60870,553,19666,135556,RANDOLPH,754,3842,20604,143667,0,64775,60092,3773,754,22061,26060,21638,22060,15732,39679,60511,754,24057,20002,568,20332,39696,553
3058,2987,3011,3213,HYDE COUNTY,1401,,3210,161,3124,986,,144,,1373,,4098,,1401,4410,2867,,157,3294,,,629,3215,,1030,4753,HYDE,,44,157,4937,,3386,3140,52,,173,1114,170,173,999,2996,3157,,1401,1051,,153,3058,
4994,4940,6035,5364,ALLEGHANY COUNTY,2851,0,5355,1301,5261,2244,,1209,0,2837,,9249,,2852,9915,4826,0,1253,6609,0,,1620,6280,0,2570,10626,ALLEGHANY,0,326,1253,11137,,6752,6186,349,34,1354,3116,1348,1354,2326,5141,6442,0,2851,2675,26,1246,5001,0
16714,16408,23040,18522,DUPLIN COUNTY,8572,161,18505,7396,18023,5924,,6989,216,8543,,44760,,8574,49644,15835,269,7764,26474,183,,4384,24719,216,7577,55126,DUPLIN,269,1492,7764,58741,,27101,24332,1487,289,8290,11405,8182,8290,6093,17293,24958,269,8572,7763,228,7708,16727,216
3873,3857,4233,4163,GATES COUNTY,1740,,4155,496,4115,1624,,468,,1737,,9230,,1740,10120,3765,0,507,4659,0,,1004,4381,,1745,11027,GATES,0,121,507,11562,,4726,4363,122,15,548,2418,544,548,1724,4002,4498,0,1740,1846,,506,3874,
26184,25653,32951,27137,HAYWOOD COUNTY,17494,509,27127,7936,26464,11249,0,7283,875,17341,37,50968,37,17494,54941,24793,1317,7749,36164,613,37,9176,34868,875,13593,59266,HAYWOOD,1317,1835,7749,62317,37,36913,34244,1969,1350,8426,15572,8383,8426,11407,25543,34796,1317,17494,13989,922,7716,26197,875
19794,19610,25498,20990,STANLY COUNTY,11182,284,20984,6710,20709,7914,0,6272,358,11118,0,49282,0,11182,54008,18868,468,6636,28223,329,0,5890,26824,358,9493,59178,STANLY,468,1295,6636,62806,0,28611,26555,1325,481,7140,12123,7046,7140,8210,19900,27078,468,11182,9864,390,6587,19798,358
77667,75026,194065,94891,MISSING COUNTY,125637,9474,94801,85150,90893,24111,,83772,39084,123904,,,,125641,,71233,28517,94453,211453,9414,,38242,212343,39060,41581,,MISSING,28569,7996,94450,,,221287,204945,7358,29835,96561,,91991,96545,29881,86201,199868,28582,125633,46653,39988,90835,77902,39084
28709,28398,38575,30381,WILSON COUNTY,16394,222,30366,11613,29858,10706,0,10756,332,16266,14,63224,14,16396,69710,27487,506,12160,43270,266,14,8207,41238,332,12711,76972,WILSON,506,1783,12158,81801,14,44187,40656,1812,510,13296,15337,12906,13293,10966,28830,40949,506,16394,13044,356,11926,28722,332
1773,1756,1813,1858,TYRRELL COUNTY,719,,1856,166,1823,629,,139,,719,,3288,,719,3533,1674,,144,1997,,,403,1918,,665,3827,TYRRELL,,36,144,4016,,2032,1900,36,,174,810,174,174,643,1738,1904,,719,679,,144,1774,
34991,34733,57869,37613,WAYNE COUNTY,19968,1126,37577,17009,37133,12088,13,15905,8328,19853,26,94031,26,19969,103693,33804,10418,17938,66712,1619,26,9567,61407,8160,16236,115046,WAYNE,10693,3022,17934,123131,26,67908,60652,3124,10837,19458,20802,18886,19457,12488,36067,63494,10814,19968,17231,8454,17591,35015,8421
8666,8634,11108,9148,MONTGOMERY COUNTY,4277,94,9146,2734,9096,3796,,2561,122,4262,,21266,,4277,23512,8425,150,2739,12141,105,,2278,11550,122,4373,25757,MONTGOMERY,150,483,2739,27173,,12263,11469,515,186,2929,5743,2895,2929,3892,8872,11756,150,4277,4512,144,2713,8667,122
19962,19864,28121,21314,LENOIR COUNTY,11521,196,21310,8971,21118,8352,11,8356,276,11470,23,43423,23,11522,47933,19489,412,9390,31457,237,23,6124,29662,276,10190,52801,LENOIR,412,1642,9390,55949,23,31929,29387,1686,427,10188,11303,9927,10188,8544,20666,30049,412,11521,10467,306,9247,19966,276
