Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
369,9003,9136,35320,CLEVELAND COUNTY,19879,10743,12666,,19879,35311,13859,34580,5689,32903,33376,285,33383,76504,10743,84044,4445,500,13906,50208,44725,323,13906,15872,,10679,,92365,Cleveland,13820,500,47676,47651,2424,369,97947,51102,9136,2507,522,15260,10743,18575,,15128,15260,369,13483,33212,47571,47092,500,16313,,19682,387,13163,10134,31690,51071,9136,19879
305,4515,4550,25295,SAMPSON COUNTY,11405,6840,7321,0,11390,25282,7847,25010,3725,23075,23205,204,23214,48081,6840,53473,2072,420,7970,33909,29732,236,7970,9116,14,6809,0,59389,Sampson,7902,420,31503,31480,1221,305,63531,34338,4550,1273,433,8610,6841,11637,0,8479,8610,305,7912,23873,32140,31282,420,9421,0,11324,319,7691,5797,22106,34312,4550,11390
273,2801,2839,17973,COLUMBUS COUNTY,8038,5187,5398,0,8026,17962,5958,17751,2749,16648,16771,199,16780,44013,5187,48224,1479,344,6328,24919,22112,227,6326,7529,12,5178,0,52603,Columbus,6248,344,23387,23370,1105,273,55508,25303,2839,1188,360,6970,5187,11419,0,6824,6970,273,6430,17449,23751,23169,344,7845,0,7979,279,6225,4228,16441,25276,2839,8026
69,884,888,9378,CASWELL COUNTY,4723,3833,1326,,4721,9368,1599,9252,2141,8858,8926,58,8934,18383,3833,19944,364,92,1413,11031,10019,69,1413,4023,,3810,,21496,Caswell,1399,92,10418,10408,271,69,22604,11191,888,380,110,1703,3835,5005,,1687,1703,69,3776,8992,10683,10326,92,4225,,4694,71,3694,2505,8624,11163,888,4721
104,337,352,8263,YANCEY COUNTY,4472,4120,812,,4472,8261,884,8120,2376,7699,7792,104,7794,14782,4120,15969,127,133,960,9290,8475,115,960,3752,,4090,,17212,Yancey,959,133,8885,8856,150,104,18069,9477,352,144,175,1039,4120,4744,,1037,1039,104,3607,7954,8971,8762,133,3866,,4427,131,3498,2503,7559,9433,352,4472
436,6688,6767,23192,LEE COUNTY,12726,5943,9556,0,12710,23172,10032,22566,3132,20887,21295,214,21304,47136,5943,52144,2669,640,10892,34489,30069,248,10892,9181,16,5897,0,57893,Lee,10711,640,32660,32623,1339,436,61779,35421,6767,1343,657,11572,5943,10404,0,11283,11572,436,7858,21611,32283,32034,640,9449,0,12585,464,7628,5801,20077,35384,6767,12710
10,1291,1297,8412,HERTFORD COUNTY,4389,3092,2656,,4389,8404,2869,8334,1778,7746,7793,10,7801,19299,3092,20898,620,25,3023,11614,10282,12,3023,3876,,3090,,22610,Hertford,2986,25,10847,10826,616,10,23677,11769,1297,609,50,3307,3092,4836,,3255,3307,10,3433,8187,11081,10742,25,4054,,4381,23,3250,2398,7616,11736,1297,4389
338,10198,10260,32636,ROCKINGHAM COUNTY,19013,8730,12529,0,18990,32617,13462,32203,5164,30740,30988,263,31001,72695,8730,79246,4995,478,13449,46934,42605,308,13449,15982,22,8694,0,86406,Rockingham,13263,478,44807,44775,2690,338,91010,47667,10260,2695,498,14533,8731,18996,0,14253,14533,338,13357,31104,45044,44341,478,16360,0,18892,357,13029,10159,29738,47628,10260,18990
500,12002,12088,27922,CARTERET COUNTY,18460,6370,11001,,18458,27915,11546,27637,3770,26231,26439,324,26443,57537,6370,62070,6410,563,12256,40783,37230,339,12254,15650,,6343,,66672,Carteret,11970,563,39216,39193,2411,500,69473,41470,12089,2350,603,12945,6371,17867,,12583,12945,500,13388,27070,39179,38701,563,16077,,18345,517,12915,10180,25729,41423,12088,18458
4949,183519,186860,468554,MECKLENBURG COUNTY,294338,107072,207798,329,294261,468179,217751,450677,27699,419627,432087,2034,432340,852079,107073,937616,50153,7722,241398,701710,610554,2528,241384,119671,372,104634,329,1037049,Mecklenburg,232417,7722,678742,678420,22078,4949,1110356,730702,186861,22394,7811,254337,107105,127686,131,243311,254285,4949,99922,426288,651761,656993,7722,124844,329,288482,5004,95559,77983,397807,730186,186860,294262
