Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
41,651,657,3764,JONES COUNTY,1972,1315,992,,1972,3762,1116,3695,787,3518,3553,26,3553,7704,1315,8314,343,58,1080,4947,4429,32,1080,1824,,1310,,8956,Jones,1064,58,4684,4674,220,41,9419,5047,657,235,75,1208,1315,2257,,1194,1208,41,1612,3553,4727,4623,58,1879,,1961,51,1578,1130,3396,5028,657,1972
237,6216,6315,16926,DAVIE COUNTY,11262,4947,6606,,11262,16912,6938,16491,2623,15886,16187,163,16198,33901,4947,37262,2876,348,7359,24415,22028,182,7359,8026,,4905,,40760,Davie,7202,348,23809,23783,1617,237,42846,25052,6315,1641,357,7769,4947,9279,,7576,7769,237,6401,15752,23038,23325,348,8224,,11121,252,6246,5499,15185,25029,6315,11262
77971,29120,29519,78826,CUMBERLAND COUNTY,48889,18816,45854,533,48868,78707,48925,76630,8387,71694,72948,6091,73003,252655,18817,277878,11226,91083,52504,225018,189639,7145,52503,36542,549,18558,533,310252,Cumberland,51093,93766,203524,203422,6093,77697,335509,229859,29520,6233,94350,56683,18820,40937,174,54622,56680,75431,25010,72857,212865,200484,94310,38388,533,48211,78017,24358,19787,68354,229697,29519,48869
338,2509,2517,20912,MCDOWELL COUNTY,8558,6028,2784,0,8545,20899,3150,20562,3007,19598,19852,218,19857,36617,6028,39943,1327,505,2921,24359,21891,270,2921,7923,12,5991,0,43474,Mcdowell,2901,505,23129,23111,539,338,45756,24744,2517,617,516,3316,6029,9517,0,3292,3316,338,7330,19641,23296,22837,505,8217,0,8500,351,7166,4334,18769,24720,2517,8545
425,1477,1478,10333,CHEROKEE COUNTY,5835,4244,2495,78,5800,10328,2784,10235,2846,9809,9877,179,9888,23877,4244,25640,842,552,2507,13588,12465,216,2507,6238,112,4234,78,27420,Cherokee,2507,552,12877,12809,785,425,28612,13748,1478,838,613,2802,4245,8723,49,2801,2802,425,5412,9948,13284,12741,552,6466,78,5789,482,5274,3737,9545,13682,1478,5800
,1075,1089,6608,CHOWAN COUNTY,3490,2400,1556,,3489,6602,1636,6515,1488,5783,5829,,5831,11164,2400,12171,583,0,1658,8256,7125,0,1658,3016,,2395,,13243,Chowan,1657,0,7489,7487,425,,13943,8362,1089,398,10,1744,2401,3521,,1741,1744,,2910,6282,7918,7440,0,3308,,3470,,2591,2071,5569,8346,1089,3489
820,31640,32584,89302,ORANGE COUNTY,61558,28942,22117,10,61536,89212,22328,83123,7490,79813,85236,343,85285,119925,28944,130842,9118,1167,24797,108691,96654,392,24797,22544,17,27828,10,142010,Orange,24139,1167,110941,110853,3034,820,148476,115636,32585,2963,1217,25117,28956,21654,0,24401,25113,820,19888,76796,100291,104772,1167,23243,10,59478,859,19167,16608,73717,115492,32584,61538
71,1899,1915,13839,ALEXANDER COUNTY,7044,5129,2418,,7044,13830,2615,13660,2627,13001,13128,59,13131,30040,5129,32781,936,89,2620,16557,15127,65,2620,5488,,5087,,35620,Alexander,2590,89,15861,15819,323,71,37497,16828,1915,336,134,2855,5129,7667,,2808,2855,71,5245,13263,15967,15662,89,5646,,6986,110,5106,3563,12638,16774,1915,7044
4556,54065,55023,170189,DURHAM COUNTY,112441,57324,49156,79,112426,170088,51006,162281,14453,154096,160312,1429,160368,255829,57325,275950,14942,6193,55493,224145,199739,1648,55493,41637,91,56168,79,301307,Durham,53625,6193,220441,220361,5748,4556,321488,234288,55023,5831,6237,57862,57327,43764,35,55671,57856,4556,35806,153717,210916,212277,6193,43285,79,110312,4580,34460,29430,146027,234137,55023,112427
962,11729,11877,54715,HENDERSON COUNTY,35502,23587,12705,0,35464,54694,13355,53287,13233,51426,52535,767,52547,95451,23587,103234,5673,1436,13787,68914,63033,875,13786,26376,31,23343,0,111764,Henderson,13518,1436,67316,67283,3852,962,117417,70688,11877,3899,1443,14530,23594,30961,0,14191,14530,962,22125,51013,65804,65906,1436,26899,0,35072,982,21757,18906,49366,70660,11877,35464
0,2769,2788,16903,PASQUOTANK COUNTY,7952,5162,4818,,7950,16873,5200,16504,2576,14806,15018,0,15031,31068,5163,34029,1342,28,5040,21959,19009,17,5040,6519,,5143,,37393,Pasquotank,5012,28,20086,20058,899,0,39824,22425,2788,970,42,5480,5164,6841,,5427,5480,0,6136,15816,21044,19818,28,7123,,7912,15,5620,3918,14191,22381,2788,7951
66,1002,1006,6126,PAMLICO COUNTY,3168,2162,1071,,3168,6126,1134,6069,1402,5827,5867,49,5867,10805,2162,11540,607,77,1156,7369,6869,52,1156,3365,,2159,,12261,Pamlico,1149,77,7101,7089,262,66,12726,7462,1006,267,93,1243,2162,3866,,1223,1243,66,3120,5959,7170,7042,77,3439,,3161,78,3054,2009,5732,7446,1006,3168
52,545,554,6258,MITCHELL COUNTY,2953,2399,955,,2953,6256,1051,6168,1282,5797,5852,52,5853,12229,2399,13195,271,102,1090,7461,6721,73,1090,2797,,2386,,14242,Mitchell,1087,102,7018,6994,239,52,14964,7571,554,256,115,1198,2399,3810,,1191,1198,52,2578,6064,7217,6936,102,2907,,2931,75,2506,1553,5714,7556,554,2953
13,1345,1357,10289,CURRITUCK COUNTY,4223,2866,1868,,4223,10279,2010,10200,1503,9176,9239,13,9245,21675,2866,23787,652,36,1984,12348,10829,20,1984,4069,,2855,,26216,Currituck,1963,36,11257,11236,360,13,27763,12485,1357,369,48,2148,2866,4551,,2112,2148,13,4211,9967,12013,11152,36,4600,,4200,28,3696,2155,8948,12463,1357,4223
1491,28160,28301,65429,BRUNSWICK COUNTY,48445,20095,21412,43,48439,65408,22438,64831,13650,62100,62521,1134,62538,121795,20095,129086,17308,1818,23306,90586,83911,1243,23304,42701,47,20028,43,137478,Brunswick,22811,1818,87352,87316,6503,1491,142820,91862,28301,6298,1847,24586,20097,46605,29,23937,24584,1491,36286,63585,87841,86402,1818,43827,43,48231,1508,35064,30987,61008,91810,28301,48439
941,15888,16040,57660,DAVIDSON COUNTY,33285,17191,22079,17,33248,57629,23628,56475,9091,52744,53489,696,53506,131285,17192,144432,6805,1254,23782,82900,73507,783,23781,24902,51,17054,17,158409,Davidson,23484,1254,78253,78211,4387,941,167609,84538,16040,4443,1284,25594,17194,31089,17,25171,25592,941,20291,53904,78786,77169,1254,25517,17,32959,965,19819,15913,50487,84475,16040,33249
384,8841,8933,23779,FRANKLIN COUNTY,15484,6547,11501,,15480,23762,12092,23226,3056,22114,22501,246,22510,54524,6547,59978,3670,511,13017,37166,33214,277,13017,10226,,6494,,65799,Franklin,12746,511,35938,35902,1943,384,69685,38118,8933,1928,530,13809,6551,11935,,13429,13808,384,8231,22328,34931,35244,511,10436,,15335,411,8037,6726,21329,38081,8933,15480
0,6380,6451,21679,DARE COUNTY,12765,6309,4730,,12760,21667,5110,21305,3632,20588,20844,0,20849,30088,6311,32745,2642,10,5344,26854,24652,10,5344,9230,,6272,,35367,Dare,5157,10,26210,26188,593,0,37009,27483,6451,615,23,5781,6314,8201,,5539,5781,0,8830,20567,25687,25745,10,9455,,12652,17,8637,6274,19922,27458,6451,12762
1236,41202,41823,100389,NEW HANOVER COUNTY,70030,28129,41526,62,70014,100359,43601,98142,12829,93485,95112,853,95133,191812,28130,206724,15871,1841,47826,148054,133233,999,47825,40388,68,27677,62,223363,New Hanover,45913,1841,144216,144173,6058,1236,234473,152635,41823,6141,1858,50388,28139,43147,45,48071,50367,1236,34402,94599,140041,140634,1841,41542,62,68941,1257,33477,28745,90471,152567,41823,70015
151,1680,1709,12454,BLADEN COUNTY,5783,4073,3787,,5782,12447,4054,12228,2470,11347,11484,90,11490,26077,4073,28574,820,179,4146,16809,14880,98,4146,5594,,4058,,31131,Bladen,4116,179,15813,15781,658,151,32722,17128,1709,694,221,4453,4074,7459,,4402,4453,151,5014,11746,15979,15614,179,5806,,5738,177,4846,3290,10942,17079,1709,5782
95,975,990,8940,ANSON COUNTY,4402,3412,2275,,4402,8939,2503,8783,1852,8245,8333,69,8334,19608,3412,21306,416,121,2596,11743,10506,79,2596,3697,,3403,,23143,Anson,2582,121,11029,11024,378,95,24446,11935,990,424,131,2864,3412,4730,,2839,2864,95,3338,8647,11271,10922,121,3841,,4378,99,3250,2268,8136,11924,990,4402
,,,,"",31243,,,30687,30687,,,,,,,,,,,,,,,0,0,,,,31243,,30687,,"",,,0,0,,,,0,,,,,,,18422,,,,,,0,0,,0,30687,30687,,,18422,,0,,30687
