Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
24752,33461,32510,672,26214,14668,Carteret,299,677,8553,1838,26207,12531,7399,69473,672,36252,33440,1865,712,9326,17867,9310,12831,25721,34951,57537,14993,689,62070,8016,24756,24439,677,8016,36194,297
3713,4842,4739,325,3941,2091,Swain,108,486,923,155,3940,1828,725,14271,325,5439,4833,180,499,999,2803,999,1870,3856,5265,11137,2261,333,12138,795,3714,3689,486,795,5425,211
6868,7875,7716,,7438,3168,Avery,,,1051,221,7433,2947,923,17557,,8594,7872,228,,1156,4020,1151,3094,7348,8399,14969,3322,,15935,1004,6871,6793,,1004,8584,
14887,19688,18830,,16362,6873,Vance,,,5061,899,16346,5974,4450,44535,,21855,19675,930,,5493,8487,5484,6204,15636,20697,34092,7134,,37671,4788,14899,14380,,4789,21830,
18000,20896,20364,,19753,8593,Halifax,,,3220,674,19741,7919,2620,50010,,23310,20884,737,,3557,10690,3552,8209,19222,22442,39391,8946,,43237,2884,18012,17744,,2884,23293,
17909,21538,20929,20,19882,9017,Rutherford,10,21,3841,1123,19872,7884,3338,67029,20,24083,21506,1194,48,4153,14855,4147,8383,19362,23224,53422,9587,47,58398,3577,17914,17571,21,3577,24040,10
31157,43176,41513,,33458,15040,Nash,,,12181,2454,33445,12586,10772,94298,,47204,43166,2534,,13746,17956,13724,12995,32839,45020,73765,15529,,81106,12009,31166,30741,,12010,47169,
9546,11825,11464,,10472,4868,Ashe,,,2253,670,10467,4198,2081,27203,,12942,11821,629,,2470,7249,2464,4520,10281,12534,22479,5149,,24214,2275,9550,9383,,2275,12931,
12166,16864,16374,,12985,6862,Stokes,,,5171,1189,12978,5673,4399,45591,,18552,16858,1329,,5567,9917,5560,5877,12722,17893,37145,7206,,40306,4692,12172,11975,,4692,18538,
2436,2886,2850,,2659,1377,Graham,,,632,96,2658,1281,442,8441,,3302,2884,122,,643,2067,643,1324,2608,3240,6767,1446,,7414,448,2438,2408,,448,3301,
19323,25357,24372,,20859,8928,Pender,,,6384,998,20849,7930,5413,63060,,28048,25349,1087,,7189,11716,7175,8145,20313,26697,49058,9232,,53967,6026,19331,18959,,6026,28024,
33927,47026,45257,3764,35750,18032,Craven,335,3964,9793,2082,35733,15615,8665,102139,3764,50383,46983,2098,4016,10617,20103,10601,15847,34292,48049,80387,18206,3799,87409,9292,33935,32828,3964,9292,50298,261
198044,275250,260493,7269,208947,75743,Guilford,4013,7757,71823,11809,208853,59921,63245,537174,7269,296910,275174,12703,7770,80193,83442,79947,61188,199286,278866,418240,78063,7282,459608,69861,198107,189979,7757,69861,296557,4172
9404,10307,10022,,9900,4089,Madison,,,915,192,9895,3897,803,21755,,10925,10303,212,,1025,5034,1020,3954,9657,10572,17939,4166,,19327,899,9408,9219,,899,10915,
26998,36720,35101,,28486,14459,Chatham,,0,10124,2098,28467,12361,8963,74470,,39538,36706,2104,11,11041,18634,11008,12623,27408,37532,59661,14727,,65198,9708,27010,26138,0,9710,39475,0
59027,81973,78526,4909,62521,23217,Pitt,2599,5233,18903,2338,62487,18280,16175,180742,4909,89122,81936,2507,5256,21345,25045,21229,18541,60491,84627,142466,23762,4920,155511,18000,59053,57442,5233,18000,88949,2714
37201,47988,46213,44,38725,21077,Moore,0,68,11362,2802,38707,18275,9885,100880,44,51244,47958,2906,90,12429,24192,12375,18645,37667,49097,79328,21551,61,86466,10713,37214,36284,68,10713,51150,0
138909,189285,178643,339,148791,52769,Forsyth,25,432,51196,8616,148675,44128,45565,382295,339,205735,189181,8893,449,56495,62720,56289,45688,141290,192918,295401,54609,355,325690,49933,138996,132739,432,49934,205396,28
48925,74448,70776,,49985,22768,Iredell,,,26255,4010,49962,18758,23178,181806,,79080,74431,4055,,29095,29513,29060,19173,48408,74663,140623,23228,,156060,25506,48942,47598,,25506,79022,
13632,16115,15622,,14251,7230,Transylvania,,,2627,921,14249,6309,2397,34385,,16994,16114,939,,2743,10809,2738,6444,13748,16375,29099,7383,,30988,2482,13633,13225,,2482,16987,
7854,9232,9030,,8671,4025,Martin,,,1539,358,8668,3667,1315,22440,,10299,9229,392,,1628,5372,1628,3828,8414,9953,17917,4220,,19455,1375,7857,7715,,1375,10296,
7317,8963,8735,,7796,3592,Warren,,,1676,408,7792,3184,1505,19731,,9644,8959,407,,1848,5173,1843,3273,7653,9329,16200,3680,,17477,1642,7321,7230,,1642,9635,
3155,3799,3695,,3397,1665,Jones,,,739,152,3396,1513,610,9419,,4191,3799,177,,794,2257,794,1554,3300,4039,7704,1731,,8314,644,3155,3085,,644,4190,
14519,19582,18683,,15332,7284,Davie,,,5342,1354,15323,5930,4666,42846,,21174,19576,1422,,5842,9279,5831,6110,14716,20058,33901,7532,,37262,5057,14525,14017,,5057,21154,
67559,165037,157678,63499,72871,35610,Cumberland,5395,70914,34338,4394,72770,25821,28985,335509,65189,182458,164971,4824,70969,38618,40937,38561,26512,69668,172689,252655,36877,65220,277878,32223,67594,65194,68683,32223,182245,5541
16487,18304,17830,,17923,7142,McDowell,,,2139,396,17916,6746,1757,45756,,20129,18301,473,,2206,9517,2206,6942,17303,19442,36617,7415,,39943,1814,16490,16073,,1814,20122,
8533,10073,9967,,9209,5538,Cherokee,,,1856,549,9206,4989,1535,28612,,11069,10071,598,,1860,8723,1860,5189,9035,10891,23877,5787,,25640,1538,8535,8432,,1538,11066,
