Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
29376,37275,35952,148,34986,13740,Robeson,67,195,8850,1397,34973,12276,7116,130625,148,44945,37238,1549,230,9729,20565,9719,12861,33718,42763,98425,14489,176,109195,7714,29385,28688,195,7714,44887,79
4283,4897,4826,,4778,2627,Perquimans,,,711,151,4777,2476,585,13463,,5520,4895,178,,742,3671,742,2684,4693,5404,10957,2862,,11854,612,4285,4241,,612,5519,
62277,85035,80105,,67959,22471,Johnston,,,23422,2785,67931,19686,20160,209339,,94528,85007,3033,,26569,28558,26504,20313,64625,88047,156585,23346,,175612,22730,62304,59945,,22731,94435,
35418,48710,47017,,37997,17865,Randolph,,,14405,2874,37967,14991,12447,143667,,53529,48691,2933,,15532,26060,15517,15387,36760,51165,111702,18320,,123257,13273,35437,34570,,13273,53484,
2695,2813,2724,,2911,969,Hyde,,,136,36,2911,933,114,4937,,3053,2813,43,,142,1114,142,957,2809,2945,4098,1000,,4410,118,2695,2610,,118,3053,
4373,5363,5277,,4680,2424,Alleghany,,,1061,270,4676,2154,956,11137,,5782,5360,284,,1102,3116,1101,2253,4603,5664,9249,2537,,9915,987,4376,4321,,987,5777,
13970,18768,18143,,15470,6716,Duplin,,,5284,1100,15461,5616,4418,58741,,21315,18765,1168,,5845,11405,5841,5826,15035,20319,44760,6994,,49644,4795,13973,13725,,4795,21302,
3377,3716,3650,,3767,1602,Gates,,,354,98,3763,1504,310,11562,,4156,3715,105,,389,2418,389,1646,3696,4050,9230,1751,,10120,338,3378,3340,,338,4152,
23146,29032,28111,,24571,12233,Haywood,,,6278,1469,24564,10764,5553,62317,,31239,29027,1617,,6668,15572,6665,10990,23787,30065,50968,12607,,54941,5881,23151,22558,,5881,31229,
17092,21248,20638,,18502,8523,Stanly,,,4762,995,18499,7528,3999,62806,,23479,21246,1082,,4977,12123,4973,7864,17905,22667,49282,8946,,54008,4154,17094,16639,,4154,23472,
20926,84311,77183,79,24872,8625,Missing,0,30,63894,5647,24810,2978,57969,,79,94540,83940,5484,406,69262,,69108,3191,22330,86254,,8675,240,,62935,21134,19135,30,62937,93948,0
25028,32775,31484,,26772,11586,Wilson,,,8150,1385,26768,10201,7027,81801,,35863,32765,1448,,9091,15337,9070,10495,26033,34183,63224,11943,,69710,7737,25036,24457,,7739,35838,
1449,1549,1516,,1613,605,Tyrrell,,,130,33,1612,572,97,4016,,1747,1548,32,,134,810,134,591,1558,1688,3288,623,,3533,99,1450,1419,,99,1746,
30752,47211,45562,5868,33418,14697,Wayne,781,7482,11120,2269,33392,11647,9558,123131,5998,53218,47161,2421,7544,12256,20802,12235,12029,32586,50967,94031,15595,6033,103693,10411,30767,30136,7261,10411,53109,1145
7723,9420,9245,,8341,3990,Montgomery,,,1903,357,8341,3633,1635,27173,,10315,9420,398,,1974,5743,1972,3740,8158,10061,21266,4138,,23512,1697,7723,7610,,1697,10313,
17451,23407,22764,,18945,9206,Lenoir,,,6370,1277,18941,7929,5498,55949,,25957,23403,1338,,7012,11303,7002,8168,18670,25040,43423,9506,,47933,5952,17455,17266,,5952,25943,
10666,13681,13332,294,11427,5403,Scotland,109,307,3122,590,11426,4704,2456,34823,294,15245,13648,700,350,3468,6531,3456,4832,11271,14700,26793,5652,327,29381,2688,10666,10582,307,2688,15189,120
63420,79846,76083,,66996,23870,Alamance,,0,18280,3228,66976,20642,15447,169509,,86502,79831,3728,13,19493,29035,19464,21020,63512,81792,132145,24748,,145046,16411,63435,60636,0,16411,86440,0
2918,4095,3955,682,3288,1256,Camden,0,423,537,78,3283,1178,454,10867,682,4305,4067,91,457,560,1833,560,1301,3145,4105,8407,1392,710,9354,467,2918,2819,423,467,4266,0
7142,8686,8474,,7689,2648,Greene,,,1606,262,7686,2386,1377,21069,,9533,8685,287,,1844,3592,1841,2445,7628,9234,16884,2732,,18372,1543,7143,7097,,1543,9527,
34034,60872,59169,13936,36509,23768,Rowan,6810,14610,14851,2482,36503,14476,12214,142088,13936,66886,60847,2761,14635,15742,25371,15730,14830,35169,64630,110729,24622,13955,122048,12877,34039,33019,14610,12878,66843,7031
6756,7610,7463,,7373,3755,Northampton,,,935,238,7371,3517,786,19483,,8406,7609,271,,1033,5256,1033,3646,7233,8168,16132,3917,,17363,853,6757,6677,,853,8404,
17974,23932,23235,,20253,9920,Wilkes,,,6947,1433,20246,8487,5699,68412,,27525,23925,1639,,7272,15162,7266,8809,19601,26548,54628,10448,,59783,5951,17981,17536,,5951,27512,
23904,34243,32992,,25022,12121,Lincoln,,,10788,1627,25015,10494,9412,86111,,36990,34235,1670,,11968,15456,11955,10702,24585,35373,67981,12372,,74647,10331,23910,23580,,10333,36970,
24908,30880,29995,,26310,12383,Caldwell,,,6906,905,26301,11478,5637,82178,,33679,30874,1039,,7369,16769,7364,11722,25602,32508,65842,12761,,71809,5966,24914,24358,,5966,33665,
6916,8262,8027,,7321,4172,Polk,,,1431,674,7319,3498,1280,20724,,8836,8259,706,,1515,6644,1512,3620,7118,8549,17478,4326,,18752,1343,6919,6747,,1343,8831,
22269,29629,28772,,23469,11607,Surry,,,8393,1696,23456,9911,7087,71783,,32218,29619,1860,,8749,14964,8743,10136,22734,31127,56811,11996,,62223,7350,22279,21685,,7350,32199,
15215,17654,17258,522,16506,8472,Macon,353,528,2182,645,16499,7474,1813,35858,522,19330,17634,710,546,2278,10350,2278,7730,15984,18694,29260,8800,539,31614,1897,15218,14923,528,1897,19305,360
3219,4027,4005,,3534,2282,Clay,,,882,278,3534,2004,805,11231,,4419,4027,282,,885,3581,885,2093,3486,4368,9352,2375,,10050,808,3219,3200,,808,4419,
11593,14521,14109,,12255,5773,Yadkin,,,3415,651,12250,5122,2754,37667,,15925,14516,693,,3670,7711,3667,5251,11923,15338,29851,5944,,32660,2923,11598,11355,,2923,15917,
31790,79423,76537,31972,34931,17429,Onslow,2393,37402,16255,1938,34920,13098,13497,197938,32748,90554,79390,2153,37449,18174,19026,18147,13414,33810,86451,149343,18146,32775,162055,14852,31796,31068,36386,14852,90469,2579
13503,16403,15925,,14851,6227,Richmond,,,3311,459,14841,5768,2660,44829,,18512,16399,519,,3661,8183,3658,5953,14470,17781,34516,6472,,38043,2896,13507,13265,,2896,18499,
105794,154171,147547,12658,112300,49840,Buncombe,7004,13282,34985,7229,112256,35607,33112,261191,12658,163503,154125,7198,13297,37906,53494,37791,36440,107240,155507,213777,50928,12669,230148,35673,105828,101777,13282,35674,163329,7290
71093,104473,95884,,74808,24694,Union,,,31673,3312,74768,21382,28185,239859,,112712,104445,3514,,37904,31234,37798,21800,70655,102328,176616,25314,,202043,33352,71121,67699,,33352,112566,
61619,92366,86072,,66302,22974,Cabarrus,,,30013,3447,66275,19527,26977,216453,,100746,92350,3595,,34444,29064,34342,20040,62878,92891,161462,23635,,181104,30731,61633,59095,,30733,100617,
3331,4453,4356,,3789,2174,Washington,,,1378,327,3779,1847,1088,11580,,5210,4445,413,,1421,2932,1421,2010,3664,5042,9274,2423,,10083,1114,3339,3268,,1114,5200,
30629,41808,39804,11,32976,12728,Harnett,0,11,11956,1436,32952,11292,10062,135976,11,46383,41750,1548,59,13348,17458,13319,11645,31689,43656,100990,13193,54,112079,11110,30644,29731,11,11110,46282,0
27513,33852,32650,,29146,12684,Burke,,,7114,1183,29134,11501,5819,90485,,36888,33842,1347,,7742,18720,7717,11757,28244,35358,73860,13104,,79893,6329,27523,26831,,6329,36851,
76418,76443,74956,,84454,30128,Out of State,,,0,0,84421,30128,0,,,84454,76418,0,,0,,0,31905,82485,82485,,31905,,,0,76443,74956,,0,84421,
20668,30856,29654,3409,22054,8373,Granville,286,3617,7239,987,22043,7100,6294,60443,3409,33606,30840,992,3650,7902,10674,7883,7316,21121,31977,48058,8605,3418,52711,6763,20673,19951,3617,6765,33543,297
61099,86192,82788,,65178,27723,Gaston,,,26576,3985,65142,23738,22754,224529,,94769,86165,4284,,29591,36651,29522,24420,63629,90205,174276,28704,,191721,25066,61126,60034,,25066,94664,
15020,19126,18620,,16359,7551,Edgecombe,,,4466,847,16356,6704,3746,51472,,21331,19124,937,,4972,10509,4957,6924,16090,20556,39904,7861,,43948,4104,15022,14874,,4104,21313,
24415,27668,26676,,26310,7244,Watauga,,,3527,483,26287,6761,3114,56177,,29988,27644,511,,3678,9229,3675,7109,25468,28995,49022,7620,,51530,3229,24439,23562,,3229,29962,
9396,23322,22629,10291,10857,7213,Hoke,3657,11347,3753,394,10839,3162,3228,55234,10291,26454,23302,428,11348,4249,5854,4244,3322,10356,25456,40282,7700,10297,44624,3615,9410,9110,11347,3615,26430,3950
7031,8036,7876,,7901,3312,Bertie,,,1138,253,7899,3059,950,18947,,9122,8036,276,,1221,4479,1221,3311,7724,8862,15647,3587,,16854,1005,7031,6926,,1005,9120,
14110,17557,16925,,14982,6393,Person,,,3807,797,14973,5596,3253,39490,,19027,17551,843,,4045,7938,4040,5693,14388,18195,31361,6536,,34239,3441,14116,13672,,3441,19013,
17642,20726,20279,,18990,9395,Beaufort,,,3297,650,18980,8745,2804,46994,,22705,20720,714,,3715,11538,3709,9092,18683,21980,37669,9806,,41131,3078,17648,17475,,3078,22689,
49048,68589,65501,609,51210,24670,Catawba,383,620,20304,2761,51195,21526,17511,159551,609,73983,68544,3069,649,22124,29156,22090,21920,49158,70082,124631,25376,639,137151,18887,49062,47381,620,18888,73905,387
15157,22180,21202,4372,15989,6911,Jackson,922,6492,2390,366,15979,5623,1988,43938,4825,25187,22161,419,6541,2657,8759,2655,5776,15593,23793,36721,7295,4836,39175,2179,15165,14842,5810,2179,25126,1100
