Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56615,ROBESON COUNTY,4253,4300,2393,4164,4302,2616,2574,2512,1459,2618,1684,1684,1679,1652,934,12085,16825,8388,16825,16701,16423,8321,8388,8377,8204,3666,8388,16825,24844,25295,25430,25487,62470,16644,52519,55476,56743,17474,57793,61102,62650,Robeson,217,217,217,98,274,25213,25078,24627,11987,1497,1005,122048,1497,1005,1543,1497,605,1070,1005,407,98425,20565,130625,109195,ROBESON COUNTY,25213,14836,2438,16405,16156,16403,44702,44570,43449,14431,41460,13780,15209,15208,15016,2300,39455,40402,40464,13937,37734
6200,PERQUIMANS COUNTY,1196,1200,842,1170,1200,693,689,667,485,693,507,507,507,503,357,2382,2611,1099,2611,2606,2578,1707,1099,1098,1089,675,1099,2611,3667,3704,3710,3710,6698,3009,5948,6121,6216,3208,6408,6600,6734,Perquimans,,,,,,3710,3704,3667,2382,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3710,1148,258,1209,1197,1208,5505,5490,5403,2950,5260,1046,1102,1102,1094,237,5027,5098,5102,2772,4902
115693,JOHNSTON COUNTY,18235,18497,8269,17595,18510,8207,8020,7726,4333,8220,10290,10290,10215,9869,3936,22357,26651,34124,26639,26282,25449,11023,34122,33914,32925,11194,34124,26651,58874,60696,61261,61339,123310,26610,104560,112021,115980,27675,110963,119135,124023,Johnston,500,500,500,140,564,60761,60196,58374,22217,3700,2490,196283,3646,2466,3719,3454,1052,2506,2334,711,156585,28558,209339,175612,JOHNSTON COUNTY,60775,35233,4377,40802,39197,40750,79502,78860,76292,22246,72276,33468,38763,38742,37239,4250,72316,74461,74711,21649,68758
64060,RANDOLPH COUNTY,8837,8909,5098,8669,8912,3994,3944,3861,2569,3997,4915,4915,4893,4808,2529,15884,14742,18266,14736,14648,14409,7522,18266,18237,17988,8280,18266,14742,32520,33008,33125,33141,67616,20955,59996,62806,64229,21448,63135,66179,67840,Randolph,123,123,123,82,133,33002,32885,32397,15802,893,575,135556,893,575,959,893,560,670,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33008,21582,4354,23611,23083,23605,43270,43118,42203,16534,40660,20651,22555,22551,22076,4375,40155,40934,41004,16136,38770
3371,HYDE COUNTY,610,613,318,596,614,579,576,563,301,580,34,34,34,33,17,792,1854,87,1854,1845,1793,760,87,85,82,32,87,1854,1875,1930,1941,1941,3472,1077,3144,3288,3373,1097,3242,3388,3494,Hyde,,,,,,1941,1930,1875,792,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1941,165,52,179,177,179,3303,3293,3211,1045,3077,154,168,168,165,44,3123,3203,3205,1033,2990
6552,ALLEGHANY COUNTY,1487,1501,995,1478,1503,703,689,681,492,705,798,798,798,797,503,2195,2198,1868,2197,2184,2151,1120,1868,1866,1864,1075,1868,2198,4015,4050,4065,4066,6962,2777,6291,6468,6602,2862,6665,6848,7018,Alleghany,,,,,,4065,4050,4015,2195,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4066,1382,392,1424,1418,1424,5525,5503,5395,2445,5248,1283,1321,1321,1315,379,5153,5231,5243,2398,5008
27581,DUPLIN COUNTY,2990,3004,1864,2946,3004,1593,1581,1558,984,1593,1411,1411,1409,1388,880,6095,6234,5941,6230,6180,6075,3062,5941,5924,5837,2940,5941,6234,12249,12452,12519,12565,30070,8313,25421,26951,27643,8625,27572,29324,30165,Duplin,348,348,337,93,390,12171,12104,11912,6002,2199,1652,55126,2163,1634,2248,1941,474,1693,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12175,7978,1702,8826,8701,8823,19091,19048,18460,6449,17653,7681,8468,8467,8349,1718,16968,17462,17482,6264,16288
4625,GATES COUNTY,801,807,518,787,808,690,684,672,455,691,117,117,117,115,63,1296,2002,350,2001,1991,1973,1161,350,350,339,135,350,2002,2312,2341,2351,2363,4928,1886,4413,4558,4654,1978,4695,4858,5000,Gates,0,0,0,0,11,2351,2341,2312,1296,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2352,541,137,590,583,590,4261,4248,4185,1830,4064,514,551,551,547,140,3968,4031,4033,1746,3856
36108,HAYWOOD COUNTY,9521,9612,5944,9348,9618,6139,6049,5904,3813,6145,3473,3473,3472,3444,2131,12033,12955,9874,12954,12803,12490,6654,9874,9864,9730,5365,9874,12955,22322,22769,22930,22978,38080,14351,33993,35298,36276,14817,35857,37228,38323,Haywood,102,102,102,14,149,22828,22667,22220,12019,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22829,8286,2193,8747,8688,8739,27963,27808,27007,11923,26038,7659,8109,8106,8054,2059,26313,27071,27136,11781,25403
27986,STANLY COUNTY,3538,3563,2009,3490,3564,1392,1375,1354,808,1393,2171,2171,2163,2136,1201,8163,8408,7320,8408,8353,8188,4385,7320,7313,7237,3704,7320,8408,15522,15763,15825,15835,29629,9924,26474,27528,28065,10296,27962,29101,29755,Stanly,97,97,97,74,107,15728,15666,15425,8089,707,557,59178,707,557,760,707,357,614,557,298,49282,12123,62806,54008,STANLY COUNTY,15728,7210,1488,7673,7544,7672,21322,21250,20850,8451,20045,6813,7231,7231,7126,1464,19845,20198,20220,8162,19104
