COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Asian,COVID Confirmed Black African American,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Other,COVID Confirmed White,COVID Suspected 0-17,COVID Suspected 18-19,COVID Suspected 20-29,COVID Suspected 30-39,COVID Suspected 40-49,COVID Suspected 50-59,COVID Suspected 60-69,COVID Suspected 70-79,COVID Suspected 80-,COVID Suspected Age Unknown,COVID Suspected Hispanic,COVID Suspected Non-Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Suspected Female,COVID Suspected Male,COVID Suspected Gender Not Disclosed,COVID Suspected Gender Unknown,COVID Suspected Alaskan Native American Indian,COVID Suspected Asian,COVID Suspected Black African American,COVID Suspected Native Hawaiian Pacific Islander,COVID Suspected Race Not Disclosed,COVID Suspected Race Other,COVID Suspected White
0,0,0,21,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-26,3,0,10,5,20,41,54,55,43,7,10,206,22,113,119,6,0,8,4,67,2,12,8,137,10,2,18,22,23,46,53,62,37,1,10,242,22,134,118,0,1,3,3,73,0,7,13,175
0,1,1,4,9,11,5,9,2021-02-23,T,2021-02-19,2021-01-21,3,1,9,20,34,51,77,90,89,0,22,326,24,201,173,0,0,8,1,99,1,8,23,238,16,0,17,18,21,28,53,50,45,0,12,229,8,112,113,20,0,4,3,70,0,5,14,152
44,23,41,41,6,12,10,8,2021-02-23,T,2021-02-19,2020-10-12,2,0,4,6,12,25,24,29,19,1,9,92,17,62,59,3,0,2,2,28,0,13,6,69,21,7,27,25,19,48,56,50,55,0,17,252,18,155,134,0,1,2,1,80,0,11,17,179
4,2,3,0,8,9,9,8,2021-02-23,T,2021-02-19,2020-11-13,2,2,8,6,14,27,34,50,36,0,8,160,10,89,90,0,0,6,3,45,0,1,8,115,22,4,24,17,21,48,67,64,54,0,17,279,23,150,153,20,0,1,1,91,1,10,10,206
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-20,4,1,7,16,28,42,70,85,61,0,22,270,22,157,157,0,0,3,3,85,0,10,19,194,8,2,18,22,17,29,43,52,51,0,15,214,13,112,104,25,1,1,3,70,0,5,18,145
0,0,0,0,1,5,3,1,2021-02-23,T,2021-02-19,2021-02-16,7,0,10,16,21,32,62,68,52,0,14,235,15,141,127,0,0,2,4,73,0,2,14,171,9,0,9,12,24,35,47,51,24,0,10,189,12,93,92,24,2,3,0,53,0,6,15,134
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-04,4,0,15,21,20,54,81,97,89,7,17,342,29,214,168,6,0,10,1,80,0,12,14,271,9,1,14,22,22,40,59,51,47,1,6,248,12,135,105,25,1,4,1,80,1,4,10,166
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-08,1,1,13,12,20,52,68,86,57,1,15,263,33,152,159,0,0,2,0,80,0,11,14,204,11,3,21,30,30,48,73,77,51,0,13,309,22,175,145,23,1,7,4,115,1,12,8,197
54,38,47,53,34,34,34,26,2021-02-23,T,2021-02-19,2020-10-08,1,0,5,5,7,18,25,31,24,0,11,78,19,49,57,2,0,2,0,26,0,1,12,67,14,3,28,27,33,49,68,69,49,2,10,288,30,173,156,0,0,3,5,75,0,16,16,220
47,27,46,46,8,20,14,13,2021-02-23,T,2021-02-19,2020-10-13,1,1,5,8,14,25,37,35,36,0,12,123,20,89,71,6,1,5,1,36,0,2,13,104,27,4,28,41,26,61,67,77,68,0,18,331,30,195,183,0,2,5,3,104,0,22,23,223
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-19,1,1,13,15,18,38,80,93,64,0,16,291,16,162,161,0,0,4,2,67,0,2,21,227,8,3,22,14,24,44,53,59,49,0,17,241,18,136,107,30,3,1,1,75,1,5,19,174
1,1,1,1,0,0,0,0,2021-02-23,T,2021-02-19,2021-02-07,4,1,5,9,22,36,50,52,47,2,11,195,21,116,110,0,1,5,3,78,0,6,10,125,9,0,10,15,15,25,41,35,33,0,4,169,10,85,83,15,0,3,3,54,0,3,8,112
1,1,1,17,3,4,4,4,2021-02-23,T,2021-02-19,2020-11-01,1,2,3,5,9,16,20,32,26,0,6,93,15,63,52,0,0,5,1,41,0,7,5,55,6,2,10,20,15,33,44,52,38,0,9,198,13,104,100,0,0,3,1,50,0,6,9,151
4,4,4,2,3,7,3,3,2021-02-23,T,2021-02-19,2020-11-12,4,0,7,9,18,25,36,46,36,0,14,157,6,90,91,0,0,1,0,47,0,5,9,119,21,1,17,15,17,43,57,54,60,0,13,255,17,149,116,22,0,1,1,72,1,8,11,191
33,31,34,34,25,25,25,19,2021-02-23,T,2021-02-19,2020-10-04,1,0,6,2,7,12,20,26,19,3,7,71,12,53,33,4,0,2,0,23,1,7,8,49,23,0,17,36,22,45,37,49,35,3,15,235,18,140,124,3,0,2,3,81,0,11,19,151
0,0,0,20,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-18,3,0,6,6,25,39,40,51,41,1,16,176,20,111,99,1,1,3,1,59,1,7,18,123,18,5,19,21,26,43,45,66,52,0,13,273,9,145,129,0,1,4,3,86,0,4,15,183
0,0,0,0,2,2,2,2,2021-02-23,T,2021-02-19,2020-12-07,2,2,12,18,24,42,66,64,43,1,15,245,14,152,122,0,0,8,0,79,1,4,18,164,12,2,13,22,25,42,56,52,44,1,12,243,14,120,130,17,2,1,2,79,0,4,17,166
7,8,8,8,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-03,2,0,10,12,25,45,60,83,69,0,10,281,15,143,163,0,0,3,3,68,0,4,15,213,9,3,20,27,32,32,68,65,57,0,11,290,13,136,149,26,2,1,0,86,2,3,12,209
0,0,0,0,2,2,2,2,2021-02-23,T,2021-02-19,2020-12-06,3,2,6,13,29,46,54,67,42,2,21,221,22,128,136,0,0,7,0,65,1,6,19,166,16,5,23,23,30,46,53,44,42,0,13,257,12,136,120,24,2,2,1,85,0,4,9,181
1,0,1,4,11,11,11,0,2021-02-23,T,2021-02-19,2020-12-30,5,0,15,19,31,55,72,106,93,6,21,330,37,198,185,5,0,6,5,104,1,10,20,242,11,1,14,24,24,49,53,61,62,1,19,254,26,136,127,31,2,0,3,72,0,3,24,197
2,2,2,20,0,2,1,0,2021-02-23,T,2021-02-19,2020-11-24,3,2,6,15,16,34,51,73,53,1,20,215,17,130,123,1,0,0,1,57,0,11,15,169,17,1,17,22,19,40,50,71,53,0,11,254,25,136,136,0,0,1,1,86,0,9,13,180
9,5,6,21,9,9,9,8,2021-02-23,T,2021-02-19,2020-10-19,1,0,2,3,6,17,25,31,25,0,7,93,9,61,47,0,1,1,1,35,0,0,6,66,14,1,10,19,24,29,55,41,40,0,5,208,16,119,96,0,2,0,0,68,1,4,11,148
0,0,0,1,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-12,8,2,23,23,37,70,100,117,125,1,30,436,40,263,240,1,2,13,8,137,0,12,23,313,8,1,12,23,23,48,64,51,64,0,22,254,18,148,123,21,1,2,2,73,0,9,18,190
3,0,2,1,8,9,8,5,2021-02-23,T,2021-02-19,2020-10-21,1,0,6,3,10,15,30,44,22,1,9,115,4,63,66,0,0,1,1,36,0,2,8,81,18,1,18,21,23,38,58,60,35,1,12,248,11,143,112,17,1,3,3,68,1,3,14,180
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-17,2,4,12,11,20,49,71,91,65,0,17,280,28,164,161,0,0,8,9,65,1,7,14,221,12,3,18,24,17,35,54,66,52,1,9,260,13,153,97,32,0,3,2,77,1,4,10,185
1,1,1,1,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-15,5,5,19,23,35,66,73,97,84,0,30,355,22,203,203,1,0,4,4,119,1,3,24,252,15,2,21,15,31,53,66,73,57,0,20,296,17,153,152,27,1,3,2,93,0,5,13,217
0,0,0,0,0,3,0,0,2021-02-23,T,2021-02-19,2021-02-15,0,0,5,10,17,35,31,33,43,0,6,157,6,81,90,0,1,3,1,56,0,3,5,104,5,1,6,9,19,18,30,28,30,0,8,133,5,60,64,22,0,2,0,48,0,3,10,83
58,50,56,60,27,27,26,8,2021-02-23,T,2021-02-19,2020-10-09,2,2,8,12,10,18,26,19,15,1,5,82,7,43,50,0,1,1,3,25,0,0,5,61,16,2,26,33,24,52,62,60,47,0,15,277,22,170,138,0,4,2,5,87,3,6,16,197
0,0,0,5,0,3,0,0,2021-02-23,T,2021-02-19,2020-11-05,3,1,3,6,12,27,41,47,30,0,10,148,9,78,92,0,0,4,1,57,0,2,8,98,18,6,24,21,27,47,56,66,44,2,14,284,13,165,126,15,0,4,1,93,0,7,7,199
2,0,0,0,8,11,10,4,2021-02-23,T,2021-02-19,2021-01-09,2,0,17,20,36,57,114,107,102,6,25,408,21,230,227,0,0,5,8,120,1,7,22,292,12,2,14,16,27,30,66,66,51,0,17,244,21,152,107,25,0,3,1,86,1,12,17,164
3,2,3,11,2,4,3,4,2021-02-23,T,2021-02-19,2021-01-25,5,2,13,16,19,48,57,79,68,0,20,273,14,150,159,0,0,3,3,82,0,8,17,195,7,0,11,18,23,24,41,40,32,0,8,178,9,88,82,17,0,1,1,64,0,6,9,114
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-29,7,1,8,18,25,50,51,84,53,0,12,267,18,163,134,0,0,10,3,98,0,7,8,171,11,2,12,22,25,39,52,54,31,0,16,225,7,114,103,31,0,4,1,70,0,8,11,154
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-22,6,3,16,13,36,78,81,97,82,10,20,357,45,215,204,3,0,5,5,110,0,16,18,268,7,4,18,19,26,48,63,66,59,0,14,277,19,148,129,31,2,2,3,88,0,5,15,197
0,0,0,0,4,4,6,4,2021-02-23,T,2021-02-19,2020-12-10,4,2,8,16,25,46,73,74,60,0,14,275,19,150,158,0,0,4,0,91,0,4,15,192,25,2,25,26,25,44,66,75,57,0,15,308,22,169,151,24,1,5,0,108,1,9,15,207
11,10,11,30,11,12,8,10,2021-02-23,T,2021-02-19,2020-10-16,2,1,7,8,6,23,29,37,27,0,11,118,9,60,79,0,0,4,2,42,0,5,8,81,13,2,14,23,28,42,47,63,48,0,11,243,25,135,124,0,1,4,1,71,0,12,8,183
4,3,4,23,6,6,6,6,2021-02-23,T,2021-02-19,2020-11-14,1,2,11,15,16,35,33,53,37,0,11,176,16,102,101,0,0,4,5,52,0,7,12,123,26,2,18,29,25,39,51,55,52,0,12,263,21,147,129,0,1,4,5,74,1,13,16,183
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-04,2,1,4,11,27,36,75,77,68,4,18,274,13,155,148,2,0,2,6,71,0,9,14,203,13,0,18,33,33,51,55,69,41,1,12,283,19,157,132,24,1,1,3,96,0,6,15,193
2,2,2,2,2,2,2,2,2021-02-23,T,2021-02-19,2021-01-16,1,1,17,18,32,60,101,109,117,0,15,418,23,235,221,0,0,13,4,124,0,2,22,291,9,2,10,21,19,47,53,67,53,0,16,253,12,133,120,0,28,2,1,81,1,4,14,178
5,3,1,20,14,17,16,16,2021-02-23,T,2021-02-19,2020-10-24,2,0,7,10,13,23,45,32,38,0,11,151,7,91,81,0,0,0,1,53,0,2,9,105,11,2,16,21,22,30,45,45,45,0,8,214,13,119,101,0,0,4,2,65,0,5,12,151
0,0,0,0,13,14,13,13,2021-02-23,T,2021-02-19,2020-12-11,3,0,9,12,23,44,63,88,75,2,17,272,29,170,149,0,0,4,2,87,1,4,15,206,11,1,15,25,18,35,71,62,43,0,12,250,19,139,117,25,0,5,2,72,0,11,11,180
0,0,0,19,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-27,2,0,11,9,19,17,43,41,34,2,9,151,18,86,91,1,0,9,1,60,0,4,8,96,4,2,8,12,14,36,41,46,35,0,6,179,13,86,93,0,0,2,2,67,1,2,9,115
0,0,1,19,2,4,2,0,2021-02-23,T,2021-02-19,2021-02-17,8,2,8,10,19,35,52,38,42,0,13,189,7,101,110,0,0,2,0,71,0,3,15,120,6,0,13,16,12,32,36,43,41,0,14,177,7,88,90,0,1,2,0,52,0,4,12,127
3,2,3,20,2,5,1,1,2021-02-23,T,2021-02-19,2020-10-29,0,0,10,8,12,10,36,48,27,0,8,130,9,77,73,0,0,4,2,44,2,2,4,93,17,2,23,22,24,45,65,41,48,0,14,257,15,159,110,0,0,2,2,68,1,5,16,192
0,0,0,0,3,5,5,1,2021-02-23,T,2021-02-19,2021-01-03,5,1,10,20,22,70,87,105,95,11,21,355,46,211,205,8,0,6,4,91,0,15,14,292,15,1,9,15,21,35,55,63,53,0,9,235,23,113,128,25,1,1,3,64,0,7,15,177
0,0,0,14,1,1,1,1,2021-02-23,T,2021-02-19,2021-02-14,1,0,12,12,15,33,47,46,38,0,8,190,6,113,91,0,0,3,0,56,0,2,11,132,7,2,10,15,16,21,29,33,26,0,6,150,3,81,64,0,0,2,0,59,0,3,4,91
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-13,2,1,10,12,17,40,70,76,66,1,16,261,18,142,153,0,0,3,4,90,0,6,11,181,10,1,19,18,22,38,44,46,59,1,14,223,21,121,115,22,0,3,1,70,1,7,12,164
30,30,29,46,5,0,5,4,2021-02-23,T,2021-02-19,2020-10-15,3,1,6,6,12,27,35,30,23,0,9,113,25,63,77,2,0,3,0,39,1,6,7,86,16,0,22,24,28,29,44,50,40,0,17,218,18,120,117,0,0,6,1,92,1,7,10,137
3,2,3,18,9,9,14,11,2021-02-23,T,2021-02-19,2020-11-15,4,1,7,10,15,19,32,39,28,1,17,129,12,76,82,0,0,2,3,41,0,4,11,92,17,2,19,24,26,34,47,39,44,0,16,213,22,126,109,0,1,2,2,70,0,10,12,155
0,0,0,24,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-28,5,0,7,13,24,37,48,66,54,2,20,219,17,118,136,2,0,3,4,68,0,8,16,157,12,2,24,16,19,39,49,53,49,0,14,232,17,119,116,1,3,1,2,76,0,5,21,158
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-27,5,0,9,18,26,51,82,98,83,3,26,327,22,192,182,1,0,1,0,94,1,2,30,247,12,2,18,18,26,34,54,58,62,4,13,252,23,133,126,28,1,4,2,78,2,2,21,179
2,2,2,17,13,14,14,13,2021-02-23,T,2021-02-19,2020-10-23,2,0,7,6,12,16,32,35,31,3,9,116,18,85,59,0,0,4,2,40,0,3,9,85,18,5,15,25,19,27,51,49,42,0,16,218,17,126,110,0,0,4,1,68,0,6,14,158
2,3,4,10,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-04,0,1,5,10,20,27,35,36,35,2,8,149,14,87,83,1,0,1,0,54,0,5,9,102,11,1,16,31,28,41,64,63,56,1,13,279,22,154,133,19,0,1,1,70,0,12,20,208
0,0,0,18,0,1,0,0,2021-02-23,T,2021-02-19,2021-02-19,1,1,2,10,11,32,39,47,25,0,11,141,14,83,84,0,0,5,1,57,1,3,8,92,2,2,6,11,21,22,41,32,33,0,13,150,7,79,73,0,0,3,2,65,1,2,10,87
5,0,3,21,3,5,3,1,2021-02-23,T,2021-02-19,2020-10-28,2,1,4,14,13,23,26,48,21,0,17,125,6,74,76,0,0,2,0,50,0,3,10,85,10,3,10,24,36,37,46,56,56,0,9,245,19,137,120,0,0,5,2,71,0,3,10,184
4,0,4,0,3,4,5,3,2021-02-23,T,2021-02-19,2020-11-09,2,1,10,9,13,31,30,45,34,0,13,148,13,89,86,0,0,1,4,48,1,2,11,106,15,2,27,18,29,56,41,56,41,3,8,265,11,131,138,15,4,0,2,91,1,9,10,171
4,1,4,24,4,5,2,3,2021-02-23,T,2021-02-19,2020-10-30,2,0,3,5,14,31,26,36,35,0,11,132,7,73,78,0,0,2,6,32,0,2,15,96,14,2,18,10,40,38,51,57,45,0,14,243,15,138,113,0,1,1,5,56,2,8,14,186
6,4,5,23,0,3,2,0,2021-02-23,T,2021-02-19,2020-11-16,1,0,5,11,16,34,38,47,41,2,13,161,18,101,90,4,0,7,0,55,1,8,11,111,8,5,24,21,35,43,51,60,50,0,12,269,14,140,138,0,0,3,2,90,0,5,15,181
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-31,5,2,9,11,19,45,58,71,66,0,10,254,22,152,134,0,0,5,1,93,1,2,13,171,10,2,9,8,16,40,51,46,36,0,8,205,5,107,89,21,1,0,2,60,0,1,8,147
4,4,4,4,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-05,5,1,10,13,27,44,57,81,57,0,16,256,23,143,152,0,0,2,1,78,0,10,14,190,13,2,23,25,25,42,51,61,57,0,17,262,20,141,138,20,0,1,1,86,1,9,15,186
7,4,5,17,4,9,6,4,2021-02-23,T,2021-02-19,2020-10-26,5,1,7,8,7,14,32,34,16,3,10,102,10,67,60,0,0,3,1,34,0,5,8,74,12,1,16,23,22,31,47,33,42,0,5,211,8,115,99,0,0,1,3,50,1,7,9,155
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-09,3,1,7,15,24,51,78,85,59,1,20,267,37,165,155,3,1,2,5,89,1,6,23,198,13,1,23,25,34,48,65,73,54,0,16,286,34,173,141,22,0,6,2,90,2,10,19,207
0,0,0,2,3,3,5,3,2021-02-23,T,2021-02-19,2021-01-01,8,2,17,24,23,53,80,110,111,11,18,389,32,220,210,9,0,4,4,95,0,12,16,306,11,0,16,20,27,42,57,68,54,1,12,269,15,132,133,29,0,4,2,81,0,5,8,196
8,6,10,27,1,3,1,0,2021-02-23,T,2021-02-19,2020-10-27,1,1,6,9,12,28,27,46,15,0,9,123,10,63,81,0,0,2,1,41,0,3,11,86,16,1,27,12,22,49,51,54,55,0,7,264,14,144,122,0,0,2,1,86,0,3,7,184
0,0,0,18,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-25,1,0,3,8,10,30,46,56,50,5,9,179,21,100,104,5,0,2,1,63,0,9,7,127,10,2,18,19,19,39,47,61,52,1,5,246,17,141,109,0,0,1,1,89,1,4,11,161
9,6,8,23,5,7,5,3,2021-02-23,T,2021-02-19,2020-10-31,0,0,9,3,13,20,35,34,25,0,8,119,8,70,67,0,0,0,1,46,1,4,6,79,11,1,24,29,13,38,53,50,38,0,11,229,14,127,108,0,5,2,3,63,0,8,11,168
0,0,0,25,5,5,4,10,2021-02-23,T,2021-02-19,2021-02-05,3,0,12,8,14,43,64,92,55,1,10,267,20,143,154,0,0,4,0,94,0,4,13,183,11,1,10,19,20,36,47,56,45,0,12,220,6,114,98,0,0,2,2,67,0,5,10,153
4,4,3,23,11,13,11,10,2021-02-23,T,2021-02-19,2020-10-20,3,1,5,9,13,30,30,45,26,0,11,138,10,79,82,0,0,1,4,53,0,2,9,92,19,2,15,24,25,43,60,70,48,0,12,280,14,137,149,0,1,1,2,67,0,5,12,220
2,2,2,7,3,8,10,2,2021-02-23,T,2021-02-19,2021-01-24,7,1,8,14,29,43,90,78,68,0,22,281,29,173,164,0,0,9,4,117,0,6,21,173,11,3,10,24,18,34,42,55,38,0,18,207,10,97,111,22,0,3,4,67,0,4,19,138
8,5,10,8,4,5,4,4,2021-02-23,T,2021-02-19,2020-11-08,2,0,2,11,9,14,21,39,19,2,5,106,7,51,66,2,0,2,0,23,0,2,5,87,15,1,16,21,24,33,61,60,41,3,9,228,38,127,131,14,3,1,1,82,0,11,13,165
4,2,3,23,4,5,4,2,2021-02-23,T,2021-02-19,2020-11-17,2,0,8,12,18,41,47,63,29,2,19,185,15,115,103,2,0,4,1,55,0,4,18,138,21,4,28,21,25,51,65,70,66,0,13,312,24,168,161,0,1,0,3,83,0,8,16,240
