COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Asian,COVID Confirmed Black African American,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Other,COVID Confirmed White,COVID Suspected 0-17,COVID Suspected 18-19,COVID Suspected 20-29,COVID Suspected 30-39,COVID Suspected 40-49,COVID Suspected 50-59,COVID Suspected 60-69,COVID Suspected 70-79,COVID Suspected 80-,COVID Suspected Age Unknown,COVID Suspected Hispanic,COVID Suspected Non-Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Suspected Female,COVID Suspected Male,COVID Suspected Gender Not Disclosed,COVID Suspected Gender Unknown,COVID Suspected Alaskan Native American Indian,COVID Suspected Asian,COVID Suspected Black African American,COVID Suspected Native Hawaiian Pacific Islander,COVID Suspected Race Not Disclosed,COVID Suspected Race Other,COVID Suspected White
1,0,1,1,6,6,4,6,2021-02-23,T,2021-02-19,2020-11-21,2,2,9,11,14,27,64,60,43,0,12,196,24,118,114,0,0,2,1,64,0,7,11,149,15,0,21,24,32,31,40,52,56,0,12,246,12,121,126,23,0,2,3,67,1,5,14,178
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-29,6,2,11,16,25,50,84,93,92,3,25,319,38,185,194,3,0,13,7,101,2,7,17,235,6,0,13,14,26,47,46,72,62,0,13,258,15,132,117,37,0,6,2,69,1,3,12,193
0,0,0,0,22,22,22,22,2021-02-23,T,2021-02-19,2020-12-25,3,0,7,17,30,49,67,96,83,2,15,318,21,164,188,2,0,5,2,104,0,5,17,221,12,1,7,10,20,28,63,59,52,2,13,225,16,117,112,24,1,4,3,68,0,8,16,155
63,36,63,57,30,32,31,20,2021-02-23,T,2021-02-19,2020-10-10,2,1,10,7,7,26,29,30,30,0,13,102,15,69,60,3,0,3,3,42,0,2,8,73,26,3,28,28,22,51,62,60,54,1,19,273,17,178,136,1,0,0,3,89,0,14,13,190
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-02-02,7,0,8,22,24,43,70,84,84,0,14,311,17,188,154,0,0,9,6,101,1,4,18,203,12,3,7,19,23,43,57,70,41,0,12,252,11,135,116,24,0,3,1,88,1,3,21,158
67,48,63,63,25,25,25,19,2021-02-23,T,2021-02-19,2020-10-07,1,1,7,7,9,17,25,23,21,0,9,88,8,55,50,0,0,1,1,34,0,0,8,61,28,6,21,33,25,43,58,63,52,3,14,277,25,166,152,0,2,2,5,81,0,13,16,203
0,0,0,8,0,0,2,1,2021-02-23,T,2021-02-19,2020-11-03,3,0,9,4,14,27,38,32,31,0,11,138,10,84,75,0,0,0,0,42,0,3,11,101,5,1,16,23,28,62,69,68,55,3,19,277,34,158,142,0,22,1,0,86,3,5,25,210
4,1,1,1,3,7,3,0,2021-02-23,T,2021-02-19,2021-01-07,5,2,21,16,35,48,101,118,92,21,22,395,35,247,193,16,0,8,7,132,0,22,23,264,13,4,16,18,21,43,55,65,53,0,12,259,14,149,112,27,0,3,3,87,1,5,11,178
43,24,33,38,10,19,14,14,2021-02-23,T,2021-02-19,2020-10-14,2,0,6,10,7,18,30,27,17,0,6,92,14,55,61,4,1,3,3,30,0,2,4,75,14,1,17,26,21,46,51,56,42,0,13,220,22,132,127,0,1,3,1,86,0,4,15,156
2,0,0,3,4,4,5,1,2021-02-23,T,2021-02-19,2021-01-08,4,0,13,32,36,60,92,97,84,21,22,373,41,212,210,13,1,10,2,101,0,24,26,272,14,0,17,21,22,50,61,48,52,0,11,257,15,125,132,24,1,5,7,74,1,6,21,171
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-24,3,2,8,17,33,67,99,97,76,5,25,347,35,188,215,4,0,3,3,115,1,15,17,253,12,1,17,16,20,36,51,57,47,0,15,224,18,118,117,22,0,4,1,78,1,8,14,151
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-18,2,2,12,15,21,43,64,71,73,1,12,274,18,146,158,0,0,5,3,94,1,3,11,187,14,1,11,19,18,34,43,45,44,0,13,211,5,106,101,22,0,0,2,70,0,3,12,142
0,0,0,2,1,1,1,1,2021-02-23,T,2021-02-19,2020-11-07,1,0,5,10,8,23,40,38,26,1,12,134,6,74,76,2,0,1,3,39,0,6,8,95,14,2,20,28,31,41,76,60,57,0,14,292,21,141,166,18,0,3,3,107,0,8,13,194
2,2,2,2,1,1,1,1,2021-02-23,T,2021-02-19,2021-01-28,5,1,18,15,26,47,83,90,55,0,17,301,22,182,158,0,0,8,4,109,0,4,13,202,14,1,19,20,28,37,56,50,50,0,15,248,12,137,116,22,0,2,3,74,0,8,9,179
2,1,2,12,6,9,6,1,2021-02-23,T,2021-02-19,2021-01-27,5,3,15,22,30,46,80,95,86,0,25,330,19,197,180,0,0,6,5,114,0,7,25,220,13,1,13,17,19,38,61,57,48,0,15,235,16,126,119,11,0,4,1,79,0,5,18,159
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-02-11,3,0,9,15,14,37,46,52,39,0,11,186,18,108,107,0,0,2,2,65,0,4,12,130,13,1,15,17,27,39,49,39,37,0,13,208,16,117,98,21,1,2,2,65,2,7,20,139
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-23,5,1,15,15,33,43,81,102,93,0,20,343,25,208,177,3,0,3,4,107,0,8,20,246,6,0,19,17,27,37,60,48,48,1,15,237,11,145,84,33,1,1,2,66,1,4,10,179
49,41,49,48,28,28,28,20,2021-02-23,T,2021-02-19,2020-10-05,3,1,1,7,15,11,17,23,27,3,7,76,17,54,42,3,1,2,0,30,1,5,2,60,23,4,19,34,22,42,51,49,45,3,14,247,26,177,108,2,1,4,2,74,0,14,18,175
60,44,59,57,33,34,34,22,2021-02-23,T,2021-02-19,2020-10-01,0,2,6,4,5,12,15,19,24,2,6,66,5,38,38,2,0,2,4,27,0,4,3,37,11,6,29,24,24,30,49,57,44,2,13,237,12,144,120,0,1,1,1,72,0,10,11,168
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-16,1,2,10,15,24,50,74,80,68,0,15,285,24,155,169,0,0,2,2,89,1,6,15,210,12,0,24,20,25,48,64,63,58,0,8,286,20,151,137,26,0,2,7,101,1,5,11,187
1,0,0,3,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-06,2,0,6,13,16,32,30,38,31,0,6,153,9,89,77,2,0,3,3,44,0,6,9,103,20,4,16,17,31,60,67,66,55,0,16,290,28,175,145,0,12,4,4,93,0,6,15,213
4,0,4,8,5,12,5,5,2021-02-23,T,2021-02-19,2020-11-11,2,1,3,6,14,31,38,43,27,0,18,136,4,78,87,0,0,3,3,39,0,6,15,99,19,3,28,24,29,54,74,50,48,2,15,292,21,149,163,12,0,1,2,81,0,9,11,224
3,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-06,4,1,13,31,30,64,105,121,92,15,19,412,45,246,217,13,0,7,10,119,0,22,22,296,8,1,13,24,27,50,62,79,69,2,8,303,21,145,152,37,1,2,4,90,0,10,15,214
0,0,0,1,5,5,5,5,2021-02-23,T,2021-02-19,2020-11-19,2,0,8,13,21,27,47,48,57,0,13,185,25,111,112,0,0,3,5,52,0,6,15,142,17,2,16,21,30,45,51,47,57,0,12,258,16,147,125,13,0,1,1,77,0,5,16,186
0,0,0,23,0,0,0,0,2021-02-23,T,2021-02-19,2021-02-18,4,1,9,14,17,23,44,51,24,0,11,167,8,81,105,0,0,6,2,58,0,1,13,105,8,1,7,15,20,32,34,43,32,0,5,181,6,88,80,0,0,2,1,54,2,1,8,124
8,5,5,24,4,4,5,3,2021-02-23,T,2021-02-19,2020-10-17,0,0,5,4,6,22,23,21,24,0,6,93,5,51,52,0,1,5,0,34,0,0,4,60,20,1,22,18,19,36,44,54,31,0,11,218,13,99,124,0,3,0,0,69,0,3,12,161
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-01-19,3,2,8,25,28,54,79,111,83,0,13,348,32,187,205,0,1,7,5,116,1,9,14,241,9,0,13,18,24,29,55,54,51,0,6,233,14,101,124,28,0,2,2,71,1,10,10,157
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-21,2,2,6,12,35,53,82,79,72,3,17,296,33,167,177,2,0,5,4,72,0,6,22,237,5,0,11,21,32,43,40,56,49,1,9,224,25,127,102,28,1,3,4,75,0,6,11,159
