At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - NC
5094,6890,3728,6889,6835,6718,3369,3728,3727,3651,1705,3728,6890,10412,10605,10660,10698,23756,7249,20641,21548,21985,7483,22297,23327,23871,Richmond,43,43,43,20,80,10617,10562,10369,5074,469,326,42075,469,326,537,469,198,392,326,153,34516,8183,44829,38043,RICHMOND COUNTY,10618,5120,782,5662,5574,5662,17672,17625,17284,6503,16708,4704,5202,732,5202,5127,16373,16095,6364,15611,16391
43737,65126,49302,65097,64062,61937,25668,49302,48977,47623,17970,49302,65126,109790,113269,114629,114748,182624,49495,159304,167902,174613,51022,166882,175991,184328,Buncombe,230,230,230,99,320,114399,113039,109560,43638,7299,4385,248550,7281,4385,7385,7220,2831,4444,4345,2104,213777,53494,261191,230148,BUNCOMBE COUNTY,114428,40801,8485,45516,43974,45399,131427,129926,124736,39706,118861,40311,45015,8723,44972,43488,124680,120029,38668,114648,125154
23653,22899,53371,22890,22680,21696,7289,53370,52800,50079,16262,53371,22899,71949,75654,76434,76493,138793,27390,116538,127702,133488,27966,121166,132769,139320,Union,174,174,174,102,223,76260,75480,71775,23551,1385,734,226508,1385,734,1423,1340,654,810,716,432,176616,31234,239859,202043,UNION COUNTY,76270,44244,5008,55111,51457,54927,82786,82481,79927,22304,75582,42806,53365,5077,53342,49931,79230,77037,21881,73016,79313
21964,25488,43459,25485,25102,24097,8985,43457,43052,41196,12781,43459,25488,65862,68734,69522,69548,129572,25754,107184,116501,122462,26591,113307,123143,130203,Cabarrus,580,580,569,198,601,68942,68154,65293,21766,4212,2625,202607,4185,2625,4268,4073,1296,2650,2556,984,161462,29064,216453,181104,CABARRUS COUNTY,68947,41092,4956,49454,46455,49304,76481,76056,72503,20339,68142,39779,47860,4933,47856,45114,71855,68762,19837,64849,71952
2093,2164,1320,2163,2156,2135,1370,1320,1320,1312,723,1320,2164,3447,3476,3483,3499,6549,2511,5607,5862,5974,2744,6164,6432,6570,Washington,0,0,0,0,15,3483,3476,3447,2093,64,40,10985,64,40,66,64,40,41,40,27,9274,2932,11580,10083,WASHINGTON COUNTY,3484,1790,518,1857,1853,1856,4647,4629,4515,2186,4310,1597,1666,448,1665,1660,4255,4162,2036,3970,4267
11063,12537,14945,12535,12400,12074,5703,14944,14871,14462,5186,14945,12537,27604,28414,28622,28657,64302,13977,52985,56974,59004,14696,57420,61968,64605,Harnett,1143,1143,1068,174,1175,27479,27271,26536,10889,7367,5235,126086,7014,5043,7451,6134,979,5274,4362,659,100990,17458,135976,112079,HARNETT COUNTY,27482,18324,2181,21239,20286,21190,35915,35745,34668,11536,32962,17376,20002,2119,19995,19161,33691,32770,11199,31247,33728
10908,11705,11516,11705,11631,11348,5557,11516,11498,11290,5351,11516,11705,22648,23139,23231,23268,44656,13643,39542,41502,42400,14018,41703,43789,44860,Burke,10,10,10,0,47,23221,23129,22638,10908,753,451,86176,753,451,828,753,368,518,451,264,73860,18720,90485,79893,BURKE COUNTY,23221,10779,1894,11875,11642,11858,32157,32045,31394,11756,30171,9995,10989,1823,10989,10820,30825,30231,11556,29096,30893
7984,10644,9523,10642,10531,10200,4187,9522,9482,9259,3531,9523,10644,21248,21802,21953,21975,40611,9125,35200,37153,38272,9361,37290,39417,40860,Granville,1789,1789,1789,266,1808,20164,20013,19459,7718,5453,4715,57336,5453,4715,5543,5453,629,4781,4715,534,48058,10674,60443,52711,GRANVILLE COUNTY,20167,9725,1350,10966,10628,10952,24351,24206,23336,7382,22112,9364,10530,1408,10527,10213,22923,22225,7183,21121,22961
24998,26080,34276,26066,25894,25438,11837,34276,34122,33214,12983,34276,26080,58966,60330,60656,60725,122011,32072,105353,111061,114179,33481,112441,118630,122429,Gaston,314,314,314,178,369,60342,60016,58652,24820,1953,1209,211171,1953,1209,2025,1920,1019,1253,1184,696,174276,36651,224529,191721,GASTON COUNTY,60356,38082,5907,43403,41933,43354,77001,76704,74744,26555,72439,36034,41016,5745,41014,39685,71827,70167,25631,68135,71910
6660,8655,4295,8654,8634,8547,4665,4295,4279,4175,1941,4295,8655,12818,13009,13045,13094,26905,8295,23258,24370,24904,8714,25115,26338,27021,Edgecombe,96,96,96,54,144,12949,12913,12722,6606,882,522,48532,882,522,943,866,424,575,501,232,39904,10509,51472,43948,EDGECOMBE COUNTY,12950,6732,1260,7623,7414,7616,18455,18407,18042,7030,17517,6263,7072,1202,7072,6900,17248,16948,6861,16494,17257
7242,13349,6344,13347,13045,12485,4970,6344,6340,6254,2272,6344,13349,18739,19385,19691,19693,33204,7834,29087,30377,31469,8217,30959,32159,33532,Watauga,,,,,,19691,19385,18739,7242,133,65,54308,133,65,223,133,74,108,65,55,49022,9229,56177,51530,WATAUGA COUNTY,19693,4635,730,4822,4799,4820,28487,28251,27227,7413,26191,4283,4458,694,4458,4438,26844,25874,7085,24739,26903
3607,5057,4398,5055,4989,4871,2192,4398,4378,4253,1275,4398,5057,10131,10423,10509,10537,26824,4490,20847,22539,23476,4806,23748,25749,26975,Hoke,1056,1056,1007,140,1082,9453,9367,9124,3467,6390,4543,50664,6184,4419,6440,5600,595,4558,3972,444,40282,5854,55234,44624,HOKE COUNTY,9455,6176,658,7176,6886,7169,13359,13265,12679,3553,11972,5894,6802,625,6801,6550,12078,11570,3421,10981,12116
2615,3853,1502,3853,3850,3811,1907,1502,1499,1478,708,1502,3853,5289,5349,5355,5365,10966,3724,9693,10048,10229,3946,10415,10807,11043,Bertie,0,0,0,0,10,5355,5349,5289,2615,69,26,18126,69,26,135,69,20,69,26,16,15647,4479,18947,16854,BERTIE COUNTY,5355,1956,390,2145,2100,2145,8763,8752,8638,3536,8390,1827,1996,371,1996,1955,8160,8067,3337,7840,8164
6566,6875,7053,6870,6823,6692,3070,7053,7029,6919,3463,7053,6875,13667,13908,13979,13989,23670,7482,20992,22019,22567,7628,21982,23069,23752,Person,56,56,56,33,61,13923,13852,13611,6533,441,294,37405,441,294,441,441,225,302,294,186,31361,7938,39490,34239,PERSON COUNTY,13928,5739,1192,6267,6093,6263,17044,16966,16535,6211,15802,5404,5896,1166,5894,5730,16348,15995,6130,15294,16369
8566,9815,5089,9815,9794,9698,5707,5089,5087,5014,2800,5089,9815,14800,14969,14992,14994,27599,10722,24771,25658,26116,11169,26198,27198,27683,Beaufort,88,88,88,59,90,14904,14881,14712,8507,671,380,44735,671,380,714,671,390,476,380,243,37669,11538,46994,41131,BEAUFORT COUNTY,14904,5133,1014,5769,5676,5768,21200,21160,20851,9765,20394,4782,5340,974,5340,5253,20290,20025,9505,19609,20300
5955,7075,5015,7069,6997,6863,3319,5015,5007,4879,2322,5015,7075,12818,13223,13333,13350,25564,7107,21786,22885,23754,7359,23458,24663,25762,Jackson,1249,1219,1076,314,1260,12084,12004,11742,5641,4172,3163,42001,3814,2866,4287,3424,678,3233,2532,570,36721,8759,43938,39175,JACKSON COUNTY,12090,3438,617,3837,3768,3831,17638,17561,17081,6064,16596,3182,3562,589,3561,3501,16934,16518,5948,16072,16959
21907,14549,33805,14545,14328,13804,7018,33805,33708,33001,14862,33805,14549,46850,48081,48395,48444,91294,27759,80663,85279,87467,28318,84155,88997,91593,Catawba,45,45,45,27,90,48350,48036,46805,21880,1154,691,150636,1154,691,1205,1126,508,755,680,354,124631,29156,159551,137151,CATAWBA COUNTY,48354,29986,4688,33317,32392,33286,57071,56854,55451,23122,53043,28371,31527,4584,31526,30683,55159,53905,22821,51612,55185
145916,202692,350218,202592,194772,181567,52146,350191,345981,332428,93346,350218,202692,515338,542096,554126,554298,858008,143557,716310,778433,828715,146788,743627,807894,868934,Wake,1343,1343,1343,424,1388,552783,540753,513995,145492,12211,8166,1044525,12167,8153,12286,12021,3681,8194,8058,2940,849055,133864,1111761,941934,WAKE COUNTY,552910,239108,24335,286068,268206,284852,570580,560945,527521,118772,492498,235015,280034,24776,279721,263446,537871,506834,115841,473237,540487
13192,13934,12690,13933,13848,13610,7016,12689,12668,12415,6150,12690,13934,26061,26552,26658,26691,52913,16632,46417,48863,49899,17130,49226,51859,53042,Cleveland,36,36,36,26,67,26622,26516,26025,13166,672,400,92365,672,400,727,672,387,474,400,291,76504,18575,97947,84044,CLEVELAND COUNTY,26624,14627,2747,16008,15856,16006,36307,36235,35331,13996,33927,13527,14807,2653,14807,14674,34609,33789,13688,32490,34618
7583,9469,6986,9466,9431,9230,4431,6986,6980,6851,3124,6986,9469,16128,16458,16499,16545,36025,9601,31124,32739,33418,9953,33500,35283,36104,Sampson,47,47,47,28,90,16452,16411,16081,7555,636,405,59389,636,405,677,636,291,460,405,208,48081,11637,63531,53473,SAMPSON COUNTY,16455,8367,1427,9187,8992,9187,26240,26202,25655,8235,24497,7911,8663,1389,8663,8501,24279,23833,8004,22808,24295
5542,7259,4426,7258,7244,7206,3328,4426,4416,4312,2195,4426,7259,11561,11703,11727,11748,25705,7549,22622,23690,24107,7858,24083,25251,25826,Columbus,43,43,43,19,63,11684,11660,11518,5523,389,307,52603,389,307,479,389,233,349,307,205,44013,11419,55508,48224,COLUMBUS COUNTY,11685,6371,1267,7422,7225,7420,17925,17896,17637,6358,17323,5930,6955,1191,6953,6783,16787,16600,6153,16385,16803
3069,4841,1387,4838,4823,4770,2461,1387,1383,1365,608,1387,4841,6135,6206,6225,6242,11515,4165,10241,10564,10812,4391,10950,11309,11596,Caswell,0,0,0,0,14,6225,6206,6135,3069,180,74,21496,180,74,235,180,87,129,74,61,18383,5005,22604,19944,CASWELL COUNTY,6228,1677,416,1788,1765,1787,9573,9548,9364,3888,9093,1418,1517,297,1517,1494,9155,8996,3807,8749,9166
3006,4991,569,4991,4965,4906,2775,569,568,533,231,569,4991,5439,5533,5560,5560,9679,3882,8739,9028,9212,4010,9187,9506,9749,Yancey,,,,,,5560,5533,5439,3006,137,107,17212,137,107,180,137,118,134,107,107,14782,4744,18069,15969,YANCEY COUNTY,5560,958,171,1108,1104,1106,8461,8436,8265,3721,8092,886,1028,170,1027,1023,8045,7898,3605,7746,8050
7991,8114,10491,8112,7950,7632,3678,10491,10439,10205,4262,10491,8114,17949,18501,18715,18746,37141,9540,31442,33584,34719,9858,33537,35873,37346,Lee,112,112,112,51,141,18603,18389,17837,7940,705,474,57893,705,474,723,705,276,496,474,227,47136,10404,61779,52144,LEE COUNTY,18605,10719,1509,12379,11990,12365,24244,24071,23178,8073,22113,10383,11916,1501,11915,11584,22277,21526,7812,20585,22307
3256,4392,2095,4390,4386,4365,2324,2094,2091,2029,932,2095,4392,6394,6477,6484,6500,12242,4146,10771,11253,11463,4343,11499,12046,12320,Hertford,0,0,0,0,13,6484,6477,6394,3256,43,12,22610,43,12,97,43,29,41,12,12,19299,4836,23677,20898,HERTFORD COUNTY,6487,3112,682,3595,3502,3590,8628,8609,8501,3632,8344,2904,3321,672,3321,3245,8088,7996,3462,7855,8101
14162,11269,15350,11266,11227,11094,6435,15347,15324,15166,7665,15350,11269,26363,26654,26716,26740,49258,16767,44181,45954,46846,17221,46445,48330,49408,Rockingham,103,103,103,62,121,26613,26551,26260,14100,594,365,86406,594,365,633,594,374,405,365,278,72695,18996,91010,79246,ROCKINGHAM COUNTY,26619,14319,2976,15521,15147,15510,33254,33154,32589,13871,31532,13576,14706,2936,14706,14365,31710,31224,13553,30240,31735
14025,7986,16534,7985,7948,7867,4726,16532,16494,16246,8952,16534,7986,25229,25618,25693,25699,48723,17103,42692,44552,45403,17858,45726,47786,48878,Carteret,1176,1176,1116,347,1179,24517,24442,24113,13678,7060,5280,66672,6894,5180,7156,6416,1548,5301,4804,1025,57537,17867,69473,62070,CARTERET COUNTY,24520,12097,2589,13539,13142,13533,28183,28130,27750,13721,27213,11684,13046,2668,13044,12681,27044,26691,13410,26204,27056
