First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.00046708478770874127,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.000388724333847691
0.08371756597875027,0.02519078742506672,Missing or Undisclosed,0.04895783103154952,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.02671112608857594
,0.0012113228525919538,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00028526158339393297
0.07639259134754169,0.1507876859168638,Missing or Undisclosed,0.031191370090264507,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.11163335166102056
0.051013439145674466,0.0073673862326555034,Missing or Undisclosed,0.02730726029948806,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.007150754095646879
0.1265337400878843,0.7756843648054466,Missing or Undisclosed,0.07362963014182068,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.8184199168750702
,0.03929136797966673,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.035410865362444796
,0.003479088785237186,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0006739859172416239
0.029582874355400017,0.024737560301216703,Missing or Undisclosed,0.015082421063918973,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.022868223928864926
0.12598932558775108,0.9717833509135461,Missing or Undisclosed,0.06981888247768449,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9764577901538934
,0.0017908992645656275,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0010686224082581011
