Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37612,37465,51296,48329,647,41980,15374,122048,Robeson,360,886,41963,12925,1919,41559,13007,13095,11792,130625,647,57173,51106,2052,896,14297,20565,14234,14296,13567,39725,53536,98425,886,16034,664,109195,12994,37624,647,35890,886,13008,56679,415
4879,4866,5879,5702,0,5306,2816,12861,Perquimans,0,0,5303,1043,206,5269,987,2610,938,13463,0,6415,5853,221,15,1094,3671,1090,1094,2783,5146,6189,10957,0,3004,11,11854,987,4881,0,4764,0,987,6359,0
70092,69645,104633,96723,1109,75055,24518,196283,Johnston,502,1374,75016,31415,3582,73756,33389,20434,29379,209339,1109,112525,103803,3710,1386,36084,28558,35276,36083,21036,69808,102597,156585,1374,25296,1120,175612,33049,70120,1109,66235,1374,33393,110406,550
39245,39125,59476,56488,550,41542,19583,135556,Randolph,425,745,41506,19236,3747,41073,19644,15411,18143,143667,550,63260,59214,3676,745,20973,26060,20743,20972,15734,39594,59575,111702,745,19904,565,123257,19539,39265,550,37795,745,19646,62561,494
2935,2933,3087,2960,,3138,1019,4753,Hyde,,,3135,156,44,3079,152,975,143,4937,,3305,3084,52,,167,1114,164,167,990,2955,3111,4098,,1042,,4410,151,2935,,2817,,152,3243,
4906,4899,6160,5976,0,5278,2557,10626,Alleghany,0,0,5269,1262,322,5201,1221,2235,1182,11137,0,6624,6118,337,34,1312,3116,1308,1312,2313,5089,6351,9249,0,2650,26,9915,1219,4913,0,4794,0,1221,6509,0
16266,16191,23884,22535,216,17994,7501,55126,Duplin,161,267,17978,7102,1455,17687,7378,5885,6677,58741,216,26192,23782,1443,284,7914,11405,7862,7914,6058,17030,24399,44760,267,7682,228,49644,7375,16278,216,15642,267,7378,25816,181
3831,3828,4323,4200,,4102,1725,11027,Gates,,0,4096,479,121,4086,491,1604,455,11562,,4635,4319,120,13,520,2418,519,520,1706,3982,4461,9230,0,1826,,10120,491,3832,,3745,0,491,4605,0
25916,25652,34394,32798,870,26802,13605,59266,Haywood,508,1305,26792,7768,1794,26308,7548,11303,7114,62317,870,36370,34059,1924,1338,8230,15572,8198,8230,11375,25417,34490,50968,1305,13909,917,54941,7537,25929,870,24814,1305,7548,35811,610
19405,19352,26135,25023,358,20612,9402,59178,Stanly,284,465,20607,6467,1257,20444,6338,7861,6023,62806,358,27924,26030,1288,477,6835,12123,6790,6835,8143,19660,26592,49282,465,9759,390,54008,6320,19407,358,18642,465,6338,27699,328
