Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38077,37778,48980,42507,ROBESON COUNTY,14549,360,42489,13299,41898,13157,,12166,649,14507,,98425,,14549,109195,36165,889,13454,57426,415,,7894,52210,649,15481,122048,ROBESON,889,1964,13453,130625,,58162,51825,2096,899,14756,20565,14639,14755,13628,40017,54205,889,14549,16139,666,13398,38090,649
4926,4898,5750,5347,PERQUIMANS COUNTY,2655,0,5344,1058,5299,2632,,957,0,2655,,10957,,2655,11854,4793,0,1009,6403,0,,1801,5948,0,2841,12861,PERQUIMANS,0,209,1009,13463,,6474,5906,226,17,1110,3671,1104,1110,2804,5171,6229,0,2655,3030,11,1008,4928,0
70911,69916,97609,75972,JOHNSTON COUNTY,36694,502,75932,32046,74272,20479,,30049,1109,36403,,156585,,36697,175612,66451,1382,34615,111618,550,,15008,106676,1109,24633,196283,JOHNSTON,1382,3652,34611,209339,,114423,104795,3775,1394,37057,28558,35964,37056,21093,70233,103661,1382,36694,25418,1120,33770,70941,1109
39412,39056,56895,41610,RANDOLPH COUNTY,21232,425,41574,19721,41021,15359,,18646,551,21165,,111702,,21232,123257,37698,747,20293,63022,494,,10948,60291,551,19599,135556,RANDOLPH,747,3815,20291,143667,,63946,59674,3745,747,21589,26060,21254,21588,15696,39506,59974,747,21232,19935,566,20067,39432,551
3019,2969,2994,3189,HYDE COUNTY,1205,,3186,160,3108,981,,144,,1203,,4098,,1205,4410,2850,,156,3277,,,581,3175,,1025,4753,HYDE,,44,156,4937,,3361,3121,52,,172,1114,169,172,995,2981,3141,,1205,1047,,152,3019,
4961,4916,6003,5338,ALLEGHANY COUNTY,2633,0,5329,1287,5242,2238,,1199,0,2627,,9249,,2634,9915,4804,0,1243,6577,0,,1536,6237,0,2563,10626,ALLEGHANY,0,325,1243,11137,,6711,6153,344,34,1339,3116,1335,1339,2321,5127,6414,0,2633,2665,26,1237,4968,0
16483,16293,22827,18269,DUPLIN COUNTY,7597,161,18253,7308,17884,5904,,6881,216,7581,,44760,,7597,49644,15730,269,7641,26240,183,,4078,24365,216,7546,55126,DUPLIN,269,1481,7641,58741,,26740,24107,1479,287,8184,11405,8087,8184,6080,17202,24779,269,7597,7742,228,7598,16496,216
3854,3850,4222,4131,GATES COUNTY,1583,,4125,484,4101,1614,,461,,1583,,9230,,1583,10120,3761,0,499,4630,0,,953,4354,,1735,11027,GATES,0,121,499,11562,,4676,4348,120,15,530,2418,529,530,1714,3992,4476,0,1583,1834,,498,3855,
26098,25643,32883,27027,HAYWOOD COUNTY,15927,508,27017,7860,26436,11241,0,7223,870,15878,37,50968,37,15927,54941,24790,1313,7678,36048,611,37,8717,34706,870,13573,59266,HAYWOOD,1313,1824,7678,62317,37,36710,34161,1955,1346,8337,15572,8299,8337,11396,25534,34707,1313,15927,13962,917,7648,26111,870
19668,19533,25357,20870,STANLY COUNTY,9994,284,20864,6613,20630,7887,,6201,358,9974,,49282,,9994,54008,18798,465,6555,28039,328,,5513,26617,358,9451,59178,STANLY,465,1280,6555,62806,,28371,26403,1311,477,7024,12123,6944,7024,8178,19835,26913,465,9994,9817,390,6512,19672,358
