Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
35494,47745,45229,646,40266,14859,Robeson,360,878,11884,1687,40252,12812,10478,130625,646,54353,47719,1833,888,13199,20565,13198,13321,38524,51286,98425,15568,663,109195,11579,35503,34105,878,11579,54328,414
4689,5559,5407,0,5156,2747,Perquimans,0,0,957,188,5155,2559,810,13463,0,6173,5546,204,15,1002,3671,1002,2747,5039,5996,10957,2951,11,11854,857,4691,4597,0,857,6157,0
67590,98398,91488,1109,72465,23843,Johnston,502,1361,28635,3192,72438,20149,25996,209339,1109,106472,98359,3341,1373,32634,28558,32633,20819,68662,98658,156585,24710,1120,175612,29660,67617,64383,1361,29661,106432,550
38469,56786,54150,550,40636,19230,Randolph,425,743,17839,3351,40605,15454,16403,143667,550,60727,56752,3326,743,19348,26060,19347,15806,39179,57761,111702,19626,565,123257,17733,38487,37197,743,17734,60695,494
2872,3015,2897,,3031,996,Hyde,,,150,38,3031,958,137,4937,,3190,3015,44,,159,1114,159,978,2910,3060,4098,1022,,4410,143,2872,2760,,143,3190,
4707,5885,5725,0,4999,2494,Alleghany,0,0,1191,290,4992,2204,1110,11137,0,6272,5854,300,34,1239,3116,1239,2298,4892,6083,9249,2598,26,9915,1147,4712,4615,0,1147,6231,0
15723,22611,21434,216,17227,7265,Duplin,161,267,6542,1296,17219,5808,5984,58741,216,24805,22594,1309,283,7295,11405,7295,5992,16605,23414,44760,7482,228,49644,6655,15728,15234,267,6655,24781,181
3706,4152,4039,,4013,1682,Gates,,0,440,112,4008,1570,409,11562,,4507,4151,113,12,482,2418,482,1690,3910,4350,9230,1803,,10120,445,3707,3630,0,445,4490,0
24774,32509,31224,850,25688,13124,Haywood,507,1218,7013,1589,25681,11028,6405,62317,850,34397,32456,1711,1258,7451,15572,7451,11220,24807,33038,50968,13523,897,54941,6832,24780,23969,1218,6832,34350,592
18635,24662,23702,358,19915,9193,Stanly,284,461,6023,1153,19912,7756,5357,62806,358,26723,24629,1195,473,6335,12123,6335,8070,19189,25673,49282,9592,389,54008,5636,18637,17987,461,5636,26708,327
33075,150025,139988,36616,38768,22660,Missing,8737,21698,75942,6720,38713,7203,72662,,36638,144051,148991,6159,22830,82453,,82440,8340,35589,133181,,20516,37469,,79278,33276,30710,21650,79280,142851,6017
26858,37371,35507,330,28599,12231,Wilson,221,491,10181,1552,28595,10458,9083,81801,330,40507,37338,1589,495,11413,15337,11411,10742,27686,38358,63224,12591,354,69710,10150,26865,26094,491,10152,40497,260
1651,1782,1710,,1771,636,Tyrrell,,,152,34,1770,602,126,4016,,1929,1781,33,,158,810,158,620,1686,1838,3288,653,,3533,130,1652,1584,,130,1928,
33593,55338,52824,6882,36223,15641,Wayne,1039,10072,14807,2654,36199,11948,13201,123131,7034,62856,55285,2781,10099,16534,20802,16534,12297,35191,59818,94031,16616,7071,103693,14658,33609,32741,9820,14658,62805,1538
8376,10859,10506,122,8897,4250,Montgomery,94,149,2454,426,8897,3730,2195,27173,122,11696,10837,460,183,2616,5743,2616,3825,8688,11291,21266,4390,144,23512,2339,8376,8189,149,2339,11662,105
18912,27194,26058,273,20359,9766,Lenoir,194,405,8012,1429,20355,8143,7172,55949,273,29719,27162,1478,420,8940,11303,8940,8361,19978,28395,43423,10072,301,47933,7977,18916,18613,405,7977,29700,233
11370,15474,14854,157,12186,5634,Scotland,99,203,3976,718,12184,4817,3497,34823,157,16899,15438,800,239,4474,6531,4474,4956,11968,16147,26793,5879,193,29381,3911,11370,11200,203,3911,16861,123
67288,89816,84789,1033,70233,25381,Alamance,654,1362,21889,3680,70219,21047,19899,169509,1033,95218,89795,4039,1387,23598,29035,23597,21579,66447,89698,132145,26346,1041,145046,21474,67301,63857,1362,21474,95178,728
3174,4701,4510,870,3532,1318,Camden,0,792,678,90,3527,1228,610,10867,870,5071,4681,112,827,712,1833,712,1337,3366,4836,8407,1449,890,9354,637,3174,3030,792,637,5031,0
7713,9949,9555,66,8211,2813,Greene,53,84,2132,307,8209,2453,1876,21069,66,10758,9934,330,101,2446,3592,2446,2504,8092,10308,16884,2894,80,18372,2155,7714,7613,84,2155,10739,60
36844,56527,54035,2833,39021,19036,Rowan,1478,3211,17919,2866,39012,14692,15836,142088,2833,61316,56483,3029,3259,19036,25371,19036,15052,37374,58504,110729,19688,2870,122048,16806,36850,35366,3211,16807,61259,1607
7208,8445,8173,70,7752,3925,Northampton,57,107,1143,264,7750,3604,1043,19483,70,9148,8430,290,122,1274,5256,1274,3707,7569,8819,16132,4064,83,17363,1152,7210,7060,107,1152,9131,67
20571,29335,28173,184,22588,10768,Wilkes,160,232,8980,1733,22581,8875,8094,68412,184,32333,29307,1887,258,9487,15162,9487,9164,21789,31001,54628,11231,206,59783,8552,20577,19895,232,8552,32300,180
24936,38407,36607,239,26016,12632,Lincoln,199,361,13158,1826,26011,10607,11862,86111,239,41070,38373,1877,380,14674,15456,14674,10809,25511,39030,67981,12919,269,74647,13198,24940,24506,361,13198,41046,233
26464,35169,33832,202,27539,13005,Caldwell,149,315,9018,1136,27532,11720,7914,82178,202,37578,35147,1206,321,9718,16769,9718,11942,26727,36060,65842,13330,219,71809,8481,26469,25716,315,8481,37565,182
7189,8886,8566,100,7583,4355,Polk,88,116,1579,704,7582,3563,1478,20724,100,9410,8866,729,144,1683,6644,1683,3683,7342,9037,17478,4509,118,18752,1577,7191,6988,116,1577,9381,97
23903,33707,32330,220,25025,12250,Surry,178,284,10149,1910,25010,10162,9071,71783,220,36031,33689,2056,301,10705,14964,10704,10371,24040,34473,56811,12627,227,62223,9566,23914,23039,284,9566,35998,200
16621,19497,18791,336,17515,8662,Macon,238,408,2671,734,17508,7690,2358,35858,336,20750,19433,779,454,2781,10350,2781,7894,16887,19966,29260,8931,396,31614,2476,16625,16097,408,2476,20697,258
3709,4699,4578,23,4010,2438,Clay,23,25,983,294,4009,2121,918,11231,23,5088,4653,298,92,986,3581,986,2203,3912,4920,9352,2526,69,10050,921,3709,3637,25,921,5020,25
12585,16928,16244,102,13193,6161,Yadkin,87,147,4333,764,13188,5310,3921,37667,102,18037,16907,766,166,4678,7711,4678,5421,12768,17248,29851,6292,118,32660,4220,12590,12221,147,4220,18013,105
34181,93975,89730,37749,37159,18085,Onslow,2394,53247,21325,2346,37150,13345,18831,197938,38706,114279,93947,2489,53301,23819,19026,23819,13672,35877,109293,149343,19016,38728,162055,21060,34187,33150,52091,21060,114216,2855
14703,19099,18289,247,16084,6631,Richmond,129,281,4188,565,16075,5937,3690,44829,247,21057,19059,602,318,4655,8183,4655,6090,15629,20098,34516,6830,281,38043,4109,14709,14352,281,4109,21011,138
112620,156142,147994,3760,117742,46020,Buncombe,2022,5025,37374,7619,117705,36379,36557,261191,3760,163386,156040,7396,5080,40564,53494,40558,37115,112163,154562,213777,46817,3832,230148,39660,112649,107677,5025,39661,163288,2306
75478,117675,106556,567,79175,25987,Union,411,889,36927,3818,79140,21758,34633,239859,567,124336,117632,3862,906,44255,31234,44244,22403,74647,112463,176616,26771,588,202043,41587,75500,71356,889,41587,124273,506
66244,105526,97049,1444,70600,24563,Cabarrus,860,1981,34717,3838,70571,19865,32828,216453,1444,112496,105494,3878,1995,39901,29064,39894,20395,66543,103241,161462,25205,1456,181104,37806,66261,62777,1981,37809,112446,932
3717,5170,4967,28,4207,2283,Washington,16,55,1595,355,4198,1912,1349,11580,28,5925,5151,433,56,1662,2932,1662,2066,4030,5680,9274,2532,38,10083,1406,3726,3590,55,1406,5915,33
32834,48907,45915,863,35010,13499,Harnett,348,1205,15178,1650,34988,11501,13510,135976,863,53340,48834,1745,1281,17049,17458,17049,11844,33421,49804,100990,13979,924,112079,15137,32846,31542,1205,15137,53242,390
29424,38643,36920,344,30924,13224,Burke,261,470,9169,1396,30913,11567,8068,90485,344,41418,38613,1545,488,10006,18720,10005,11814,29802,39441,73860,13669,364,79893,8845,29434,28508,470,8845,41388,310
