Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38127,37809,49043,42558,ROBESON COUNTY,14766,360,42540,13323,41920,13158,,12200,649,14724,,98425,,14766,109195,36194,889,13496,57479,415,,7971,52302,649,15487,122048,ROBESON,889,1969,13495,130625,,58249,51896,2100,899,14792,20565,14670,14791,13633,40038,54250,889,14766,16148,666,13438,38140,649
4930,4899,5755,5349,PERQUIMANS COUNTY,2670,0,5346,1060,5300,2632,,961,0,2670,,10957,,2670,11854,4794,0,1013,6406,0,,1809,5956,0,2842,12861,PERQUIMANS,0,210,1013,13463,,6478,5911,226,17,1112,3671,1106,1112,2804,5172,6232,0,2670,3030,11,1012,4932,0
70972,69952,97680,76044,JOHNSTON COUNTY,37404,502,76004,32096,74312,20485,,30092,1109,37094,,156585,,37407,175612,66479,1382,34687,111720,550,,15169,106809,1109,24645,196283,JOHNSTON,1382,3658,34683,209339,,114589,104879,3779,1394,37151,28558,36026,37150,21097,70262,103740,1382,37404,25426,1120,33818,71002,1109
39456,39094,56979,41648,RANDOLPH COUNTY,21723,425,41612,19770,41053,15362,,18696,551,21645,,111702,,21723,123257,37732,747,20354,63108,494,,11087,60396,551,19605,135556,RANDOLPH,747,3818,20352,143667,,64055,59766,3747,747,21660,26060,21308,21659,15699,39537,60054,747,21723,19940,566,20121,39476,551
3020,2970,2996,3189,HYDE COUNTY,1222,,3186,160,3108,982,,144,,1220,,4098,,1222,4410,2852,,156,3277,,,593,3176,,1026,4753,HYDE,,44,156,4937,,3361,3122,52,,172,1114,169,172,995,2982,3142,,1222,1047,,152,3020,
4963,4918,6005,5340,ALLEGHANY COUNTY,2666,0,5331,1288,5243,2239,,1199,0,2659,,9249,,2667,9915,4806,0,1243,6579,0,,1549,6239,0,2564,10626,ALLEGHANY,0,325,1243,11137,,6715,6155,344,34,1341,3116,1336,1341,2321,5128,6416,0,2666,2665,26,1237,4970,0
16491,16301,22849,18279,DUPLIN COUNTY,7725,161,18263,7323,17893,5903,,6895,216,7707,,44760,,7725,49644,15738,269,7659,26265,183,,4122,24391,216,7545,55126,DUPLIN,269,1481,7659,58741,,26768,24129,1480,287,8202,11405,8103,8202,6079,17210,24802,269,7725,7742,228,7612,16504,216
3854,3850,4224,4134,GATES COUNTY,1598,,4128,487,4103,1614,,463,,1597,,9230,,1598,10120,3761,0,501,4638,0,,958,4356,,1735,11027,GATES,0,121,501,11562,,4686,4350,120,15,537,2418,535,537,1715,3994,4481,0,1598,1835,,500,3855,
26113,25654,32901,27041,HAYWOOD COUNTY,16068,508,27031,7871,26441,11241,0,7232,870,16013,37,50968,37,16068,54941,24799,1313,7692,36066,611,37,8765,34735,870,13574,59266,HAYWOOD,1313,1825,7692,62317,37,36737,34184,1956,1346,8350,15572,8312,8350,11394,25536,34720,1313,16068,13961,917,7660,26126,870
19677,19541,25372,20890,STANLY COUNTY,10239,284,20884,6621,20642,7886,,6209,358,10212,,49282,,10239,54008,18805,465,6563,28058,328,,5579,26634,358,9452,59178,STANLY,465,1282,6563,62806,,28401,26421,1312,477,7034,12123,6951,7034,8180,19845,26931,465,10239,9820,390,6522,19681,358
