Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37938,37685,51905,48758,647,42324,15443,122048,Robeson,360,888,42307,13165,1950,41790,13289,13133,12030,130625,647,57799,51582,2084,898,14577,20565,14485,14576,13608,39932,53985,98425,888,16107,664,13458,109195,13250,37951,647,36081,888,13290,57163,415
4912,4886,5926,5732,0,5339,2829,12861,Perquimans,0,0,5336,1054,208,5294,1001,2621,950,13463,0,6462,5886,226,16,1107,3671,1101,1107,2794,5167,6221,10957,0,3020,11,2527,11854,1000,4914,0,4782,0,1001,6395,0
70575,69762,105948,97236,1109,75609,24571,196283,Johnston,502,1380,75570,31816,3618,74072,34219,20451,29809,209339,1109,113695,104381,3749,1392,36694,28558,35712,36693,21070,70092,103288,156585,1380,25369,1120,32832,175612,33510,70605,1109,66318,1380,34223,111164,550
39315,38999,60012,56717,550,41543,19569,135556,Randolph,425,746,41507,19530,3786,40976,20110,15358,18512,143667,550,63634,59473,3717,746,21345,26060,21054,21344,15694,39474,59750,111702,746,19905,565,19341,123257,19924,39335,550,37655,746,20112,62776,494
3006,2963,3161,2988,,3181,1022,4753,Hyde,,,3178,156,44,3102,155,978,144,4937,,3349,3115,52,,168,1114,165,168,993,2975,3131,4098,,1045,,1123,4410,152,3006,,2844,,155,3267,
4942,4909,6216,5997,0,5321,2564,10626,Alleghany,0,0,5312,1281,325,5228,1241,2239,1197,11137,0,6688,6144,342,34,1333,3116,1329,1333,2320,5116,6397,9249,0,2662,26,2442,9915,1235,4949,0,4800,0,1241,6557,0
16467,16277,24249,22729,216,18249,7530,55126,Duplin,161,267,18233,7232,1468,17866,7541,5901,6798,58741,216,26612,24002,1466,284,8079,11405,8004,8079,6075,17188,24687,44760,267,7722,228,6894,49644,7509,16480,216,15715,267,7541,26137,181
3844,3841,4341,4213,,4117,1732,11027,Gates,,0,4111,484,121,4095,496,1611,460,11562,,4658,4337,120,13,528,2418,527,528,1713,3987,4471,9230,0,1833,,1490,10120,496,3845,,3753,0,496,4622,0
25996,25599,34568,32812,870,26958,13562,59266,Haywood,508,1310,26948,7832,1814,26402,7642,11240,7189,62317,870,36600,34083,1944,1343,8299,15572,8266,8299,11399,25508,34650,50968,1310,13953,917,14874,54941,7614,26009,870,24753,1310,7642,35978,610
19538,19409,26414,25189,358,20736,9427,59178,Stanly,284,465,20731,6564,1272,20513,6484,7871,6146,62806,358,28159,26217,1302,477,6946,12123,6889,6946,8162,19723,26752,49282,465,9792,390,9016,54008,6450,19540,358,18685,465,6484,27867,328
67897,66135,199626,183851,38952,83138,38728,,Missing,9443,28070,83059,83342,7859,79962,91627,21426,82172,,38976,205855,194187,7194,29319,93398,,89933,93382,26609,75801,187161,,28070,43029,39870,95525,,89076,68126,38976,62727,28018,91630,197965,9226
28407,28173,40545,38102,331,29999,12616,76972,Wilson,221,497,29989,11332,1753,29613,11770,10642,10487,81801,331,43341,40129,1780,501,12841,15337,12590,12838,10900,28620,40449,63224,497,12941,355,13401,69710,11625,28418,331,27284,497,11772,42700,261
1756,1747,1899,1801,,1833,659,3827,Tyrrell,,,1831,164,36,1816,142,623,137,4016,,2004,1889,36,,171,810,171,171,638,1732,1896,3288,,674,,581,3533,142,1757,,1664,,142,1987,
34727,34548,60494,57265,8097,37285,16114,115046,Wayne,1109,10612,37250,16656,2973,36929,17407,12032,15531,123131,8259,66918,59976,3083,10747,18886,20802,18478,18885,12416,35890,62893,94031,10724,17102,8332,16331,103693,17169,34751,8301,33637,10347,17411,66019,1603
8617,8605,11447,11031,122,9120,4346,25757,Montgomery,94,150,9118,2686,477,9081,2686,3775,2508,27173,122,12175,11391,505,184,2871,5743,2845,2871,3868,8857,11693,21266,150,4478,144,3575,23512,2664,8617,122,8401,150,2686,12076,105
19758,19693,29180,27767,273,21124,10103,52801,Lenoir,194,405,21120,8789,1615,20973,9117,8294,8156,55949,273,31428,28999,1656,420,9884,11303,9717,9884,8493,20538,29732,43423,405,10382,301,9384,47933,9033,19762,273,19338,405,9117,31095,233
11738,11698,16314,15584,158,12493,5738,32530,Scotland,99,203,12490,4313,816,12424,4382,4823,3930,34823,158,17575,16217,894,239,4843,6531,4790,4843,4956,12193,16709,26793,203,5973,194,4774,29381,4361,11738,158,11496,203,4382,17417,123
70283,69155,95612,88659,1035,73726,25977,159560,Alamance,654,1402,73703,23638,4053,72018,24267,21270,22101,169509,1035,101174,94003,4358,1428,26020,29035,25391,26019,21864,68063,93103,132145,1402,26953,1043,30989,145046,23813,70302,1035,65523,1402,24267,98811,731
3362,3330,5244,5009,1080,3710,1372,10327,Camden,0,849,3701,770,113,3647,788,1259,749,10867,1080,5418,5193,128,885,823,1833,806,823,1368,3481,5100,8407,849,1496,1092,1364,9354,783,3364,1080,3180,849,788,5302,0
8061,8011,10654,10158,66,8540,2901,20022,Greene,53,84,8536,2363,360,8452,2512,2488,2193,21069,66,11353,10568,380,101,2712,3592,2683,2712,2533,8314,10761,16884,84,2973,80,3015,18372,2491,8062,66,7899,84,2512,11219,60
37482,37245,59546,56414,2881,39702,19148,133830,Rowan,1479,3479,39685,19412,3242,39244,19137,14427,17893,142088,2881,64069,59056,3381,3512,20855,25371,20553,20855,14784,37511,60402,110729,3479,19789,2913,17973,122048,18930,37494,2881,35640,3479,19139,63276,1624
7150,7131,8562,8250,70,7695,3827,18570,Northampton,57,107,7692,1295,297,7623,1326,3473,1209,19483,70,9248,8520,324,123,1430,5256,1420,1430,3567,7423,8825,16132,107,3958,83,2849,17363,1319,7153,70,6971,107,1326,9150,67
21036,20794,30825,29292,184,22808,10643,64946,Wilkes,160,233,22797,9653,1924,22424,9574,8559,9048,68412,184,33292,30528,2054,259,10225,15162,10172,10225,8810,21613,31499,54628,233,11044,206,9682,59783,9550,21045,184,20060,233,9574,32829,180
