Deaths,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",County,Cases
169,1160.0,11603.0,Wilson,9491
5,897.0,8970.0,Alleghany,999
55,827.0,8272.0,Hoke,4569
79,862.0,8622.0,Stokes,3931
110,1053.0,10526.0,Edgecombe,5418
50,954.0,9542.0,Northampton,1859
297,821.0,8215.0,Cumberland,27562
162,797.0,7967.0,New Hanover,18680
100,808.0,8085.0,Rockingham,7358
156,1121.0,11206.0,Surry,8044
76,951.0,9513.0,Lee,5877
27,942.0,9423.0,Caswell,2130
109,1097.0,10966.0,Halifax,5484
18,868.0,8685.0,Jones,818
41,759.0,7587.0,Ashe,2064
92,684.0,6838.0,Haywood,4261
17,843.0,8430.0,Swain,1203
28,872.0,8717.0,Yancey,1575
44,1076.0,10760.0,Greene,2267
18,644.0,6438.0,Clay,723
20,1187.0,11870.0,Avery,2084
371,916.0,9161.0,Forsyth,35022
168,825.0,8246.0,Harnett,11212
206,1006.0,10056.0,Iredell,18282
180,1191.0,11907.0,Nash,11228
212,992.0,9922.0,Union,23799
20,859.0,8594.0,Cherokee,2459
224,1149.0,11490.0,Cleveland,11254
187,863.0,8629.0,Moore,8705
263,1044.0,10438.0,Alamance,17693
51,723.0,7230.0,Carteret,5023
41,977.0,9770.0,Bladen,3197
95,959.0,9586.0,Beaufort,4505
86,1058.0,10584.0,Pitt,19129
47,1036.0,10365.0,Yadkin,3904
31,907.0,9067.0,Washington,1050
69,834.0,8343.0,Pender,5261
56,812.0,8118.0,Jackson,3567
5,598.0,5981.0,Camden,650
8,1343.0,13429.0,Hyde,663
716,768.0,7683.0,Wake,85419
218,765.0,7649.0,Durham,24592
673,859.0,8591.0,Guilford,46151
93,1210.0,12100.0,Montgomery,3288
83,1061.0,10611.0,Scotland,3695
101,568.0,5676.0,Orange,8427
313,662.0,6622.0,Buncombe,17296
185,959.0,9591.0,Davidson,16075
142,827.0,8272.0,Onslow,16373
37,928.0,9275.0,Davie,3974
16,930.0,9296.0,Mitchell,1391
49,945.0,9451.0,Franklin,6586
92,1021.0,10208.0,Richmond,4576
206,1069.0,10691.0,Rutherford,7166
39,991.0,9911.0,Martin,2224
132,1050.0,10499.0,Duplin,6167
224,1030.0,10297.0,Randolph,14794
63,875.0,8751.0,Hertford,2072
33,839.0,8386.0,Macon,3007
43,918.0,9184.0,Bertie,1740
22,1033.0,10328.0,Chowan,1440
108,1224.0,12237.0,Sampson,7774
63,1128.0,11284.0,McDowell,5163
67,835.0,8346.0,Person,3296
83,1152.0,11518.0,Alexander,4319
123,896.0,8961.0,Craven,9153
41,705.0,7047.0,Madison,1533
13,873.0,8730.0,Pamlico,1111
32,665.0,6648.0,Transylvania,2286
934,983.0,9829.0,Mecklenburg,109135
150,627.0,6272.0,Brunswick,8957
298,1182.0,11815.0,Catawba,18851
416,1158.0,11579.0,Gaston,25999
251,983.0,9829.0,Cabarrus,21276
300,1160.0,11601.0,Rowan,16483
87,615.0,6150.0,Chatham,4580
157,850.0,8497.0,Henderson,9977
209,994.0,9942.0,Johnston,20813
150,1128.0,11278.0,Columbus,6260
227,1236.0,12357.0,Robeson,16141
152,1083.0,10832.0,Burke,9801
104,1119.0,11192.0,Caldwell,9197
31,797.0,7971.0,Watauga,4478
239,888.0,8875.0,Wayne,10928
80,824.0,8244.0,Pasquotank,3283
85,1135.0,11354.0,Lincoln,9777
109,954.0,9541.0,Wilkes,6527
112,1040.0,10404.0,Lenoir,5821
28,701.0,7011.0,Polk,1453
80,964.0,9644.0,Granville,5829
131,1218.0,12184.0,Stanly,7652
86,1091.0,10911.0,Vance,4859
9,729.0,7287.0,Perquimans,981
13,627.0,6271.0,Gates,725
10,560.0,5601.0,Dare,2073
55,1026.0,10263.0,Anson,2509
20,895.0,8945.0,Warren,1765
16,543.0,5428.0,Currituck,1507
12,685.0,6848.0,Graham,578
6,789.0,7893.0,Tyrrell,317
0,,,Missing,3
