Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38183,37846,49153,42610,ROBESON COUNTY,15234,361,42592,13402,41959,13169,0,12273,652,15190,0,98425,0,15234,109195,36228,895,13579,57608,417,0,8099,52444,652,15505,122048,ROBESON,895,1975,13578,130625,0,58413,52011,2107,905,14898,20565,14754,14897,13640,40064,54361,895,15234,16164,669,13513,38196,652
4930,4899,5758,5353,PERQUIMANS COUNTY,2702,0,5350,1065,5303,2634,,964,0,2700,,10957,,2702,11854,4794,0,1016,6414,0,,1822,5959,0,2845,12861,PERQUIMANS,0,211,1016,13463,,6487,5914,227,17,1117,3671,1111,1117,2807,5175,6240,0,2702,3034,11,1015,4932,0
71037,69980,97806,76128,JOHNSTON COUNTY,38612,503,76088,32219,74348,20491,,30190,1112,38269,,156585,,38615,175612,66504,1385,34835,111895,551,,15363,107025,1112,24663,196283,JOHNSTON,1385,3669,34831,209339,,114895,105015,3795,1397,37370,28558,36162,37369,21108,70289,103893,1385,38612,25454,1123,33923,71067,1112
39473,39091,57069,41692,RANDOLPH COUNTY,22414,426,41656,19885,41074,15365,,18789,552,22326,,111702,,22414,123257,37728,749,20472,63250,496,,11271,60532,552,19621,135556,RANDOLPH,749,3830,20470,143667,,64256,59861,3761,749,21815,26060,21427,21814,15704,39555,60189,749,22414,19961,567,20218,39493,552
3031,2978,3005,3196,HYDE COUNTY,1228,,3193,160,3114,982,,144,,1225,,4098,,1228,4410,2861,,157,3283,,,593,3188,,1026,4753,HYDE,,44,157,4937,,3368,3131,52,,172,1114,169,172,995,2988,3148,,1228,1047,,153,3031,
4974,4927,6016,5347,ALLEGHANY COUNTY,2744,0,5338,1289,5249,2240,,1202,0,2735,,9249,,2745,9915,4814,0,1247,6586,0,,1577,6254,0,2565,10626,ALLEGHANY,0,325,1247,11137,,6725,6167,345,34,1344,3116,1337,1344,2321,5132,6421,0,2744,2666,26,1240,4981,0
16553,16326,22897,18338,DUPLIN COUNTY,7915,161,18322,7348,17918,5912,,6926,216,7895,,44760,,7916,49644,15755,269,7694,26318,183,,4175,24488,216,7556,55126,DUPLIN,269,1483,7694,58741,,26864,24185,1482,287,8239,11405,8131,8239,6086,17223,24840,269,7915,7751,228,7643,16566,216
3855,3851,4224,4136,GATES COUNTY,1612,,4130,492,4105,1615,,463,,1611,,9230,,1612,10120,3761,0,501,4646,0,,962,4357,,1736,11027,GATES,0,121,501,11562,,4696,4351,121,15,545,2418,541,545,1716,3996,4488,0,1612,1837,,500,3856,
26088,25614,32872,27022,HAYWOOD COUNTY,16588,508,27012,7886,26398,11237,0,7245,870,16519,37,50968,37,16588,54941,24757,1314,7708,36041,611,37,8923,34726,870,13573,59266,HAYWOOD,1314,1828,7708,62317,37,36738,34159,1959,1347,8369,15572,8329,8369,11390,25491,34691,1314,16588,13960,917,7675,26101,870
19714,19559,25416,20908,STANLY COUNTY,10477,284,20902,6652,20643,7895,,6238,358,10444,,49282,,10477,54008,18820,466,6598,28095,328,,5652,26706,358,9464,59178,STANLY,466,1285,6598,62806,,28462,26470,1317,478,7076,12123,6986,7076,8186,19846,26964,466,10477,9831,390,6553,19718,358
