Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56519,ROBESON COUNTY,3277,3296,1921,3222,3298,1988,1971,1931,1167,1990,1308,1308,1306,1291,754,11981,16788,8384,16788,16663,16378,8252,8384,8373,8191,3631,8384,16788,24786,25253,25389,25446,62392,16514,52345,55360,56623,17340,57620,61000,62573,Robeson,217,217,217,98,274,25172,25036,24569,11883,1497,1004,122048,1497,1004,1543,1497,605,1069,1004,407,98425,20565,130625,109195,ROBESON COUNTY,25172,14751,2392,16376,16113,16374,44654,44521,43390,14343,41372,13699,15170,15169,14968,2257,39388,40346,40384,13850,37642
6194,PERQUIMANS COUNTY,914,914,653,900,914,503,503,492,359,503,411,411,411,408,294,2362,2607,1097,2607,2600,2574,1691,1097,1096,1087,671,1097,2607,3661,3696,3704,3704,6689,2985,5939,6110,6209,3184,6399,6588,6726,Perquimans,,,,,,3704,3696,3661,2362,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3704,1146,257,1209,1197,1207,5497,5482,5391,2927,5253,1043,1103,1103,1095,235,5015,5091,5094,2750,4896
115392,JOHNSTON COUNTY,14351,14464,6797,13897,14468,6383,6311,6103,3566,6387,8081,8081,8040,7794,3231,22174,26630,34096,26619,26255,25410,10953,34094,33881,32859,11085,34096,26630,58765,60632,61209,61286,123047,26340,104121,111671,115532,27397,110534,118799,123703,Johnston,496,496,496,136,560,60713,60136,58269,22038,3696,2483,196283,3643,2460,3715,3452,1050,2499,2328,707,156585,28558,209339,175612,JOHNSTON COUNTY,60726,35052,4301,40739,39077,40681,79249,78670,76079,22046,72030,33293,38688,38679,37127,4175,72084,74230,74345,21458,68500
63982,RANDOLPH COUNTY,6827,6866,4004,6715,6869,2980,2955,2900,1965,2983,3886,3886,3872,3815,2039,15798,14777,18260,14771,14684,14440,7489,18260,18230,17975,8227,18260,14777,32538,33037,33154,33170,67495,20753,59857,62704,64126,21228,62954,66025,67708,Randolph,123,123,123,82,133,33031,32914,32415,15716,892,575,135556,892,575,958,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33037,21494,4279,23560,23022,23555,43190,43048,42111,16389,40568,20574,22518,22515,22028,4303,40101,40892,40940,16006,38708
3368,HYDE COUNTY,495,497,265,483,498,475,473,462,254,476,22,22,22,21,11,784,1858,87,1858,1849,1797,752,87,85,82,32,87,1858,1879,1934,1945,1945,3470,1065,3141,3282,3368,1085,3241,3384,3491,Hyde,,,,,,1945,1934,1879,784,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1945,164,52,178,176,178,3301,3292,3208,1033,3077,153,167,167,164,44,3118,3201,3201,1021,2988
6536,ALLEGHANY COUNTY,1136,1141,796,1130,1141,512,507,501,368,512,629,629,629,629,428,2172,2204,1867,2203,2189,2157,1110,1867,1865,1862,1062,1867,2204,4019,4054,4070,4071,6947,2746,6275,6445,6585,2832,6651,6830,7005,Alleghany,,,,,,4070,4054,4019,2172,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4071,1375,384,1420,1414,1420,5516,5492,5381,2423,5241,1279,1320,1320,1313,370,5132,5216,5227,2376,4996
27541,DUPLIN COUNTY,2292,2299,1436,2262,2299,1202,1195,1181,745,1202,1097,1097,1097,1081,691,6048,6234,5936,6230,6178,6072,3042,5936,5919,5827,2913,5936,6234,12236,12445,12514,12560,30019,8230,25361,26902,27606,8538,27491,29256,30116,Duplin,348,348,337,93,390,12166,12097,11899,5955,2196,1651,55126,2160,1633,2245,1938,473,1692,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12170,7928,1662,8798,8666,8795,19073,19028,18430,6403,17625,7648,8453,8452,8330,1681,16939,17438,17461,6218,16261
4619,GATES COUNTY,519,523,326,510,524,427,423,415,275,428,96,96,96,95,51,1287,2005,349,2004,1992,1975,1157,349,349,336,130,349,2005,2311,2341,2353,2365,4925,1870,4409,4554,4648,1962,4690,4856,4994,Gates,0,0,0,0,11,2353,2341,2311,1287,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2354,539,134,589,582,589,4256,4246,4184,1817,4061,511,549,549,545,137,3966,4027,4029,1733,3855
36139,HAYWOOD COUNTY,8023,8081,5096,7889,8082,5077,5020,4912,3223,5078,3004,3004,3003,2977,1873,12002,13010,9866,13009,12855,12538,6667,9866,9855,9719,5321,9866,13010,22359,22812,22977,23025,38108,14303,33997,35315,36260,14779,35865,37246,38341,Haywood,102,102,102,14,149,22875,22710,22257,11988,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22876,8264,2168,8735,8673,8727,27993,27848,27040,11910,26068,7641,8099,8098,8043,2033,26341,27110,27130,11759,25425
28075,STANLY COUNTY,2842,2859,1636,2805,2859,1076,1067,1049,625,1076,1783,1783,1775,1756,1011,8139,8498,7321,8498,8441,8273,4390,7321,7314,7237,3675,7321,8498,15607,15852,15916,15926,29721,9894,26547,27606,28141,10266,28033,29182,29845,Stanly,97,97,97,74,107,15819,15755,15510,8065,706,556,59178,706,556,759,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15819,7185,1465,7653,7521,7650,21433,21365,20955,8444,20142,6794,7217,7215,7109,1440,19941,20304,20311,8156,19197
