Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56584,ROBESON COUNTY,3794,3827,2188,3720,3829,2312,2281,2228,1327,2314,1515,1515,1513,1492,861,12043,16831,8387,16831,16706,16428,8297,8387,8376,8198,3648,8387,16831,24843,25299,25435,25492,62436,16583,52449,55426,56713,17403,57708,61041,62615,Robeson,217,217,217,98,274,25218,25082,24626,11945,1497,1005,122048,1497,1005,1543,1497,605,1070,1005,407,98425,20565,130625,109195,ROBESON COUNTY,25218,14792,2416,16391,16130,16389,44681,44550,43414,14382,41419,13746,15196,15195,14995,2281,39426,40384,40447,13895,37698
6196,PERQUIMANS COUNTY,1108,1110,785,1089,1110,631,629,613,440,631,479,479,479,476,345,2371,2610,1099,2610,2605,2577,1699,1099,1098,1089,672,1099,2610,3666,3703,3709,3709,6693,2995,5943,6116,6212,3194,6402,6594,6728,Perquimans,,,,,,3709,3703,3666,2371,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3709,1148,258,1209,1197,1208,5499,5485,5397,2936,5254,1045,1102,1102,1094,237,5022,5094,5098,2758,4898
115557,JOHNSTON COUNTY,16590,16795,7686,16033,16799,7402,7257,7003,4006,7406,9393,9393,9333,9030,3680,22263,26646,34119,26634,26272,25428,10980,34117,33905,32899,11143,34119,26646,58827,60677,61251,61329,123187,26468,104345,111850,115840,27529,110746,118962,123883,Johnston,500,500,500,140,564,60751,60177,58327,22123,3700,2490,196283,3646,2466,3719,3454,1052,2506,2334,711,156585,28558,209339,175612,JOHNSTON COUNTY,60765,35139,4331,40770,39130,40714,79394,78773,76186,22146,72153,33376,38730,38709,37176,4204,72208,74358,74604,21553,68635
64017,RANDOLPH COUNTY,8048,8103,4688,7903,8106,3570,3535,3468,2345,3573,4533,4533,4513,4435,2343,15831,14741,18266,14735,14647,14402,7498,18266,18236,17986,8251,18266,14741,32511,33006,33124,33140,67552,20847,59916,62745,64187,21328,63041,66096,67772,Randolph,123,123,123,82,133,33001,32883,32388,15749,893,575,135556,893,575,959,893,560,670,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33007,21543,4308,23588,23053,23582,43225,43077,42150,16460,40605,20609,22531,22527,22042,4330,40128,40915,40986,16073,38732
3369,HYDE COUNTY,576,579,304,563,580,552,549,537,290,553,27,27,27,26,14,788,1853,87,1853,1844,1792,756,87,85,82,32,87,1853,1874,1929,1940,1940,3472,1072,3142,3283,3371,1092,3242,3385,3493,Hyde,,,,,,1940,1929,1874,788,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1940,165,52,179,177,179,3302,3293,3208,1040,3077,153,167,167,164,44,3119,3202,3204,1028,2989
6545,ALLEGHANY COUNTY,1347,1361,899,1340,1362,603,589,583,421,604,758,758,758,757,478,2180,2196,1868,2195,2181,2149,1112,1868,1866,1864,1068,1868,2196,4013,4047,4063,4064,6952,2758,6285,6456,6595,2843,6658,6835,7008,Alleghany,,,,,,4063,4047,4013,2180,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4064,1380,387,1422,1416,1422,5517,5495,5384,2431,5243,1281,1319,1319,1313,374,5143,5226,5238,2384,5004
27559,DUPLIN COUNTY,2704,2717,1681,2663,2717,1454,1443,1420,891,1454,1263,1263,1261,1243,790,6071,6234,5937,6230,6179,6074,3053,5937,5920,5831,2925,5937,6234,12242,12447,12515,12561,30044,8267,25386,26926,27624,8578,27528,29291,30142,Duplin,348,348,337,93,390,12167,12099,11905,5978,2199,1652,55126,2163,1634,2248,1941,474,1693,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12171,7953,1678,8816,8688,8813,19078,19032,18440,6426,17634,7661,8459,8458,8339,1695,16953,17449,17472,6241,16273
4620,GATES COUNTY,714,718,463,701,719,611,607,596,405,612,107,107,107,105,58,1290,2001,349,2000,1990,1972,1156,349,349,338,134,349,2001,2310,2339,2349,2361,4924,1873,4410,4556,4649,1965,4690,4854,4994,Gates,0,0,0,0,11,2349,2339,2310,1290,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2350,540,137,590,583,590,4255,4244,4181,1817,4060,512,550,550,546,140,3967,4027,4029,1733,3855
36123,HAYWOOD COUNTY,8991,9064,5626,8842,9068,5762,5690,5569,3598,5766,3302,3302,3301,3273,2028,12013,12978,9875,12977,12822,12511,6652,9875,9864,9728,5347,9875,12978,22341,22788,22954,23002,38082,14326,33995,35305,36292,14795,35853,37226,38321,Haywood,102,102,102,14,149,22852,22686,22239,11999,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22853,8274,2179,8740,8679,8732,27968,27817,27014,11915,26046,7652,8107,8104,8050,2045,26324,27088,27154,11770,25412
28015,STANLY COUNTY,3327,3350,1890,3281,3350,1300,1285,1264,752,1300,2050,2050,2042,2017,1138,8144,8440,7320,8440,8384,8216,4382,7320,7313,7236,3688,7320,8440,15549,15794,15857,15867,29656,9904,26491,27551,28094,10272,27969,29119,29781,Stanly,97,97,97,74,107,15760,15697,15452,8070,707,557,59178,707,557,760,707,357,614,557,298,49282,12123,62806,54008,STANLY COUNTY,15760,7194,1477,7662,7530,7661,21359,21288,20882,8438,20068,6804,7225,7225,7118,1453,19876,20233,20255,8153,19130
