Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38215,37872,49181,42638,ROBESON COUNTY,15349,361,42620,13412,41980,13173,0,12278,652,15302,0,98425,0,15349,109195,36251,895,13588,57642,417,0,8125,52485,652,15511,122048,ROBESON,895,1977,13587,130625,0,58455,52045,2107,905,14912,20565,14767,14911,13644,40084,54391,895,15349,16168,669,13521,38228,652
4931,4899,5760,5354,PERQUIMANS COUNTY,2714,0,5351,1065,5304,2636,,966,0,2711,,10957,,2714,11854,4794,0,1018,6415,0,,1826,5962,0,2847,12861,PERQUIMANS,0,211,1018,13463,,6488,5916,227,17,1117,3671,1111,1117,2809,5175,6240,0,2714,3036,11,1017,4933,0
71081,70007,97849,76181,JOHNSTON COUNTY,38922,503,76141,32234,74372,20494,,30212,1112,38558,,156585,,38925,175612,66525,1385,34866,111940,551,,15410,107100,1112,24669,196283,JOHNSTON,1385,3672,34862,209339,,114972,105066,3797,1397,37394,28558,36183,37393,21111,70314,103933,1385,38922,25459,1123,33947,71111,1112
39474,39092,57084,41699,RANDOLPH COUNTY,22500,426,41663,19903,41078,15367,,18802,552,22409,,111702,,22500,123257,37730,749,20490,63274,496,,11289,60551,552,19623,135556,RANDOLPH,749,3830,20488,143667,,64286,59877,3761,749,21838,26060,21447,21837,15706,39559,60211,749,22500,19963,567,20233,39494,552
3031,2978,3005,3196,HYDE COUNTY,1234,,3193,160,3114,982,,144,,1231,,4098,,1234,4410,2861,,157,3283,,,593,3188,,1026,4753,HYDE,,44,157,4937,,3368,3131,52,,172,1114,169,172,995,2988,3148,,1234,1047,,153,3031,
4974,4927,6016,5348,ALLEGHANY COUNTY,2755,0,5339,1290,5250,2240,,1202,0,2746,,9249,,2756,9915,4814,0,1247,6588,0,,1582,6254,0,2565,10626,ALLEGHANY,0,325,1247,11137,,6727,6167,346,34,1345,3116,1338,1345,2321,5133,6423,0,2755,2667,26,1240,4981,0
16616,16331,22904,18367,DUPLIN COUNTY,7998,161,18351,7355,17937,5912,,6930,216,7977,,44760,,7999,49644,15758,269,7700,26346,183,,4207,24557,216,7557,55126,DUPLIN,269,1484,7700,58741,,26905,24194,1483,287,8251,11405,8140,8251,6086,17234,24858,269,7998,7752,228,7647,16629,216
3855,3851,4224,4136,GATES COUNTY,1618,,4130,492,4105,1615,,463,,1617,,9230,,1618,10120,3761,0,501,4646,0,,963,4357,,1736,11027,GATES,0,121,501,11562,,4696,4351,121,15,545,2418,541,545,1716,3996,4488,0,1618,1837,,500,3856,
26103,25625,32884,27037,HAYWOOD COUNTY,16688,508,27027,7891,26407,11240,0,7247,870,16613,37,50968,37,16688,54941,24767,1314,7710,36056,611,37,8963,34743,870,13576,59266,HAYWOOD,1314,1828,7710,62317,37,36761,34172,1960,1347,8377,15572,8335,8377,11395,25498,34703,1314,16688,13966,917,7677,26116,870
19718,19564,25424,20913,STANLY COUNTY,10509,284,20907,6652,20649,7895,,6241,358,10476,,49282,,10509,54008,18825,466,6601,28102,328,,5661,26713,358,9464,59178,STANLY,466,1285,6601,62806,,28468,26478,1317,478,7077,12123,6987,7077,8186,19852,26970,466,10509,9831,390,6556,19722,358
