Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
35130,47028,44587,645,40052,14773,Robeson,360,878,11768,1660,40038,12753,10170,130625,645,54005,47002,1825,888,13065,20565,13064,13282,38323,50969,98425,15521,662,109195,11227,35139,33772,878,11227,53980,414
4675,5518,5370,0,5144,2744,Perquimans,0,0,942,187,5143,2557,787,13463,0,6146,5505,204,15,987,3671,987,2745,5028,5970,10957,2949,11,11854,830,4677,4583,0,830,6130,0
67151,97356,90590,1109,72170,23765,Johnston,502,1359,28353,3154,72144,20109,25468,209339,1109,105867,97318,3329,1371,32326,28558,32325,20773,68407,98119,156585,24652,1120,175612,29058,67177,64013,1359,29059,105828,550
38211,56097,53526,549,40459,19136,Randolph,425,743,17663,3310,40431,15401,16019,143667,549,60357,56064,3303,743,19155,26060,19154,15764,39008,57414,111702,19561,564,123257,17304,38228,36958,743,17305,60328,494
2848,2989,2882,,3028,992,Hyde,,,150,38,3028,954,135,4937,,3187,2989,44,,159,1114,159,974,2909,3059,4098,1018,,4410,141,2848,2747,,141,3187,
4699,5862,5702,0,4990,2489,Alleghany,0,0,1184,290,4983,2199,1095,11137,0,6256,5831,300,34,1232,3116,1232,2291,4883,6067,9249,2591,26,9915,1132,4704,4607,0,1132,6215,0
15505,22250,21145,216,17123,7230,Duplin,161,267,6482,1279,17115,5790,5868,58741,216,24628,22234,1298,283,7222,11405,7222,5983,16528,23277,44760,7462,228,49644,6513,15509,15061,267,6513,24604,181
3644,4076,3977,,3990,1675,Gates,,0,432,112,3985,1563,397,11562,,4474,4075,112,12,472,2418,472,1688,3889,4321,9230,1800,,10120,431,3645,3580,0,431,4457,0
24641,32300,31031,837,25620,13082,Haywood,507,1212,6983,1577,25613,10998,6346,62317,837,34292,32248,1706,1252,7420,15572,7420,11200,24743,32938,50968,13498,883,54941,6770,24647,23848,1212,6770,34245,592
18512,24375,23432,358,19787,9148,Stanly,284,460,5950,1135,19784,7729,5202,62806,358,26514,24342,1191,472,6255,12123,6255,8050,19064,25474,49282,9568,389,54008,5472,18514,17872,460,5472,26499,327
31093,146331,136617,36304,36686,21644,Missing,8649,21139,75230,6649,36631,6346,71396,,36325,140597,145304,6133,22247,81664,,81651,7291,33631,129954,,19176,37149,,77886,31294,28917,21093,77888,139421,5752
26686,36958,35133,330,28405,12200,Wilson,221,491,10001,1541,28401,10438,8877,81801,330,40113,36925,1583,495,11213,15337,11211,10722,27502,37994,63224,12565,354,69710,9909,26693,25926,491,9911,40103,260
1644,1772,1699,,1768,635,Tyrrell,,,151,34,1767,601,123,4016,,1925,1771,33,,157,810,157,620,1681,1832,3288,653,,3533,127,1645,1576,,127,1924,
33415,54676,52238,6882,36111,15594,Wayne,1039,10072,14649,2624,36088,11931,12781,123131,7034,62558,54623,2772,10099,16348,20802,16348,12289,35088,59557,94031,16599,7071,103693,14174,33431,32575,9820,14174,62508,1538
8329,10756,10414,122,8873,4231,Montgomery,94,149,2430,416,8873,3721,2145,27173,122,11642,10734,457,183,2586,5743,2586,3817,8663,11242,21266,4379,144,23512,2283,8329,8147,149,2283,11608,105
18805,26885,25798,273,20290,9742,Lenoir,194,405,7939,1418,20286,8130,7007,55949,273,29570,26853,1469,420,8860,11303,8860,8347,19912,28256,43423,10049,301,47933,7775,18809,18518,405,7775,29551,233
11287,15308,14702,157,12113,5614,Scotland,99,203,3945,711,12111,4804,3422,34823,157,16790,15272,795,239,4438,6531,4438,4945,11904,16052,26793,5863,193,29381,3828,11287,11123,203,3828,16752,123
66954,89086,84176,1031,69930,25305,Alamance,654,1353,21702,3646,69916,21005,19556,169509,1031,94686,89065,4028,1378,23378,29035,23377,21496,66176,89231,132145,26251,1039,145046,21080,66967,63589,1353,21080,94646,727
3158,4669,4476,870,3521,1313,Camden,0,792,666,89,3516,1224,594,10867,870,5048,4649,110,827,700,1833,700,1333,3354,4812,8407,1443,890,9354,621,3158,3012,792,621,5008,0
7667,9839,9456,66,8173,2806,Greene,53,84,2106,305,8171,2448,1821,21069,66,10692,9824,327,101,2418,3592,2418,2500,8054,10244,16884,2887,80,18372,2091,7668,7569,84,2091,10673,60
36592,55902,53473,2824,38862,19002,Rowan,1478,3131,17727,2834,38853,14690,15498,142088,2824,60873,55859,3021,3178,18833,25371,18833,15043,37229,58087,110729,19657,2860,122048,16443,36598,35151,3131,16444,60817,1593
7196,8405,8138,70,7733,3922,Northampton,57,107,1132,262,7731,3603,1019,19483,70,9114,8390,290,122,1259,5256,1259,3712,7553,8792,16132,4069,83,17363,1124,7198,7049,107,1124,9097,67
20278,28809,27681,184,22462,10697,Wilkes,160,232,8903,1711,22455,8826,7873,68412,184,32119,28781,1878,258,9399,15162,9399,9120,21664,30799,54628,11178,206,59783,8319,20284,19624,232,8319,32086,180
24829,38054,36289,239,25937,12603,Lincoln,199,361,13047,1804,25931,10600,11644,86111,239,40870,38019,1868,380,14553,15456,14553,10806,25432,38840,67981,12907,269,74647,12951,24834,24406,361,12951,40845,233
