Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37407,37361,51020,48170,647,41808,15346,122048,Robeson,360,886,41790,12844,1915,41426,12935,13071,11730,130625,647,56923,50937,2045,896,14219,20565,14156,14218,13533,39602,53332,98425,886,15993,664,109195,12929,37420,647,35793,886,12936,56468,415
4868,4864,5863,5696,0,5302,2814,12861,Perquimans,0,0,5299,1039,206,5265,982,2608,933,13463,0,6405,5846,220,15,1088,3671,1084,1088,2782,5142,6181,10957,0,3002,11,11854,982,4870,0,4763,0,982,6349,0
69578,69374,103715,96328,1109,74784,24478,196283,Johnston,502,1371,74746,31279,3571,73562,32985,20405,29216,209339,1109,112044,103363,3698,1383,35877,28558,35132,35876,21004,69651,102301,156585,1371,25252,1120,175612,32880,69606,1109,66003,1371,32989,110065,550
39177,39080,59246,56351,550,41479,19569,135556,Randolph,425,744,41443,19150,3736,41028,19482,15408,18049,143667,550,63091,59055,3668,744,20868,26060,20649,20867,15728,39560,59454,111702,744,19890,565,123257,19425,39197,550,37752,744,19484,62421,494
2935,2934,3085,2959,,3138,1019,4753,Hyde,,,3135,156,44,3080,150,975,142,4937,,3305,3084,52,,167,1114,164,167,991,2955,3111,4098,,1043,,4410,150,2935,,2817,,150,3244,
4887,4886,6133,5960,0,5263,2555,10626,Alleghany,0,0,5254,1255,320,5192,1213,2235,1176,11137,0,6602,6099,335,34,1305,3116,1301,1305,2312,5080,6335,9249,0,2647,26,9915,1213,4894,0,4784,0,1213,6493,0
16160,16156,23731,22466,216,17906,7485,55126,Duplin,161,267,17891,7056,1449,17657,7333,5875,6637,58741,216,26054,23702,1438,284,7864,11405,7818,7864,6048,17003,24326,44760,267,7667,228,49644,7330,16170,216,15613,267,7333,25742,181
3828,3826,4319,4197,,4091,1724,11027,Gates,,0,4086,476,121,4082,490,1603,454,11562,,4621,4316,120,13,517,2418,516,517,1703,3978,4454,9230,0,1823,,10120,490,3829,,3743,0,490,4598,0
25684,25596,34129,32721,867,26701,13599,59266,Haywood,508,1302,26691,7752,1792,26256,7518,11299,7093,62317,867,36251,33977,1920,1335,8215,15572,8183,8215,11377,25367,34421,50968,1302,13906,914,54941,7514,25697,867,24761,1302,7518,35741,609
19311,19304,26003,24948,358,20567,9386,59178,Stanly,284,465,20562,6437,1251,20411,6300,7851,5992,62806,358,27847,25950,1282,477,6803,12123,6758,6803,8140,19628,26530,49282,465,9750,390,54008,6288,19313,358,18598,465,6300,27634,328
57248,57042,184846,172888,38377,70189,34952,,Missing,9230,25946,70116,82011,7718,68035,88082,18004,80638,,38400,188527,182861,7090,27171,91167,,88491,91151,22183,64087,171992,,25946,37494,39290,,87419,57471,38400,53873,25894,88085,182472,8221
28102,28088,39842,37772,330,29693,12556,76972,Wilson,221,496,29684,11072,1723,29403,11373,10612,10228,81801,330,42664,39749,1752,500,12471,15337,12300,12468,10871,28434,40002,63224,496,12884,354,69710,11331,28113,330,27214,496,11375,42199,261
1736,1733,1877,1786,,1816,656,3827,Tyrrell,,,1814,160,36,1805,140,620,136,4016,,1983,1873,36,,167,810,167,167,634,1721,1881,3288,,670,,3533,140,1737,,1650,,140,1972,
34384,34346,59333,56550,7983,36966,16005,115046,Wayne,1083,10518,36931,16261,2925,36712,16749,11997,15115,123131,8144,65874,59196,3034,10588,18320,20802,18032,18319,12355,35685,62203,94031,10568,16968,8174,103693,16706,34406,8144,33452,10257,16753,65262,1579
8572,8570,11325,10938,122,9078,4328,25757,Montgomery,94,150,9076,2630,467,9053,2609,3767,2447,27173,122,12074,11295,497,184,2812,5743,2789,2812,3859,8831,11611,21266,150,4461,144,23512,2603,8572,122,8369,150,2609,11992,105
19600,19595,28721,27461,273,20907,10052,52801,Lenoir,194,405,20903,8600,1585,20826,8817,8273,7941,55949,273,30950,28675,1632,420,9623,11303,9520,9623,8459,20416,29421,43423,405,10324,301,47933,8807,19603,273,19247,405,8817,30751,233
11687,11670,16160,15488,158,12412,5726,32530,Scotland,99,203,12409,4241,801,12365,4279,4826,3855,34823,158,17396,16107,875,239,4745,6531,4716,4745,4952,12138,16582,26793,203,5950,194,29381,4279,11687,158,11475,203,4279,17284,123
69188,68982,93689,88121,1035,73181,25927,159560,Alamance,654,1392,73159,23205,4006,71792,23440,21267,21684,169509,1035,100011,93377,4318,1418,25412,29035,24929,25411,21827,67863,92460,132145,1392,26875,1043,145046,23360,69206,1035,65402,1392,23440,98113,730
3320,3318,5166,4970,1067,3685,1360,10327,Camden,0,842,3676,757,110,3637,765,1250,732,10867,1067,5363,5150,124,877,801,1833,793,801,1357,3476,5075,8407,842,1481,1079,9354,765,3322,1067,3171,842,765,5272,0
7982,7982,10501,10087,66,8465,2888,20022,Greene,53,84,8461,2316,355,8402,2438,2480,2144,21069,66,11219,10482,372,101,2653,3592,2630,2653,2523,8275,10675,16884,84,2955,80,18372,2434,7983,66,7877,84,2438,11116,60
