"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
7000.0,12,700.0,27302,2261
10148.0,6,1015.0,27917,110
8036.0,68,804.0,27534,2557
4384.0,0,438.0,27559,126
7404.0,5,740.0,27248,358
7088.0,5,709.0,27048,631
11383.0,10,1138.0,27807,790
4882.0,3,488.0,28783,93
7497.0,16,750.0,27603,4159
7634.0,66,763.0,28211,2386
7896.0,6,790.0,28356,388
9774.0,15,977.0,28590,2595
7933.0,1,793.0,28351,418
5399.0,21,540.0,28804,1258
8658.0,8,866.0,28479,422
2353.0,0,235.0,28577,14
8392.0,7,839.0,27938,120
7626.0,10,763.0,28104,2476
6946.0,1,695.0,28323,318
3209.0,0,321.0,28708,43
8946.0,3,895.0,27837,582
9215.0,21,922.0,27317,1645
9381.0,4,938.0,28071,300
6543.0,4,654.0,28746,169
8848.0,62,885.0,27215,3972
8889.0,13,889.0,28573,220
7831.0,19,783.0,27801,1688
9317.0,37,932.0,28081,2632
0.0,0,0.0,28350,0
6262.0,1,626.0,27976,223
8320.0,27,832.0,28115,3456
4841.0,0,484.0,28644,76
13029.0,17,1303.0,27229,523
0.0,0,0.0,28101,0
5549.0,3,555.0,28701,268
9513.0,30,951.0,28466,987
0.0,0,0.0,28646,0
11245.0,13,1125.0,28384,1396
8669.0,3,867.0,28163,504
7181.0,1,718.0,27959,176
9832.0,42,983.0,28152,2564
8368.0,10,837.0,28040,692
5809.0,4,581.0,28643,200
6702.0,32,670.0,27101,1630
0.0,0,0.0,27556,0
10031.0,42,1003.0,27253,3156
10097.0,8,1010.0,28107,829
7329.0,16,733.0,28467,835
9151.0,49,915.0,27573,1058
7924.0,23,792.0,27803,1770
5195.0,1,520.0,28692,234
8819.0,31,882.0,28580,1061
7430.0,35,743.0,28546,3861
8561.0,3,856.0,28167,207
0.0,0,0.0,28039,0
10268.0,1,1027.0,27866,69
9152.0,2,915.0,28098,367
4618.0,1,462.0,28679,98
9283.0,18,928.0,28166,916
7210.0,2,721.0,27283,215
3475.0,1,347.0,28571,109
9851.0,22,985.0,28016,1431
9343.0,22,934.0,27892,1342
,0,,27982,0
5267.0,1,527.0,27937,224
8496.0,20,850.0,28117,4045
10743.0,1,1074.0,28202,1800
8876.0,33,888.0,28170,1109
18193.0,5,1819.0,28637,288
11147.0,6,1115.0,28204,974
,0,,28608,0
7941.0,2,794.0,28515,275
10085.0,34,1008.0,28021,1355
8217.0,0,822.0,28623,141
6381.0,2,638.0,27617,1245
8455.0,0,846.0,27888,237
9110.0,36,911.0,28612,1358
6932.0,3,693.0,28665,207
10742.0,1,1074.0,28032,349
7462.0,29,746.0,28306,3176
8428.0,14,843.0,28075,1616
7451.0,29,745.0,28791,1178
6112.0,25,611.0,28270,2124
4717.0,3,472.0,27551,104
5686.0,3,569.0,28421,116
10347.0,74,1035.0,28602,3230
7781.0,44,778.0,27587,5765
5842.0,18,584.0,28904,557
0.0,0,0.0,28524,0
11065.0,4,1106.0,28033,372
6751.0,3,675.0,27310,578
7349.0,31,735.0,28314,3942
8342.0,59,834.0,28301,1478
9052.0,5,905.0,28675,616
10366.0,85,1037.0,27030,3902
8952.0,8,895.0,27521,640
5572.0,2,557.0,27805,210
10499.0,46,1050.0,27536,1728
4006.0,1,401.0,27939,135
10051.0,32,1005.0,27896,2132
0.0,0,0.0,27340,0
8985.0,14,898.0,28690,847
4925.0,27,492.0,28711,751
4585.0,24,458.0,27514,1506
8439.0,7,844.0,27027,339
8633.0,5,863.0,27851,483
6436.0,23,644.0,28787,1331
8414.0,2,841.0,27525,1307
9541.0,12,954.0,27822,870
9746.0,37,975.0,28659,2048
5199.0,1,520.0,28709,120
10123.0,0,1012.0,28006,115
7196.0,3,720.0,28357,232
5390.0,0,539.0,27824,83
5359.0,3,536.0,27243,250
