Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37363,37336,50953,48126,647,41776,15335,122048,Robeson,360,886,41758,12820,1908,41401,12912,13067,11706,130625,647,56863,50889,2041,896,14191,20565,14131,14190,13531,39578,53284,98425,886,15987,664,109195,12906,37376,647,35773,886,12913,56418,415
4861,4857,5853,5686,0,5297,2811,12861,Perquimans,0,0,5294,1038,205,5261,979,2606,930,13463,0,6399,5836,219,15,1087,3671,1083,1087,2780,5138,6176,10957,0,2999,11,11854,979,4863,0,4756,0,979,6344,0
69502,69342,103592,96268,1109,74726,24467,196283,Johnston,502,1371,74688,31244,3570,73549,32938,20395,29181,209339,1109,111948,103296,3696,1383,35839,28558,35099,35838,20996,69635,102250,156585,1371,25242,1120,175612,32845,69530,1109,65978,1371,32942,110019,550
39167,39078,59196,56319,550,41464,19573,135556,Randolph,425,744,41428,19116,3726,41024,19442,15422,18016,143667,550,63040,59019,3662,744,20832,26060,20616,20831,15739,39556,59416,111702,744,19895,565,123257,19391,39187,550,37753,744,19444,62384,494
2933,2933,3082,2957,,3130,1018,4753,Hyde,,,3127,156,44,3079,149,974,141,4937,,3297,3082,52,,167,1114,164,167,989,2954,3110,4098,,1041,,4410,149,2933,,2816,,149,3243,
4877,4876,6123,5950,0,5252,2551,10626,Alleghany,0,0,5243,1255,320,5188,1213,2231,1176,11137,0,6591,6089,335,34,1305,3116,1301,1305,2312,5077,6332,9249,0,2647,26,9915,1213,4884,0,4774,0,1213,6489,0
16154,16150,23715,22449,216,17892,7480,55126,Duplin,161,267,17877,7044,1446,17643,7323,5873,6626,58741,216,26026,23686,1435,284,7850,11405,7804,7850,6048,16989,24300,44760,267,7664,228,49644,7320,16164,216,15607,267,7323,25714,181
3822,3822,4311,4192,,4091,1723,11027,Gates,,0,4086,473,120,4082,488,1603,452,11562,,4617,4310,119,12,514,2418,513,514,1703,3978,4451,9230,0,1822,,10120,488,3823,,3740,0,488,4595,0
25600,25583,34036,32701,867,26686,13588,59266,Haywood,508,1301,26677,7745,1788,26246,7510,11292,7086,62317,867,36228,33957,1918,1334,8208,15572,8176,8208,11372,25356,34402,50968,1301,13899,914,54941,7507,25612,867,24748,1301,7510,35723,609
19307,19301,25987,24937,358,20556,9383,59178,Stanly,284,465,20551,6425,1251,20403,6288,7848,5983,62806,358,27819,25939,1282,477,6786,12123,6745,6786,8139,19621,26511,49282,465,9749,390,54008,6280,19309,358,18596,465,6288,27613,328
56452,56343,183591,171910,38257,69184,34599,,Missing,9194,25634,69111,81861,7711,67113,87745,17694,80466,,38280,187041,181870,7080,26880,90977,,88337,90961,21763,63170,170613,,25634,36907,39168,,87247,56675,38280,53187,25582,87748,181084,8064
28085,28073,39812,37749,330,29671,12556,76972,Wilson,221,496,29662,11046,1723,29387,11360,10612,10217,81801,330,42614,39723,1751,500,12443,15337,12274,12440,10870,28421,39963,63224,496,12882,354,69710,11320,28096,330,27202,496,11362,42157,261
1727,1727,1868,1780,,1812,655,3827,Tyrrell,,,1810,160,36,1803,140,619,136,4016,,1979,1867,36,,167,810,167,167,632,1719,1879,3288,,668,,3533,140,1728,,1644,,140,1970,
34366,34344,59257,56497,7969,36969,15997,115046,Wayne,1081,10512,36934,16228,2916,36717,16706,12000,15078,123131,8129,65832,59139,3024,10582,18281,20802,17996,18280,12359,35691,62170,94031,10562,16960,8159,103693,16666,34388,8129,33450,10251,16710,65225,1577
8576,8574,11320,10938,122,9082,4328,25757,Montgomery,94,150,9080,2628,467,9058,2600,3767,2444,27173,122,12075,11293,497,184,2809,5743,2786,2809,3858,8835,11613,21266,150,4460,144,23512,2597,8576,122,8372,150,2600,11994,105
19580,19577,28682,27425,273,20895,10041,52801,Lenoir,194,405,20891,8587,1583,20814,8798,8264,7924,55949,273,30924,28640,1630,420,9609,11303,9507,9609,8454,20403,29395,43423,405,10317,301,47933,8790,19583,273,19228,405,8798,30726,233
11686,11669,16141,15470,158,12410,5718,32530,Scotland,99,203,12407,4232,795,12363,4261,4824,3838,34823,158,17384,16088,871,239,4735,6531,4707,4735,4949,12135,16570,26793,203,5943,194,29381,4261,11686,158,11474,203,4261,17273,123
69089,68965,93549,88078,1035,73156,25923,159560,Alamance,654,1389,73134,23179,3999,71782,23399,21270,21651,169509,1035,99941,93325,4315,1415,25370,29035,24900,25369,21823,67854,92422,132145,1389,26867,1043,145046,23325,69107,1035,65392,1389,23399,98071,729
3320,3318,5164,4968,1067,3683,1360,10327,Camden,0,842,3674,757,110,3635,763,1250,730,10867,1067,5358,5148,124,877,798,1833,793,798,1357,3474,5073,8407,842,1481,1079,9354,763,3322,1067,3171,842,763,5270,0
7980,7980,10498,10084,66,8464,2887,20022,Greene,53,84,8461,2314,355,8402,2437,2479,2143,21069,66,11216,10479,372,101,2651,3592,2628,2651,2522,8275,10673,16884,84,2954,80,18372,2433,7981,66,7875,84,2437,11114,60
37294,37275,58772,56058,2878,39372,19187,133830,Rowan,1479,3441,39355,19046,3207,39085,18556,14501,17498,142088,2878,63229,58656,3341,3472,20385,25371,20168,20385,14855,37377,59864,110729,3441,19820,2908,122048,18503,37306,2878,35682,3441,18558,62694,1624
7214,7212,8582,8293,70,7771,3873,18570,Northampton,57,107,7768,1260,291,7718,1282,3525,1170,19483,70,9286,8562,319,123,1392,5256,1384,1392,3618,7520,8887,16132,107,4004,83,17363,1280,7217,70,7053,107,1282,9209,67
20873,20852,30434,29165,184,22785,10695,64946,Wilkes,160,233,22773,9474,1903,22497,9346,8632,8855,68412,184,33057,30380,2025,259,10013,15162,9987,10013,8877,21686,31393,54628,233,11082,206,59783,9344,20882,184,20126,233,9346,32717,180
25411,25396,40361,38464,239,26590,12975,81663,Lincoln,199,363,26583,14293,2100,26360,14676,10676,13288,86111,239,43041,40249,2141,382,16069,15456,15745,16069,10865,25826,40482,67981,363,13240,269,74647,14614,25416,239,24937,363,14676,42468,234
27127,27108,36852,35429,202,28195,13351,78015,Caldwell,149,316,28183,9795,1313,28005,9498,11889,8900,82178,202,39101,36783,1378,324,10582,16769,10472,10582,12074,27167,37278,65842,316,13634,219,71809,9473,27135,202,26327,316,9498,38793,182
7003,6999,8796,8451,100,7416,4183,19940,Polk,88,117,7412,1635,737,7354,1671,3358,1563,20724,100,9332,8763,752,145,1771,6644,1738,1771,3470,7109,8861,17478,117,4319,118,18752,1664,7007,100,6788,117,1671,9209,97
24601,24540,35202,33596,220,25949,12433,67979,Surry,178,284,25928,10662,2098,25688,10357,10157,9827,71783,220,37515,35115,2242,301,11265,14964,11228,11264,10362,24588,35534,56811,284,12804,227,62223,10355,24617,220,23549,284,10358,37200,200
17324,17321,20438,19711,349,18037,8931,34121,Macon,238,439,18027,2819,804,17895,2704,7889,2591,35858,349,21456,20374,833,479,2940,10350,2930,2940,8027,17267,20525,29260,439,9119,403,31614,2704,17331,349,16771,439,2704,21264,259
3949,3941,4973,4823,23,4176,2540,10740,Clay,23,25,4176,1004,318,4138,955,2199,952,11231,23,5276,4919,319,93,1007,3581,1007,1007,2249,4028,5057,9352,25,2593,69,10050,955,3949,23,3848,25,955,5170,25
12815,12801,17577,16832,102,13441,6258,35700,Yadkin,87,148,13434,4620,835,13320,4636,5336,4311,37667,102,18616,17535,824,168,5007,7711,4975,5007,5436,12889,17657,29851,148,6365,119,32660,4632,12822,102,12419,148,4636,18443,105
92079,91874,92125,89935,,104819,36031,,Out of State,,,104756,,,103473,,36031,,,,104819,91874,,,,,,,40760,101159,101159,,,40760,,,,92125,,89935,,,103473,
35187,35130,109138,104517,48061,38392,18728,180787,Onslow,2483,56636,38373,24528,2747,37945,24745,13498,22401,197938,49159,122637,108976,2873,56738,27507,19026,27004,27507,13806,36639,116540,149343,56689,19676,49182,162055,24687,35209,49159,34055,55373,24747,121585,2997
15324,15313,20096,19234,247,16672,6812,42075,Richmond,129,283,16662,4466,633,16513,4484,6050,4051,44829,247,21951,20042,674,320,4959,8183,4928,4959,6175,16040,20789,34516,283,6987,281,38043,4482,15331,247,14936,283,4484,21724,138
116716,116266,162281,153350,3797,123574,47533,248550,Buncombe,2022,5671,123508,39000,8159,120219,41651,37352,38353,261191,3797,172396,161483,7970,5700,43122,53494,42136,43116,37814,114575,159246,213777,5671,48148,3853,230148,41420,116776,3797,111200,5671,41652,168026,2364
76917,76686,123293,111634,567,81588,26534,226508,Union,411,897,81537,40283,4357,79957,45755,21766,38597,239859,567,131651,122657,4351,915,49148,31234,47277,49136,22447,75370,116550,176616,897,27305,589,202043,45404,76948,567,72470,897,45756,128131,507
67215,67057,110088,101002,1448,72434,24714,202607,Cabarrus,860,2077,72392,37667,4284,70867,41378,19570,36160,216453,1448,118720,109643,4341,2093,44193,29064,42755,44186,20092,66724,106468,161462,2077,25369,1462,181104,41138,67244,1448,63394,2077,41382,115699,936
3911,3911,5486,5252,28,4319,2353,10985,Washington,16,55,4308,1672,391,4292,1527,1946,1467,11580,28,6111,5466,464,56,1736,2932,1734,1736,2092,4116,5843,9274,55,2589,38,10083,1527,3921,28,3757,55,1527,6081,33
33335,33294,51252,47972,875,35589,13597,126086,Harnett,348,1275,35552,16388,1831,35216,16949,11418,15226,135976,875,55492,51077,1911,1326,18577,17458,18233,18576,11728,33581,51233,100990,1275,14030,945,112079,16908,33357,875,31871,1264,16950,54724,391
29882,29833,40030,38099,346,31350,13270,86176,Burke,261,489,31336,9759,1562,31102,9766,11447,8961,90485,346,42540,39923,1682,498,10692,18720,10582,10691,11644,29926,40174,73860,489,13637,367,79893,9744,29897,346,28792,489,9766,42173,311
22013,21992,35743,33816,4296,23333,8911,57336,Granville,514,4664,23317,9003,1234,22996,9401,7163,8564,60443,4296,38075,35662,1181,4708,10034,10674,9885,10031,7346,21863,35530,48058,4664,9084,4313,52711,9374,22026,4296,20956,4664,9404,37545,557
68004,67910,104961,99471,851,73653,30464,211171,Gaston,652,1302,73602,34867,5047,72738,36048,24765,32502,224529,851,114263,104710,5245,1325,39285,36651,38578,39285,25676,70657,106826,174276,1302,31737,872,191721,35949,68041,851,66118,1302,36048,112618,816
16759,16759,23020,22027,290,17916,8090,48532,Edgecombe,201,391,17909,5846,1034,17819,5963,6855,5351,51472,290,24869,22989,1106,403,6550,10509,6483,6550,7021,17374,23611,39904,391,8366,295,43948,5940,16762,290,16386,391,5963,24693,239
26065,26046,30327,29069,54,28124,7607,54308,Watauga,54,88,28087,4347,611,27398,4160,6942,3997,56177,54,32784,30252,645,123,4537,9229,4519,4537,7284,26439,30874,49022,88,8000,66,51530,4152,26101,54,25018,88,4160,32005,71
10974,10951,17467,16329,773,12255,3983,50664,Hoke,223,1096,12234,5407,529,12076,5697,3231,5081,55234,773,19531,17412,557,1121,6155,5854,6059,6155,3364,11460,17963,40282,1096,4161,778,44624,5688,10992,773,10475,1096,5697,19231,240
7873,7873,9609,9253,15,8591,3537,18126,Bertie,15,34,8586,1696,325,8564,1706,3197,1585,18947,15,10477,9594,343,42,1844,4479,1835,1844,3422,8330,10060,15647,34,3784,28,16854,1706,7875,15,7653,34,1706,10433,19
15589,15585,20953,19971,284,16376,7022,37405,Person,180,386,16363,5129,1018,16176,5064,5824,4773,39490,284,22264,20928,1048,386,5502,7938,5448,5501,5905,15470,20985,31361,386,7153,292,34239,5059,15597,284,14914,386,5064,22010,200
19446,19445,24361,23495,275,20444,10144,44735,Beaufort,224,384,20432,4524,842,20319,4608,9078,4147,46994,275,25947,24319,878,399,5104,11538,5066,5104,9337,19898,24806,37669,384,10484,298,41131,4599,19455,275,19073,384,4608,25769,269
16409,16357,22098,20996,2225,17223,6800,42001,Jackson,536,3406,17209,3088,499,16913,3140,5765,2826,43938,2507,24326,21998,531,3658,3445,8759,3409,3445,5882,16462,22602,36721,3596,7054,2538,39175,3134,16420,2507,15945,3052,3140,23728,641
52346,52257,80613,75976,512,54830,26237,150636,Catawba,349,704,54809,27301,3849,54151,27716,22039,25405,159551,512,85579,80346,4014,732,30017,29156,29595,30016,22385,51770,79775,124631,704,26781,533,137151,27577,52363,512,50059,704,27717,84450,382
498263,495802,751381,687060,6092,537711,135330,1044525,Wake,2706,8535,537336,223127,21542,517943,246793,111082,218210,1111761,6092,806848,747051,21288,8589,260548,133864,251075,260530,115761,483238,714900,849055,8535,140042,6105,941934,245157,498470,6092,462758,8535,246806,777553,2993
32441,32421,46095,43761,368,34419,15693,92365,Cleveland,285,498,34411,13343,2376,34031,13261,13032,12130,97947,368,49578,46039,2456,519,14640,18575,14564,14640,13325,32730,46571,76504,498,16102,386,84044,13250,32448,368,31263,498,13261,49093,321
22783,22782,30661,29130,303,24734,9049,59389,Sampson,202,403,24722,7473,1189,24623,7552,7658,6983,63531,303,33282,30630,1235,423,8125,11637,8073,8125,7879,23546,31422,48081,403,9348,317,53473,7545,22792,303,21844,403,7552,33099,234
16877,16867,23070,22053,272,18028,7665,52603,Columbus,199,341,18018,5664,1065,17924,5905,6401,5113,55508,272,24934,23040,1142,356,6550,11419,6493,6550,6580,17632,23637,44013,341,7949,278,48224,5901,16885,272,16668,341,5907,24758,227
8798,8796,10209,9902,69,9232,3991,21496,Caswell,58,91,9222,1533,263,9175,1333,3670,1259,22604,69,10969,10198,371,109,1628,5005,1620,1628,3754,8931,10555,18383,91,4194,71,19944,1333,8805,69,8574,91,1333,10886,69
7572,7550,8627,8317,103,8044,3702,17212,Yancey,103,133,8042,852,146,7964,924,3453,779,18069,103,9222,8577,141,173,1005,4744,1004,1005,3563,7820,8805,14782,133,3819,130,15969,924,7573,103,7435,133,924,9101,115
