At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9931,21306,21644,21642,21658,14872,14870,14693,7247,6656,6656,6497,2618,6656,14872,61166,55366,Robeson,116,116,116,66,130,1377,896,122048,15905,51198,54246,55449,16606,56366,59792,61239,1377,896,1428,1377,529,962,896,394,98425,20565,130625,ROBESON COUNTY,109195,14121,2205,15799,15531,15798,44012,43991,42884,13872,40868,13121,14631,14630,14417,2076,38933,39840,39856,13435,37181
2006,3198,3226,3225,3226,2441,2440,2420,1577,785,785,778,429,785,2441,6613,6114,Perquimans,,,,,,0,0,12861,2899,5871,6039,6129,3089,6330,6518,6636,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1111,236,1172,1161,1172,5444,5441,5357,2853,5219,1014,1071,1071,1065,217,4974,5043,5046,2682,4857
17955,50145,51672,51669,51707,23665,23662,23090,9843,27949,27949,26997,8102,27951,23671,120649,112876,Johnston,58,58,58,10,85,3372,2235,196283,25264,101536,109291,112945,26250,108024,116488,120761,3341,2222,3440,3165,894,2267,2096,614,156585,28558,209339,JOHNSTON COUNTY,175612,33683,3959,39466,37803,39465,77855,77812,75344,21397,71176,31879,37395,37391,35825,3855,71244,73250,73283,20795,67561
13192,28366,28776,28774,28800,13628,13627,13457,6907,15098,15097,14859,6262,15098,13632,66416,63025,Randolph,50,50,50,23,70,803,559,135556,19988,58815,61769,63119,20360,61739,64947,66527,803,559,877,803,515,631,559,431,111702,26060,143667,RANDOLPH COUNTY,123257,20785,3962,22960,22396,22960,42690,42653,41748,15883,40151,19874,21885,21883,21375,3996,39835,40583,40603,15561,38382
724,1794,1844,1844,1844,1783,1783,1736,705,61,61,58,19,61,1783,3432,3310,Hyde,,,,,,,,4753,1050,3077,3216,3310,1066,3191,3335,3435,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,163,49,176,173,176,3259,3256,3162,1017,3028,150,163,163,159,42,3057,3147,3147,1008,2927
1782,3296,3323,3323,3324,1896,1896,1873,1047,1427,1427,1423,735,1427,1897,6898,6468,Alleghany,,,,,,20,0,10626,2665,6215,6381,6501,2756,6605,6782,6942,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1350,359,1401,1395,1401,5486,5477,5367,2377,5235,1255,1299,1299,1292,342,5089,5169,5176,2323,4960
4949,10269,10402,10402,10432,5619,5619,5555,2789,4783,4783,4714,2160,4784,5621,29508,27008,Duplin,0,0,0,0,27,2125,1583,55126,7862,24813,26391,27064,8141,26971,28756,29585,2092,1572,2185,1881,429,1626,1392,302,44760,11405,58741,DUPLIN COUNTY,49644,7650,1532,8581,8442,8581,18819,18802,18222,6180,17440,7355,8213,8213,8096,1556,16723,17212,17225,6004,16066
1134,2080,2105,2104,2106,1824,1823,1811,1039,281,281,269,95,281,1825,4851,4564,Gates,,,,,,68,49,11027,1784,4359,4509,4595,1868,4612,4782,4917,68,49,125,68,0,78,49,0,9230,2418,11562,GATES COUNTY,10120,516,126,571,565,571,4221,4212,4149,1742,4028,492,533,533,531,129,3929,3982,3984,1655,3818
9879,19441,19809,19809,19837,12228,12228,11989,6265,7495,7495,7366,3601,7495,12229,37474,35531,Haywood,86,86,86,13,113,1420,899,59266,13773,33417,34743,35624,14181,35255,36654,37573,1420,899,1508,1420,629,978,899,509,50968,15572,62317,HAYWOOD COUNTY,54941,8105,2023,8605,8551,8604,27460,27450,26683,11529,25730,7483,7973,7972,7920,1889,25924,26660,26673,11375,25035
6555,13280,13472,13472,13473,7480,7480,7366,3790,5948,5948,5870,2737,5948,7480,29492,27760,Stanly,44,44,44,28,45,669,474,59178,9655,26223,27324,27841,10016,27809,28984,29551,669,474,722,669,331,551,474,284,49282,12123,62806,STANLY COUNTY,54008,6966,1368,7442,7309,7442,21387,21381,21006,8317,20174,6572,7009,7009,6898,1346,19952,20277,20281,8025,19177
