Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37913,37681,51823,48712,647,42239,15432,122048,Robeson,360,887,42222,13111,1944,41737,13232,13128,11980,130625,647,57651,51526,2074,897,14515,20565,14429,14514,13598,39884,53882,98425,887,16087,664,12777,109195,13198,37926,647,36085,887,13233,57053,415
4905,4887,5914,5730,0,5334,2828,12861,Perquimans,0,0,5331,1052,208,5289,996,2620,946,13463,0,6454,5883,226,15,1105,3671,1099,1105,2791,5163,6215,10957,0,3017,11,2270,11854,996,4907,0,4784,0,996,6388,0
70681,69929,105912,97356,1109,75487,24573,196283,Johnston,502,1378,75448,31732,3611,74016,34078,20460,29762,209339,1109,113442,104488,3733,1390,36565,28558,35621,36564,21051,70033,103143,156585,1378,25334,1120,31021,175612,33450,70710,1109,66485,1378,34082,111015,550
39336,39036,59918,56657,550,41508,19568,135556,Randolph,425,746,41472,19452,3773,40958,19995,15370,18410,143667,550,63506,59406,3701,746,21252,26060,20977,21251,15689,39467,59665,111702,746,19884,565,18299,123257,19820,39356,550,37697,746,19997,62681,494
3011,2967,3165,2993,,3180,1021,4753,Hyde,,,3177,156,44,3100,154,977,144,4937,,3348,3119,52,,168,1114,165,168,992,2974,3130,4098,,1044,,1115,4410,152,3011,,2849,,154,3265,
4968,4943,6235,6030,0,5308,2569,10626,Alleghany,0,0,5299,1274,325,5221,1234,2244,1193,11137,0,6668,6173,338,34,1326,3116,1322,1326,2316,5109,6383,9249,0,2654,26,2324,9915,1230,4975,0,4837,0,1234,6543,0
16474,16288,24217,22712,216,18222,7518,55126,Duplin,161,267,18206,7192,1466,17840,7502,5891,6770,58741,216,26530,23979,1458,284,8024,11405,7959,8024,6069,17165,24624,44760,267,7708,228,6538,49644,7475,16487,216,15726,267,7502,26066,181
3844,3841,4340,4213,,4114,1729,11027,Gates,,0,4108,484,121,4093,495,1608,459,11562,,4655,4336,120,13,528,2418,527,528,1709,3987,4471,9230,0,1829,,1422,10120,495,3845,,3754,0,495,4620,0
26188,25821,34741,33020,870,26965,13681,59266,Haywood,508,1307,26955,7817,1812,26424,7623,11361,7172,62317,870,36589,34288,1942,1340,8284,15572,8251,8284,11418,25530,34654,50968,1307,13970,917,14269,54941,7597,26201,870,24978,1307,7623,35982,610
19517,19424,26354,25178,358,20699,9428,59178,Stanly,284,465,20694,6548,1270,20499,6445,7874,6113,62806,358,28095,26197,1301,477,6919,12123,6869,6919,8155,19711,26724,49282,465,9784,390,8672,54008,6415,19519,358,18707,465,6445,27833,328
65798,64295,196870,181647,38824,80138,37923,,Missing,9399,27553,80058,83068,7827,77204,91105,20697,81871,,38848,201770,191909,7167,28797,92835,,89623,92819,25645,73119,183688,,27553,41795,39735,89000,,88766,66027,38848,60952,27501,91108,194380,8983
28488,28258,40570,38144,331,29954,12615,76972,Wilson,221,497,29944,11291,1745,29576,11714,10649,10443,81801,331,43225,40165,1775,501,12770,15337,12543,12767,10892,28586,40374,63224,497,12928,355,12776,69710,11576,28499,331,27370,497,11716,42616,261
1757,1749,1899,1803,,1832,659,3827,Tyrrell,,,1830,163,36,1815,141,623,137,4016,,2002,1890,36,,170,810,170,170,638,1731,1894,3288,,674,,532,3533,141,1758,,1666,,141,1985,
34730,34572,60350,57183,8068,37218,16108,115046,Wayne,1104,10590,37183,16582,2966,36888,17298,12038,15454,123131,8229,66716,59886,3076,10720,18778,20802,18398,18777,12410,35851,62758,94031,10697,17083,8296,15529,103693,17085,34752,8265,33661,10325,17302,65876,1597
8609,8597,11421,11008,122,9112,4342,25757,Montgomery,94,150,9110,2676,475,9074,2668,3773,2492,27173,122,12156,11368,503,184,2860,5743,2834,2860,3864,8850,11676,21266,150,4472,144,3443,23512,2649,8609,122,8394,150,2668,12058,105
19782,19721,29145,27756,273,21088,10103,52801,Lenoir,194,405,21084,8756,1611,20954,9058,8298,8116,55949,273,31339,28984,1653,420,9831,11303,9684,9831,8484,20527,29688,43423,405,10370,301,9001,47933,8990,19786,273,19367,405,9058,31043,233
11727,11690,16294,15573,158,12451,5736,32530,Scotland,99,203,12448,4300,814,12401,4373,4823,3926,34823,158,17513,16204,891,239,4823,6531,4776,4823,4955,12173,16676,26793,203,5969,194,4509,29381,4356,11727,158,11489,203,4373,17380,123
70306,69266,95500,88700,1035,73675,25999,159560,Alamance,654,1401,73652,23570,4050,72018,24132,21295,22024,169509,1035,101005,94030,4351,1427,25903,29035,25311,25902,21857,68055,93026,132145,1401,26938,1043,28849,145046,23729,70325,1035,65641,1401,24132,98730,730
3367,3338,5245,5013,1077,3715,1374,10327,Camden,0,846,3706,764,114,3654,787,1260,748,10867,1077,5412,5197,128,881,816,1833,800,816,1369,3490,5100,8407,846,1497,1089,1328,9354,782,3369,1077,3188,846,787,5300,0
8097,8048,10683,10190,66,8530,2904,20022,Greene,53,84,8526,2352,360,8445,2505,2491,2188,21069,66,11331,10600,378,101,2700,3592,2672,2700,2532,8308,10744,16884,84,2970,80,2897,18372,2486,8098,66,7936,84,2505,11201,60
37530,37313,59528,56428,2881,39652,19154,133830,Rowan,1479,3473,39635,19349,3236,39231,19071,14439,17836,142088,2881,63936,59067,3371,3506,20778,25371,20490,20778,14785,37509,60331,110729,3473,19780,2913,17064,122048,18873,37542,2881,35711,3473,19073,63194,1624
7180,7163,8583,8277,70,7724,3847,18570,Northampton,57,107,7721,1291,296,7653,1317,3494,1203,19483,70,9273,8546,324,123,1426,5256,1416,1426,3586,7453,8851,16132,107,3977,83,2734,17363,1313,7183,70,7004,107,1317,9176,67
21066,20836,30821,29304,184,22818,10657,64946,Wilkes,160,233,22807,9621,1922,22440,9540,8575,9017,68412,184,33263,30539,2047,259,10186,15162,10139,10186,8816,21628,31482,54628,233,11043,206,9194,59783,9519,21075,184,20103,233,9540,32812,180
25705,25525,41113,38801,239,26767,13034,81663,Lincoln,199,363,26760,14476,2134,26455,15135,10701,13517,86111,239,43497,40624,2165,382,16348,15456,15956,16348,10886,25904,40743,67981,363,13285,269,13945,74647,14860,25709,239,25045,363,15135,42774,234
27441,27293,37474,35834,202,28354,13407,78015,Caldwell,149,316,28342,10012,1336,28109,9806,11922,9129,82178,202,39512,37218,1399,324,10834,16769,10700,10834,12097,27267,37595,65842,316,13678,219,13140,71809,9723,27449,202,26503,316,9806,39125,182
