"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
8580.0,7,858.0,27006,1276
10834.0,3,1083.0,27865,217
9624.0,8,962.0,28119,292
9706.0,45,971.0,27021,1745
12087.0,33,1209.0,28621,1257
9710.0,3,971.0,27846,298
8912.0,20,891.0,27962,663
6498.0,3,650.0,28768,513
5744.0,6,574.0,27539,1526
9552.0,6,955.0,27596,1782
6416.0,28,642.0,27712,1415
6679.0,20,668.0,28739,1469
6544.0,32,654.0,28786,1429
,0,,28561,0
9874.0,1,987.0,27009,290
5767.0,1,577.0,28772,112
11467.0,17,1147.0,28023,1702
10763.0,2,1076.0,27875,55
12721.0,100,1272.0,28601,6341
10453.0,41,1045.0,28262,4566
9138.0,34,914.0,27292,3789
6897.0,3,690.0,27242,184
11467.0,81,1147.0,28054,4608
6367.0,6,637.0,27850,472
10043.0,10,1004.0,28073,563
0.0,0,0.0,28629,0
10280.0,3,1028.0,27840,55
9428.0,15,943.0,28574,1669
10124.0,53,1012.0,28472,2025
5115.0,3,511.0,28785,425
,0,,27969,0
10221.0,4,1022.0,28318,468
9235.0,3,923.0,28523,210
9365.0,46,937.0,27604,4462
8810.0,30,881.0,28173,5624
7957.0,3,796.0,27883,347
7488.0,38,749.0,27612,2936
8433.0,37,843.0,28501,1645
5075.0,0,507.0,27941,34
9406.0,45,941.0,28562,3575
13381.0,44,1338.0,28658,3460
8650.0,60,865.0,27262,2142
9648.0,4,965.0,27544,414
11281.0,0,1128.0,28347,206
5381.0,19,538.0,28801,903
9876.0,11,988.0,28572,630
8995.0,1,900.0,28395,239
6979.0,18,698.0,27403,1485
8525.0,26,852.0,27332,2860
4957.0,24,496.0,27513,2429
10171.0,22,1017.0,27932,1286
7337.0,0,734.0,27343,135
10424.0,72,1042.0,27886,2251
8336.0,6,834.0,28391,444
20425.0,0,2043.0,27411,173
8499.0,3,850.0,28429,726
7389.0,12,739.0,28420,378
9497.0,11,950.0,28518,836
11891.0,29,1189.0,28630,2422
7110.0,43,711.0,28716,1326
10849.0,53,1085.0,28146,3296
7116.0,6,712.0,28751,266
9916.0,9,992.0,28128,803
0.0,0,0.0,28672,0
7485.0,10,748.0,28722,513
9115.0,7,911.0,28439,140
5501.0,0,550.0,27842,79
8801.0,0,880.0,28649,91
9583.0,2,958.0,27042,69
11765.0,62,1176.0,28215,7089
0.0,0,0.0,27821,0
6678.0,3,668.0,27806,163
7216.0,8,722.0,27408,1256
8216.0,14,822.0,27409,1475
0.0,0,0.0,28587,0
7981.0,4,798.0,27808,198
0.0,0,0.0,27881,0
8876.0,17,888.0,28403,3723
9561.0,7,956.0,27013,621
8566.0,32,857.0,27104,2517
7055.0,0,706.0,28611,69
9560.0,52,956.0,28269,7788
7640.0,4,764.0,27050,312
10404.0,0,1040.0,28444,237
9122.0,5,912.0,28673,604
8144.0,6,814.0,27810,344
0.0,0,0.0,27157,0
12769.0,10,1277.0,28366,658
24283.0,38,2428.0,27509,1684
8942.0,13,894.0,27239,861
7990.0,7,799.0,28544,448
2757.0,0,276.0,27964,18
7357.0,15,736.0,28409,2573
6265.0,19,627.0,27278,1703
4909.0,0,491.0,27979,89
11087.0,20,1109.0,28217,3423
11022.0,5,1102.0,28369,247
0.0,0,0.0,28735,0
9972.0,52,997.0,27330,3942
11522.0,78,1152.0,28043,2474
11218.0,7,1122.0,28638,1409
5021.0,17,502.0,27516,2215
8205.0,3,820.0,27608,952
12831.0,56,1283.0,28328,3458
8835.0,0,884.0,27047,113
10181.0,37,1018.0,27537,2578
9609.0,25,961.0,27401,1943
7643.0,9,764.0,27040,1005
9050.0,51,905.0,28078,5980
7666.0,1,767.0,27541,310
3259.0,0,326.0,27966,48
11338.0,13,1134.0,27017,1077
10399.0,62,1040.0,27360,5026
12261.0,66,1226.0,28086,3309
12354.0,6,1235.0,28203,2356
8870.0,0,887.0,28622,234
4494.0,0,449.0,28449,88
7283.0,2,728.0,27849,108
7628.0,7,763.0,27601,926
11483.0,27,1148.0,28340,1233
5661.0,14,566.0,28462,810
11124.0,5,1112.0,27020,679
9249.0,6,925.0,28508,276
11888.0,45,1189.0,28213,5390
7937.0,22,794.0,28311,2861
9608.0,9,961.0,28124,674
10850.0,55,1085.0,28677,3864
12875.0,17,1287.0,27869,279
8996.0,49,900.0,27405,4724
8947.0,11,895.0,27214,1051
4405.0,0,440.0,27927,27
7813.0,1,781.0,28428,558
8965.0,69,897.0,27407,4468
10514.0,6,1051.0,28344,401
9609.0,22,961.0,27379,582
5382.0,0,538.0,27974,74
8298.0,8,830.0,27350,623
7083.0,13,708.0,28390,1664
12694.0,22,1269.0,28360,1897
5170.0,19,517.0,27518,1177
6718.0,2,672.0,27814,121
6392.0,3,639.0,27935,107
10316.0,3,1032.0,28430,212
7653.0,7,765.0,28326,1713
4255.0,0,426.0,27965,26
9022.0,5,902.0,28305,452
9103.0,2,910.0,28423,208
0.0,0,0.0,28581,0
11208.0,0,1121.0,27813,77
7754.0,6,775.0,28773,272
8617.0,14,862.0,28090,733
6656.0,1,666.0,27981,124
9211.0,25,921.0,28031,2860
0.0,0,0.0,28733,0
8260.0,4,826.0,28478,411
10310.0,6,1031.0,28080,841
7958.0,29,796.0,27288,1877
9604.0,1,960.0,28729,286
6182.0,27,618.0,27713,3338
10210.0,4,1021.0,28726,355
7762.0,0,776.0,27953,77
10553.0,1,1055.0,28392,164
4835.0,2,484.0,28543,320
8518.0,0,852.0,27291,131
9563.0,13,956.0,28657,919
4876.0,6,488.0,28465,404
8135.0,8,813.0,28578,573
11792.0,66,1179.0,28681,3179
11196.0,39,1120.0,28752,3527
10645.0,36,1065.0,27704,4191
6734.0,2,673.0,28618,167
,0,,27710,0
11756.0,14,1176.0,28168,1227
5099.0,1,510.0,28774,80
8409.0,7,841.0,27522,1148
10231.0,81,1023.0,28625,3976
10191.0,1,1019.0,28682,112
10112.0,0,1011.0,27007,216
8664.0,22,866.0,27282,1438
7797.0,6,780.0,27855,476
1538.0,0,154.0,27412,29
9082.0,3,908.0,28678,477
12430.0,26,1243.0,27244,2021
9204.0,2,920.0,28399,178
0.0,0,0.0,27872,0
8458.0,7,846.0,27589,703
8003.0,81,800.0,27909,3278
11018.0,35,1102.0,27834,6336
10425.0,29,1043.0,27616,5761
10576.0,1,1058.0,28125,281
11374.0,88,1137.0,28150,3332
10675.0,8,1068.0,27045,1023
8204.0,19,820.0,27302,2650
10609.0,6,1061.0,27917,115
8746.0,75,875.0,27534,2783
4628.0,1,463.0,27559,133
7921.0,5,792.0,27248,383
13170.0,11,1317.0,27807,914
7762.0,8,776.0,27048,691
5197.0,3,520.0,28783,99
8735.0,36,873.0,27603,4846
8326.0,67,833.0,28211,2602
9259.0,5,926.0,28356,455
10870.0,15,1087.0,28590,2886
5802.0,20,580.0,28804,1352
8559.0,1,856.0,28351,451
9787.0,9,979.0,28479,477
2353.0,0,235.0,28577,14
8601.0,7,860.0,27938,123
8126.0,1,813.0,28323,372
8815.0,10,881.0,28104,2862
