First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.000477899647757882,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00038615748652556857
0.08072678214415362,0.024896733572617354,Missing or Undisclosed,0.04507035385523956,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.027338306822663336
,0.0009273926730965892,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00017746812146706982
0.0734348459738197,0.14856496427449487,Missing or Undisclosed,0.02743244822603419,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.10915275404232944
0.04996923841078293,0.00739658318461631,Missing or Undisclosed,0.025495430916243813,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.0074224398580255025
0.1239234864584616,0.7786313689318441,Missing or Undisclosed,0.06638501280925788,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.8203595372683055
,0.03910505771557284,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.03516333640068358
,0.0028097491528142607,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0005291179177073748
0.02829611144146691,0.024251736145923148,Missing or Undisclosed,0.013705974674166285,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.02310372025765742
0.12306940819808895,0.9729385147012626,Missing or Undisclosed,0.06279455191120424,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9763671618246352
,0.0018046560125122818,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008971999474168529
,0.0005271934925440971,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00048475088734060734
0.13193833498520738,0.5939156356733706,Female,0.06858692383932648,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.6072268962797424
0.09346359325713335,0.3982683657168829,Male,0.04605212592916759,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.38595701327724463
,0.004562604853856282,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.005006901538057053
,0.000921544250833818,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0004272380701985014
0.5266142103306055,0.31000397692713866,Missing or Undisclosed,0.3189262914676136,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3692503615091363
0.0007768498737618955,0.0002573305795619365,Missing or Undisclosed,0.00034050237973329837,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,15-17,0.00022183515183383726
0.07433034958404353,0.12653897054400354,Missing or Undisclosed,0.044222275989365886,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.14806592612067832
0.05697347051652023,0.16222771416922327,Missing or Undisclosed,0.03881317862324847,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.21736394110687524
1.890348958417724e-05,5.848422262771283e-06,Missing or Undisclosed,1.890348958417724e-05,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,2-4,1.150256342842119e-05
,6.683911157452896e-05,Missing or Undisclosed,,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,4.7653477060602074e-05
0.0025514891342475823,0.0005104837146504648,Missing or Undisclosed,0.001962683949421217,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,0-1,0.0007723149730511371
0.01969034521955164,0.01629621089076484,Missing or Undisclosed,0.01228665427670664,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.019999671355330616
9.540983293738252e-06,5.012933368089671e-06,Missing or Undisclosed,1.5901638822897089e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,5-9,1.643223346917313e-06
0.4392761450461917,0.38407925781850505,Missing or Undisclosed,0.1420409590753248,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.24426022084921784
1.5023903029720286e-05,8.35488894681612e-06,Missing or Undisclosed,4.507170908916085e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,10-14,4.929670040751939e-06
,,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,
0.5266142103306055,0.31000397692713866,Missing or Undisclosed,0.3189262914676136,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3692503615091363
0.07433034958404353,0.12653897054400354,Missing or Undisclosed,0.044222275989365886,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.14806592612067832
0.05697347051652023,0.16222771416922327,Missing or Undisclosed,0.03881317862324847,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.21736394110687524
,0.0008538696503646074,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0010598790587616669
0.01969034521955164,0.01629621089076484,Missing or Undisclosed,0.01228665427670664,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.019999671355330616
0.4392761450461917,0.38407925781850505,Missing or Undisclosed,0.1420409590753248,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.24426022084921784
0.05948001360249791,0.13550250017606874,Missing or Undisclosed,0.04495007264970476,Henderson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.18134198054377648
0.04902840059790733,0.11294765840220386,Missing or Undisclosed,0.02780269058295964,Caswell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.1311706629055007
