First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.0004046447637572243,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00034856477555303216
0.09479755319206576,0.024413334858890603,Missing or Undisclosed,0.05771887715572123,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.025520691092552932
,0.004066679875760104,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00047074211956131144
0.09266927640960602,0.15655078012719797,Missing or Undisclosed,0.04234878516452407,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.12283015432675493
0.05999356546574175,0.007415464127544029,Missing or Undisclosed,0.03200334144235165,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.006791622946342586
0.1466511762363999,0.7694299252942046,Missing or Undisclosed,0.08960563229704181,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.8071670188248935
,0.0377191709526454,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.036871205914341704
,0.009925656989610397,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008971650064921687
0.03649240127506507,0.026117028846985677,Missing or Undisclosed,0.0184065585915795,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.022617182446709117
0.14602165615084947,0.9639573141634039,Missing or Undisclosed,0.08615505354221098,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9764856525467988
,0.0017574140688007725,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0015679425814395845
,0.00044580690351873507,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0004252250698327368
0.1598969527564024,0.6010342162030926,Female,0.09303410284679146,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.6004070182499414
0.10983392232245233,0.3908184707776714,Male,0.06422079327658332,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.3923366057696454
,0.005074803468224223,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.004454681787909713
,0.0008692885786922439,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008085265412312602
