At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9441,19722,19969,19968,19979,13742,13741,13600,6912,6121,6121,6016,2471,6121,13742,60675,54503,Robeson,106,106,106,58,116,1362,889,122048,15776,50574,53573,54585,16494,56020,59405,60755,1362,889,1421,1362,518,954,889,392,98425,20565,130625,ROBESON COUNTY,109195,13939,2180,15567,15333,15567,43767,43746,42710,13796,40719,12796,14219,14218,14069,2041,38615,39396,39412,13343,36889
1976,3114,3137,3136,3137,2391,2390,2373,1560,746,746,741,416,746,2391,6575,6045,Perquimans,,,,,,0,0,12861,2879,5820,5985,6060,3070,6299,6486,6598,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1092,232,1148,1140,1148,5430,5427,5346,2838,5207,986,1042,1042,1036,213,4949,5003,5006,2666,4834
17437,47756,49006,49004,49053,22936,22934,22431,9662,26036,26036,25291,7775,26038,22942,119777,111360,Johnston,34,34,34,0,73,3330,2214,196283,25104,100544,108178,111430,26096,107358,115784,119888,3301,2203,3397,3128,888,2246,2081,614,156585,28558,209339,JOHNSTON COUNTY,175612,33219,3907,38848,37281,38847,77643,77600,75202,21301,71011,31099,36241,36237,34912,3796,71063,72909,72943,20694,67364
12746,26916,27234,27234,27259,13210,13210,13063,6746,13993,13993,13822,5980,13993,13212,65894,62138,Randolph,31,31,31,20,54,788,557,135556,19846,58171,61053,62231,20227,61338,64506,66012,788,557,869,788,512,629,557,429,111702,26060,143667,RANDOLPH COUNTY,123257,20507,3906,22616,22080,22616,42527,42490,41638,15809,40043,19348,21193,21191,20782,3926,39714,40390,40409,15491,38266
712,1762,1811,1811,1811,1753,1753,1707,696,58,58,55,16,58,1753,3415,3297,Hyde,,,,,,,,4753,1040,3066,3204,3297,1058,3177,3319,3418,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,161,50,174,171,174,3244,3241,3148,1008,3016,145,158,158,154,42,3050,3139,3139,998,2921
1746,3166,3193,3193,3194,1802,1802,1779,1033,1391,1391,1387,713,1391,1803,6857,6393,Alleghany,,,,,,20,0,10626,2631,6147,6307,6426,2731,6562,6741,6901,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1342,355,1394,1388,1394,5452,5443,5333,2356,5200,1236,1281,1281,1272,336,5035,5112,5119,2295,4911
4784,9788,9877,9877,9903,5439,5439,5391,2710,4438,4438,4397,2074,4439,5441,29309,26707,Duplin,0,0,0,0,23,2093,1555,55126,7797,24598,26151,26760,8080,26802,28572,29392,2063,1555,2160,1854,428,1596,1380,302,44760,11405,58741,DUPLIN COUNTY,49644,7536,1517,8451,8322,8451,18781,18765,18187,6135,17412,7189,8011,8011,7919,1533,16677,17141,17153,5962,16029
1099,1987,2006,2005,2007,1749,1748,1740,1011,257,257,247,88,257,1750,4828,4513,Gates,,,,,,66,49,11027,1765,4324,4470,4543,1859,4596,4767,4893,66,49,123,66,0,77,49,0,9230,2418,11562,GATES COUNTY,10120,510,123,562,558,562,4208,4200,4143,1736,4020,483,523,523,522,126,3899,3941,3943,1639,3792
9687,19007,19324,19324,19359,12005,12005,11802,6184,7246,7246,7132,3491,7246,12006,37363,35342,Haywood,73,73,73,12,107,1415,897,59266,13695,33289,34607,35434,14111,35182,36561,37449,1415,897,1491,1415,629,975,897,509,50968,15572,62317,HAYWOOD COUNTY,54941,8067,2011,8564,8515,8564,27394,27384,26631,11471,25700,7418,7904,7903,7861,1871,25849,26542,26555,11315,24974
6308,12630,12779,12779,12789,7130,7130,7033,3657,5627,5627,5575,2640,5627,7130,29230,27415,Stanly,22,22,22,11,32,667,473,59178,9585,25953,27033,27496,9944,27585,28745,29289,667,473,720,667,329,550,473,284,49282,12123,62806,STANLY COUNTY,54008,6856,1348,7329,7195,7329,21240,21234,20883,8267,20062,6435,6841,6841,6749,1329,19811,20101,20105,7972,19045
