Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Fully Vaccinated - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
24816,EDGECOMBE COUNTY,1633,1635,1008,1618,1635,1015,1015,1013,696,1015,620,620,618,605,312,6665,8587,4308,8586,8562,8476,4644,4308,4293,4192,1967,4308,8587,12765,12952,12991,13043,26881,8284,23233,24344,24882,8706,25096,26319,26995,Edgecombe,97,97,97,54,148,12894,12855,12668,6611,881,537,48532,881,537,928,865,425,592,515,233,39904,10509,51472,43948,EDGECOMBE COUNTY,12895,6785,1276,7669,7467,7662,18398,18338,17971,7005,17446,6302,7105,7105,6938,1215,16869,17174,17185,6836,16416
31121,WATAUGA COUNTY,3567,3612,1867,3449,3613,2210,2166,2068,1202,2211,1402,1402,1401,1381,665,7256,13218,6370,13216,12909,12347,4945,6370,6367,6284,2311,6370,13218,18631,19276,19586,19588,32906,7797,28848,30149,31232,8170,30664,31873,33256,Watauga,,,,,,19586,19276,18631,7256,133,65,54308,133,65,223,133,74,116,65,55,49022,9229,56177,51530,WATAUGA COUNTY,19588,4633,737,4817,4795,4815,28216,27958,26945,7359,25898,4280,4453,4453,4433,701,25651,26603,26663,7041,24503
23558,HOKE COUNTY,1259,1264,596,1214,1264,622,619,588,326,622,642,642,640,626,270,3649,5089,4396,5087,5011,4890,2220,4396,4374,4253,1289,4396,5089,10170,10469,10567,10596,26834,4544,20971,22663,23613,4857,23752,25758,26982,Hoke,1084,1084,1027,140,1111,9483,9385,9143,3509,6334,4620,50664,6125,4485,6371,5541,597,4635,4034,444,40282,5854,55234,44624,HOKE COUNTY,9485,6204,674,7194,6905,7186,13417,13314,12728,3586,12007,5916,6812,6811,6562,642,11616,12127,12166,3458,11021
10164,BERTIE COUNTY,591,591,348,589,591,411,411,411,238,411,180,180,180,178,110,2641,3858,1504,3858,3855,3816,1924,1504,1501,1480,717,1504,3858,5296,5356,5362,5372,10947,3751,9679,10028,10211,3975,10400,10787,11023,Bertie,0,0,0,0,10,5362,5356,5296,2641,69,26,18126,69,26,135,69,20,70,26,16,15647,4479,18947,16854,BERTIE COUNTY,5362,1960,395,2148,2103,2148,8740,8730,8615,3560,8371,1827,1995,1995,1954,375,8048,8143,8146,3360,7826
22575,PERSON COUNTY,2150,2153,1172,2104,2153,1006,1005,975,511,1006,1147,1147,1145,1129,661,6610,6832,7058,6827,6776,6646,3084,7058,7035,6927,3493,7058,6832,13629,13867,13941,13951,23713,7530,21039,22064,22616,7679,22033,23116,23806,Person,56,56,56,33,61,13885,13811,13573,6577,441,294,37405,441,294,441,441,225,302,294,186,31361,7938,39490,34239,PERSON COUNTY,13890,5759,1210,6283,6113,6278,17082,16994,16562,6244,15833,5420,5909,5907,5748,1181,16022,16374,16405,6163,15325
26089,BEAUFORT COUNTY,3147,3147,2187,3118,3147,2146,2146,2134,1576,2146,1001,1001,1001,984,611,8616,9820,5098,9820,9792,9696,5742,5098,5094,5023,2815,5098,9820,14807,14974,15006,15019,27668,10819,24858,25745,26195,11266,26278,27279,27761,Beaufort,88,88,88,59,101,14918,14886,14719,8557,672,384,44735,672,384,715,672,391,480,384,243,37669,11538,46994,41131,BEAUFORT COUNTY,14918,5166,1028,5795,5701,5793,21251,21203,20906,9847,20440,4816,5363,5363,5277,987,20084,20342,20352,9589,19658
23681,JACKSON COUNTY,2495,2506,1440,2449,2506,1283,1274,1252,859,1283,1223,1223,1221,1197,581,5968,7053,5022,7045,6969,6837,3318,5022,5014,4889,2336,5022,7053,12803,13203,13323,13342,25567,7125,21808,22907,23785,7376,23467,24668,25777,Jackson,1256,1220,1077,314,1267,12067,11983,11726,5654,4178,3176,42001,3819,2872,4298,3429,678,3251,2535,570,36721,8759,43938,39175,JACKSON COUNTY,12075,3445,619,3841,3773,3835,17638,17554,17076,6079,16593,3189,3567,3566,3509,591,16526,16939,16967,5964,16084
87526,CATAWBA COUNTY,9228,9267,5447,9052,9268,2835,2812,2736,1865,2836,6432,6432,6416,6316,3582,22053,14601,33816,14597,14362,13843,7066,33816,33717,33032,14960,33816,14601,46920,48124,48458,48510,91447,27920,80878,85441,87621,28478,84374,89162,91768,Catawba,45,45,45,27,93,48413,48079,46875,22026,1155,706,150636,1155,706,1195,1127,508,771,695,354,124631,29156,159551,137151,CATAWBA COUNTY,48417,30106,4760,33386,32469,33355,57187,56937,55538,23210,53141,28480,31586,31585,30751,4658,53984,55235,55264,22908,51703
826803,WAKE COUNTY,128839,130100,46860,123239,130138,37786,37073,34877,14952,37822,92316,92314,91766,88362,31908,146966,202218,350642,202112,193826,180729,52450,350614,346323,333010,94092,350642,202218,515195,541615,554192,554355,858769,144603,717772,779664,830175,147934,744737,808819,871023,Wake,1466,1466,1456,424,1495,552726,540149,513739,146542,12000,8315,1044525,11954,8298,12077,11807,3683,8334,8197,2952,849055,133864,1111761,941934,WAKE COUNTY,552860,239968,24669,286640,268971,285381,572306,561388,527894,119582,492962,235865,280602,280267,264188,25133,507178,538221,541239,116518,473710
49572,CLEVELAND COUNTY,4702,4711,3012,4642,4712,2768,2762,2732,1847,2768,1944,1943,1940,1910,1165,13172,13776,12707,13775,13689,13459,6950,12706,12685,12443,6196,12707,13776,25938,26410,26517,26550,52647,16552,46232,48645,49655,17045,49030,51624,52763,Cleveland,36,36,36,26,67,26481,26374,25902,13146,663,401,92365,663,401,727,663,388,475,401,291,76504,18575,97947,84044,CLEVELAND COUNTY,26483,14680,2777,16034,15887,16032,36002,35952,35074,13880,33687,13571,14828,14828,14700,2677,33544,34343,34352,13584,32260
