Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Fully Vaccinated - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9577,AVERY COUNTY,1131,1132,736,1123,1132,633,632,626,420,633,499,499,499,497,316,2873,3878,1899,3876,3860,3821,1875,1899,1899,1874,998,1899,3878,5695,5759,5775,5777,10163,3644,9227,9464,9618,3847,9801,10031,10244,Avery,,,,,,5775,5759,5695,2873,135,72,16905,135,72,193,135,97,106,72,51,14969,4020,17557,15935,AVERY COUNTY,5777,1521,328,1662,1651,1662,8389,8366,8245,3422,8145,1420,1551,1551,1545,315,7847,7954,7961,3278,7735
26192,VANCE COUNTY,2524,2533,1493,2464,2533,1619,1611,1559,976,1619,914,914,913,905,517,6281,7891,5720,7890,7793,7549,3653,5720,5707,5600,2602,5720,7891,13197,13548,13658,13672,28504,8117,23863,25465,26253,8337,25677,27528,28675,Vance,48,48,48,26,61,13610,13500,13149,6255,457,316,41780,457,316,497,457,244,344,316,204,34092,8487,44535,37671,VANCE COUNTY,13611,7165,1250,7871,7728,7864,20307,20183,19343,6843,18055,6819,7473,7470,7356,1267,17793,18406,18436,6646,16728
27034,HALIFAX COUNTY,2689,2697,1727,2659,2697,2256,2248,2224,1492,2256,441,441,441,435,235,7059,11298,2983,11296,11273,11132,5810,2983,2980,2920,1238,2983,11298,14074,14275,14301,14330,28953,9615,25466,26585,27096,9940,27056,28367,29064,Halifax,22,22,22,11,49,14279,14253,14052,7048,554,360,47245,554,360,591,554,299,401,360,218,39391,10690,50010,43237,HALIFAX COUNTY,14281,5003,989,5529,5438,5529,22944,22870,22375,8652,21499,4649,5134,5134,5059,937,21166,21540,21561,8460,20457
54712,NASH COUNTY,4511,4516,2605,4432,4516,1861,1861,1836,1053,1861,2655,2655,2650,2596,1552,13991,16059,14207,16056,16001,15792,7712,14206,14145,13777,6205,14207,16059,29714,30291,30407,30450,57917,16537,50735,53511,54814,17047,53475,56468,58099,Nash,145,145,145,74,184,30262,30146,29569,13917,947,617,89023,947,617,1016,936,498,692,617,376,73765,17956,94298,81106,NASH COUNTY,30266,17708,3383,20387,19647,20368,36696,36602,35874,13166,34831,17072,19538,19537,18914,3363,33980,34558,34584,12798,33046
28436,RUTHERFORD COUNTY,3193,3198,2071,3165,3199,2246,2243,2228,1505,2247,952,952,950,937,566,8106,10812,4551,10808,10762,10628,5842,4551,4545,4476,2252,4551,10812,15116,15319,15371,15403,30313,10841,27001,28030,28507,11322,28727,29835,30431,Rutherford,12,12,12,12,40,15359,15307,15104,8094,682,538,63605,682,538,758,682,490,591,538,432,53422,14855,67029,58398,RUTHERFORD COUNTY,15363,5574,1503,6057,5950,6052,23616,23579,23203,9329,22471,5411,5855,5852,5766,1478,21726,22046,22061,8931,21052
15233,ASHE COUNTY,1861,1865,1129,1837,1865,1110,1106,1088,707,1110,755,755,755,749,422,4853,5764,3720,5764,5705,5604,2897,3720,3719,3672,1956,3720,5764,9276,9424,9484,9494,16222,5917,14396,14915,15324,6251,15300,15862,16368,Ashe,0,0,0,0,10,9484,9424,9276,4853,158,80,26129,158,80,236,158,112,151,80,69,22479,7249,27203,24214,ASHE COUNTY,9484,3233,858,3467,3443,3465,12665,12599,12261,5281,11909,3098,3316,3316,3298,882,11537,11837,11857,4966,11218
21816,STOKES COUNTY,2612,2613,1600,2578,2613,1151,1150,1137,779,1151,1462,1462,1462,1441,821,6316,5734,6604,5734,5699,5631,3243,6604,6595,6495,3048,6604,5734,12162,12330,12374,12381,23030,8176,20733,21468,21915,8482,21839,22639,23151,Stokes,36,36,36,25,43,12338,12294,12126,6291,275,145,43536,275,145,357,275,179,223,145,125,37145,9917,45591,40306,STOKES COUNTY,12338,7409,1811,7968,7850,7964,14826,14791,14514,6492,14155,6993,7519,7519,7417,1725,13906,14152,14173,6326,13595
3910,GRAHAM COUNTY,423,423,304,422,423,205,205,205,161,205,218,218,218,217,143,1136,1055,871,1054,1049,1034,578,871,871,867,535,871,1055,1999,2018,2023,2061,4271,1571,3738,3855,3942,1644,4072,4204,4306,Graham,98,98,98,23,135,1925,1920,1901,1113,426,309,8040,405,294,457,362,62,339,255,37,6767,2067,8441,7414,GRAHAM COUNTY,1926,897,176,909,909,909,2940,2936,2890,1406,2813,807,822,822,821,164,2740,2779,2781,1370,2676
32713,PENDER COUNTY,3325,3340,1937,3265,3341,1765,1756,1735,1146,1766,1575,1575,1569,1530,791,8059,8031,9409,8028,7952,7825,3935,9408,9350,9105,4058,9409,8031,17115,17487,17621,17682,34925,9785,30033,31758,32856,10206,32034,33899,35110,Pender,185,185,185,66,242,17436,17302,16930,7993,1494,977,59482,1457,958,1530,1327,403,1028,871,296,49058,11716,63060,53967,PENDER COUNTY,17440,9531,1577,10918,10493,10903,22662,22528,21949,8226,21176,8911,10229,10228,9847,1515,20953,21508,21599,7974,20251
64762,CRAVEN COUNTY,6239,6260,3886,6072,6260,3438,3420,3282,2168,3438,2822,2822,2819,2790,1718,17740,18015,15250,18012,17802,17218,10068,15250,15237,15004,7474,15250,18015,33463,34292,34528,34561,68463,20623,60153,63170,64846,21110,63278,66622,68750,Craven,1266,1253,1241,198,1296,33262,33039,32222,17542,9961,8628,95778,9870,8567,9999,9705,1087,8648,8445,790,80387,20103,102139,87409,CRAVEN COUNTY,33265,15415,2882,16810,16483,16805,41941,41697,40269,17141,38158,14748,16003,16001,15702,2907,38901,40133,40195,16926,36960
335190,GUILFORD COUNTY,40065,40286,19850,38971,40288,7118,7073,6902,4021,7120,33168,33168,32992,32069,15829,76362,58594,141266,58574,57933,56198,23261,141261,140157,135977,52694,141266,58594,193150,199065,200810,200864,352473,82642,303262,323298,335571,84843,318078,339423,354352,Guilford,975,975,975,407,1004,199835,198090,192175,75955,5540,3541,505896,5521,3541,5571,5455,2264,3571,3496,1627,418240,83442,537174,459608,GUILFORD COUNTY,199860,99488,16597,117700,110863,117298,231081,229635,223039,65982,213135,96243,113796,113781,107491,16451,212266,217868,218204,64564,203523
12330,MADISON COUNTY,1729,1737,1064,1708,1737,1428,1424,1407,907,1428,309,309,305,301,157,3270,5842,974,5841,5809,5715,2926,974,967,942,344,974,5842,6657,6776,6815,6816,12810,4604,11676,12082,12369,4672,12094,12534,12891,Madison,,,,,,6815,6776,6657,3270,221,119,20741,221,119,247,221,109,138,119,86,17939,5034,21755,19327,MADISON COUNTY,6816,1255,284,1406,1384,1403,11238,11186,10929,4279,10618,1193,1332,1332,1312,266,10651,10879,10899,4252,10364
45255,CHATHAM COUNTY,9260,9337,5168,8987,9342,2691,2658,2567,1615,2696,6646,6646,6602,6420,3553,16061,11793,21998,11783,11448,11032,5880,21997,21781,21176,10104,21998,11793,32940,34011,34562,34604,48439,14275,40678,43434,45473,14957,43389,46408,48879,Chatham,782,782,732,77,813,33780,33229,32208,15984,4911,3394,70897,4767,3321,4958,4260,844,3409,2959,443,59661,18634,74470,65198,CHATHAM COUNTY,33791,12362,2619,14086,13415,14022,29835,29506,28226,11494,26767,11883,13582,13563,12929,2623,27184,28298,28482,11209,25836
98365,PITT COUNTY,9675,9710,4470,9387,9713,3706,3682,3543,1412,3709,6004,6004,5993,5844,3058,19461,19326,31889,19318,18951,18340,6105,31887,31732,30928,13220,31889,19326,49643,51058,51580,51650,104275,23379,89754,95196,98569,23961,94856,100740,104909,Pitt,375,375,375,136,435,51205,50683,49268,19325,2245,1441,170444,2245,1441,2284,2218,804,1501,1430,582,142466,25045,180742,155511,PITT COUNTY,51215,28437,3805,32958,31597,32921,69667,69109,66898,19352,64201,26622,30916,30910,29643,3679,64112,66014,66152,19118,61702
59415,MOORE COUNTY,8823,8835,5622,8617,8835,3297,3287,3167,2089,3297,5538,5538,5536,5450,3533,21551,16023,23538,16021,15705,15351,8663,23538,23453,23060,12782,23538,16023,39087,39909,40310,40341,63476,23303,55700,58193,59614,24149,59267,62042,63972,Moore,751,751,676,106,780,39559,39158,38411,21445,4965,3396,94937,4800,3320,5001,4285,939,3427,2930,647,79328,24192,100880,86466,MOORE COUNTY,39561,15315,3637,17345,16609,17328,41626,41183,40633,19573,39667,14574,16472,16468,15790,3594,39083,39551,39715,19062,38196
240831,FORSYTH COUNTY,33497,33611,16449,32544,33618,9433,9375,9029,4697,9440,24178,24178,24122,23515,11752,54315,50062,91836,50051,48940,46978,19914,91834,91233,88607,34063,91836,50062,136292,140880,142592,142656,256203,60776,217211,231791,241539,62782,230250,245875,258102,Forsyth,707,707,707,338,758,141885,140173,135585,53977,4209,2572,359934,4209,2572,4235,4175,1810,2605,2545,1322,295401,62720,382295,325690,FORSYTH COUNTY,141898,68600,11638,77777,74868,77629,176090,174365,166798,49334,157475,66471,75308,75300,72684,11752,156535,162959,163626,47702,148195
97426,IREDELL COUNTY,9899,9943,5346,9676,9943,1949,1938,1894,1176,1949,7994,7994,7961,7782,4170,23294,17069,39472,17063,16966,16590,7971,39471,39253,38229,15158,39472,17069,55068,56468,56783,56847,102068,26767,89490,94872,97572,27298,93547,99277,102419,Iredell,249,249,249,165,306,56534,56219,54819,23129,2105,1465,171884,2105,1465,2148,2055,1051,1533,1429,882,140623,29513,181806,156060,IREDELL COUNTY,56541,37303,5844,42905,41094,42798,57366,57165,56078,20403,54189,35917,41103,41090,39516,5966,53891,54871,54936,19919,52144
19285,TRANSYLVANIA COUNTY,4176,4184,3013,4145,4184,2605,2598,2573,1922,2605,1579,1579,1578,1572,1091,7642,7284,5930,7283,7233,7092,3974,5930,5923,5872,3668,5930,7284,12964,13156,13213,13226,19843,8413,18212,18858,19358,8538,18694,19382,19961,Transylvania,0,0,0,0,12,13213,13156,12964,7642,338,209,33015,338,209,393,338,267,258,209,195,29099,10809,34385,30988,TRANSYLVANIA COUNTY,13214,3321,1154,3506,3451,3498,16062,16007,15593,7117,15035,3212,3368,3363,3320,1168,15329,15713,15732,7050,14791
11010,MARTIN COUNTY,706,707,451,700,707,434,433,429,285,434,273,273,273,271,166,2970,3092,2395,3090,3077,3030,1652,2395,2392,2376,1290,2395,3092,5454,5517,5533,5539,11795,4093,10390,10823,11061,4305,11091,11582,11869,Martin,48,48,48,28,52,5485,5469,5406,2942,194,136,21211,194,136,247,194,137,178,136,115,17917,5372,22440,19455,MARTIN COUNTY,5487,2503,585,2710,2648,2710,8912,8891,8740,3583,8394,2353,2542,2542,2489,551,8198,8332,8341,3427,7901
10968,WARREN COUNTY,1363,1365,836,1346,1367,845,843,829,515,847,520,520,520,517,321,3321,4117,2525,4117,4080,4023,2032,2525,2523,2489,1289,2525,4117,6512,6603,6642,6665,11625,3924,10254,10700,10989,4023,10779,11297,11680,Warren,0,0,0,0,23,6642,6603,6512,3321,157,116,18843,157,116,167,157,104,122,116,85,16200,5173,19731,17477,WARREN COUNTY,6642,2401,526,2656,2610,2655,8857,8813,8530,3393,8221,2337,2576,2575,2527,548,8057,8277,8291,3291,7801
5263,JONES COUNTY,495,496,306,483,496,372,371,359,223,372,124,124,124,124,83,1562,1838,990,1838,1827,1794,1025,990,990,975,523,990,1838,2820,2868,2879,2933,5752,1987,4960,5167,5329,2123,5393,5652,5796,Jones,51,51,51,14,105,2828,2817,2769,1548,554,362,8956,554,362,582,528,157,424,362,72,7704,2257,9419,8314,JONES COUNTY,2828,1198,256,1300,1281,1299,3914,3899,3817,1710,3667,1080,1178,1178,1153,242,3652,3723,3727,1673,3518
24910,DAVIE COUNTY,3578,3585,2248,3519,3585,1627,1622,1591,1087,1627,1958,1958,1956,1928,1161,7523,6313,9133,6312,6229,6050,3146,9133,9103,8892,4367,9133,6313,14952,15342,15455,15503,25932,8520,22971,24272,25030,8722,23912,25258,26086,Davie,10,10,10,10,57,15445,15332,14942,7513,464,257,40760,464,257,526,464,220,329,257,170,33901,9279,42846,37262,DAVIE COUNTY,15446,7272,1795,8119,7914,8109,17441,17359,16880,6707,16176,7014,7835,7833,7630,1777,16385,16820,16866,6573,15700
206063,CUMBERLAND COUNTY,11652,11679,6174,11396,11682,3750,3742,3664,2192,3753,7929,7929,7910,7732,3982,33539,30981,45672,30973,30737,30080,14337,45668,45429,44177,17218,45672,30981,91204,93360,93870,93903,233475,38791,189535,200602,206318,41912,214699,226979,234141,Cumberland,17229,17194,16947,1984,17250,76641,76166,74257,31555,89554,70524,310252,88515,69898,89736,86141,8259,70631,67989,5915,252655,40937,335509,277878,CUMBERLAND COUNTY,76653,52927,7050,61739,58896,61639,82666,82282,79568,26603,75631,50339,58582,58551,55969,6937,74735,76988,77105,25939,71207
23865,MCDOWELL COUNTY,2430,2440,1453,2403,2440,1870,1861,1838,1118,1870,570,570,569,565,335,5721,8430,3454,8425,8367,8210,3884,3454,3449,3422,1837,3454,8430,11632,11816,11879,11911,25322,8225,22548,23496,23931,8571,23868,24904,25437,Mcdowell,0,0,0,0,27,11879,11816,11632,5721,564,339,43474,564,339,625,564,297,383,339,218,36617,9517,45756,39943,MCDOWELL COUNTY,11884,3308,684,3486,3450,3485,21326,21273,20890,7590,19996,2971,3121,3121,3093,606,20064,20405,20427,7401,19238
13179,CHEROKEE COUNTY,1870,1872,1279,1860,1872,1388,1386,1378,988,1388,484,484,484,482,291,4694,5016,2306,5013,5005,4961,3278,2306,2306,2301,1361,2306,5016,7366,7415,7423,7464,14026,6529,12797,13076,13298,6773,13610,13906,14148,Cherokee,104,104,104,55,142,7319,7311,7262,4639,613,439,27420,613,439,719,613,234,542,439,185,23877,8723,28612,25640,CHEROKEE COUNTY,7322,2895,919,2917,2914,2917,10512,10496,10379,5620,10102,2616,2633,2633,2633,859,10004,10107,10123,5485,9742
7929,CHOWAN COUNTY,962,962,659,957,963,597,597,594,429,598,365,365,365,363,230,2725,3087,1677,3083,3075,3040,1832,1677,1677,1654,893,1677,3087,4694,4752,4760,4790,8768,3225,7501,7829,7988,3565,8310,8653,8854,Chowan,0,0,0,0,26,4760,4752,4694,2725,174,67,13243,174,67,246,174,67,125,67,10,11164,3521,13943,12171,CHOWAN COUNTY,4764,1737,429,1842,1837,1842,6766,6752,6642,3069,6399,1685,1786,1786,1783,461,5979,6076,6077,2754,5749
114888,ORANGE COUNTY,26111,26478,9713,24567,26488,9469,9197,8324,3189,9479,17009,17009,16914,16243,6524,26959,41444,48519,41420,39178,36417,11203,48517,47954,46088,15727,48519,41444,82557,87184,89989,90044,118402,24387,99660,107856,116183,24845,102638,111045,120639,Orange,52,52,52,29,81,89937,87132,82505,26930,1364,859,142010,1364,859,1464,1364,444,944,859,351,119925,21654,148476,130842,ORANGE COUNTY,89963,23588,3417,26611,25592,26461,92564,90577,84089,20984,77686,23503,26565,26486,25517,3534,81480,87543,88674,20502,75298
17010,ALEXANDER COUNTY,1806,1806,1113,1776,1806,1137,1137,1118,709,1137,669,669,669,658,404,4391,6358,2820,6358,6324,6232,3041,2820,2816,2767,1350,2820,6358,9011,9152,9190,9230,17976,6085,16222,16771,17115,6347,17147,17729,18084,Alexander,12,12,12,0,52,9178,9140,8999,4391,392,221,35620,392,221,475,392,162,321,221,74,30040,7667,37497,32781,ALEXANDER COUNTY,9178,2812,421,3064,3011,3061,14545,14523,14326,5764,13943,2620,2863,2863,2804,398,13746,13926,13931,5613,13381
232831,DURHAM COUNTY,45893,46253,15736,44330,46263,19827,19637,18854,6022,19836,26427,26426,26256,25476,9714,45236,80995,82012,80986,78405,75183,20076,82012,81018,78721,24982,82012,80995,154410,159929,163504,163558,244709,44275,208429,221671,234923,45609,218617,232531,249217,Durham,506,506,506,178,551,162998,159423,153904,45058,8075,5565,301307,8050,5552,8116,7976,2096,5615,5502,1558,255829,43764,321488,275950,DURHAM COUNTY,163007,53863,6443,61438,58537,61111,179663,175523,165944,37070,156778,52547,59891,59799,57174,6448,158945,167467,169417,36269,150380
69995,HENDERSON COUNTY,13438,13493,9008,13247,13493,8247,8213,8078,5597,8247,5246,5246,5225,5169,3411,24145,27832,17737,27806,27527,26864,14615,17737,17677,17398,9505,17737,27832,44303,45245,45584,45641,72916,27675,65239,68204,70132,28217,67847,70978,73257,Henderson,41,41,41,25,72,45543,45204,44262,24120,1715,996,111764,1715,996,1762,1715,1038,1072,996,768,95451,30961,117417,103234,HENDERSON COUNTY,45569,13900,4208,15127,14734,15117,56368,56084,54529,22971,52232,13333,14522,14516,14154,4172,53054,54483,54538,22735,50910
21229,PASQUOTANK COUNTY,1937,1938,1159,1892,1938,663,662,634,340,663,1275,1275,1275,1258,819,5267,6568,4540,6566,6505,6352,3070,4540,4538,4490,2197,4540,6568,10842,11043,11106,11123,23173,6924,19799,20698,21266,7483,21598,22558,23266,Pasquotank,0,0,0,0,15,11106,11043,10842,5267,36,0,37393,36,0,52,36,24,21,0,0,31068,6841,39824,34029,PASQUOTANK COUNTY,11108,5531,1056,5838,5757,5835,17376,17302,16765,6403,16031,5232,5510,5508,5438,997,15260,15721,15735,5927,14567
6978,PAMLICO COUNTY,769,770,573,764,770,488,488,484,360,488,282,282,281,280,213,2728,2917,1482,2917,2904,2864,1796,1482,1480,1477,932,1482,2917,4341,4384,4399,4447,7326,3310,6738,6903,7030,3394,7044,7234,7399,Pamlico,0,0,0,0,48,4399,4384,4341,2728,180,127,12261,180,127,238,180,92,176,127,74,10805,3866,12726,11540,PAMLICO COUNTY,4399,1228,303,1324,1301,1324,5837,5822,5753,2999,5636,1167,1248,1248,1229,299,5547,5603,5606,2937,5444
7303,MITCHELL COUNTY,869,871,528,863,872,753,751,747,471,754,118,118,118,116,57,1908,3109,819,3109,3100,3060,1507,819,819,800,401,819,3109,3860,3919,3928,3928,7839,2908,6997,7216,7330,3049,7492,7730,7871,Mitchell,,,,,,3928,3919,3860,1908,109,52,14242,109,52,124,109,77,75,52,52,12229,3810,14964,13195,MITCHELL COUNTY,3928,1164,295,1300,1289,1300,6447,6430,6332,2677,6219,1041,1167,1167,1159,250,6005,6084,6088,2606,5904
12217,CURRITUCK COUNTY,1041,1044,666,1034,1044,536,534,528,353,536,508,508,507,506,313,2790,3604,1958,3604,3588,3545,1823,1958,1956,1934,967,1958,3604,5557,5622,5640,5679,13703,4407,11639,12032,12277,5015,13081,13500,13765,Currituck,78,78,78,0,117,5562,5544,5479,2790,1051,659,26216,1007,631,1091,903,144,712,548,41,21675,4551,27763,23787,CURRITUCK COUNTY,5562,2098,415,2248,2203,2247,10426,10405,10290,4456,10080,1980,2121,2121,2076,412,9325,9437,9444,3954,9111
90716,BRUNSWICK COUNTY,16592,16597,12380,16526,16597,6839,6835,6807,5334,6839,9758,9758,9757,9719,7046,44535,25043,42697,25040,24970,24748,16798,42695,42602,42224,27625,42697,25043,67228,67828,67991,68046,94992,44962,86847,89423,90809,46135,90744,93558,95158,Brunswick,256,256,256,112,306,67735,67572,66972,44423,3006,2040,137478,2995,2040,3030,2969,1719,2074,2030,1274,121795,46605,142820,129086,BRUNSWICK COUNTY,67740,23628,7066,25952,25188,25938,66176,66048,65375,37350,64147,22762,24943,24940,24245,7270,63138,63736,63792,36418,62055
82670,DAVIDSON COUNTY,8655,8667,5107,8487,8671,3859,3851,3763,2430,3863,4808,4808,4804,4724,2677,21409,22060,23150,22057,21871,21362,11045,23150,23105,22746,10196,23150,22060,44395,45263,45494,45560,88707,26450,77155,80937,82775,27231,82409,86638,88985,Davidson,287,287,287,168,350,45207,44976,44108,21241,2194,1433,158409,2182,1433,2235,2128,1053,1474,1395,760,131285,31089,167609,144432,DAVIDSON COUNTY,45210,25010,4959,27080,26561,27066,59670,59447,57895,21219,55271,23771,25651,25650,25195,4953,54309,55587,55650,20737,51989
38363,FRANKLIN COUNTY,4378,4389,2316,4267,4391,1473,1469,1419,786,1475,2916,2916,2909,2848,1530,9457,8805,13296,8801,8696,8482,3776,13295,13250,12956,5646,13296,8805,21534,22042,22192,22283,40713,11022,35184,37279,38452,11357,37198,39481,40966,Franklin,96,96,96,35,182,22096,21946,21438,9422,1379,858,65799,1361,858,1416,1279,486,910,803,299,54524,11935,69685,59978,FRANKLIN COUNTY,22101,12810,2187,14599,14095,14569,24951,24765,24025,8684,23109,12258,13938,13938,13494,2200,22927,23567,23604,8523,22123
27127,DARE COUNTY,3975,3981,2628,3946,3983,1722,1721,1710,1231,1724,2259,2259,2254,2236,1397,8136,7276,8867,7273,7241,7123,4108,8867,8857,8719,4028,8867,7276,15842,16098,16140,16174,28302,9756,25490,26550,27241,10072,26554,27674,28427,Dare,0,0,0,0,31,16140,16098,15842,8136,316,117,35367,316,117,384,316,122,202,117,0,30088,8201,37009,32745,DARE COUNTY,16143,5339,727,6066,5797,6058,21977,21928,21561,9223,20899,5022,5751,5746,5492,708,20941,21264,21288,9048,20351
150634,NEW HANOVER COUNTY,21977,22078,12669,21584,22081,9038,8989,8894,5730,9040,13041,13040,12988,12690,6939,42029,37023,59585,37007,36714,35911,17288,59585,59189,57740,24569,59585,37023,94091,96343,97032,97088,158018,42694,138670,146181,151021,43800,145081,153159,158741,New Hanover,440,440,440,172,480,96592,95903,93651,41857,3332,2152,223363,3307,2141,3387,3226,1407,2194,2087,995,191812,43147,234473,206724,NEW HANOVER COUNTY,96608,45730,6868,52828,50293,52727,102526,101959,99559,35525,96125,43941,50870,50867,48493,6828,95547,97615,97957,34871,92642
21334,BLADEN COUNTY,1128,1128,775,1116,1128,691,691,687,492,691,437,437,437,429,283,4591,5557,2752,5554,5542,5485,3161,2752,2749,2690,1268,2752,5557,9254,9451,9479,9512,24201,6259,19448,20852,21370,6787,21860,23552,24282,Bladen,1173,1160,1079,162,1203,8306,8291,8175,4429,6614,4880,31131,6336,4731,6678,5463,783,4909,4077,473,26077,7459,32722,28574,BLADEN COUNTY,8309,4328,785,4738,4653,4737,12866,12850,12563,5219,12069,4112,4510,4510,4431,737,11690,11944,11951,5049,11259
11593,ANSON COUNTY,998,1001,534,989,1003,760,757,756,421,762,241,241,241,233,113,2740,4467,1472,4465,4452,4408,2139,1472,1472,1437,601,1472,4467,5855,5934,5947,5970,12439,3856,10938,11378,11640,3998,11725,12202,12507,Anson,10,10,10,0,31,5937,5924,5845,2740,172,102,23143,172,102,228,172,100,145,102,75,19608,4730,24446,21306,ANSON COUNTY,5939,2756,477,3110,3069,3109,9169,9158,8961,3421,8797,2519,2847,2846,2812,431,8464,8645,8648,3350,8317
