Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56501,ROBESON COUNTY,3083,3102,1811,3030,3103,1853,1836,1798,1093,1854,1249,1249,1247,1232,718,11974,16790,8384,16790,16664,16380,8251,8384,8373,8190,3625,8384,16790,24787,25254,25391,25448,62386,16499,52325,55342,56605,17325,57609,60990,62568,Robeson,217,217,217,98,274,25174,25037,24570,11876,1497,1004,122048,1497,1004,1543,1497,605,1069,1004,407,98425,20565,130625,109195,ROBESON COUNTY,25174,14745,2390,16371,16107,16369,44654,44520,43386,14330,41367,13692,15165,15164,14962,2255,39376,40333,40371,13837,37629
6192,PERQUIMANS COUNTY,846,846,614,834,846,451,451,440,327,451,395,395,395,394,287,2360,2608,1097,2608,2601,2575,1689,1097,1096,1087,671,1097,2608,3662,3697,3705,3705,6688,2981,5936,6108,6207,3181,6397,6587,6725,Perquimans,,,,,,3705,3697,3662,2360,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3705,1146,257,1209,1197,1207,5496,5481,5390,2924,5251,1042,1102,1102,1094,234,5014,5090,5093,2747,4894
115325,JOHNSTON COUNTY,13557,13653,6462,13137,13656,5978,5920,5731,3354,5981,7675,7675,7637,7406,3108,22146,26631,34094,26621,26253,25410,10940,34092,33877,32851,11070,34094,26631,58757,60626,61209,61285,122993,26306,104037,111598,115463,27361,110459,118736,123629,Johnston,496,496,496,136,560,60713,60130,58261,22010,3694,2480,196283,3641,2457,3713,3450,1050,2496,2325,707,156585,28558,209339,175612,JOHNSTON COUNTY,60725,35024,4287,40720,39056,40662,79196,78637,76039,22024,71985,33257,38663,38654,37101,4162,72040,74191,74304,21437,68455
63989,RANDOLPH COUNTY,6419,6449,3781,6316,6452,2752,2735,2686,1834,2755,3697,3697,3684,3630,1947,15784,14792,18256,14786,14699,14455,7491,18256,18226,17970,8211,18256,14792,32548,33048,33165,33181,67505,20734,59860,62711,64133,21209,62961,66034,67716,Randolph,123,123,123,82,133,33042,32925,32425,15702,892,575,135556,892,575,958,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33048,21479,4274,23550,23011,23544,43208,43069,42131,16375,40590,20560,22510,22507,22019,4298,40117,40907,40955,15992,38725
3367,HYDE COUNTY,469,471,250,457,472,452,450,439,242,453,19,19,19,18,8,784,1860,87,1860,1851,1799,752,87,85,82,32,87,1860,1881,1936,1947,1947,3469,1065,3141,3282,3367,1085,3241,3384,3490,Hyde,,,,,,1947,1936,1881,784,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1947,164,52,178,176,178,3300,3291,3208,1033,3077,153,167,167,164,44,3118,3200,3200,1021,2988
6531,ALLEGHANY COUNTY,1087,1092,771,1082,1092,490,485,480,359,490,602,602,602,602,412,2171,2209,1867,2208,2194,2162,1110,1867,1865,1862,1061,1867,2209,4024,4059,4075,4076,6948,2743,6269,6439,6580,2829,6651,6829,7006,Alleghany,,,,,,4075,4059,4024,2171,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4076,1376,383,1421,1415,1421,5516,5492,5379,2421,5240,1279,1320,1320,1313,369,5126,5211,5222,2374,4990
27534,DUPLIN COUNTY,2120,2122,1331,2094,2122,1074,1072,1061,671,1074,1048,1048,1048,1033,660,6051,6240,5939,6236,6184,6078,3045,5939,5922,5830,2913,5939,6240,12245,12454,12523,12569,30018,8227,25364,26898,27599,8536,27496,29255,30115,Duplin,348,348,337,93,390,12175,12106,11908,5958,2195,1650,55126,2159,1632,2244,1938,473,1691,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12179,7925,1660,8798,8665,8795,19073,19028,18431,6403,17633,7644,8452,8451,8328,1680,16938,17433,17456,6216,16268
4618,GATES COUNTY,472,474,302,463,474,380,378,370,253,380,94,94,94,93,49,1287,2005,349,2004,1992,1975,1157,349,349,336,130,349,2005,2311,2341,2353,2365,4925,1870,4407,4553,4647,1962,4688,4855,4994,Gates,0,0,0,0,11,2353,2341,2311,1287,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2354,539,134,589,582,589,4256,4246,4183,1817,4059,511,549,549,545,137,3965,4026,4028,1733,3853
36125,HAYWOOD COUNTY,7639,7690,4880,7516,7690,4794,4744,4644,3070,4794,2896,2896,2895,2872,1810,11999,13012,9864,13011,12859,12542,6664,9864,9853,9717,5321,9864,13012,22361,22814,22977,23025,38095,14284,33984,35301,36246,14759,35851,37232,38326,Haywood,102,102,102,14,149,22875,22712,22259,11985,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22876,8259,2164,8730,8668,8722,27983,27840,27031,11894,26059,7639,8097,8096,8041,2029,26329,27098,27118,11744,25414
28100,STANLY COUNTY,2650,2667,1559,2620,2667,939,930,918,574,939,1728,1728,1720,1702,985,8134,8512,7321,8512,8455,8286,4391,7321,7314,7236,3669,7321,8512,15619,15866,15930,15940,29746,9896,26565,27630,28166,10269,28051,29205,29870,Stanly,97,97,97,74,107,15833,15769,15522,8060,706,556,59178,706,556,759,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15833,7182,1465,7651,7519,7648,21460,21392,20980,8447,20163,6792,7217,7215,7109,1439,19965,20329,20336,8159,19217
