Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
36957,50202,47459,646,41395,15237,Robeson,360,881,12566,1875,41377,13002,11394,130625,646,56166,50174,2011,891,13880,20565,13879,13469,39362,52809,98425,15894,663,109195,12571,36968,35419,881,12571,56137,414
4828,5792,5628,0,5260,2798,Perquimans,0,0,1012,204,5257,2594,902,13463,0,6333,5779,217,15,1058,3671,1058,2771,5118,6130,10957,2988,11,11854,951,4830,4726,0,951,6315,0
68950,102240,95245,1109,74132,24349,Johnston,502,1367,30773,3515,74094,20332,28523,209339,1109,110488,102196,3648,1379,34977,28558,34976,20943,69402,101542,156585,25141,1120,175612,32137,68982,65613,1367,32138,110437,550
38970,58560,55846,550,41139,19539,Randolph,425,744,18727,3671,41103,15443,17647,143667,550,62184,58524,3614,744,20301,26060,20300,15761,39484,58955,111702,19869,565,123257,19004,38990,37649,744,19005,62147,494
2919,3068,2945,,3077,1014,Hyde,,,156,44,3074,970,141,4937,,3242,3068,52,,165,1114,165,986,2941,3097,4098,1038,,4410,149,2919,2804,,149,3239,
4850,6063,5892,0,5193,2538,Alleghany,0,0,1223,315,5184,2223,1144,11137,0,6499,6030,332,34,1272,3116,1272,2312,5069,6292,9249,2644,26,9915,1180,4857,4748,0,1180,6456,0
16064,23429,22202,216,17659,7443,Duplin,161,267,6881,1422,17644,5860,6456,58741,216,25580,23408,1411,284,7637,11405,7637,6036,16902,24050,44760,7628,228,49644,7128,16073,15530,267,7128,25548,181
3795,4269,4149,,4074,1713,Gates,,0,466,119,4069,1594,435,11562,,4593,4268,118,12,507,2418,507,1700,3967,4433,9230,1818,,10120,473,3796,3714,0,473,4576,0
25400,33750,32447,867,26419,13499,Haywood,508,1287,7654,1765,26411,11226,7009,62317,867,35824,33696,1901,1319,8086,15572,8086,11338,25226,34167,50968,13846,914,54941,7429,25407,24571,1287,7429,35784,607
19180,25698,24687,358,20372,9343,Stanly,284,465,6305,1232,20368,7827,5837,62806,358,27474,25664,1268,477,6625,12123,6625,8115,19521,26291,49282,9711,390,54008,6126,19182,18492,465,6126,27458,328
48928,173158,162447,37839,58612,31370,Missing,9077,24358,80489,7573,58547,14720,78610,,37862,172379,172074,6950,25556,88211,,88194,17760,53874,158672,,32093,38741,,85284,49131,45998,24309,85286,171099,7383
27841,39237,37251,330,29412,12494,Wilson,221,495,10818,1696,29403,10577,9939,81801,330,42021,39200,1725,499,12110,15337,12107,10839,28244,39557,63224,12825,354,69710,11029,27852,26982,495,11031,42005,261
1717,1857,1768,,1800,654,Tyrrell,,,158,36,1798,618,135,4016,,1965,1856,36,,165,810,165,630,1708,1866,3288,666,,3533,139,1718,1633,,139,1963,
34204,58516,55852,7905,36768,15904,Wayne,1062,10463,15801,2878,36732,11964,14636,123131,8063,64943,58464,2989,10482,17693,20802,17693,12324,35567,61570,94031,16876,8093,103693,16197,34226,33311,10202,16197,64888,1563
8513,11190,10836,122,9015,4314,Montgomery,94,150,2575,462,9014,3758,2388,27173,122,11935,11168,493,184,2736,5743,2736,3845,8781,11506,21266,4443,144,23512,2533,8513,8326,150,2533,11900,105
19446,28323,27109,273,20756,9989,Lenoir,194,405,8405,1565,20752,8230,7735,55949,273,30517,28292,1615,420,9341,11303,9341,8427,20299,29109,43423,10275,301,47933,8573,19449,19101,405,8573,30498,233
11624,16003,15347,158,12356,5711,Scotland,99,203,4147,787,12353,4825,3758,34823,158,17230,15967,865,239,4635,6531,4635,4949,12106,16456,26793,5937,194,29381,4185,11624,11431,203,4185,17191,123
68694,92584,87354,1035,72203,25828,Alamance,654,1386,22808,3953,72181,21221,21181,169509,1035,98351,92559,4284,1412,24736,29035,24734,21779,67678,91872,132145,26792,1043,145046,22830,68711,65138,1386,22830,98301,729
3297,5100,4907,1061,3651,1350,Camden,0,840,738,106,3642,1244,697,10867,1061,5302,5086,118,875,776,1833,776,1349,3461,5039,8407,1467,1073,9354,728,3299,3149,840,728,5258,0
7941,10369,9961,66,8376,2879,Greene,53,84,2255,348,8373,2478,2061,21069,66,11051,10354,365,101,2574,3592,2574,2523,8225,10564,16884,2948,80,18372,2347,7942,7834,84,2347,11031,60
37194,58267,55657,2866,39266,19150,Rowan,1479,3399,18715,3171,39250,14500,17167,142088,2866,62662,58217,3304,3448,19948,25371,19948,14868,37424,59538,110729,19795,2905,122048,18157,37204,35624,3399,18158,62597,1623
7232,8559,8282,70,7765,3904,Northampton,57,107,1228,287,7762,3560,1135,19483,70,9239,8543,315,122,1352,5256,1352,3650,7541,8876,16132,4032,83,17363,1241,7235,7077,107,1241,9221,67
20909,30299,29067,184,22808,10784,Wilkes,160,233,9301,1881,22796,8743,8693,68412,184,32879,30269,2002,259,9812,15162,9812,8989,21770,31304,54628,11171,206,59783,9176,20917,20190,233,9176,32841,180
25336,39983,38187,239,26391,12943,Lincoln,199,363,14102,2082,26384,10662,13066,86111,239,42501,39949,2119,382,15728,15456,15728,10856,25779,40244,67981,13209,269,74647,14374,25340,24882,363,14374,42475,234
26964,36384,35015,202,27984,13276,Caldwell,149,315,9565,1275,27972,11852,8622,82178,202,38611,36359,1347,322,10305,16769,10305,12042,27054,36934,65842,13571,219,71809,9193,26972,26191,315,9193,38592,182
7107,8880,8549,100,7513,4257,Polk,88,116,1625,735,7510,3434,1552,20724,100,9400,8858,750,144,1743,6644,1743,3552,7225,8966,17478,4399,118,18752,1651,7111,6897,116,1651,9369,97
