Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56595,ROBESON COUNTY,3999,4039,2277,3918,4041,2458,2421,2366,1387,2460,1581,1581,1578,1552,890,12061,16832,8387,16832,16708,16430,8307,8387,8376,8200,3656,8387,16832,24847,25301,25436,25493,62447,16610,52476,55448,56724,17436,57741,61071,62627,Robeson,217,217,217,98,274,25219,25084,24630,11963,1497,1005,122048,1497,1005,1543,1497,605,1070,1005,407,98425,20565,130625,109195,ROBESON COUNTY,25219,14809,2428,16395,16141,16393,44689,44557,43433,14403,41435,13760,15200,15199,15002,2290,39441,40391,40454,13913,37711
6199,PERQUIMANS COUNTY,1155,1158,815,1129,1158,670,667,645,465,670,488,488,488,484,350,2376,2610,1099,2610,2605,2577,1701,1099,1098,1089,675,1099,2610,3666,3703,3709,3709,6694,3002,5945,6120,6215,3201,6404,6597,6729,Perquimans,,,,,,3709,3703,3666,2376,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3709,1148,258,1209,1197,1208,5500,5486,5400,2943,5256,1045,1102,1102,1094,237,5026,5097,5101,2765,4900
115616,JOHNSTON COUNTY,17333,17560,7930,16726,17566,7726,7565,7288,4121,7732,9834,9834,9768,9438,3809,22312,26643,34122,26631,26272,25432,11001,34120,33911,32911,11171,34122,26643,58843,60683,61251,61329,123230,26543,104444,111935,115899,27608,110833,119035,123933,Johnston,500,500,500,140,564,60751,60183,58343,22172,3700,2490,196283,3646,2466,3719,3454,1052,2506,2334,711,156585,28558,209339,175612,JOHNSTON COUNTY,60765,35181,4359,40780,39165,40727,79434,78803,76224,22197,72198,33423,38750,38729,37216,4230,72253,74397,74643,21602,68687
64042,RANDOLPH COUNTY,8400,8467,4863,8241,8470,3768,3723,3647,2448,3771,4699,4699,4677,4594,2415,15856,14741,18267,14735,14646,14405,7511,18267,18238,17988,8263,18267,14741,32516,33007,33125,33141,67591,20896,59957,62781,64212,21385,63095,66149,67813,Randolph,123,123,123,82,133,33002,32884,32393,15774,893,575,135556,893,575,959,893,560,670,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33008,21562,4326,23601,23071,23595,43253,43103,42185,16499,40640,20626,22541,22537,22058,4346,40148,40930,41001,16106,38756
3370,HYDE COUNTY,599,602,314,585,603,570,567,554,297,571,32,32,32,31,17,791,1854,87,1854,1845,1793,759,87,85,82,32,87,1854,1875,1930,1941,1941,3473,1076,3143,3287,3372,1096,3243,3389,3495,Hyde,,,,,,1941,1930,1875,791,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1941,165,52,179,177,179,3304,3294,3212,1044,3078,153,167,167,164,44,3123,3203,3205,1032,2990
6546,ALLEGHANY COUNTY,1409,1424,942,1402,1426,655,640,634,459,657,769,769,769,768,483,2183,2195,1868,2194,2181,2149,1114,1868,1866,1864,1069,1868,2195,4013,4047,4062,4063,6955,2766,6286,6460,6596,2852,6660,6840,7012,Alleghany,,,,,,4062,4047,4013,2183,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4063,1380,387,1422,1416,1422,5521,5498,5389,2440,5245,1281,1319,1319,1313,374,5147,5227,5239,2392,5005
27572,DUPLIN COUNTY,2839,2853,1761,2796,2853,1508,1496,1473,925,1508,1345,1345,1343,1323,836,6079,6233,5938,6229,6178,6074,3056,5938,5921,5832,2930,5938,6233,12243,12447,12515,12561,30055,8282,25404,26940,27636,8594,27548,29305,30152,Duplin,348,348,337,93,390,12167,12099,11906,5986,2199,1652,55126,2163,1634,2248,1941,474,1693,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12171,7961,1687,8820,8693,8817,19084,19039,18449,6433,17646,7670,8465,8464,8345,1704,16961,17456,17478,6247,16282
4622,GATES COUNTY,747,751,483,733,752,639,635,623,424,640,112,112,112,110,59,1293,2002,349,2001,1991,1973,1159,349,349,338,134,349,2002,2311,2340,2350,2362,4926,1879,4411,4557,4651,1971,4692,4856,4996,Gates,0,0,0,0,11,2350,2340,2311,1293,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2351,540,137,590,583,590,4257,4246,4183,1823,4062,512,550,550,546,140,3968,4029,4031,1739,3856
36107,HAYWOOD COUNTY,9292,9372,5801,9131,9376,5984,5905,5771,3727,5988,3388,3388,3387,3360,2074,12015,12960,9872,12959,12807,12493,6643,9872,9862,9727,5358,9872,12960,22322,22771,22933,22981,38069,14328,33983,35295,36276,14794,35838,37217,38310,Haywood,102,102,102,14,149,22831,22669,22220,12001,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22832,8278,2186,8744,8684,8736,27953,27800,27000,11907,26027,7655,8109,8106,8053,2053,26311,27070,27136,11764,25397
28007,STANLY COUNTY,3423,3447,1944,3377,3448,1343,1327,1306,775,1344,2104,2104,2096,2071,1169,8164,8433,7321,8433,8378,8209,4395,7321,7314,7237,3695,7321,8433,15543,15789,15851,15861,29646,9923,26488,27546,28086,10292,27969,29114,29771,Stanly,97,97,97,74,107,15754,15692,15446,8090,707,557,59178,707,557,760,707,357,614,557,298,49282,12123,62806,54008,STANLY COUNTY,15754,7198,1482,7664,7533,7663,21347,21276,20874,8453,20064,6809,7228,7228,7122,1458,19867,20222,20244,8167,19122
