At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9860,21093,21405,21404,21418,14729,14728,14561,7198,6562,6562,6418,2598,6562,14729,61069,55228,Robeson,114,114,114,64,127,1376,896,122048,15879,51108,54156,55311,16582,56289,59708,61142,1376,896,1427,1376,529,962,896,394,98425,20565,130625,ROBESON COUNTY,109195,14092,2204,15763,15500,15762,43952,43931,42832,13849,40821,13077,14580,14579,14376,2074,38884,39753,39769,13411,37135
1996,3179,3207,3206,3207,2427,2426,2406,1571,780,780,773,425,780,2427,6601,6102,Perquimans,,,,,,0,0,12861,2897,5863,6031,6117,3086,6318,6506,6624,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1104,235,1165,1154,1165,5439,5436,5352,2851,5214,1013,1070,1070,1064,217,4967,5032,5035,2680,4850
17832,49735,51239,51236,51274,23470,23467,22901,9789,27713,27713,26778,8033,27715,23476,120500,112674,Johnston,56,56,56,10,83,3371,2235,196283,25235,101407,109156,112743,26219,107889,116346,120613,3340,2222,3439,3164,894,2267,2096,614,156585,28558,209339,JOHNSTON COUNTY,175612,33607,3946,39379,37717,39378,77795,77751,75289,21379,71118,31803,37294,37290,35745,3845,71189,73149,73182,20776,67508
13085,28149,28550,28549,28572,13531,13531,13366,6858,14972,14971,14736,6205,14972,13535,66339,62920,Randolph,47,47,47,22,65,802,557,135556,19943,58746,61695,63014,20318,61661,64877,66450,802,557,876,802,515,629,557,429,111702,26060,143667,RANDOLPH COUNTY,123257,20739,3952,22914,22352,22914,42660,42623,41723,15851,40120,19834,21836,21834,21332,3983,39806,40529,40549,15531,38355
720,1784,1834,1834,1834,1775,1775,1728,702,59,59,56,18,59,1775,3431,3310,Hyde,,,,,,,,4753,1048,3078,3216,3310,1064,3192,3334,3434,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,163,49,176,173,176,3258,3255,3161,1015,3029,150,163,163,159,42,3057,3147,3147,1006,2928
1777,3272,3301,3301,3302,1884,1884,1859,1046,1417,1417,1413,731,1417,1885,6897,6466,Alleghany,,,,,,20,0,10626,2665,6211,6378,6499,2757,6601,6781,6941,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1347,359,1398,1392,1398,5488,5479,5369,2378,5234,1254,1298,1298,1290,342,5088,5168,5175,2323,4957
4909,10170,10294,10294,10324,5560,5560,5503,2769,4734,4734,4667,2140,4735,5562,29468,26964,Duplin,0,0,0,0,27,2123,1579,55126,7844,24778,26351,27019,8121,26933,28716,29544,2090,1568,2183,1879,428,1622,1390,302,44760,11405,58741,DUPLIN COUNTY,49644,7629,1529,8562,8425,8562,18799,18783,18201,6164,17425,7335,8196,8196,8078,1551,16705,17189,17201,5991,16053
1131,2068,2092,2091,2093,1815,1814,1802,1036,277,277,266,95,277,1816,4844,4561,Gates,,,,,,68,49,11027,1779,4357,4507,4591,1863,4607,4777,4910,68,49,125,68,0,77,49,0,9230,2418,11562,GATES COUNTY,10120,512,125,565,561,565,4220,4211,4148,1738,4027,491,532,532,530,128,3928,3980,3982,1651,3817
9820,19336,19693,19693,19721,12185,12185,11954,6249,7423,7423,7297,3558,7423,12186,37456,35494,Haywood,85,85,85,13,112,1419,897,59266,13759,33402,34724,35587,14172,35243,36640,37553,1419,897,1506,1419,629,976,897,509,50968,15572,62317,HAYWOOD COUNTY,54941,8095,2020,8593,8541,8593,27454,27444,26680,11523,25729,7473,7963,7962,7912,1881,25915,26635,26648,11369,25032
6518,13198,13386,13386,13387,7439,7439,7328,3773,5905,5905,5828,2718,5905,7439,29453,27701,Stanly,42,42,42,27,43,667,474,59178,9644,26185,27280,27782,10003,27771,28954,29512,667,474,720,667,329,551,474,284,49282,12123,62806,STANLY COUNTY,54008,6952,1364,7428,7296,7428,21364,21358,20991,8310,20152,6558,6990,6990,6880,1342,19926,20237,20241,8018,19153
