Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
36244,49026,46353,646,40754,14990,Robeson,360,879,12167,1725,40740,12905,10930,130625,646,55158,48999,1857,889,13515,20565,13514,13390,38963,52009,98425,15661,663,109195,12109,36254,34777,879,12109,55133,414
4761,5678,5517,0,5193,2768,Perquimans,0,0,990,192,5192,2576,854,13463,0,6244,5665,204,15,1036,3671,1036,2757,5075,6065,10957,2961,11,11854,904,4763,4663,0,904,6228,0
68259,100485,93362,1109,72835,24014,Johnston,502,1366,29765,3260,72810,20252,27274,209339,1109,108046,100449,3385,1378,33833,28558,33832,20890,68982,100113,156585,24825,1120,175612,31081,68283,64979,1366,31082,108008,550
38871,57846,55111,550,40860,19338,Randolph,425,744,18214,3403,40829,15510,17005,143667,550,61347,57812,3358,744,19743,26060,19742,15846,39392,58350,111702,19698,565,123257,18391,38889,37556,744,18392,61315,494
2895,3041,2923,,3045,1003,Hyde,,,152,38,3045,965,140,4937,,3206,3041,44,,161,1114,161,982,2920,3072,4098,1026,,4410,146,2895,2783,,146,3206,
4793,5987,5823,0,5102,2500,Alleghany,0,0,1207,291,5096,2209,1126,11137,0,6391,5956,301,34,1255,3116,1255,2300,4994,6201,9249,2601,26,9915,1163,4798,4697,0,1163,6351,0
15847,22961,21752,216,17320,7308,Duplin,161,267,6673,1311,17312,5836,6185,58741,216,25047,22944,1311,283,7444,11405,7444,6014,16698,23638,44760,7506,228,49644,6881,15852,15351,267,6881,25023,181
3749,4203,4086,,4048,1696,Gates,,0,449,112,4043,1584,416,11562,,4552,4202,113,12,492,2418,492,1694,3942,4391,9230,1807,,10120,453,3750,3670,0,453,4535,0
24971,33169,31867,853,25810,13243,Haywood,507,1229,7536,1665,25803,11071,6859,62317,853,35055,33116,1790,1269,7976,15572,7976,11245,24927,33692,50968,13628,900,54941,7292,24977,24155,1229,7292,35008,593
18865,25162,24172,358,20106,9254,Stanly,284,463,6166,1177,20103,7793,5617,62806,358,27066,25128,1209,475,6485,12123,6485,8096,19367,25996,49282,9632,390,54008,5905,18867,18197,463,5905,27051,327
37872,158574,147941,37082,44301,25042,Missing,8853,22487,78421,6952,44247,9237,75739,,37105,152986,157526,6325,23638,85047,,85034,10855,40655,141515,,23521,37949,,82549,38074,35120,22439,82551,151768,6341
27309,38219,36247,330,28881,12318,Wilson,221,491,10418,1577,28877,10520,9427,81801,330,41054,38186,1600,495,11678,15337,11676,10802,27938,38847,63224,12662,354,69710,10547,27316,26490,491,10549,41044,260
1697,1831,1744,,1784,644,Tyrrell,,,156,34,1783,610,129,4016,,1946,1830,33,,162,810,162,625,1698,1854,3288,658,,3533,133,1698,1615,,133,1945,
33889,57284,54636,7710,36389,15732,Wayne,1049,10345,15221,2702,36365,11981,13903,123131,7866,63749,57239,2801,10364,16996,20802,16996,12303,35351,60659,94031,16657,7895,103693,15484,33905,33023,10087,15484,63706,1553
8465,11045,10692,122,8939,4281,Montgomery,94,150,2497,437,8939,3750,2291,27173,122,11783,11023,464,184,2660,5743,2660,3840,8732,11379,21266,4409,144,23512,2436,8465,8279,150,2436,11749,105
19198,27804,26590,273,20530,9836,Lenoir,194,405,8158,1453,20527,8189,7440,55949,273,30060,27773,1494,420,9110,11303,9110,8387,20139,28702,43423,10114,301,47933,8302,19201,18877,405,8302,30042,233
11524,15769,15120,158,12277,5662,Scotland,99,203,4035,728,12275,4835,3616,34823,158,17052,15733,806,239,4536,6531,4536,4963,12054,16292,26793,5892,194,29381,4051,11524,11346,203,4051,17014,123
67959,91165,85990,1033,70854,25520,Alamance,654,1379,22218,3748,70840,21118,20497,169509,1033,96227,91144,4065,1404,23969,29035,23968,21679,67013,90610,132145,26473,1041,145046,22152,67972,64460,1379,22152,96187,729
3237,4955,4766,1036,3586,1329,Camden,0,831,706,96,3581,1233,641,10867,1036,5196,4943,113,866,744,1833,744,1341,3420,4957,8407,1454,1048,9354,670,3237,3089,831,670,5156,0
7786,10125,9710,66,8256,2837,Greene,53,84,2175,316,8254,2468,1961,21069,66,10856,10110,331,101,2499,3592,2499,2519,8134,10393,16884,2910,80,18372,2258,7787,7683,84,2258,10837,60
37184,57629,55043,2856,39208,19125,Rowan,1479,3325,18275,2940,39197,14706,16529,142088,2856,61995,57583,3057,3373,19414,25371,19414,15050,37535,59135,110729,19728,2893,122048,17543,37192,35658,3325,17544,61936,1621
7245,8524,8246,70,7773,3923,Northampton,57,107,1172,265,7771,3601,1081,19483,70,9201,8509,293,122,1306,5256,1306,3702,7586,8865,16132,4062,83,17363,1194,7247,7095,107,1194,9184,67
20901,30007,28798,184,22661,10818,Wilkes,160,232,9119,1769,22653,8889,8414,68412,184,32557,29978,1898,258,9638,15162,9638,9154,21859,31210,54628,11232,206,59783,8893,20908,20200,232,8893,32523,180
25094,39318,37461,239,26128,12725,Lincoln,199,363,13743,1904,26122,10622,12574,86111,239,41794,39284,1945,382,15284,15456,15284,10825,25615,39721,67981,13004,269,74647,13951,25098,24648,363,13951,41769,234
26706,35761,34378,202,27695,13074,Caldwell,149,315,9234,1157,27688,11768,8233,82178,202,37956,35739,1223,321,9940,16769,9940,11981,26877,36426,65842,13386,219,71809,8831,26711,25943,315,8831,37943,182
7251,8981,8653,100,7613,4379,Polk,88,116,1602,712,7612,3579,1510,20724,100,9463,8961,734,144,1706,6644,1706,3696,7374,9092,17478,4527,118,18752,1610,7253,7043,116,1610,9434,97
24464,34610,33097,220,25541,12355,Surry,178,284,10310,1938,25527,10239,9392,71783,220,36727,34593,2076,301,10885,14964,10884,10423,24444,35038,56811,12699,227,62223,9909,24474,23485,284,9909,36695,200
