Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37862,37646,51754,48673,647,42192,15427,122048,Robeson,360,887,42175,13095,1943,41711,13214,13124,11962,130625,647,57594,51473,2073,897,14505,20565,14418,14504,13596,39861,53843,98425,887,16084,664,109195,13180,37875,647,36064,887,13215,57016,415
4901,4884,5907,5724,0,5331,2826,12861,Perquimans,0,0,5328,1051,208,5287,993,2618,943,13463,0,6450,5877,225,15,1104,3671,1098,1104,2789,5162,6213,10957,0,3014,11,11854,993,4903,0,4781,0,993,6385,0
70549,69868,105656,97234,1109,75366,24559,196283,Johnston,502,1377,75327,31673,3605,73936,33954,20452,29694,209339,1109,113226,104363,3727,1389,36471,28558,35552,36470,21047,69965,103015,156585,1377,25324,1120,175612,33386,70578,1109,66431,1377,33958,110865,550
39378,39100,59904,56684,550,41557,19582,135556,Randolph,425,746,41521,19427,3769,41027,19939,15388,18367,143667,550,63532,59424,3697,746,21229,26060,20956,21228,15706,39539,59712,111702,746,19897,565,123257,19774,39398,550,37767,746,19941,62729,494
2999,2955,3153,2981,,3172,1021,4753,Hyde,,,3169,156,44,3092,154,977,144,4937,,3340,3107,52,,168,1114,165,168,991,2968,3124,4098,,1043,,4410,152,2999,,2837,,154,3257,
4960,4938,6227,6025,0,5304,2567,10626,Alleghany,0,0,5295,1271,325,5219,1234,2242,1193,11137,0,6661,6168,338,34,1323,3116,1319,1323,2316,5107,6378,9249,0,2654,26,9915,1230,4967,0,4832,0,1234,6538,0
16401,16271,24121,22679,216,18166,7516,55126,Duplin,161,267,18150,7168,1466,17810,7479,5889,6751,58741,216,26449,23941,1456,284,7999,11405,7935,7999,6067,17136,24571,44760,267,7704,228,49644,7454,16414,216,15712,267,7479,26012,181
3843,3840,4340,4212,,4110,1729,11027,Gates,,0,4104,485,121,4089,496,1608,460,11562,,4650,4336,120,13,527,2418,526,527,1709,3984,4469,9230,0,1829,,10120,496,3844,,3752,0,496,4615,0
26130,25788,34672,32977,870,26915,13662,59266,Haywood,508,1307,26905,7806,1807,26398,7612,11347,7162,62317,870,36527,34244,1936,1340,8272,15572,8240,8272,11407,25506,34619,50968,1307,13953,917,54941,7586,26143,870,24945,1307,7612,35945,610
19498,19406,26332,25153,358,20668,9424,59178,Stanly,284,465,20663,6540,1268,20474,6442,7872,6106,62806,358,28058,26174,1300,477,6913,12123,6863,6913,8153,19687,26692,49282,465,9781,390,54008,6410,19500,358,18689,465,6442,27802,328
64375,63027,195271,180356,38787,78525,37456,,Missing,9384,27376,78447,83083,7828,75629,90963,20244,81867,,38811,199967,190598,7167,28618,92824,,89631,92808,25057,71558,181965,,27376,41128,39703,,88760,64602,38811,59702,27324,90966,192636,8904
28442,28231,40494,38103,331,29913,12608,76972,Wilson,221,496,29903,11277,1743,29546,11684,10644,10424,81801,331,43157,40118,1772,500,12744,15337,12526,12741,10891,28562,40335,63224,496,12924,355,69710,11556,28453,331,27348,496,11686,42568,261
1752,1747,1894,1801,,1830,658,3827,Tyrrell,,,1828,163,36,1816,141,622,137,4016,,2000,1888,36,,170,810,170,170,637,1732,1895,3288,,673,,3533,141,1753,,1664,,141,1986,
34694,34550,60278,57139,8068,37183,16103,115046,Wayne,1104,10590,37148,16560,2965,36865,17262,12034,15431,123131,8229,66636,59839,3073,10720,18733,20802,18364,18732,12404,35828,62713,94031,10697,17074,8296,103693,17060,34716,8265,33640,10325,17266,65819,1597
8608,8596,11414,11002,122,9111,4343,25757,Montgomery,94,150,9109,2672,475,9073,2662,3774,2487,27173,122,12152,11363,503,184,2857,5743,2831,2857,3865,8850,11672,21266,150,4473,144,23512,2645,8608,122,8393,150,2662,12054,105
19753,19698,29099,27722,273,21068,10097,52801,Lenoir,194,405,21064,8752,1610,20938,9041,8293,8103,55949,273,31308,28949,1654,420,9820,11303,9680,9820,8480,20513,29670,43423,405,10367,301,47933,8978,19757,273,19346,405,9041,31023,233
11702,11682,16264,15564,158,12443,5732,32530,Scotland,99,203,12440,4300,812,12394,4368,4821,3921,34823,158,17506,16192,888,239,4824,6531,4777,4824,4954,12166,16669,26793,203,5965,194,29381,4352,11702,158,11485,203,4368,17374,123
70191,69231,95336,88641,1035,73593,25998,159560,Alamance,654,1400,73571,23539,4047,71968,24084,21297,21995,169509,1035,100877,93959,4348,1426,25858,29035,25278,25857,21849,68015,92954,132145,1400,26927,1043,145046,23693,70209,1035,65611,1400,24084,98646,730
3364,3337,5240,5010,1077,3714,1373,10327,Camden,0,846,3705,760,114,3656,785,1259,746,10867,1077,5406,5194,127,881,811,1833,796,811,1368,3492,5098,8407,846,1495,1089,9354,780,3366,1077,3187,846,785,5298,0
8082,8041,10661,10178,66,8525,2903,20022,Greene,53,84,8521,2349,360,8441,2498,2490,2183,21069,66,11320,10586,378,101,2694,3592,2667,2694,2529,8305,10738,16884,84,2967,80,18372,2479,8083,66,7929,84,2498,11192,60
37477,37282,59422,56359,2881,39540,19156,133830,Rowan,1479,3471,39523,19330,3232,39130,19018,14445,17799,142088,2881,63796,58997,3367,3504,20752,25371,20469,20752,14786,37408,60209,110729,3471,19777,2913,122048,18834,37489,2881,35679,3471,19020,63070,1624
7182,7167,8583,8279,70,7723,3851,18570,Northampton,57,107,7720,1286,296,7662,1315,3498,1201,19483,70,9267,8548,322,123,1421,5256,1411,1421,3590,7462,8855,16132,107,3979,83,17363,1311,7185,70,7008,107,1315,9180,67
21069,20851,30799,29293,184,22831,10669,64946,Wilkes,160,233,22820,9610,1920,22456,9515,8589,8993,68412,184,33269,30529,2046,259,10179,15162,10131,10179,8829,21642,31485,54628,233,11055,206,59783,9494,21078,184,20116,233,9515,32820,180
25693,25520,41060,38769,239,26762,13028,81663,Lincoln,199,363,26755,14462,2129,26448,15094,10700,13490,86111,239,43472,40592,2164,382,16328,15456,15940,16328,10887,25899,40724,67981,363,13285,269,74647,14833,25697,239,25040,363,15094,42751,234
27386,27257,37402,35780,202,28331,13402,78015,Caldwell,149,316,28319,10000,1334,28102,9789,11919,9113,82178,202,39476,37164,1399,324,10821,16769,10686,10821,12098,27256,37572,65842,316,13679,219,71809,9705,27394,202,26465,316,9789,39104,182
6999,6954,8826,8413,100,7366,4144,19940,Polk,88,117,7362,1643,740,7289,1705,3316,1575,20724,100,9292,8731,754,145,1781,6644,1748,1781,3416,7043,8803,17478,117,4267,118,18752,1677,7003,100,6738,117,1705,9154,97
24689,24539,35458,33717,220,25949,12387,67979,Surry,178,284,25928,10792,2117,25588,10526,10092,9959,71783,220,37668,35261,2263,301,11418,14964,11365,11417,10287,24487,35563,56811,284,12750,227,62223,10502,24704,220,23538,284,10527,37237,200
