Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38320,37928,49255,42756,ROBESON COUNTY,15829,361,42738,13439,42046,13182,0,12307,653,15773,0,98425,0,15829,109195,36295,896,13612,57738,417,0,8268,52616,653,15525,122048,ROBESON,896,1982,13611,130625,0,58606,52126,2110,906,14944,20565,14796,14943,13652,40134,54469,896,15829,16179,671,13545,38333,653
4946,4911,5773,5369,PERQUIMANS COUNTY,2815,0,5366,1068,5310,2640,,968,0,2812,,10957,,2815,11854,4805,0,1020,6424,0,,1872,5979,0,2852,12861,PERQUIMANS,0,212,1020,13463,,6506,5930,227,17,1120,3671,1114,1120,2814,5179,6247,0,2815,3041,11,1019,4948,0
71315,70180,98088,76393,JOHNSTON COUNTY,40433,504,76353,32365,74510,20510,,30323,1114,39999,,156585,,40437,175612,66651,1385,35026,112223,551,,15702,107497,1114,24698,196283,JOHNSTON,1385,3684,35022,209339,,115381,105363,3809,1397,37591,28558,36328,37590,21126,70407,104157,1385,40433,25486,1125,34069,71346,1114
39621,39185,57204,41862,RANDOLPH COUNTY,23214,426,41827,19970,41177,15385,,18844,552,23114,,111702,,23214,123257,37808,750,20537,63445,496,,11482,60744,552,19649,135556,RANDOLPH,750,3838,20535,143667,,64532,60011,3767,750,21920,26060,21518,21919,15718,39644,60364,750,23214,19981,567,20274,39640,552
3036,2982,3008,3204,HYDE COUNTY,1322,,3201,161,3120,983,,144,,1304,,4098,,1322,4410,2864,,157,3290,,,614,3193,,1027,4753,HYDE,,44,157,4937,,3377,3135,52,,173,1114,170,173,995,2994,3155,,1322,1047,,153,3036,
4983,4932,6024,5351,ALLEGHANY COUNTY,2786,0,5342,1296,5252,2241,,1205,0,2777,,9249,,2787,9915,4819,0,1249,6595,0,,1597,6265,0,2566,10626,ALLEGHANY,0,325,1249,11137,,6734,6174,348,34,1349,3116,1343,1349,2323,5135,6431,0,2786,2671,26,1242,4990,0
16655,16350,22956,18480,DUPLIN COUNTY,8225,161,18464,7370,17991,5917,,6964,216,8200,,44760,,8226,49644,15776,269,7738,26419,183,,4270,24634,216,7567,55126,DUPLIN,269,1489,7738,58741,,27033,24250,1486,287,8266,11405,8159,8266,6089,17264,24903,269,8225,7758,228,7684,16668,216
3863,3854,4229,4152,GATES COUNTY,1678,,4144,493,4113,1617,,465,,1676,,9230,,1678,10120,3764,0,504,4654,0,,980,4368,,1738,11027,GATES,0,121,504,11562,,4712,4357,121,15,545,2418,541,545,1718,4000,4493,0,1678,1839,,503,3864,
26143,25637,32911,27077,HAYWOOD COUNTY,16976,508,27067,7904,26426,11245,0,7260,871,16889,37,50968,37,16976,54941,24780,1316,7724,36091,612,37,9041,34798,871,13585,59266,HAYWOOD,1316,1832,7724,62317,37,36817,34198,1963,1349,8391,15572,8349,8391,11400,25514,34734,1316,16976,13975,918,7690,26156,871
19743,19587,25461,20939,STANLY COUNTY,10864,284,20933,6669,20671,7904,,6257,358,10822,,49282,,10864,54008,18846,467,6616,28141,329,,5789,26753,358,9477,59178,STANLY,467,1289,6616,62806,,28511,26516,1320,479,7093,12123,7003,7093,8198,19867,27003,467,10864,9847,390,6571,19747,358
