Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37973,37702,51958,48783,647,42355,15448,122048,Robeson,360,888,42338,13180,1951,41807,13307,13137,12041,130625,647,57853,51611,2085,898,14600,20565,14505,14599,13609,39942,54010,98425,888,16109,664,13634,109195,13262,37986,647,36095,888,13308,57200,415
4913,4886,5927,5732,0,5342,2829,12861,Perquimans,0,0,5339,1055,208,5296,1001,2621,950,13463,0,6466,5886,226,16,1108,3671,1102,1108,2795,5168,6223,10957,0,3021,11,2549,11854,1000,4915,0,4782,0,1001,6398,0
70667,69803,106116,97315,1109,75686,24585,196283,Johnston,502,1380,75647,31854,3624,74126,34295,20459,29852,209339,1109,113837,104470,3755,1392,36759,28558,35759,36758,21074,70127,103361,156585,1380,25379,1120,33361,175612,33558,70697,1109,66354,1380,34299,111265,550
39346,39013,60072,56749,550,41564,19580,135556,Randolph,425,746,41528,19563,3792,40985,20139,15363,18532,143667,550,63703,59509,3726,746,21393,26060,21089,21392,15699,39483,59792,111702,746,19919,565,19602,123257,19946,39366,550,37667,746,20141,62820,494
3006,2963,3161,2988,,3181,1022,4753,Hyde,,,3178,156,44,3102,155,978,144,4937,,3349,3115,52,,168,1114,165,168,993,2975,3131,4098,,1045,,1131,4410,152,3006,,2844,,155,3267,
4941,4908,6217,5998,0,5320,2564,10626,Alleghany,0,0,5311,1282,325,5227,1243,2239,1199,11137,0,6688,6145,343,34,1334,3116,1330,1334,2320,5115,6397,9249,0,2663,26,2464,9915,1237,4948,0,4799,0,1243,6557,0
16470,16281,24269,22743,216,18250,7532,55126,Duplin,161,267,18234,7241,1469,17869,7558,5902,6809,58741,216,26625,24018,1468,284,8091,11405,8014,8091,6076,17188,24696,44760,267,7725,228,7054,49644,7521,16483,216,15718,267,7558,26150,181
3847,3843,4345,4215,,4125,1732,11027,Gates,,0,4119,484,121,4098,497,1611,460,11562,,4666,4339,120,13,528,2418,527,528,1713,3989,4473,9230,0,1833,,1528,10120,496,3848,,3755,0,497,4625,0
26018,25611,34593,32825,870,26981,13564,59266,Haywood,508,1310,26971,7836,1814,26419,7645,11242,7192,62317,870,36629,34097,1944,1343,8305,15572,8269,8305,11403,25523,34669,50968,1310,13957,917,15003,54941,7616,26031,870,24763,1310,7645,35998,610
19544,19415,26436,25208,358,20757,9431,59178,Stanly,284,465,20752,6574,1275,20534,6500,7872,6159,62806,358,28194,26238,1305,477,6960,12123,6902,6960,8164,19744,26783,49282,465,9797,390,9210,54008,6465,19546,358,18691,465,6500,27901,328
67954,66190,199864,184020,38984,83208,38757,,Missing,9451,28225,83129,83434,7866,80025,91775,21440,82255,,39008,206279,194368,7202,29477,93594,,90046,93578,26620,75862,187469,,28225,43104,39903,97118,,89170,68183,39008,62781,28173,91778,198296,9282
28416,28181,40569,38120,331,30029,12620,76972,Wilson,221,497,30018,11343,1753,29626,11785,10646,10499,81801,331,43384,40149,1780,501,12854,15337,12601,12851,10904,28631,40471,63224,497,12945,355,13603,69710,11637,28427,331,27290,497,11787,42724,261
1757,1748,1900,1803,,1833,659,3827,Tyrrell,,,1831,164,36,1816,142,623,137,4016,,2004,1890,36,,171,810,171,171,638,1733,1897,3288,,674,,584,3533,142,1758,,1666,,142,1987,
34751,34567,60566,57314,8097,37303,16120,115046,Wayne,1109,10612,37268,16696,2976,36935,17455,12035,15567,123131,8259,66991,60034,3085,10747,18941,20802,18521,18940,12417,35894,62937,94031,10724,17105,8332,16630,103693,17208,34775,8301,33650,10347,17459,66068,1603
8617,8603,11452,11035,122,9118,4346,25757,Montgomery,94,150,9116,2690,477,9078,2691,3775,2513,27173,122,12178,11394,506,184,2876,5743,2849,2876,3867,8855,11695,21266,150,4478,144,3629,23512,2669,8617,122,8400,150,2691,12077,105
19761,19695,29200,27782,273,21133,10105,52801,Lenoir,194,405,21129,8804,1615,20982,9134,8296,8170,55949,273,31459,29016,1658,420,9906,11303,9734,9906,8495,20546,29755,43423,405,10386,301,9555,47933,9048,19765,273,19339,405,9134,31121,233
