At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - NC
11853,16729,8372,16729,16611,16321,8171,8372,8361,8170,3584,8372,16729,24706,25187,25316,25369,62292,16358,52164,55190,56470,17169,57461,60864,62491,Robeson,215,215,215,98,268,25101,24972,24491,11755,1496,985,122048,1496,985,1574,1496,606,1048,985,408,98425,20565,130625,109195,ROBESON COUNTY,25101,14642,2352,16296,16020,16294,44621,44502,43348,14211,41323,13611,15104,2217,15103,14886,40288,39319,13733,37568,40318
2330,2603,1094,2603,2595,2568,1669,1094,1093,1083,661,1094,2603,3651,3688,3697,3697,6677,2953,5921,6090,6193,3151,6384,6572,6710,Perquimans,,,,,,3697,3688,3651,2330,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3697,1141,255,1206,1193,1204,5484,5473,5379,2896,5243,1038,1098,234,1098,1090,5080,5000,2719,4883,5083
21960,26536,34072,26526,26171,25306,10860,34070,33854,32783,10964,34072,26536,58573,60509,61080,61151,122693,26105,103549,111208,115084,27152,110066,118424,123296,Johnston,484,484,484,136,543,60596,60025,58089,21824,3700,2416,196283,3650,2396,3776,3463,1049,2432,2275,702,156585,28558,209339,175612,JOHNSTON COUNTY,60608,34803,4210,40585,38879,40525,78935,78468,75895,21893,71800,33024,38520,4094,38510,36932,74026,71880,21309,68250,74132
15721,14803,18272,14799,14722,14477,7469,18272,18241,17978,8170,18272,14803,32578,33086,33194,33208,67376,20598,59728,62607,64039,21035,62777,65891,67554,Randolph,123,123,123,82,133,33071,32963,32455,15639,892,575,135556,892,575,958,892,560,664,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33075,21374,4216,23484,22929,23478,43112,43006,42070,16259,40511,20460,22440,4243,22437,21930,40889,40102,15911,38693,40935
784,1873,85,1873,1864,1808,754,85,83,80,30,85,1873,1888,1947,1958,1958,3481,1070,3147,3290,3378,1087,3248,3393,3501,Hyde,,,,,,1958,1947,1888,784,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1958,164,51,178,175,178,3311,3303,3218,1036,3084,154,168,44,168,164,3210,3126,1026,2993,3210
2156,2218,1863,2217,2201,2170,1106,1863,1861,1858,1050,1863,2218,4028,4062,4080,4081,6955,2730,6264,6436,6579,2819,6653,6833,7009,Alleghany,,,,,,4080,4062,4028,2156,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4081,1371,379,1419,1413,1419,5521,5501,5385,2415,5247,1275,1318,364,1318,1311,5212,5125,2366,4989,5223
6000,6247,5920,6244,6190,6082,3032,5919,5902,5808,2877,5920,6247,12220,12433,12504,12547,29971,8155,25284,26839,27540,8460,27431,29208,30084,Duplin,341,341,330,91,380,12163,12092,11890,5909,2195,1639,55126,2159,1622,2267,1938,472,1677,1447,332,44760,11405,58741,49644,DUPLIN COUNTY,12167,7884,1629,8777,8641,8774,19040,19002,18408,6359,17609,7602,8432,1647,8431,8305,17410,16912,6176,16235,17431
1278,2009,347,2008,1997,1980,1149,347,347,334,129,347,2009,2314,2344,2355,2368,4925,1851,4398,4551,4645,1944,4683,4855,4993,Gates,0,0,0,0,12,2355,2344,2314,1278,90,43,11027,90,43,149,90,11,69,43,0,9230,2418,11562,10120,GATES COUNTY,2356,536,130,587,580,587,4257,4248,4185,1803,4057,506,545,133,545,541,4029,3967,1718,3849,4031
11916,13038,9848,13037,12887,12565,6628,9848,9837,9700,5274,9848,13038,22366,22825,22986,23034,37999,14134,33844,35159,36103,14605,35746,37126,38210,Haywood,101,101,101,14,148,22885,22724,22265,11902,1532,931,59266,1532,931,1611,1532,700,1025,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22886,8243,2129,8721,8658,8712,27878,27755,26936,11776,25971,7620,8083,2000,8081,8026,26974,26202,11623,25293,26995
8180,8677,7312,8677,8618,8448,4483,7312,7305,7224,3623,7312,8677,15769,16020,16086,16096,29988,9977,26741,27817,28359,10353,28272,29439,30110,Stanly,97,97,97,74,107,15989,15923,15672,8106,716,537,59178,716,537,774,716,357,594,537,298,49282,12123,62806,54008,STANLY COUNTY,15989,7142,1434,7617,7482,7614,21719,21658,21241,8562,20414,6757,7185,1411,7183,7076,20574,20204,8268,19447,20580
