Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
415812,644805,599516,4859,454045,118454,1037049,Mecklenburg,2024,7551,210169,21415,453712,95015,200077,1110356,4859,701195,644533,21721,7639,239511,127686,239467,99098,420932,638652,852079,123319,4913,937616,223862,416018,394580,7551,223874,700730,2500
3936,7342,6856,2017,4136,2447,13403,Swain,397,3366,1125,194,4135,1856,977,14271,2317,8767,7313,211,3412,1219,2803,1219,1892,3979,7875,11137,2591,2345,12138,1060,3937,3862,2771,1060,8720,488
7490,8958,8744,61,7957,3376,16905,Avery,50,78,1380,278,7951,3048,1283,17557,61,9560,8948,286,99,1504,4020,1504,3178,7822,9280,14969,3522,65,15935,1397,7496,7400,78,1397,9533,58
16476,23315,21916,297,18214,7486,41780,Vance,189,391,6344,1103,18192,6194,5983,44535,297,25595,23296,1089,403,6978,8487,6977,6387,16912,23647,34092,7689,302,37671,6523,16488,15636,391,6525,25560,213
20455,25073,24049,253,21838,9341,47245,Halifax,190,367,4308,820,21820,8331,3948,50010,253,26962,25051,868,371,4753,10690,4753,8537,20963,25638,39391,9628,262,43237,4343,20468,19848,367,4343,26940,223
33724,50816,48335,550,35819,16000,89023,Nash,362,766,15586,2935,35797,12703,14805,94298,550,54216,50787,2955,773,17624,17956,17624,13048,34766,51118,73765,16425,563,81106,16513,33740,32980,766,16513,54187,422
20751,26437,25437,525,22519,10159,63605,Rutherford,431,610,5022,1335,22499,8393,4789,67029,525,28574,26405,1359,644,5411,14855,5411,8815,21698,27330,53422,10637,545,58398,5129,20761,20123,610,5131,28520,463
10597,13756,13260,80,11470,5310,26129,Ashe,69,107,2922,818,11460,4423,2835,27203,80,14762,13731,751,124,3168,7249,3167,4698,10999,14028,22479,5539,99,24214,3054,10603,10345,107,3054,14734,90
13343,20167,19419,137,14080,7539,43536,Stokes,117,206,6756,1495,14073,5927,6205,45591,137,21575,20125,1602,249,7246,9917,7246,6098,13656,20618,37145,7848,172,40306,6645,13350,13077,206,6645,21525,148
2715,3780,3651,236,2890,1518,8040,Graham,37,350,849,147,2889,1334,752,8441,271,4126,3751,158,376,860,2067,860,1368,2804,3963,6767,1578,298,7414,765,2717,2663,310,765,4099,52
20658,29913,28379,340,22032,9449,59482,Pender,250,507,8641,1316,22021,7883,7985,63060,340,32299,29891,1359,518,9749,11716,9748,8113,21147,30295,49058,9756,354,53967,8893,20666,20054,507,8893,32276,284
36851,57934,55247,7214,38945,19374,95778,Craven,842,8055,13646,2525,38923,16007,12864,102139,7214,61928,57876,2490,8127,14856,20103,14856,16307,36618,58308,80387,19656,7258,87409,13811,36865,35169,8044,13811,61834,859
207280,303297,284413,2298,221295,76861,505896,Guilford,1493,3471,88378,14376,221184,60992,83978,537174,2298,325392,303203,14677,3501,100596,83442,100575,62887,208154,300003,418240,79318,2311,459608,93625,207361,198137,3471,93625,325230,1754
10425,11784,11386,119,10795,4412,20741,Madison,86,206,1159,249,10789,4077,1100,21755,119,12308,11763,262,221,1292,5034,1291,4102,10405,11770,17939,4469,136,19327,1219,10429,10167,206,1219,12286,105
26696,39027,36902,258,28502,13995,70897,Chatham,150,344,11677,2432,28474,11413,11056,74470,258,41948,38998,2403,379,13067,18634,13064,11709,26542,38563,59661,14275,272,65198,12044,26709,25588,344,12046,41882,163
62864,89382,84443,1005,66370,22089,170444,Pitt,504,1473,24794,3002,66324,18583,22709,180742,1005,96071,89325,3201,1493,28208,25045,28207,18823,63249,89516,142466,22620,1027,155511,25456,62899,60729,1473,25456,96004,596
38769,53730,51542,686,40958,22091,94937,Moore,413,882,13949,3204,40947,18474,13071,100880,686,57385,53682,3278,917,15510,24192,15510,19393,39759,54590,79328,23113,729,86466,14227,38774,37785,882,14227,57339,442
150434,217515,203851,1997,163838,56688,359934,Forsyth,1218,3090,61758,10247,163694,45223,59138,382295,1997,235803,217400,10194,3119,68846,62720,68833,46914,151711,216559,295401,58608,2010,325690,64969,150535,142716,3090,64970,235617,1500
52308,88790,83659,1156,55292,25072,171884,Iredell,845,1507,33687,5139,55255,19088,31970,181806,1156,94552,88739,5029,1523,37737,29513,37737,19848,52895,88089,140623,25781,1188,156060,35275,52326,50533,1507,35276,94499,904
14839,18062,17426,207,15251,7901,33015,Transylvania,194,278,3013,1060,15245,6647,2901,34385,207,18694,18043,1041,292,3151,10809,3151,6710,14529,17820,29099,7978,224,30988,2997,14841,14318,278,2997,18674,227
8587,10830,10417,124,9152,4233,21211,Martin,107,174,2134,467,9146,3659,1980,22440,124,11605,10815,488,183,2270,5372,2270,3779,8796,11104,17917,4390,133,19455,2104,8593,8313,174,2104,11590,123
7824,10205,9779,111,8365,3796,18843,Warren,83,136,2124,494,8357,3219,2045,19731,111,10886,10191,480,146,2375,5173,2375,3298,8017,10277,16200,3868,117,17477,2256,7832,7623,136,2256,10868,90
3479,4540,4341,41,3664,1801,8956,Jones,26,55,1054,212,3663,1563,942,9419,41,4870,4530,227,71,1135,2257,1135,1595,3509,4618,7704,1852,51,8314,1010,3479,3358,55,1010,4853,30
15782,22901,21645,236,16484,7936,40760,Davie,162,340,6631,1581,16470,6193,6298,42846,236,24170,22875,1611,348,7338,9279,7338,6323,15531,22502,33901,8116,251,37262,6857,15793,15111,340,6857,24148,182
71367,196299,185815,74667,76730,36450,310252,Cumberland,6032,92765,46064,5848,76616,24570,42981,335509,76886,221647,196219,5974,92811,52106,40937,52103,25184,72143,208294,252655,38176,76924,277878,47966,71408,68167,90087,47967,221484,7018
19400,22489,21559,337,20514,7876,43474,McDowell,218,495,2986,517,20502,7141,2621,45756,337,24154,22473,596,506,3134,9517,3134,7279,19408,22889,36617,8138,348,39943,2736,19405,18601,495,2736,24131,263
9689,12560,12235,420,10161,6172,27420,Cherokee,178,539,2685,747,10156,5247,2389,28612,420,13448,12512,806,584,2703,8723,2703,5373,9818,13042,23877,6391,462,25640,2403,9695,9426,539,2403,13398,212
5710,7276,6978,,6478,2970,13243,Chowan,,,1545,405,6474,2565,1469,13943,,8126,7275,381,,1648,3521,1648,2879,6218,7763,11164,3260,,12171,1565,5711,5509,,1565,8122,
80777,105145,96938,818,88212,22445,142010,Orange,343,1122,21721,2959,88135,19143,21509,148476,818,113536,105065,2889,1171,24153,21654,24152,19742,77051,99894,119925,23021,857,130842,23470,80818,74611,1122,23470,113409,390
