Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37227,50631,47856,647,41671,15303,122048,Robeson,360,885,12703,1897,41653,13046,11539,130625,647,56618,50600,2031,895,14052,20565,14051,13513,39517,53105,98425,15959,664,109195,12726,37240,35670,885,12727,56589,415
4850,5832,5667,0,5292,2807,12861,Perquimans,0,0,1024,205,5289,2602,919,13463,0,6379,5819,219,15,1072,3671,1072,2777,5136,6160,10957,2996,11,11854,969,4852,4748,0,969,6361,0
69208,102799,95776,1109,74592,24402,196283,Johnston,502,1371,31008,3539,74556,20361,28809,209339,1109,111391,102755,3669,1383,35416,28558,35415,20969,69570,101949,156585,25188,1120,175612,32438,69237,65858,1371,32442,111342,550
38984,58718,56006,550,41388,19534,135556,Randolph,425,744,18897,3698,41352,15411,17792,143667,550,62667,58681,3638,744,20535,26060,20534,15734,39536,59177,111702,19866,565,123257,19147,39004,37664,744,19149,62630,494
2930,3079,2955,,3128,1017,4753,Hyde,,,156,44,3125,973,141,4937,,3294,3079,52,,166,1114,166,988,2951,3107,4098,1040,,4410,149,2930,2814,,149,3291,
4869,6091,5920,0,5224,2544,10626,Alleghany,0,0,1230,316,5215,2228,1153,11137,0,6537,6058,332,34,1279,3116,1279,2310,5072,6302,9249,2642,26,9915,1189,4876,4767,0,1189,6494,0
16124,23588,22342,216,17824,7464,55126,Duplin,161,267,6951,1437,17809,5866,6545,58741,216,25851,23567,1422,284,7743,11405,7743,6044,16974,24192,44760,7647,228,49644,7227,16133,15581,267,7227,25819,181
3812,4291,4170,,4081,1717,11027,Gates,,0,469,120,4076,1597,440,11562,,4603,4290,119,12,510,2418,510,1701,3970,4439,9230,1820,,10120,478,3813,3730,0,478,4586,0
25526,33921,32611,867,26600,13552,59266,Haywood,508,1297,7702,1778,26591,11266,7049,62317,867,36083,33862,1911,1330,8153,15572,8153,11357,25326,34325,50968,13877,914,54941,7469,25538,24695,1297,7469,36041,609
19262,25861,24832,358,20498,9362,59178,Stanly,284,465,6364,1241,20493,7837,5911,62806,358,27684,25827,1274,477,6709,12123,6709,8126,19593,26422,49282,9728,390,54008,6207,19264,18563,465,6207,27667,328
