"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
8696.0,856,870.0,Mecklenburg,96552
10443.0,282,1044.0,Rowan,14838
10545.0,375,1054.0,Gaston,23676
5581.0,133,558.0,Brunswick,7971
8530.0,235,853.0,Cabarrus,18463
10907.0,277,1091.0,Catawba,17402
10474.0,76,1047.0,Caldwell,8607
10177.0,138,1018.0,Burke,9209
7488.0,141,749.0,Henderson,8792
5542.0,76,554.0,Chatham,4127
9689.0,105,969.0,Lenoir,5421
10494.0,142,1049.0,Columbus,5825
6533.0,27,653.0,Polk,1354
7681.0,77,768.0,Pasquotank,3059
10180.0,71,1018.0,Lincoln,8766
10819.0,111,1082.0,Stanly,6795
8572.0,76,857.0,Granville,5181
8307.0,224,831.0,Wayne,10229
8537.0,189,854.0,Johnston,17871
9642.0,81,964.0,Vance,4294
5537.0,27,554.0,Transylvania,1904
11611.0,206,1161.0,Robeson,15167
8744.0,103,874.0,Wilkes,5982
9327.0,52,933.0,Anson,2280
6670.0,8,667.0,Perquimans,898
8048.0,18,805.0,Warren,1588
6999.0,29,700.0,Watauga,3932
5847.0,12,585.0,Gates,676
6622.0,12,662.0,Graham,559
7495.0,6,750.0,Tyrrell,301
4935.0,15,493.0,Currituck,1370
5012.0,8,501.0,Dare,1855
,0,,Missing,1
7173.0,274,717.0,Cumberland,24067
10255.0,147,1026.0,Wilson,8389
6858.0,150,686.0,New Hanover,16081
7497.0,61,750.0,Rockingham,6823
8649.0,28,865.0,Northampton,1685
9003.0,99,900.0,Edgecombe,4634
8004.0,66,800.0,Stokes,3649
8831.0,66,883.0,Lee,5456
10119.0,39,1012.0,Greene,2132
9990.0,97,999.0,Halifax,4996
8609.0,23,861.0,Caswell,1946
6164.0,86,616.0,Haywood,3841
7443.0,54,744.0,Hoke,4111
6871.0,40,687.0,Ashe,1869
10264.0,140,1026.0,Surry,7368
10366.0,20,1037.0,Avery,1820
8162.0,4,816.0,Alleghany,909
7559.0,16,756.0,Jones,712
8121.0,16,812.0,Swain,1159
7969.0,24,797.0,Yancey,1440
5841.0,18,584.0,Clay,656
6685.0,203,668.0,Durham,21491
6679.0,521,668.0,Wake,74250
7403.0,552,740.0,Guilford,39769
5927.0,290,593.0,Buncombe,15482
5187.0,93,519.0,Orange,7702
8707.0,156,871.0,Davidson,14593
10666.0,92,1067.0,Sampson,6776
7731.0,43,773.0,Franklin,5387
10490.0,61,1049.0,McDowell,4800
11250.0,86,1125.0,Montgomery,3057
8300.0,16,830.0,Mitchell,1242
10042.0,195,1004.0,Rutherford,6731
8239.0,28,824.0,Davie,3530
7496.0,9,750.0,Pamlico,954
9171.0,200,917.0,Randolph,13176
7364.0,133,736.0,Onslow,14577
8097.0,114,810.0,Craven,8270
8215.0,60,821.0,Hertford,1945
9991.0,75,999.0,Scotland,3479
8624.0,41,862.0,Bertie,1634
7523.0,64,752.0,Person,2971
9659.0,127,966.0,Duplin,5674
9225.0,37,922.0,Martin,2070
9768.0,22,977.0,Chowan,1362
9324.0,89,932.0,Richmond,4180
6160.0,37,616.0,Madison,1340
7142.0,28,714.0,Macon,2561
10403.0,74,1040.0,Alexander,3901
7063.0,151,706.0,Harnett,9604
8302.0,345,830.0,Forsyth,31739
9031.0,80,903.0,Beaufort,4244
8610.0,196,861.0,Union,20652
9015.0,190,901.0,Iredell,16389
10295.0,167,1030.0,Nash,9708
9256.0,223,926.0,Alamance,15690
10458.0,215,1046.0,Cleveland,10243
7878.0,172,788.0,Moore,7947
6405.0,44,641.0,Carteret,4450
9634.0,45,963.0,Yadkin,3629
9663.0,77,966.0,Pitt,17466
8480.0,30,848.0,Washington,982
7372.0,55,737.0,Pender,4649
7350.0,19,735.0,Cherokee,2103
7561.0,48,756.0,Jackson,3322
8960.0,40,896.0,Bladen,2932
12660.0,8,1266.0,Hyde,625
5356.0,5,536.0,Camden,582
