Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
31424,40905,39131,157,37859,14038,Robeson,68,201,10689,1511,37847,12459,8480,130625,157,49889,40867,1730,236,11794,20565,11784,13124,36317,47207,98425,14934,186,109195,9286,31433,30494,201,9286,49832,80
4426,5129,5026,,4968,2684,Perquimans,,,856,169,4967,2515,669,13463,,5863,5127,196,,895,3671,895,2709,4860,5716,10957,2905,,11854,701,4428,4357,,701,5862,
64314,90185,84267,,70175,22868,Johnston,,,26454,2990,70148,19878,22689,209339,,100328,90158,3232,,30153,28558,30088,20537,66608,93062,156585,23769,,175612,25844,64340,61578,,25845,100236,
36531,51635,49504,,39414,18247,Randolph,,,16322,3089,39385,15158,14052,143667,,57081,51616,3184,,17667,26060,17652,15576,38036,54358,111702,18760,,123257,15085,36549,35452,,15086,57037,
2761,2886,2789,,2969,975,Hyde,,,142,37,2969,938,121,4937,,3120,2886,44,,151,1114,151,964,2860,3002,4098,1008,,4410,125,2761,2668,,125,3120,
4473,5513,5407,,4847,2452,Alleghany,,,1157,277,4842,2175,1002,11137,,6051,5509,299,,1204,3116,1203,2275,4754,5911,9249,2574,,9915,1036,4477,4405,,1036,6045,
14518,20161,19318,,16599,6868,Duplin,,,6035,1194,16591,5674,5132,58741,,23311,20157,1258,,6712,11405,6708,5908,16052,22087,44760,7166,,49644,5639,14522,14186,,5639,23299,
3488,3876,3790,,3883,1635,Gates,,,411,105,3879,1530,354,11562,,4332,3875,112,,449,2418,449,1662,3797,4208,9230,1774,,10120,387,3489,3436,,387,4328,
23856,30211,29108,,25093,12405,Haywood,,,6677,1543,25086,10862,5965,62317,,32190,30205,1662,,7097,15572,7094,11094,24263,30940,50968,12756,,54941,6349,23862,23143,,6349,32180,
17597,22458,21700,,19118,8702,Stanly,,,5406,1083,19115,7619,4628,62806,,24807,22456,1142,,5689,12123,5685,7944,18463,23869,49282,9086,,54008,4859,17599,17072,,4859,24800,
