Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37095,50410,47653,646,41496,15261,122048,Robeson,360,883,12625,1886,41478,13015,11459,130625,646,56343,50381,2019,893,13954,20565,13953,13483,39410,52918,98425,15917,663,109195,12640,37106,35548,883,12641,56314,415
4843,5816,5652,0,5274,2803,12861,Perquimans,0,0,1013,204,5271,2599,911,13463,0,6349,5803,217,15,1060,3671,1060,2775,5128,6141,10957,2992,11,11854,960,4845,4741,0,960,6331,0
69017,102438,95431,1109,74209,24365,196283,Johnston,502,1368,30875,3525,74173,20338,28643,209339,1109,110752,102397,3655,1380,35163,28558,35162,20943,69433,101676,156585,25148,1120,175612,32271,69046,65679,1368,32272,110703,550
38959,58629,55914,550,41212,19532,135556,Randolph,425,744,18811,3682,41176,15425,17724,143667,550,62380,58593,3624,744,20424,26060,20423,15740,39478,59033,111702,19858,565,123257,19084,38979,37640,744,19085,62343,494
2923,3072,2948,,3080,1016,4753,Hyde,,,156,44,3077,972,141,4937,,3245,3072,52,,165,1114,165,987,2943,3099,4098,1039,,4410,149,2923,2807,,149,3242,
4858,6073,5902,0,5196,2540,10626,Alleghany,0,0,1225,315,5187,2225,1146,11137,0,6504,6040,332,34,1274,3116,1274,2312,5071,6296,9249,2644,26,9915,1182,4865,4756,0,1182,6461,0
16082,23490,22258,216,17686,7457,55126,Duplin,161,267,6917,1434,17671,5862,6494,58741,216,25663,23469,1421,284,7693,11405,7693,6037,16925,24109,44760,7639,228,49644,7171,16091,15548,267,7171,25631,181
3804,4280,4159,,4076,1714,11027,Gates,,0,467,120,4071,1594,437,11562,,4596,4279,119,12,508,2418,508,1700,3967,4434,9230,1819,,10120,475,3805,3722,0,475,4579,0
25428,33799,32495,867,26468,13520,59266,Haywood,508,1287,7677,1773,26460,11239,7030,62317,867,35904,33745,1906,1319,8117,15572,8117,11346,25256,34220,50968,13859,914,54941,7450,25435,24598,1287,7450,35864,607
19207,25758,24739,358,20411,9348,59178,Stanly,284,465,6328,1239,20407,7825,5868,62806,358,27561,25724,1271,477,6673,12123,6673,8114,19541,26334,49282,9713,390,54008,6159,19209,18513,465,6159,27545,328
50212,174825,164097,37910,60385,32057,,Missing,9096,24549,80722,7611,60320,15350,78918,,37933,174703,173740,6983,25750,88568,,88554,18578,55474,160695,,33040,38813,,85595,50415,47269,24499,85597,173423,7479
27888,39330,37336,330,29459,12504,76972,Wilson,221,495,10868,1702,29450,10581,9981,81801,330,42132,39293,1731,499,12174,15337,12171,10843,28274,39637,63224,12835,354,69710,11075,27899,27025,495,11077,42116,261
